z(km)	p(mb)	T(K)	H2O(ppmv)	O3(ppmv)
1.200000E+02	3.000000E-05	3.600000E+02	2.001464E-07	5.003659E-10
1.150000E+02	4.000000E-05	3.000000E+02	2.401654E-07	5.003446E-09
1.100000E+02	7.000000E-05	2.400000E+02	2.801714E-07	5.003062E-08
1.050000E+02	1.400000E-04	2.088000E+02	3.402174E-07	2.001279E-07
1.000000E+02	3.200000E-04	1.951000E+02	4.003479E-07	4.003479E-07
9.500000E+01	7.600000E-04	1.884000E+02	5.404140E-07	7.005367E-07
9.000000E+01	1.840000E-03	1.869000E+02	8.506549E-07	7.005393E-07
8.500000E+01	4.460000E-03	1.889000E+02	1.330721E-06	5.002710E-07
8.000000E+01	1.050000E-02	1.986000E+02	2.051434E-06	3.002098E-07
7.500000E+01	2.400000E-02	2.084000E+02	2.826986E-06	2.501757E-07
7.000000E+01	5.220000E-02	2.196000E+02	3.502704E-06	3.002318E-07
6.500000E+01	1.090000E-01	2.333000E+02	4.202548E-06	7.004247E-07
6.000000E+01	2.190000E-01	2.470000E+02	4.753083E-06	1.100714E-06
5.500000E+01	4.250000E-01	2.608000E+02	5.103016E-06	1.801064E-06
5.000000E+01	7.978000E-01	2.707000E+02	5.228415E-06	3.102026E-06
4.750000E+01	1.090000E+00	2.706000E+02	5.254502E-06	4.103516E-06
4.500000E+01	1.491000E+00	2.642000E+02	5.228210E-06	5.253225E-06
4.250000E+01	2.060000E+00	2.573000E+02	5.153717E-06	6.204475E-06
4.000000E+01	2.871000E+00	2.504000E+02	5.028360E-06	7.304881E-06
3.750000E+01	4.041200E+00	2.434400E+02	5.096587E-06	8.030986E-06
3.500000E+01	5.746000E+00	2.365000E+02	4.903534E-06	7.842653E-06
3.250000E+01	8.257300E+00	2.295900E+02	4.674937E-06	7.143691E-06
3.000000E+01	1.197000E+01	2.265000E+02	4.727840E-06	6.556939E-06
2.750000E+01	1.743000E+01	2.240000E+02	4.578350E-06	5.807249E-06
2.500000E+01	2.549000E+01	2.216000E+02	4.428037E-06	5.121512E-06
2.400000E+01	2.972000E+01	2.206000E+02	4.303141E-06	4.630379E-06
2.300000E+01	3.467000E+01	2.196000E+02	4.201866E-06	4.169852E-06
2.200000E+01	4.047000E+01	2.186000E+02	4.068350E-06	3.650005E-06
2.100000E+01	4.729000E+01	2.176000E+02	3.977364E-06	3.029801E-06
2.000000E+01	5.529000E+01	2.167000E+02	3.902132E-06	2.580410E-06
1.900000E+01	6.467000E+01	2.167000E+02	3.852666E-06	2.031406E-06
1.800000E+01	7.565000E+01	2.167000E+02	3.827278E-06	1.587945E-06
1.700000E+01	8.850000E+01	2.167000E+02	3.852620E-06	1.187808E-06
1.600000E+01	1.035000E+02	2.167000E+02	3.953037E-06	8.707690E-07
1.500000E+01	1.211000E+02	2.167000E+02	5.002971E-06	6.508865E-07
1.400000E+01	1.417000E+02	2.167000E+02	5.930602E-06	5.033058E-07
1.300000E+01	1.658000E+02	2.167000E+02	1.085856E-05	3.849034E-07
1.200000E+01	1.940000E+02	2.167000E+02	1.907418E-05	3.097303E-07
1.100000E+01	2.270000E+02	2.168000E+02	3.615548E-05	2.150515E-07
1.000000E+01	2.650000E+02	2.233000E+02	7.001325E-05	1.314000E-07
9.000000E+00	3.080000E+02	2.297000E+02	1.584167E-04	9.174758E-08
8.000000E+00	3.565000E+02	2.362000E+02	3.669754E-04	5.970481E-08
7.000000E+00	4.111000E+02	2.427000E+02	5.725385E-04	5.013716E-08
6.000000E+00	4.722000E+02	2.492000E+02	9.257849E-04	4.113711E-08
5.000000E+00	5.405000E+02	2.557000E+02	1.397907E-03	3.770446E-08
4.000000E+00	6.166000E+02	2.622000E+02	2.158929E-03	3.388458E-08
3.000000E+00	7.012000E+02	2.687000E+02	3.183507E-03	3.319571E-08
2.000000E+00	7.950000E+02	2.752000E+02	4.634695E-03	3.239583E-08
1.000000E+00	8.988000E+02	2.817000E+02	6.076421E-03	2.933617E-08
0.000000E+00	1.013000E+03	2.882000E+02	7.751638E-03	2.662280E-08
