#
# ARTDECO : Beta_l
#
# Used model for truncation was:
 none
# number of wavelengths
          38
# wlambda(microns)     nBetal     Trunc. Coeff.     Cext      SSA              g 
     0.800000000E+01      8     0.000000000E+00     0.273500000E+04     0.644500000E+00     0.920400000E+00
     0.813008100E+01      8     0.000000000E+00     0.273400000E+04     0.648132511E+00     0.919419514E+00
     0.826446200E+01      8     0.000000000E+00     0.273528924E+04     0.652233860E+00     0.918613228E+00
     0.840336100E+01      8     0.000000000E+00     0.273757137E+04     0.656624357E+00     0.917893278E+00
     0.854700900E+01      8     0.000000000E+00     0.275164955E+04     0.660905135E+00     0.917558973E+00
     0.869565200E+01      8     0.000000000E+00     0.273847828E+04     0.661317392E+00     0.917686956E+00
     0.884955800E+01      8     0.000000000E+00     0.271007956E+04     0.659454862E+00     0.917800000E+00
     0.900900900E+01      8     0.000000000E+00     0.268273874E+04     0.657736937E+00     0.918136036E+00
     0.917431200E+01      8     0.000000000E+00     0.266108256E+04     0.656654128E+00     0.919020184E+00
     0.934579500E+01      8     0.000000000E+00     0.264671025E+04     0.656154205E+00     0.920649540E+00
     0.952380900E+01      8     0.000000000E+00     0.267385741E+04     0.657380999E+00     0.925176180E+00
     0.970873800E+01      8     0.000000000E+00     0.258398052E+04     0.641022318E+00     0.928974760E+00
     0.990099000E+01      8     0.000000000E+00     0.250298020E+04     0.624339610E+00     0.933954450E+00
     0.101010100E+02      8     0.000000000E+00     0.242115160E+04     0.594544470E+00     0.944344440E+00
     0.103092780E+02      8     0.000000000E+00     0.224994872E+04     0.539246492E+00     0.953278340E+00
     0.105263160E+02      8     0.000000000E+00     0.208805256E+04     0.475805216E+00     0.958021052E+00
     0.107526880E+02      8     0.000000000E+00     0.209975264E+04     0.452319360E+00     0.955693552E+00
     0.109890110E+02      8     0.000000000E+00     0.221373627E+04     0.462829671E+00     0.948128571E+00
     0.112359550E+02      8     0.000000000E+00     0.231558425E+04     0.476417975E+00     0.937705620E+00
     0.114942530E+02      8     0.000000000E+00     0.239256325E+04     0.485056325E+00     0.930037928E+00
     0.117647060E+02      8     0.000000000E+00     0.245329414E+04     0.490864708E+00     0.923311762E+00
     0.120481930E+02      8     0.000000000E+00     0.250222895E+04     0.494778316E+00     0.917680719E+00
     0.123456790E+02      8     0.000000000E+00     0.254439506E+04     0.497665432E+00     0.913160494E+00
     0.126582280E+02      8     0.000000000E+00     0.258056964E+04     0.500007596E+00     0.909675948E+00
     0.129870130E+02      8     0.000000000E+00     0.261296104E+04     0.501909091E+00     0.907164935E+00
     0.133333330E+02      8     0.000000000E+00     0.263733331E+04     0.503999997E+00     0.905033335E+00
     0.136986300E+02      8     0.000000000E+00     0.265991780E+04     0.506791780E+00     0.903404110E+00
     0.140845070E+02      8     0.000000000E+00     0.269422535E+04     0.512383098E+00     0.901692958E+00
     0.144927540E+02      8     0.000000000E+00     0.271371016E+04     0.519433342E+00     0.899343476E+00
     0.149253730E+02      8     0.000000000E+00     0.273452238E+04     0.530461190E+00     0.896097016E+00
     0.153846150E+02      8     0.000000000E+00     0.276032105E+04     0.542262534E+00     0.892722076E+00
     0.158730150E+02      8     0.000000000E+00     0.278325462E+04     0.552285351E+00     0.889536859E+00
     0.163934420E+02      8     0.000000000E+00     0.280769206E+04     0.562965418E+00     0.886142770E+00
     0.169491520E+02      8     0.000000000E+00     0.282081355E+04     0.572527109E+00     0.880883056E+00
     0.175438590E+02      8     0.000000000E+00     0.283901751E+04     0.593008742E+00     0.871780712E+00
     0.181818180E+02      8     0.000000000E+00     0.286000000E+04     0.618740904E+00     0.862459093E+00
     0.188679240E+02      8     0.000000000E+00     0.286009703E+04     0.635306738E+00     0.856180593E+00
     0.196078430E+02      8     0.000000000E+00     0.286440120E+04     0.642654441E+00     0.853229264E+00
# Betal
# lambda =      8.0000
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.958209537E+00     0.000000000E+00     0.000000000E+00
      1     0.276101662E+01     0.000000000E+00     0.000000000E+00     0.276200755E+01     0.000000000E+00     0.000000000E+00
      2     0.425894270E+01     0.466397421E+01     0.460002126E+01     0.426295093E+01    -0.718086306E-01     0.138893029E-01
      3     0.554153670E+01     0.581638768E+01     0.577643882E+01     0.554344223E+01    -0.654427430E-01     0.647862324E-02
      4     0.666806297E+01     0.688623735E+01     0.686102728E+01     0.666816107E+01    -0.545812110E-01     0.426216158E-03
      5     0.767510159E+01     0.785249113E+01     0.783688520E+01     0.767512419E+01    -0.454884808E-01    -0.429504600E-02
      6     0.859085661E+01     0.874037571E+01     0.872948192E+01     0.859009891E+01    -0.406549811E-01    -0.475050937E-02
      7     0.942795547E+01     0.955718628E+01     0.955008259E+01     0.942774032E+01    -0.388607265E-01    -0.478750960E-02
      8     0.101896495E+02     0.103071492E+02     0.103015777E+02     0.101892206E+02    -0.385075949E-01    -0.398585350E-02
# lambda =      8.1301
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.958467961E+00     0.000000000E+00     0.000000000E+00
      1     0.275817544E+01     0.000000000E+00     0.000000000E+00     0.275923705E+01     0.000000000E+00     0.000000000E+00
      2     0.424890851E+01     0.465961161E+01     0.459611679E+01     0.425301253E+01    -0.718995363E-01     0.141897301E-01
      3     0.552191881E+01     0.579988629E+01     0.576025530E+01     0.552374229E+01    -0.653428432E-01     0.664485374E-02
      4     0.663680980E+01     0.685740620E+01     0.683264740E+01     0.663699042E+01    -0.545617612E-01     0.389410762E-03
      5     0.763069904E+01     0.781018205E+01     0.779484299E+01     0.763075446E+01    -0.456239229E-01    -0.446499393E-02
      6     0.853233424E+01     0.868349977E+01     0.867284913E+01     0.853164437E+01    -0.408765634E-01    -0.489275203E-02
      7     0.935508665E+01     0.948554897E+01     0.947856488E+01     0.935485995E+01    -0.390695211E-01    -0.486274882E-02
      8     0.101021911E+02     0.102206747E+02     0.102152115E+02     0.101017692E+02    -0.387335169E-01    -0.402600189E-02
# lambda =      8.2645
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.958778813E+00     0.000000000E+00     0.000000000E+00
      1     0.275574832E+01     0.000000000E+00     0.000000000E+00     0.275685748E+01     0.000000000E+00     0.000000000E+00
      2     0.423978186E+01     0.465581241E+01     0.459286354E+01     0.424399547E+01    -0.720169153E-01     0.144216900E-01
      3     0.550368320E+01     0.578479529E+01     0.574548432E+01     0.550541868E+01    -0.653275462E-01     0.679298455E-02
      4     0.660748414E+01     0.683049392E+01     0.680617404E+01     0.660771093E+01    -0.546176900E-01     0.361772389E-03
      5     0.758887369E+01     0.777041245E+01     0.775533268E+01     0.758891020E+01    -0.458222252E-01    -0.462992843E-02
      6     0.847701559E+01     0.862982479E+01     0.861942184E+01     0.847634912E+01    -0.411513335E-01    -0.503917041E-02
      7     0.928600414E+01     0.941772252E+01     0.941087201E+01     0.928570715E+01    -0.393207490E-01    -0.492219001E-02
      8     0.100191015E+02     0.101385731E+02     0.101332699E+02     0.100186369E+02    -0.390208312E-01    -0.405440303E-02
# lambda =      8.4034
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.959146677E+00     0.000000000E+00     0.000000000E+00
      1     0.275352250E+01     0.000000000E+00     0.000000000E+00     0.275465121E+01     0.000000000E+00     0.000000000E+00
      2     0.423101312E+01     0.465222401E+01     0.458992106E+01     0.423532507E+01    -0.720955881E-01     0.146326049E-01
      3     0.548590864E+01     0.577014386E+01     0.573119433E+01     0.548756154E+01    -0.653283131E-01     0.695005590E-02
