#
# ARTDECO : Beta_l
#
# Used model for truncation was:
 none
# number of wavelengths
          38
# wlambda(microns)     nBetal     Trunc. Coeff.     Cext      SSA              g 
     0.800000000E+01      8     0.000000000E+00     0.780096424E+03     0.741616986E+00     0.887416724E+00
     0.813008100E+01      8     0.000000000E+00     0.784200014E+03     0.744012031E+00     0.890323344E+00
     0.826446200E+01      8     0.000000000E+00     0.787136186E+03     0.745689709E+00     0.893216586E+00
     0.840336100E+01      8     0.000000000E+00     0.788686792E+03     0.746570021E+00     0.896074745E+00
     0.854700900E+01      8     0.000000000E+00     0.788761575E+03     0.746958517E+00     0.898889869E+00
     0.869565200E+01      8     0.000000000E+00     0.786945350E+03     0.746622005E+00     0.901775477E+00
     0.884955800E+01      8     0.000000000E+00     0.782634842E+03     0.745271153E+00     0.904815894E+00
     0.900900900E+01      8     0.000000000E+00     0.776025949E+03     0.743225083E+00     0.907611956E+00
     0.917431200E+01      8     0.000000000E+00     0.766191157E+03     0.739435440E+00     0.910409731E+00
     0.934579500E+01      8     0.000000000E+00     0.752147514E+03     0.733506210E+00     0.913349356E+00
     0.952380900E+01      8     0.000000000E+00     0.734505618E+03     0.725992444E+00     0.916077139E+00
     0.970873800E+01      8     0.000000000E+00     0.711092276E+03     0.715208291E+00     0.918946106E+00
     0.990099000E+01      8     0.000000000E+00     0.682199994E+03     0.700929912E+00     0.921706765E+00
     0.101010100E+02      8     0.000000000E+00     0.643833128E+03     0.676304752E+00     0.924791715E+00
     0.103092780E+02      8     0.000000000E+00     0.599849130E+03     0.642466252E+00     0.927563716E+00
     0.105263160E+02      8     0.000000000E+00     0.556277857E+03     0.605601584E+00     0.929478861E+00
     0.107526880E+02      8     0.000000000E+00     0.514864606E+03     0.546277830E+00     0.930844143E+00
     0.109890110E+02      8     0.000000000E+00     0.482778159E+03     0.486199394E+00     0.930983721E+00
     0.112359550E+02      8     0.000000000E+00     0.466522317E+03     0.436871254E+00     0.929492219E+00
     0.114942530E+02      8     0.000000000E+00     0.458348724E+03     0.403905277E+00     0.926839406E+00
     0.117647060E+02      8     0.000000000E+00     0.475572853E+03     0.395323915E+00     0.921872732E+00
     0.120481930E+02      8     0.000000000E+00     0.491670071E+03     0.393517525E+00     0.916156644E+00
     0.123456790E+02      8     0.000000000E+00     0.506375553E+03     0.395117153E+00     0.909790590E+00
     0.126582280E+02      8     0.000000000E+00     0.523075867E+03     0.400437051E+00     0.903157019E+00
     0.129870130E+02      8     0.000000000E+00     0.540892270E+03     0.407022222E+00     0.896448039E+00
     0.133333330E+02      8     0.000000000E+00     0.557747702E+03     0.413220791E+00     0.890318418E+00
     0.136986300E+02      8     0.000000000E+00     0.573319758E+03     0.418530716E+00     0.883862876E+00
     0.140845070E+02      8     0.000000000E+00     0.587169957E+03     0.422857377E+00     0.877363909E+00
     0.144927540E+02      8     0.000000000E+00     0.598430472E+03     0.425999202E+00     0.871690285E+00
     0.149253730E+02      8     0.000000000E+00     0.609514169E+03     0.428951234E+00     0.865627532E+00
     0.153846150E+02      8     0.000000000E+00     0.619561681E+03     0.431469154E+00     0.859734965E+00
     0.158730150E+02      8     0.000000000E+00     0.629393116E+03     0.433851884E+00     0.853489649E+00
     0.163934420E+02      8     0.000000000E+00     0.639198797E+03     0.436152692E+00     0.846744469E+00
     0.169491520E+02      8     0.000000000E+00     0.648370460E+03     0.438525930E+00     0.840349547E+00
     0.175438590E+02      8     0.000000000E+00     0.657547577E+03     0.441103388E+00     0.833588262E+00
     0.181818180E+02      8     0.000000000E+00     0.666577244E+03     0.443937796E+00     0.826486907E+00
     0.188679240E+02      8     0.000000000E+00     0.673304402E+03     0.446551085E+00     0.819785143E+00
     0.196078430E+02      8     0.000000000E+00     0.678759762E+03     0.449507969E+00     0.812928737E+00
# Betal
# lambda =      8.0000
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.976570166E+00     0.000000000E+00     0.000000000E+00
      1     0.266222839E+01     0.000000000E+00     0.000000000E+00     0.265892838E+01     0.000000000E+00     0.000000000E+00
      2     0.388463374E+01     0.452987927E+01     0.449138926E+01     0.387149193E+01    -0.822918164E-02    -0.140201897E-01
      3     0.465506269E+01     0.511295266E+01     0.509457086E+01     0.464915376E+01    -0.432720978E-01     0.355685517E-01
      4     0.511603878E+01     0.553529687E+01     0.551605369E+01     0.511230289E+01    -0.441989602E-01     0.386447894E-01
      5     0.533922093E+01     0.565557342E+01     0.563675684E+01     0.533783398E+01    -0.769412618E-01     0.814235147E-01
      6     0.538260128E+01     0.568523272E+01     0.566761130E+01     0.538489704E+01    -0.673212629E-01     0.102077294E+00
      7     0.529008647E+01     0.552282865E+01     0.550506376E+01     0.529527909E+01    -0.853702573E-01     0.135718227E+00
      8     0.507657544E+01     0.531200407E+01     0.529292654E+01     0.508258900E+01    -0.758886674E-01     0.161452549E+00
# lambda =      8.1301
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.977423582E+00     0.000000000E+00     0.000000000E+00
      1     0.267094864E+01     0.000000000E+00     0.000000000E+00     0.266767785E+01     0.000000000E+00     0.000000000E+00
      2     0.390329184E+01     0.454028018E+01     0.450325355E+01     0.389054230E+01    -0.607501875E-02    -0.118594440E-01
      3     0.468475803E+01     0.514271541E+01     0.512503649E+01     0.467904813E+01    -0.412367543E-01     0.365440559E-01
      4     0.514825147E+01     0.556983720E+01     0.555124869E+01     0.514463605E+01    -0.424787395E-01     0.427337083E-01
      5     0.536630394E+01     0.568875577E+01     0.567068409E+01     0.536521549E+01    -0.749627946E-01     0.843641436E-01
      6     0.539673333E+01     0.570391909E+01     0.568681828E+01     0.539921449E+01    -0.667901625E-01     0.106980524E+00
      7     0.528571988E+01     0.552495466E+01     0.550767133E+01     0.529105140E+01    -0.841133958E-01     0.139933996E+00
      8     0.505072445E+01     0.528956354E+01     0.527099692E+01     0.505690845E+01    -0.755287096E-01     0.165900394E+00
# lambda =      8.2645
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.978227644E+00     0.000000000E+00     0.000000000E+00
      1     0.267962873E+01     0.000000000E+00     0.000000000E+00     0.267639528E+01     0.000000000E+00     0.000000000E+00
      2     0.392199900E+01     0.455066256E+01     0.451500979E+01     0.390963862E+01    -0.384771059E-02    -0.966269230E-02
      3     0.471453461E+01     0.517258425E+01     0.515555750E+01     0.470902435E+01    -0.389157701E-01     0.375662546E-01
      4     0.518084639E+01     0.560462330E+01     0.558665186E+01     0.517735767E+01    -0.404541411E-01     0.468484788E-01
      5     0.539396031E+01     0.572252073E+01     0.570515146E+01     0.539316032E+01    -0.724324041E-01     0.874955683E-01
      6     0.541160030E+01     0.572334526E+01     0.570674070E+01     0.541426146E+01    -0.656444823E-01     0.111991476E+00
      7     0.528208651E+01     0.552785324E+01     0.551103194E+01     0.528755176E+01    -0.821225116E-01     0.144395529E+00
      8     0.502557653E+01     0.526787822E+01     0.524979567E+01     0.503190956E+01    -0.743666407E-01     0.170509810E+00
# lambda =      8.4034
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.978978713E+00     0.000000000E+00     0.000000000E+00
      1     0.268820356E+01     0.000000000E+00     0.000000000E+00     0.268501398E+01     0.000000000E+00     0.000000000E+00
      2     0.394057280E+01     0.456094045E+01     0.452656727E+01     0.392859866E+01    -0.155225794E-02    -0.743497848E-02
      3     0.474401885E+01     0.520225090E+01     0.518581990E+01     0.473870698E+01    -0.363110152E-01     0.386449661E-01
