# 
# Solar irradiance on TOA (in W m-2 perpendicular to the light propagation)
# 
# varsol is a correction factor applied to
# account for sun-earth distance evolution during a year
# The incoming flux a TOA is then F0 x varsol
# 
# Number of wavelengths :
          38
# Number of solar configurations (sza / date / geographical coordinates)
           1
################## 
#  lambda (microns)    F0 (W m-2) 
       8.000000000       0.075590960
       8.130081000       0.073242478
       8.264462000       0.071001070
       8.403361000       0.068729610
       8.547009000       0.066535911
       8.695652000       0.064343932
       8.849558000       0.062177218
       9.009009000       0.060066322
       9.174312000       0.057995015
       9.345795000       0.055972077
       9.523809000       0.053951264
       9.708738000       0.051971577
       9.900990000       0.050036457
      10.101010000       0.048159655
      10.309278000       0.046291559
      10.526316000       0.044445527
      10.752688000       0.042644510
      10.989011000       0.040877593
      11.235955000       0.039134538
      11.494253000       0.037445630
      11.764706000       0.035776582
      12.048193000       0.034160067
      12.345679000       0.032553568
      12.658228000       0.031008590
      12.987013000       0.029484579
      13.333333000       0.028003588
      13.698630000       0.026557045
      14.084507000       0.025147549
      14.492754000       0.023779073
      14.925373000       0.022434086
      15.384615000       0.021143581
      15.873015000       0.019879566
      16.393442000       0.018653012
      16.949152000       0.017466887
      17.543859000       0.016317637
      18.181818000       0.015206460
      18.867924000       0.014131850
      19.607843000       0.013097111
################## 
#    sza         varsol       lon.        lat.    day of year    hour (TU)  
        60.0         1.0      -999.0      -999.0        -999.0            -999.0
