#  
#  ARTDECO   flux output 
#  
# number of solar zenith angles 
   1
# number of sampled altitudes 
  50
# Solar zenithal angle (deg) 
60.000
#     ALTITUDE           PRESSION           FLUX DW          FLUX UP           FLUX DIR
#       (KM)               (hPa)             (W.M-2)          (W.M-2)          (W.M-2) 
     120.000000000       0.000040000       0.748960299     106.118555527       0.748960299
     115.000000000       0.000060000       0.748960299     106.118555527       0.748960299
     110.000000000       0.000110000       0.748960299     106.118555527       0.748960299
     105.000000000       0.000200000       0.748960299     106.118555527       0.748960299
     100.000000000       0.000410000       0.748960299     106.118555527       0.748960299
      95.000000000       0.000880000       0.748960299     106.118555527       0.748960299
      90.000000000       0.001980000       0.748960299     106.118555527       0.748960299
      85.000000000       0.004560000       0.748960299     106.118555527       0.748960299
      80.000000000       0.010300000       0.749284158     106.118677410       0.748958529
      75.000000000       0.022200000       0.773264604     106.124313217       0.748844525
      70.000000000       0.047000000       0.843883969     106.143374318       0.748609614
      65.000000000       0.095000000       0.936620091     106.178918695       0.748398252
      60.000000000       0.188000000       1.083138400     106.224523201       0.748054681
      55.000000000       0.362000000       1.348070812     106.259065312       0.747455380
      50.000000000       0.683000000       1.815450040     106.202259011       0.746285653
      47.500000000       0.940000000       2.139354562     106.088519132       0.745352041
      45.000000000       1.290000000       2.479750156     105.894404953       0.744056587
      42.500000000       1.800000000       2.805193450     105.661873795       0.742288479
      40.000000000       2.530000000       3.110593704     105.400315066       0.739937051
      37.500000000       3.600000000       3.402249914     105.114787356       0.736965100
      35.000000000       5.180000000       3.703811932     104.824275924       0.733256243
      32.500000000       7.560000000       4.029510685     104.577720327       0.728407247
      30.000000000      11.100000000       4.546541840     104.478228422       0.721636528
      27.500000000      16.460000000       5.386479013     104.462957465       0.711785766
      25.000000000      24.400000000       6.630604943     104.577322703       0.698333347
      24.000000000      28.600000000       7.216765792     104.651263121       0.692309704
      23.000000000      33.400000000       7.849652255     104.740577520       0.686078995
      22.000000000      39.100000000       8.521864797     104.849651205       0.679708339
      21.000000000      45.800000000       9.223307612     104.984297900       0.673296347
      20.000000000      53.700000000       9.941157234     105.148895833       0.667019268
      19.000000000      62.800000000      10.665336783     105.355001814       0.660994414
      18.000000000      73.600000000      11.433895728     105.619942112       0.655218373
      17.000000000      86.100000000      12.242815367     105.904393917       0.649626261
      16.000000000     100.700000000      13.082532760     106.212948907       0.644136968
      15.000000000     117.800000000      13.947871613     106.553746922       0.638690984
      14.000000000     137.800000000      14.839477875     106.946227372       0.633159529
      13.000000000     161.100000000      15.760240087     107.417030070       0.627441115
      12.000000000     188.200000000      16.699722223     107.969775163       0.621733256
      11.000000000     219.900000000      17.659226334     108.613007764       0.616201849
      10.000000000     256.800000000      18.682753572     109.558419913       0.610715437
       9.000000000     299.300000000      21.010287432     111.492328609       0.604946578
       8.000000000     347.300000000      55.318903799     144.454211265       0.097971096
       7.000000000     401.600000000      61.042311214     151.827806053       0.080156206
       6.000000000     462.700000000      65.110312121     155.143898197       0.078925867
       5.000000000     531.300000000      70.444569506     158.873692609       0.077350906
       4.000000000     608.100000000      77.275083389     162.974528116       0.075341323
       3.000000000     693.800000000      86.157948975     167.214093075       0.072628390
       2.000000000     789.700000000      95.462115029     170.267791783       0.069198683
       1.000000000     897.300000000     105.343098181     172.861653310       0.065160281
       0.000000000    1018.000000000     181.879516855     183.071835708       0.000000001
