#  
#  ARTDECO flux output for each k-dis band 
#  
# number of wavelengths
  38
# number of solar zenith angles
   1
# number of sampled altitudes 
  50
##################
# Wavelength (microns) 
       8.000000000
# Solar zenithal angle (deg) 
60.000
#     ALTITUDE           PRESSION           FLUX DW          FLUX UP           FLUX DIR
#       (KM)               (hPa)             (W.M-2)          (W.M-2)          (W.M-2) 
     120.000000000       0.000040000       0.037795480       0.970798374       0.037795480
     115.000000000       0.000060000       0.037795480       0.970798374       0.037795480
     110.000000000       0.000110000       0.037795480       0.970798374       0.037795480
     105.000000000       0.000200000       0.037795480       0.970798374       0.037795480
     100.000000000       0.000410000       0.037795480       0.970798374       0.037795480
      95.000000000       0.000880000       0.037795480       0.970798374       0.037795480
      90.000000000       0.001980000       0.037795480       0.970798374       0.037795480
      85.000000000       0.004560000       0.037795480       0.970798374       0.037795480
      80.000000000       0.010300000       0.037795480       0.970798374       0.037795480
      75.000000000       0.022200000       0.037796182       0.970799502       0.037795395
      70.000000000       0.047000000       0.037804245       0.970805328       0.037794748
      65.000000000       0.095000000       0.037851746       0.970812878       0.037792105
      60.000000000       0.188000000       0.038003451       0.970788006       0.037785965
      55.000000000       0.362000000       0.038396231       0.970632593       0.037773958
      50.000000000       0.683000000       0.039272476       0.970135854       0.037751626
      47.500000000       0.940000000       0.039950157       0.969676721       0.037734953
      45.000000000       1.290000000       0.040720642       0.969107744       0.037713205
      42.500000000       1.800000000       0.041470606       0.968515038       0.037685120
      40.000000000       2.530000000       0.042141337       0.967935106       0.037649473
      37.500000000       3.600000000       0.042682053       0.967402508       0.037605411
      35.000000000       5.180000000       0.043050550       0.966967088       0.037551897
      32.500000000       7.560000000       0.043228839       0.966714643       0.037486650
      30.000000000      11.100000000       0.043343982       0.966700335       0.037404662
      27.500000000      16.460000000       0.043611779       0.966911854       0.037298813
      25.000000000      24.400000000       0.044301099       0.967466431       0.037147741
      24.000000000      28.600000000       0.044766161       0.967812623       0.037067600
      23.000000000      33.400000000       0.045375830       0.968259372       0.036970961
      22.000000000      39.100000000       0.046157972       0.968839294       0.036853102
      21.000000000      45.800000000       0.047135214       0.969590101       0.036709654
      20.000000000      53.700000000       0.048331325       0.970561233       0.036536017
      19.000000000      62.800000000       0.049785076       0.971829440       0.036325510
      18.000000000      73.600000000       0.051561294       0.973444183       0.036073509
      17.000000000      86.100000000       0.053734648       0.975448888       0.035775594
      16.000000000     100.700000000       0.056369750       0.977962723       0.035424886
      15.000000000     117.800000000       0.059507304       0.981117508       0.035019714
      14.000000000     137.800000000       0.063194947       0.985095378       0.034559102
      13.000000000     161.100000000       0.067516498       0.990183545       0.034038820
      12.000000000     188.200000000       0.072520432       0.996744079       0.033460711
      11.000000000     219.900000000       0.078278639       1.005344832       0.032824410
      10.000000000     256.800000000       0.084961482       1.017044904       0.032118483
       9.000000000     299.300000000       0.095081283       1.031133417       0.031323457
       8.000000000     347.300000000       0.335579154       1.453511534       0.004399821
       7.000000000     401.600000000       0.375514492       1.544212864       0.003461154
       6.000000000     462.700000000       0.403754177       1.585808567       0.003301688
       5.000000000     531.300000000       0.450694419       1.633804872       0.003105920
       4.000000000     608.100000000       0.524260677       1.686139438       0.002860237
       3.000000000     693.800000000       0.639112176       1.737063566       0.002546576
       2.000000000     789.700000000       0.791738111       1.777685484       0.002181700
       1.000000000     897.300000000       0.972341485       1.799666401       0.001797213
       0.000000000    1018.000000000       1.952710423       1.976250212       0.000000000
# Wavelength (microns) 
       8.130081000
# Solar zenithal angle (deg) 
60.000
#     ALTITUDE           PRESSION           FLUX DW          FLUX UP           FLUX DIR
#       (KM)               (hPa)             (W.M-2)          (W.M-2)          (W.M-2) 
     120.000000000       0.000040000       0.036621239       1.166895445       0.036621239
     115.000000000       0.000060000       0.036621239       1.166895445       0.036621239
     110.000000000       0.000110000       0.036621239       1.166895445       0.036621239
     105.000000000       0.000200000       0.036621239       1.166895445       0.036621239
     100.000000000       0.000410000       0.036621239       1.166895445       0.036621239
      95.000000000       0.000880000       0.036621239       1.166895445       0.036621239
      90.000000000       0.001980000       0.036621239       1.166895445       0.036621239
      85.000000000       0.004560000       0.036621239       1.166895445       0.036621239
      80.000000000       0.010300000       0.036621239       1.166895445       0.036621239
      75.000000000       0.022200000       0.036621239       1.166895445       0.036621239
      70.000000000       0.047000000       0.036623008       1.166895742       0.036621113
      65.000000000       0.095000000       0.036633316       1.166893843       0.036620601
      60.000000000       0.188000000       0.036668235       1.166879627       0.036619339
      55.000000000       0.362000000       0.036765514       1.166825504       0.036616693
      50.000000000       0.683000000       0.037000490       1.166674906       0.036611431
      47.500000000       0.940000000       0.037194345       1.166545438       0.036607321
      45.000000000       1.290000000       0.037428435       1.166394833       0.036601860
      42.500000000       1.800000000       0.037683100       1.166249968       0.036594596
      40.000000000       2.530000000       0.037946582       1.166126635       0.036585096
      37.500000000       3.600000000       0.038213523       1.166039216       0.036572650
      35.000000000       5.180000000       0.038477124       1.166007655       0.036556289
      32.500000000       7.560000000       0.038730311       1.166059465       0.036534648
      30.000000000      11.100000000       0.038995875       1.166212926       0.036505141
      27.500000000      16.460000000       0.039321751       1.166488092       0.036463720
      25.000000000      24.400000000       0.039755794       1.166937819       0.036404842
      24.000000000      28.600000000       0.039973477       1.167181001       0.036375033
      23.000000000      33.400000000       0.040224096       1.167472329       0.036340729
      22.000000000      39.100000000       0.040512207       1.167822248       0.036301341
      21.000000000      45.800000000       0.040843511       1.168244041       0.036256134
      20.000000000      53.700000000       0.041224918       1.168755243       0.036204248
      19.000000000      62.800000000       0.041662790       1.169375461       0.036144932
      18.000000000      73.600000000       0.042174924       1.170124107       0.036077041
      17.000000000      86.100000000       0.042784342       1.171023180       0.035999284
      16.000000000     100.700000000       0.043508027       1.172106935       0.035910479
      15.000000000     117.800000000       0.044366357       1.173418144       0.035809220
      14.000000000     137.800000000       0.045383910       1.175011512       0.035693874
      13.000000000     161.100000000       0.046591116       1.176957742       0.035562480
      12.000000000     188.200000000       0.048024081       1.179344513       0.035412699
      11.000000000     219.900000000       0.049734491       1.182294018       0.035240919
      10.000000000     256.800000000       0.051825638       1.186006176       0.035038838
       9.000000000     299.300000000       0.055022284       1.190373374       0.034787415
       8.000000000     347.300000000       0.334633657       1.695310262       0.004988972
       7.000000000     401.600000000       0.368841440       1.779746265       0.004016545
       6.000000000     462.700000000       0.379537831       1.795955834       0.003937480
       5.000000000     531.300000000       0.399999935       1.815882297       0.003830315
       4.000000000     608.100000000       0.435930795       1.838958864       0.003684833
       3.000000000     693.800000000       0.499108925       1.863172920       0.003478803
