#  
#  ARTDECO net radiative heating rate 
#  
# number of solar zenith angles 
   1
# number of sampled layers 
  49
# Solar zenithal angle (deg) 
60.000
#    LOWER BOUND.       UPPER BOUND.    NET RAD. HEAT. RATE
#        (KM)               (KM)           (W M-2 M-1)
     115.000000000     120.000000000      -0.000000000
     110.000000000     115.000000000      -0.000000000
     105.000000000     110.000000000      -0.000000000
     100.000000000     105.000000000      -0.000000000
      95.000000000     100.000000000      -0.000000000
      90.000000000      95.000000000      -0.000000000
      85.000000000      90.000000000      -0.000000000
      80.000000000      85.000000000      -0.000000040
      75.000000000      80.000000000      -0.000003669
      70.000000000      75.000000000      -0.000010312
      65.000000000      70.000000000      -0.000011438
      60.000000000      65.000000000      -0.000020183
      55.000000000      60.000000000      -0.000046078
      50.000000000      55.000000000      -0.000104837
      47.500000000      50.000000000      -0.000175058
      45.000000000      47.500000000      -0.000213804
      42.500000000      45.000000000      -0.000223190
      40.000000000      42.500000000      -0.000226784
      37.500000000      40.000000000      -0.000230874
      35.000000000      37.500000000      -0.000236829
      32.500000000      35.000000000      -0.000228902
      30.000000000      32.500000000      -0.000246609
      27.500000000      30.000000000      -0.000342083
      25.000000000      27.500000000      -0.000451904
      24.000000000      25.000000000      -0.000512220
      23.000000000      24.000000000      -0.000543572
      22.000000000      23.000000000      -0.000563139
      21.000000000      22.000000000      -0.000566796
      20.000000000      21.000000000      -0.000553252
      19.000000000      20.000000000      -0.000518074
      18.000000000      19.000000000      -0.000503619
      17.000000000      18.000000000      -0.000524468
      16.000000000      17.000000000      -0.000531162
      15.000000000      16.000000000      -0.000524541
      14.000000000      15.000000000      -0.000499126
      13.000000000      14.000000000      -0.000449960
      12.000000000      13.000000000      -0.000386737
      11.000000000      12.000000000      -0.000316272
      10.000000000      11.000000000      -0.000078115
       9.000000000      10.000000000      -0.000393625
       8.000000000       9.000000000      -0.001346734
       7.000000000       8.000000000       0.001650187
       6.000000000       7.000000000      -0.000751909
       5.000000000       6.000000000      -0.001604463
       4.000000000       5.000000000      -0.002729678
       3.000000000       4.000000000      -0.004643301
       2.000000000       3.000000000      -0.006250467
       1.000000000       2.000000000      -0.007287122
       0.000000000       1.000000000      -0.066326236
