#  
#  ARTDECO warming rate 
#  
# number of solar zenith angles 
   1
# number of sampled layers 
  49
# Solar zenithal angle (deg) 
60.000
#    LOWER BOUND.       UPPER BOUND.    WARMING RATE
#        (KM)               (KM)        (K / DAY)    
     115.000000000     120.000000000      -0.000000000
     110.000000000     115.000000000      -0.000000000
     105.000000000     110.000000000      -0.000000000
     100.000000000     105.000000000      -0.000000000
      95.000000000     100.000000000      -0.000000000
      90.000000000      95.000000000      -0.000000000
      85.000000000      90.000000000      -0.000000000
      80.000000000      85.000000000      -0.275533835
      75.000000000      80.000000000     -12.006751133
      70.000000000      75.000000000     -16.598198335
      65.000000000      70.000000000      -9.372518598
      60.000000000      65.000000000      -8.646198700
      55.000000000      60.000000000     -10.558386647
      50.000000000      55.000000000     -12.975074951
      47.500000000      50.000000000     -14.026179465
      45.000000000      47.500000000     -12.274588247
      42.500000000      45.000000000      -8.989421191
      40.000000000      42.500000000      -6.321887581
      37.500000000      40.000000000      -4.404240441
      35.000000000      37.500000000      -3.052981780
      32.500000000      35.000000000      -1.966959513
      30.000000000      32.500000000      -1.415835147
      27.500000000      30.000000000      -1.315482721
      25.000000000      27.500000000      -1.167045676
      24.000000000      25.000000000      -1.019241652
      23.000000000      24.000000000      -0.924616189
      22.000000000      23.000000000      -0.819169062
      21.000000000      22.000000000      -0.704069072
      20.000000000      21.000000000      -0.586402532
      19.000000000      20.000000000      -0.468987972
      18.000000000      19.000000000      -0.389876528
      17.000000000      18.000000000      -0.347583932
      16.000000000      17.000000000      -0.301648015
      15.000000000      16.000000000      -0.255258336
      14.000000000      15.000000000      -0.208113821
      13.000000000      14.000000000      -0.160803870
      12.000000000      13.000000000      -0.118538938
      11.000000000      12.000000000      -0.083163015
      10.000000000      11.000000000      -0.017624508
       9.000000000      10.000000000      -0.077316572
       8.000000000       9.000000000      -0.233622352
       7.000000000       8.000000000       0.253634335
       6.000000000       7.000000000      -0.102694203
       5.000000000       6.000000000      -0.195284038
       4.000000000       5.000000000      -0.296879875
       3.000000000       4.000000000      -0.452452138
       2.000000000       3.000000000      -0.544182253
       1.000000000       2.000000000      -0.565311325
       0.000000000       1.000000000      -4.591433728
