# ARTDECO : output file
# Radiances at the top of the atmosphere
#
# The single scattering intensity correction was not apply
#
# Result given for each geometry
# sza : solar zenith angle(s) (degree)
# vza : view  zenith angle(s) (degree)
# vaa : view azimuthal angle(s) (degree)
#
# total number of geometries
         270
# nsza, nvza, nvaa
           1          90           3
# number of elements of the Stokes vector
# 4 = full polarization, 3 = 3x3 approximation, 1 = scalar
           1
# number of wavelengths
           1
##################
# Wavelength (microns) 
       0.412000000
# CPU time for RT in sec(s) 
     0.199997425E-02
#         sza               vza              vaa              theta              I                 dI
      60.000000000       0.000000000       0.000000000     120.000000000  -32767.973612855       0.000000000
      60.000000000       0.000000000      90.000000000     120.000000000  -32767.973612855       0.000000000
      60.000000000       0.000000000     180.000000000     120.000000000  -32767.973612855       0.000000000
      60.000000000       1.000000000       0.000000000     119.000000000  -32767.973714276       0.000000000
      60.000000000       1.000000000      90.000000000     119.994961924  -32767.973609130       0.000000000
      60.000000000       1.000000000     180.000000000     121.000000000  -32767.973495142       0.000000000
      60.000000000       2.000000000       0.000000000     118.000000000  -32767.973800962       0.000000000
      60.000000000       2.000000000      90.000000000     119.979850765  -32767.973597952       0.000000000
      60.000000000       2.000000000     180.000000000     122.000000000  -32767.973359573       0.000000000
      60.000000000       3.000000000       0.000000000     117.000000000  -32767.973874432       0.000000000
      60.000000000       3.000000000      90.000000000     119.954675720  -32767.973579311       0.000000000
      60.000000000       3.000000000     180.000000000     123.000000000  -32767.973204602       0.000000000
      60.000000000       4.000000000       0.000000000     116.000000000  -32767.973936146       0.000000000
      60.000000000       4.000000000      90.000000000     119.919452093  -32767.973553193       0.000000000
      60.000000000       4.000000000     180.000000000     124.000000000  -32767.973028727       0.000000000
      60.000000000       5.000000000       0.000000000     115.000000000  -32767.973987475       0.000000000
      60.000000000       5.000000000      90.000000000     119.874201258  -32767.973519576       0.000000000
      60.000000000       5.000000000     180.000000000     125.000000000  -32767.972830516       0.000000000
      60.000000000       6.000000000       0.000000000     114.000000000  -32767.974029676       0.000000000
      60.000000000       6.000000000      90.000000000     119.818950607  -32767.973478430       0.000000000
      60.000000000       6.000000000     180.000000000     126.000000000  -32767.972608627       0.000000000
      60.000000000       7.000000000       0.000000000     113.000000000  -32767.974063870       0.000000000
      60.000000000       7.000000000      90.000000000     119.753733483  -32767.973429723       0.000000000
      60.000000000       7.000000000     180.000000000     127.000000000  -32767.972361834       0.000000000
      60.000000000       8.000000000       0.000000000     112.000000000  -32767.974091017       0.000000000
      60.000000000       8.000000000      90.000000000     119.678589103  -32767.973373410       0.000000000
      60.000000000       8.000000000     180.000000000     128.000000000  -32767.972089044       0.000000000
      60.000000000       9.000000000       0.000000000     111.000000000  -32767.974111897       0.000000000
      60.000000000       9.000000000      90.000000000     119.593562462  -32767.973309442       0.000000000
      60.000000000       9.000000000     180.000000000     129.000000000  -32767.971789313       0.000000000
      60.000000000      10.000000000       0.000000000     110.000000000  -32767.974127092       0.000000000
      60.000000000      10.000000000      90.000000000     119.498704231  -32767.973237763       0.000000000
      60.000000000      10.000000000     180.000000000     130.000000000  -32767.971461866       0.000000000
      60.000000000      11.000000000       0.000000000     109.000000000  -32767.974136967       0.000000000
      60.000000000      11.000000000      90.000000000     119.394070634  -32767.973158306       0.000000000
      60.000000000      11.000000000     180.000000000     131.000000000  -32767.971106103       0.000000000
      60.000000000      12.000000000       0.000000000     108.000000000  -32767.974141665       0.000000000
      60.000000000      12.000000000      90.000000000     119.279723324  -32767.973070997       0.000000000
      60.000000000      12.000000000     180.000000000     132.000000000  -32767.970721614       0.000000000
      60.000000000      13.000000000       0.000000000     107.000000000  -32767.974141086       0.000000000
      60.000000000      13.000000000      90.000000000     119.155729238  -32767.972975752       0.000000000
      60.000000000      13.000000000     180.000000000     133.000000000  -32767.970308180       0.000000000
      60.000000000      14.000000000       0.000000000     106.000000000  -32767.974134890       0.000000000
      60.000000000      14.000000000      90.000000000     119.022160452  -32767.972872477       0.000000000
      60.000000000      14.000000000     180.000000000     134.000000000  -32767.969865779       0.000000000
      60.000000000      15.000000000       0.000000000     105.000000000  -32767.974122489       0.000000000
      60.000000000      15.000000000      90.000000000     118.879094017  -32767.972761069       0.000000000
      60.000000000      15.000000000     180.000000000     135.000000000  -32767.969394586       0.000000000
      60.000000000      16.000000000       0.000000000     104.000000000  -32767.974103050       0.000000000
      60.000000000      16.000000000      90.000000000     118.726611796  -32767.972641412       0.000000000
      60.000000000      16.000000000     180.000000000     136.000000000  -32767.968894968       0.000000000
      60.000000000      17.000000000       0.000000000     103.000000000  -32767.974075495       0.000000000
      60.000000000      17.000000000      90.000000000     118.564800285  -32767.972513379       0.000000000
      60.000000000      17.000000000     180.000000000     137.000000000  -32767.968367479       0.000000000
      60.000000000      18.000000000       0.000000000     102.000000000  -32767.974038512       0.000000000
      60.000000000      18.000000000      90.000000000     118.393750435  -32767.972376831       0.000000000
      60.000000000      18.000000000     180.000000000     138.000000000  -32767.967812852       0.000000000
      60.000000000      19.000000000       0.000000000     101.000000000  -32767.973990564       0.000000000
      60.000000000      19.000000000      90.000000000     118.213557466  -32767.972231616       0.000000000
      60.000000000      19.000000000     180.000000000     139.000000000  -32767.967231983       0.000000000
      60.000000000      20.000000000       0.000000000     100.000000000  -32767.973929903       0.000000000
      60.000000000      20.000000000      90.000000000     118.024320674  -32767.972077569       0.000000000
      60.000000000      20.000000000     180.000000000     140.000000000  -32767.966625920       0.000000000
      60.000000000      21.000000000       0.000000000      99.000000000  -32767.973854590       0.000000000
      60.000000000      21.000000000      90.000000000     117.826143233  -32767.971914508       0.000000000
      60.000000000      21.000000000     180.000000000     141.000000000  -32767.965995843       0.000000000
      60.000000000      22.000000000       0.000000000      98.000000000  -32767.973762509       0.000000000
      60.000000000      22.000000000      90.000000000     117.619132006  -32767.971742240       0.000000000
      60.000000000      22.000000000     180.000000000     142.000000000  -32767.965343046       0.000000000
      60.000000000      23.000000000       0.000000000      97.000000000  -32767.973651396       0.000000000
      60.000000000      23.000000000      90.000000000     117.403397336  -32767.971560552       0.000000000
      60.000000000      23.000000000     180.000000000     143.000000000  -32767.964668912       0.000000000
      60.000000000      24.000000000       0.000000000      96.000000000  -32767.973518862       0.000000000
      60.000000000      24.000000000      90.000000000     117.179052852  -32767.971369217       0.000000000
      60.000000000      24.000000000     180.000000000     144.000000000  -32767.963974894       0.000000000
      60.000000000      25.000000000       0.000000000      95.000000000  -32767.973362420       0.000000000
      60.000000000      25.000000000      90.000000000     116.946215263  -32767.971167990       0.000000000
      60.000000000      25.000000000     180.000000000     145.000000000  -32767.963262488       0.000000000
      60.000000000      26.000000000       0.000000000      94.000000000  -32767.973179514       0.000000000
      60.000000000      26.000000000      90.000000000     116.705004161  -32767.970956609       0.000000000
      60.000000000      26.000000000     180.000000000     146.000000000  -32767.962533206       0.000000000
