# ARTDECO : output file
# Radiances at the top of the atmosphere
#   
# Result given for each geometry
# sza : solar zenith angle(s) (degree)
# vza : view  zenith angle(s) (degree)
# vaa : view azimuthal angle(s) (degree)
#
# total number of geometries
         270
# nsza, nvza, nvaa
           1          90           3
# number of elements of the Stokes vector
# 4 = full polarization, 3 = 3x3 approximation, 1 = scalar
           1
# number of wavelengths
           1
##################
# Wavelength (microns) 
       0.412000000
# CPU time for RT in sec(s) 
     0.199997425E-02
#         sza               vza              vaa              theta              I                 dI
      60.000000000       0.000000000       0.000000000     120.000000000       0.026404018       0.000000000
      60.000000000       0.000000000      90.000000000     120.000000000       0.026404018       0.000000000
      60.000000000       0.000000000     180.000000000     120.000000000       0.026404018       0.000000000
      60.000000000       1.000000000       0.000000000     119.000000000       0.026248183       0.000000000
      60.000000000       1.000000000      90.000000000     119.994961924       0.026407469       0.000000000
      60.000000000       1.000000000     180.000000000     121.000000000       0.026576320       0.000000000
      60.000000000       2.000000000       0.000000000     118.000000000       0.026107153       0.000000000
      60.000000000       2.000000000      90.000000000     119.979850765       0.026417828       0.000000000
      60.000000000       2.000000000     180.000000000     122.000000000       0.026763483       0.000000000
      60.000000000       3.000000000       0.000000000     117.000000000       0.025981401       0.000000000
      60.000000000       3.000000000      90.000000000     119.954675720       0.026435101       0.000000000
      60.000000000       3.000000000     180.000000000     123.000000000       0.026965188       0.000000000
      60.000000000       4.000000000       0.000000000     116.000000000       0.025870895       0.000000000
      60.000000000       4.000000000      90.000000000     119.919452093       0.026459302       0.000000000
      60.000000000       4.000000000     180.000000000     124.000000000       0.027182290       0.000000000
      60.000000000       5.000000000       0.000000000     115.000000000       0.025776381       0.000000000
      60.000000000       5.000000000      90.000000000     119.874201258       0.026490455       0.000000000
      60.000000000       5.000000000     180.000000000     125.000000000       0.027416350       0.000000000
      60.000000000       6.000000000       0.000000000     114.000000000       0.025694856       0.000000000
      60.000000000       6.000000000      90.000000000     119.818950607       0.026528582       0.000000000
      60.000000000       6.000000000     180.000000000     126.000000000       0.027666304       0.000000000
      60.000000000       7.000000000       0.000000000     113.000000000       0.025625974       0.000000000
      60.000000000       7.000000000      90.000000000     119.753733483       0.026573720       0.000000000
      60.000000000       7.000000000     180.000000000     127.000000000       0.027930163       0.000000000
      60.000000000       8.000000000       0.000000000     112.000000000       0.025569561       0.000000000
      60.000000000       8.000000000      90.000000000     119.678589103       0.026625906       0.000000000
      60.000000000       8.000000000     180.000000000     128.000000000       0.028210668       0.000000000
      60.000000000       9.000000000       0.000000000     111.000000000       0.025524247       0.000000000
      60.000000000       9.000000000      90.000000000     119.593562462       0.026685187       0.000000000
      60.000000000       9.000000000     180.000000000     129.000000000       0.028509157       0.000000000
      60.000000000      10.000000000       0.000000000     110.000000000       0.025492721       0.000000000
      60.000000000      10.000000000      90.000000000     119.498704231       0.026751620       0.000000000
      60.000000000      10.000000000     180.000000000     130.000000000       0.028824890       0.000000000
      60.000000000      11.000000000       0.000000000     109.000000000       0.025475821       0.000000000
      60.000000000      11.000000000      90.000000000     119.394070634       0.026825272       0.000000000
      60.000000000      11.000000000     180.000000000     131.000000000       0.029159411       0.000000000
      60.000000000      12.000000000       0.000000000     108.000000000       0.025474452       0.000000000
      60.000000000      12.000000000      90.000000000     119.279723324       0.026906216       0.000000000
      60.000000000      12.000000000     180.000000000     132.000000000       0.029512659       0.000000000
      60.000000000      13.000000000       0.000000000     107.000000000       0.025485319       0.000000000
      60.000000000      13.000000000      90.000000000     119.155729238       0.026994532       0.000000000
      60.000000000      13.000000000     180.000000000     133.000000000       0.029885170       0.000000000
      60.000000000      14.000000000       0.000000000     106.000000000       0.025509186       0.000000000
      60.000000000      14.000000000      90.000000000     119.022160452       0.027090301       0.000000000
      60.000000000      14.000000000     180.000000000     134.000000000       0.030277640       0.000000000
      60.000000000      15.000000000       0.000000000     105.000000000       0.025549758       0.000000000
      60.000000000      15.000000000      90.000000000     118.879094017       0.027193606       0.000000000
      60.000000000      15.000000000     180.000000000     135.000000000       0.030692501       0.000000000
      60.000000000      16.000000000       0.000000000     104.000000000       0.025607851       0.000000000
      60.000000000      16.000000000      90.000000000     118.726611796       0.027304540       0.000000000
      60.000000000      16.000000000     180.000000000     136.000000000       0.031133658       0.000000000
      60.000000000      17.000000000       0.000000000     103.000000000       0.025683532       0.000000000
      60.000000000      17.000000000      90.000000000     118.564800285       0.027423216       0.000000000
      60.000000000      17.000000000     180.000000000     137.000000000       0.031602791       0.000000000
      60.000000000      18.000000000       0.000000000     102.000000000       0.025776029       0.000000000
      60.000000000      18.000000000      90.000000000     118.393750435       0.027549780       0.000000000
      60.000000000      18.000000000     180.000000000     138.000000000       0.032103886       0.000000000
      60.000000000      19.000000000       0.000000000     101.000000000       0.025887377       0.000000000
      60.000000000      19.000000000      90.000000000     118.213557466       0.027684411       0.000000000
      60.000000000      19.000000000     180.000000000     139.000000000       0.032638077       0.000000000
      60.000000000      20.000000000       0.000000000     100.000000000       0.026015377       0.000000000
      60.000000000      20.000000000      90.000000000     118.024320674       0.027827307       0.000000000
      60.000000000      20.000000000     180.000000000     140.000000000       0.033210398       0.000000000
      60.000000000      21.000000000       0.000000000      99.000000000       0.026162105       0.000000000
      60.000000000      21.000000000      90.000000000     117.826143233       0.027978678       0.000000000
      60.000000000      21.000000000     180.000000000     141.000000000       0.033825857       0.000000000
      60.000000000      22.000000000       0.000000000      98.000000000       0.026329632       0.000000000
