# ARTDECO : output file
# Radiances at the top of the atmosphere
#
# The single scattering intensity correction was not apply
#
# Result given for each geometry
# sza : solar zenith angle(s) (degree)
# vza : view  zenith angle(s) (degree)
# vaa : view azimuthal angle(s) (degree)
#
# total number of geometries
         270
# nsza, nvza, nvaa
           1          90           3
# number of elements of the Stokes vector
# 4 = full polarization, 3 = 3x3 approximation, 1 = scalar
           1
# number of wavelengths
           1
##################
# Wavelength (microns) 
       0.412000000
# CPU time for RT in sec(s) 
     0.272658539E+01
#         sza               vza              vaa              theta              I                 dI
      60.000000000       0.000000000       0.000000000     120.000000000       0.026278120       0.000000000
      60.000000000       0.000000000      90.000000000     120.000000000       0.026278120       0.000000000
      60.000000000       0.000000000     180.000000000     120.000000000       0.026278120       0.000000000
      60.000000000       1.000000000       0.000000000     119.000000000       0.026138369       0.000000000
      60.000000000       1.000000000      90.000000000     119.994961924       0.026281234       0.000000000
      60.000000000       1.000000000     180.000000000     121.000000000       0.026508934       0.000000000
      60.000000000       2.000000000       0.000000000     118.000000000       0.026079748       0.000000000
      60.000000000       2.000000000      90.000000000     119.979850765       0.026290594       0.000000000
      60.000000000       2.000000000     180.000000000     122.000000000       0.026789672       0.000000000
      60.000000000       3.000000000       0.000000000     117.000000000       0.026047386       0.000000000
      60.000000000       3.000000000      90.000000000     119.954675720       0.026306264       0.000000000
      60.000000000       3.000000000     180.000000000     123.000000000       0.027056057       0.000000000
      60.000000000       4.000000000       0.000000000     116.000000000       0.025977852       0.000000000
      60.000000000       4.000000000      90.000000000     119.919452093       0.026328352       0.000000000
      60.000000000       4.000000000     180.000000000     124.000000000       0.027263846       0.000000000
      60.000000000       5.000000000       0.000000000     115.000000000       0.025841635       0.000000000
      60.000000000       5.000000000      90.000000000     119.874201258       0.026357009       0.000000000
      60.000000000       5.000000000     180.000000000     125.000000000       0.027418404       0.000000000
      60.000000000       6.000000000       0.000000000     114.000000000       0.025663243       0.000000000
      60.000000000       6.000000000      90.000000000     119.818950607       0.026392428       0.000000000
      60.000000000       6.000000000     180.000000000     126.000000000       0.027571058       0.000000000
      60.000000000       7.000000000       0.000000000     113.000000000       0.025505136       0.000000000
      60.000000000       7.000000000      90.000000000     119.753733483       0.026434827       0.000000000
      60.000000000       7.000000000     180.000000000     127.000000000       0.027784805       0.000000000
      60.000000000       8.000000000       0.000000000     112.000000000       0.025425828       0.000000000
      60.000000000       8.000000000      90.000000000     119.678589103       0.026484443       0.000000000
      60.000000000       8.000000000     180.000000000     128.000000000       0.028092318       0.000000000
      60.000000000       9.000000000       0.000000000     111.000000000       0.025440054       0.000000000
      60.000000000       9.000000000      90.000000000     119.593562462       0.026541527       0.000000000
      60.000000000       9.000000000     180.000000000     129.000000000       0.028474308       0.000000000
      60.000000000      10.000000000       0.000000000     110.000000000       0.025507945       0.000000000
      60.000000000      10.000000000      90.000000000     119.498704231       0.026606347       0.000000000
      60.000000000      10.000000000     180.000000000     130.000000000       0.028872715       0.000000000
      60.000000000      11.000000000       0.000000000     109.000000000       0.025561089       0.000000000
      60.000000000      11.000000000      90.000000000     119.394070634       0.026679198       0.000000000
      60.000000000      11.000000000     180.000000000     131.000000000       0.029230013       0.000000000
      60.000000000      12.000000000       0.000000000     108.000000000       0.025548592       0.000000000
      60.000000000      12.000000000      90.000000000     119.279723324       0.026760416       0.000000000
      60.000000000      12.000000000     180.000000000     132.000000000       0.029528449       0.000000000
      60.000000000      13.000000000       0.000000000     107.000000000       0.025472386       0.000000000
      60.000000000      13.000000000      90.000000000     119.155729238       0.026850373       0.000000000
      60.000000000      13.000000000     180.000000000     133.000000000       0.029802989       0.000000000
      60.000000000      14.000000000       0.000000000     106.000000000       0.025387612       0.000000000
      60.000000000      14.000000000      90.000000000     119.022160452       0.026949464       0.000000000
      60.000000000      14.000000000     180.000000000     134.000000000       0.030119109       0.000000000
      60.000000000      15.000000000       0.000000000     105.000000000       0.025366915       0.000000000
      60.000000000      15.000000000      90.000000000     118.879094017       0.027058079       0.000000000
      60.000000000      15.000000000     180.000000000     135.000000000       0.030530012       0.000000000
      60.000000000      16.000000000       0.000000000     104.000000000       0.025451911       0.000000000
      60.000000000      16.000000000      90.000000000     118.726611796       0.027176567       0.000000000
      60.000000000      16.000000000     180.000000000     136.000000000       0.031041741       0.000000000
      60.000000000      17.000000000       0.000000000     103.000000000       0.025624375       0.000000000
      60.000000000      17.000000000      90.000000000     118.564800285       0.027305214       0.000000000
      60.000000000      17.000000000     180.000000000     137.000000000       0.031609733       0.000000000
      60.000000000      18.000000000       0.000000000     102.000000000       0.025817268       0.000000000
      60.000000000      18.000000000      90.000000000     118.393750435       0.027444217       0.000000000
      60.000000000      18.000000000     180.000000000     138.000000000       0.032169711       0.000000000
      60.000000000      19.000000000       0.000000000     101.000000000       0.025959317       0.000000000
      60.000000000      19.000000000      90.000000000     118.213557466       0.027593676       0.000000000
      60.000000000      19.000000000     180.000000000     139.000000000       0.032682919       0.000000000
      60.000000000      20.000000000       0.000000000     100.000000000       0.026023905       0.000000000
      60.000000000      20.000000000      90.000000000     118.024320674       0.027753584       0.000000000
      60.000000000      20.000000000     180.000000000     140.000000000       0.033165723       0.000000000
      60.000000000      21.000000000       0.000000000      99.000000000       0.026049177       0.000000000
      60.000000000      21.000000000      90.000000000     117.826143233       0.027923814       0.000000000
      60.000000000      21.000000000     180.000000000     141.000000000       0.033683307       0.000000000
      60.000000000      22.000000000       0.000000000      98.000000000       0.026114699       0.000000000
      60.000000000      22.000000000      90.000000000     117.619132006       0.028104098       0.000000000
      60.000000000      22.000000000     180.000000000     142.000000000       0.034310422       0.000000000
      60.000000000      23.000000000       0.000000000      97.000000000       0.026289033       0.000000000
      60.000000000      23.000000000      90.000000000     117.403397336       0.028294002       0.000000000
      60.000000000      23.000000000     180.000000000     143.000000000       0.035083780       0.000000000
      60.000000000      24.000000000       0.000000000      96.000000000       0.026582879       0.000000000
      60.000000000      24.000000000      90.000000000     117.179052852       0.028492926       0.000000000
      60.000000000      24.000000000     180.000000000     144.000000000       0.035976495       0.000000000
      60.000000000      25.000000000       0.000000000      95.000000000       0.026939958       0.000000000
      60.000000000      25.000000000      90.000000000     116.946215263       0.028700112       0.000000000
      60.000000000      25.000000000     180.000000000     145.000000000       0.036911027       0.000000000
      60.000000000      26.000000000       0.000000000      94.000000000       0.027273372       0.000000000
      60.000000000      26.000000000      90.000000000     116.705004161       0.028914692       0.000000000
      60.000000000      26.000000000     180.000000000     146.000000000       0.037802336       0.000000000
      60.000000000      27.000000000       0.000000000      93.000000000       0.027524486       0.000000000
      60.000000000      27.000000000      90.000000000     116.455541824       0.029135756       0.000000000
      60.000000000      27.000000000     180.000000000     147.000000000       0.038603601       0.000000000
      60.000000000      28.000000000       0.000000000      92.000000000       0.027705057       0.000000000
      60.000000000      28.000000000      90.000000000     116.197953011       0.029362441       0.000000000
      60.000000000      28.000000000     180.000000000     148.000000000       0.039325580       0.000000000
      60.000000000      29.000000000       0.000000000      91.000000000       0.027893053       0.000000000
      60.000000000      29.000000000      90.000000000     115.932364776       0.029594025       0.000000000
      60.000000000      29.000000000     180.000000000     149.000000000       0.040018401       0.000000000
      60.000000000      30.000000000       0.000000000      90.000000000       0.028182879       0.000000000
      60.000000000      30.000000000      90.000000000     115.658906273       0.029830027       0.000000000
      60.000000000      30.000000000     180.000000000     150.000000000       0.040729545       0.000000000
      60.000000000      31.000000000       0.000000000      89.000000000       0.028621925       0.000000000
      60.000000000      31.000000000      90.000000000     115.377708569       0.030070310       0.000000000
      60.000000000      31.000000000     180.000000000     151.000000000       0.041467477       0.000000000
      60.000000000      32.000000000       0.000000000      88.000000000       0.029176232       0.000000000
      60.000000000      32.000000000      90.000000000     115.088904462       0.030315183       0.000000000
      60.000000000      32.000000000     180.000000000     152.000000000       0.042196202       0.000000000
      60.000000000      33.000000000       0.000000000      87.000000000       0.029750309       0.000000000
      60.000000000      33.000000000      90.000000000     114.792628303       0.030565497       0.000000000
      60.000000000      33.000000000     180.000000000     153.000000000       0.042864654       0.000000000
      60.000000000      34.000000000       0.000000000      86.000000000       0.030250337       0.000000000
      60.000000000      34.000000000      90.000000000     114.489015821       0.030822730       0.000000000
      60.000000000      34.000000000     180.000000000     154.000000000       0.043450427       0.000000000
      60.000000000      35.000000000       0.000000000      85.000000000       0.030649725       0.000000000
      60.000000000      35.000000000      90.000000000     114.178203960       0.031089022       0.000000000
      60.000000000      35.000000000     180.000000000     155.000000000       0.043986592       0.000000000
      60.000000000      36.000000000       0.000000000      84.000000000       0.031012132       0.000000000
      60.000000000      36.000000000      90.000000000     113.860330715       0.031367142       0.000000000
      60.000000000      36.000000000     180.000000000     156.000000000       0.044550873       0.000000000
      60.000000000      37.000000000       0.000000000      83.000000000       0.031453730       0.000000000
      60.000000000      37.000000000      90.000000000     113.535534978       0.031660390       0.000000000
      60.000000000      37.000000000     180.000000000     157.000000000       0.045221890       0.000000000
      60.000000000      38.000000000       0.000000000      82.000000000       0.032067113       0.000000000
      60.000000000      38.000000000      90.000000000     113.203956389       0.031972398       0.000000000
      60.000000000      38.000000000     180.000000000     158.000000000       0.046030575       0.000000000
      60.000000000      39.000000000       0.000000000      81.000000000       0.032856931       0.000000000
      60.000000000      39.000000000      90.000000000     112.865735196       0.032306879       0.000000000
      60.000000000      39.000000000     180.000000000     159.000000000       0.046940126       0.000000000
      60.000000000      40.000000000       0.000000000      80.000000000       0.033732323       0.000000000
      60.000000000      40.000000000      90.000000000     112.521012118       0.032667323       0.000000000
      60.000000000      40.000000000     180.000000000     160.000000000       0.047870414       0.000000000
      60.000000000      41.000000000       0.000000000      79.000000000       0.034564972       0.000000000
      60.000000000      41.000000000      90.000000000     112.169928217       0.033056676       0.000000000
      60.000000000      41.000000000     180.000000000     161.000000000       0.048753236       0.000000000
      60.000000000      42.000000000       0.000000000      78.000000000       0.035277038       0.000000000
      60.000000000      42.000000000      90.000000000     111.812624777       0.033477034       0.000000000
      60.000000000      42.000000000     180.000000000     162.000000000       0.049582693       0.000000000
      60.000000000      43.000000000       0.000000000      77.000000000       0.035900244       0.000000000
      60.000000000      43.000000000      90.000000000     111.449243191       0.033929371       0.000000000
      60.000000000      43.000000000     180.000000000     163.000000000       0.050425657       0.000000000
