#
# Recomposed optical properties out of ARTDEC
#
# Used model for truncation was:
 dm
# number of wavelengths
           1
#      lambda         nBl   nangle   Trunc. Coeff.     sumF11    Cext        SSA              g  
     0.412000000E+00     48   1900     0.915482375E-01     0.200008610E+01     0.100000000E+01     0.100000000E+01    -0.327680000E+05
# Phase matrix
# lambda =      0.4120
#         u                 F11                F22              F33               F44               F21               F34
    -0.100000000E+01     0.649156689E+00     0.520163105E+00    -0.520163105E+00    -0.402085275E+00     0.000000000E+00     0.000000000E+00
    -0.999998630E+00     0.649177399E+00     0.519955617E+00    -0.519955556E+00    -0.401632331E+00     0.385510052E-04    -0.216960994E-04
    -0.999994530E+00     0.649239024E+00     0.519335539E+00    -0.519334577E+00    -0.400278264E+00     0.153816862E-03    -0.864659834E-04
    -0.999987680E+00     0.649340805E+00     0.518302474E+00    -0.518297595E+00    -0.398020856E+00     0.346041811E-03    -0.194144998E-03
    -0.999978100E+00     0.649480686E+00     0.516863800E+00    -0.516848403E+00    -0.394873987E+00     0.614135841E-03    -0.343621867E-03
    -0.999965790E+00     0.649656229E+00     0.515025577E+00    -0.514988069E+00    -0.390847781E+00     0.957363938E-03    -0.533793447E-03
    -0.999950740E+00     0.649864464E+00     0.512794069E+00    -0.512716458E+00    -0.385951931E+00     0.137506274E-02    -0.763407952E-03
    -0.999932950E+00     0.650101621E+00     0.510178709E+00    -0.510035262E+00    -0.380202199E+00     0.186608507E-02    -0.103076503E-02
    -0.999912420E+00     0.650363303E+00     0.507190549E+00    -0.506946487E+00    -0.373617057E+00     0.242908413E-02    -0.133388523E-02
    -0.999889160E+00     0.650644392E+00     0.503843646E+00    -0.503453956E+00    -0.366220779E+00     0.306224689E-02    -0.167038187E-02
    -0.999863160E+00     0.650939455E+00     0.500150678E+00    -0.499558808E+00    -0.358033787E+00     0.376411750E-02    -0.203791414E-02
    -0.999834430E+00     0.651242293E+00     0.496128636E+00    -0.495265503E+00    -0.349085267E+00     0.453251472E-02    -0.243362789E-02
    -0.999802950E+00     0.651546527E+00     0.491791711E+00    -0.490574352E+00    -0.339397413E+00     0.536588098E-02    -0.285487277E-02
    -0.999768750E+00     0.651844843E+00     0.487162310E+00    -0.485493449E+00    -0.329010036E+00     0.626116375E-02    -0.329814262E-02
    -0.999731800E+00     0.652130073E+00     0.482255886E+00    -0.480022299E+00    -0.317946689E+00     0.721672729E-02    -0.376056016E-02
    -0.999692120E+00     0.652394264E+00     0.477095802E+00    -0.474168179E+00    -0.306248038E+00     0.822947427E-02    -0.423846627E-02
    -0.999649710E+00     0.652629344E+00     0.471703748E+00    -0.467935732E+00    -0.293950426E+00     0.929668885E-02    -0.472835641E-02
    -0.999604550E+00     0.652827067E+00     0.466099932E+00    -0.461327035E+00    -0.281086200E+00     0.104160110E-01    -0.522685967E-02
    -0.999556660E+00     0.652978790E+00     0.460310466E+00    -0.454350389E+00    -0.267700703E+00     0.115839539E-01    -0.573009847E-02
    -0.999506040E+00     0.653075855E+00     0.454359662E+00    -0.447011512E+00    -0.253834756E+00     0.127974212E-01    -0.623440603E-02
    -0.999452680E+00     0.653109517E+00     0.448271375E+00    -0.439315051E+00    -0.239527691E+00     0.140534427E-01    -0.673621047E-02
    -0.999396590E+00     0.653070984E+00     0.442072341E+00    -0.431268916E+00    -0.224825254E+00     0.153484767E-01    -0.723177890E-02
    -0.999337760E+00     0.652951492E+00     0.435787509E+00    -0.422878522E+00    -0.209768715E+00     0.166793616E-01    -0.771762275E-02
    -0.999276190E+00     0.652742357E+00     0.429443331E+00    -0.414151110E+00    -0.194402707E+00     0.180426227E-01    -0.819024754E-02
    -0.999211890E+00     0.652435096E+00     0.423067473E+00    -0.405095714E+00    -0.178774732E+00     0.194345072E-01    -0.864621074E-02
    -0.999144860E+00     0.652021423E+00     0.416686628E+00    -0.395720326E+00    -0.162929989E+00     0.208514387E-01    -0.908230378E-02
    -0.999075090E+00     0.651493229E+00     0.410326601E+00    -0.386031944E+00    -0.146911519E+00     0.222900038E-01    -0.949555027E-02
    -0.999002590E+00     0.650842865E+00     0.404014957E+00    -0.376040750E+00    -0.130766961E+00     0.237463418E-01    -0.988305197E-02
    -0.998927350E+00     0.650062888E+00     0.397777256E+00    -0.365754555E+00    -0.114539185E+00     0.252169807E-01    -0.102422514E-01
    -0.998849380E+00     0.649146470E+00     0.391640429E+00    -0.355184313E+00    -0.982750325E-01     0.266980457E-01    -0.105707420E-01
    -0.998768670E+00     0.648087041E+00     0.385629347E+00    -0.344338652E+00    -0.820165141E-01     0.281860519E-01    -0.108664821E-01
    -0.998685230E+00     0.646878796E+00     0.379769862E+00    -0.333229299E+00    -0.658089903E-01     0.296771559E-01    -0.111276470E-01
    -0.998599060E+00     0.645516388E+00     0.374086362E+00    -0.321867011E+00    -0.496947856E-01     0.311677342E-01    -0.113527720E-01
    -0.998510160E+00     0.643995072E+00     0.368602475E+00    -0.310262937E+00    -0.337151549E-01     0.326542014E-01    -0.115407244E-01
    -0.998418520E+00     0.642310560E+00     0.363340417E+00    -0.298427330E+00    -0.179084470E-01     0.341331791E-01    -0.116907326E-01
    -0.998324150E+00     0.640459592E+00     0.358322640E+00    -0.286373422E+00    -0.231517271E-02     0.356010193E-01    -0.118023487E-01
    -0.998227050E+00     0.638439454E+00     0.353569912E+00    -0.274113513E+00     0.130274856E-01     0.370543128E-01    -0.118755193E-01
    -0.998127220E+00     0.636248164E+00     0.349101871E+00    -0.261660270E+00     0.280839670E-01     0.384897293E-01    -0.119105706E-01
    -0.998024650E+00     0.633884260E+00     0.344936551E+00    -0.249025499E+00     0.428218513E-01     0.399041614E-01    -0.119082123E-01
    -0.997919350E+00     0.631347504E+00     0.341091551E+00    -0.236223837E+00     0.572076226E-01     0.412943167E-01    -0.118695404E-01
    -0.997811330E+00     0.628638485E+00     0.337582943E+00    -0.223270199E+00     0.712099954E-01     0.426570317E-01    -0.117960545E-01
    -0.997700570E+00     0.625757831E+00     0.334424418E+00    -0.210176236E+00     0.848035757E-01     0.439896316E-01    -0.116896204E-01
    -0.997587080E+00     0.622707717E+00     0.331629176E+00    -0.196957524E+00     0.979611629E-01     0.452891809E-01    -0.115525068E-01
    -0.997470860E+00     0.619490871E+00     0.329208535E+00    -0.183628727E+00     0.110659074E+00     0.465530009E-01    -0.113873543E-01
    -0.997351910E+00     0.616110816E+00     0.327172230E+00    -0.170204793E+00     0.122875869E+00     0.477785469E-01    -0.111971712E-01
    -0.997230230E+00     0.612571857E+00     0.325528372E+00    -0.156700937E+00     0.134592403E+00     0.489634142E-01    -0.109853214E-01
    -0.997105820E+00     0.608879073E+00     0.324283421E+00    -0.143132618E+00     0.145791854E+00     0.501053432E-01    -0.107555103E-01
    -0.996978680E+00     0.605038294E+00     0.323442156E+00    -0.129515519E+00     0.156459759E+00     0.512022239E-01    -0.105117676E-01
    -0.996848810E+00     0.601056077E+00     0.323007663E+00    -0.115865526E+00     0.166584019E+00     0.522521006E-01    -0.102584285E-01
    -0.996716220E+00     0.596939996E+00     0.322981308E+00    -0.102199728E+00     0.176154218E+00     0.532531019E-01    -0.100001313E-01
    -0.996580900E+00     0.592697677E+00     0.323362716E+00    -0.885332805E-01     0.185163797E+00     0.542036727E-01    -0.974173527E-02
    -0.996442850E+00     0.588337684E+00     0.324149858E+00    -0.748825325E-01     0.193607736E+00     0.551023369E-01    -0.948835382E-02
    -0.996302070E+00     0.583869180E+00     0.325339015E+00    -0.612639322E-01     0.201483334E+00     0.559477824E-01    -0.924530818E-02
    -0.996158570E+00     0.579302199E+00     0.326924672E+00    -0.476949351E-01     0.208789681E+00     0.567388094E-01    -0.901811321E-02
    -0.996012340E+00     0.574646649E+00     0.328899868E+00    -0.341911258E-01     0.215529166E+00     0.574744984E-01    -0.881239805E-02
    -0.995863380E+00     0.569913212E+00     0.331255955E+00    -0.207690786E-01     0.221705759E+00     0.581540326E-01    -0.863392597E-02
    -0.995711700E+00     0.565113297E+00     0.333982528E+00    -0.744621496E-02     0.227325189E+00     0.587767207E-01    -0.848855170E-02
    -0.995557290E+00     0.560258031E+00     0.337067995E+00     0.576187649E-02     0.232395994E+00     0.593421204E-01    -0.838215681E-02
    -0.995400160E+00     0.555359468E+00     0.340498919E+00     0.188379606E-01     0.236927946E+00     0.598498726E-01    -0.832065261E-02
    -0.995240310E+00     0.550429582E+00     0.344260632E+00     0.317658141E-01     0.240933052E+00     0.602998188E-01    -0.830991686E-02
    -0.995077730E+00     0.545480223E+00     0.348337383E+00     0.445301439E-01     0.244425255E+00     0.606919772E-01    -0.835577356E-02
    -0.994912420E+00     0.540523676E+00     0.352711940E+00     0.571150043E-01     0.247419836E+00     0.610264831E-01    -0.846395944E-02
    -0.994744400E+00     0.535572868E+00     0.357365307E+00     0.695032264E-01     0.249933344E+00     0.613035900E-01    -0.864005756E-02
    -0.994573650E+00     0.530639534E+00     0.362278459E+00     0.816809030E-01     0.251984398E+00     0.615237675E-01    -0.888951987E-02
    -0.994400180E+00     0.525736229E+00     0.367430525E+00     0.936322038E-01     0.253592435E+00     0.616875707E-01    -0.921756866E-02
    -0.994223990E+00     0.520875082E+00     0.372799974E+00     0.105342385E+00     0.254778221E+00     0.617957048E-01    -0.962920011E-02
    -0.994045080E+00     0.516068033E+00     0.378364436E+00     0.116797078E+00     0.255563547E+00     0.618490011E-01    -0.101291425E-01
    -0.993863440E+00     0.511326514E+00     0.384101120E+00     0.127982927E+00     0.255971118E+00     0.618484085E-01    -0.107218589E-01
    -0.993679090E+00     0.506662431E+00     0.389985644E+00     0.138885188E+00     0.256024348E+00     0.617949913E-01    -0.114113813E-01
    -0.993492020E+00     0.502086536E+00     0.395994035E+00     0.149491459E+00     0.255747358E+00     0.616899209E-01    -0.122014770E-01
    -0.993302230E+00     0.497609425E+00     0.402101575E+00     0.159789226E+00     0.255164732E+00     0.615344667E-01    -0.130954948E-01
    -0.993109720E+00     0.493241222E+00     0.408283219E+00     0.169766529E+00     0.254301419E+00     0.613299901E-01    -0.140963702E-01
    -0.992914490E+00     0.488991526E+00     0.414513704E+00     0.179411990E+00     0.253182593E+00     0.610779367E-01    -0.152066011E-01
    -0.992716540E+00     0.484869366E+00     0.420767657E+00     0.188714850E+00     0.251833526E+00     0.607798293E-01    -0.164282267E-01
    -0.992515880E+00     0.480883349E+00     0.427019391E+00     0.197664567E+00     0.250279537E+00     0.604372774E-01    -0.177627392E-01
    -0.992312500E+00     0.477041017E+00     0.433243956E+00     0.206252190E+00     0.248545638E+00     0.600519194E-01    -0.192112648E-01
    -0.992106410E+00     0.473349604E+00     0.439416002E+00     0.214468611E+00     0.246656714E+00     0.596254825E-01    -0.207742833E-01
    -0.991897590E+00     0.469815084E+00     0.445511388E+00     0.222306637E+00     0.244636967E+00     0.591596760E-01    -0.224519847E-01
    -0.991686070E+00     0.466443525E+00     0.451504938E+00     0.229757951E+00     0.242510562E+00     0.586563571E-01    -0.242436312E-01
    -0.991471830E+00     0.463239367E+00     0.457373454E+00     0.236816883E+00     0.240300546E+00     0.581172998E-01    -0.261483549E-01
    -0.991254880E+00     0.460206730E+00     0.463093511E+00     0.243477500E+00     0.238029532E+00     0.575443697E-01    -0.281644999E-01
    -0.991035220E+00     0.457348747E+00     0.468642694E+00     0.249735055E+00     0.235719197E+00     0.569394230E-01    -0.302899570E-01
    -0.990812840E+00     0.454667599E+00     0.473999635E+00     0.255585900E+00     0.233390194E+00     0.563042921E-01    -0.325221861E-01
    -0.990587750E+00     0.452164876E+00     0.479143375E+00     0.261026694E+00     0.231062375E+00     0.556408646E-01    -0.348579232E-01
    -0.990359950E+00     0.449841190E+00     0.484054198E+00     0.266055263E+00     0.228754406E+00     0.549509922E-01    -0.372934817E-01
    -0.990129440E+00     0.447696303E+00     0.488713450E+00     0.270670313E+00     0.226483798E+00     0.542365108E-01    -0.398246694E-01
    -0.989896220E+00     0.445729143E+00     0.493103618E+00     0.274871441E+00     0.224266848E+00     0.534992340E-01    -0.424468034E-01
    -0.989660290E+00     0.443937806E+00     0.497208394E+00     0.278659136E+00     0.222118586E+00     0.527409467E-01    -0.451547279E-01
    -0.989421650E+00     0.442319576E+00     0.501012741E+00     0.282034788E+00     0.220052727E+00     0.519633987E-01    -0.479428344E-01
    -0.989180300E+00     0.440870943E+00     0.504502947E+00     0.285000680E+00     0.218081642E+00     0.511682993E-01    -0.508050845E-01
    -0.988936250E+00     0.439587673E+00     0.507666557E+00     0.287559896E+00     0.216216394E+00     0.503573448E-01    -0.537349151E-01
    -0.988689490E+00     0.438464678E+00     0.510492811E+00     0.289716636E+00     0.214466491E+00     0.495321139E-01    -0.567256256E-01
    -0.988440020E+00     0.437496219E+00     0.512972258E+00     0.291475847E+00     0.212840117E+00     0.486941622E-01    -0.597700513E-01
    -0.988187850E+00     0.436675911E+00     0.515096863E+00     0.292843302E+00     0.211344100E+00     0.478450184E-01    -0.628605903E-01
    -0.987932980E+00     0.435996684E+00     0.516860227E+00     0.293825720E+00     0.209983782E+00     0.469861134E-01    -0.659894828E-01
    -0.987675400E+00     0.435450855E+00     0.518257534E+00     0.294430672E+00     0.208763069E+00     0.461187760E-01    -0.691488485E-01
    -0.987415120E+00     0.435030236E+00     0.519285386E+00     0.294666486E+00     0.207684589E+00     0.452443311E-01    -0.723303552E-01
