# ARTDECO : output file
# Radiances at the top of the atmosphere
#   
# Result given for each geometry
# sza : solar zenith angle(s) (degree)
# vza : view  zenith angle(s) (degree)
# vaa : view azimuthal angle(s) (degree)
#
# total number of geometries
         270
# nsza, nvza, nvaa
           1          90           3
# number of elements of the Stokes vector
# 4 = full polarization, 3 = 3x3 approximation, 1 = scalar
           1
# number of wavelengths
           1
##################
# Wavelength (microns) 
       0.412000000
# CPU time for RT in sec(s) 
     0.272658539E+01
#         sza               vza              vaa              theta              I                 dI
      60.000000000       0.000000000       0.000000000     120.000000000       0.026391762       0.000000000
      60.000000000       0.000000000      90.000000000     120.000000000       0.026391762       0.000000000
      60.000000000       0.000000000     180.000000000     120.000000000       0.026391762       0.000000000
      60.000000000       1.000000000       0.000000000     119.000000000       0.026236654       0.000000000
      60.000000000       1.000000000      90.000000000     119.994961924       0.026395002       0.000000000
      60.000000000       1.000000000     180.000000000     121.000000000       0.026562184       0.000000000
      60.000000000       2.000000000       0.000000000     118.000000000       0.026095459       0.000000000
      60.000000000       2.000000000      90.000000000     119.979850765       0.026404743       0.000000000
      60.000000000       2.000000000     180.000000000     122.000000000       0.026746960       0.000000000
      60.000000000       3.000000000       0.000000000     117.000000000       0.025968757       0.000000000
      60.000000000       3.000000000      90.000000000     119.954675720       0.026421048       0.000000000
      60.000000000       3.000000000     180.000000000     123.000000000       0.026946276       0.000000000
      60.000000000       4.000000000       0.000000000     116.000000000       0.025856907       0.000000000
      60.000000000       4.000000000      90.000000000     119.919452093       0.026444026       0.000000000
      60.000000000       4.000000000     180.000000000     124.000000000       0.027160996       0.000000000
      60.000000000       5.000000000       0.000000000     115.000000000       0.025760778       0.000000000
      60.000000000       5.000000000      90.000000000     119.874201258       0.026473526       0.000000000
      60.000000000       5.000000000     180.000000000     125.000000000       0.027392665       0.000000000
      60.000000000       6.000000000       0.000000000     114.000000000       0.025677553       0.000000000
      60.000000000       6.000000000      90.000000000     119.818950607       0.026509916       0.000000000
      60.000000000       6.000000000     180.000000000     126.000000000       0.027639870       0.000000000
      60.000000000       7.000000000       0.000000000     113.000000000       0.025606565       0.000000000
      60.000000000       7.000000000      90.000000000     119.753733483       0.026552953       0.000000000
      60.000000000       7.000000000     180.000000000     127.000000000       0.027900545       0.000000000
      60.000000000       8.000000000       0.000000000     112.000000000       0.025547143       0.000000000
      60.000000000       8.000000000      90.000000000     119.678589103       0.026602942       0.000000000
      60.000000000       8.000000000     180.000000000     128.000000000       0.028177179       0.000000000
      60.000000000       9.000000000       0.000000000     111.000000000       0.025498183       0.000000000
      60.000000000       9.000000000      90.000000000     119.593562462       0.026659894       0.000000000
      60.000000000       9.000000000     180.000000000     129.000000000       0.028471354       0.000000000
      60.000000000      10.000000000       0.000000000     110.000000000       0.025462216       0.000000000
      60.000000000      10.000000000      90.000000000     119.498704231       0.026723838       0.000000000
      60.000000000      10.000000000     180.000000000     130.000000000       0.028783005       0.000000000
      60.000000000      11.000000000       0.000000000     109.000000000       0.025440669       0.000000000
      60.000000000      11.000000000      90.000000000     119.394070634       0.026794841       0.000000000
      60.000000000      11.000000000     180.000000000     131.000000000       0.029113972       0.000000000
      60.000000000      12.000000000       0.000000000     108.000000000       0.025434980       0.000000000
      60.000000000      12.000000000      90.000000000     119.279723324       0.026873015       0.000000000
      60.000000000      12.000000000     180.000000000     132.000000000       0.029464690       0.000000000
      60.000000000      13.000000000       0.000000000     107.000000000       0.025442184       0.000000000
      60.000000000      13.000000000      90.000000000     119.155729238       0.026958522       0.000000000
      60.000000000      13.000000000     180.000000000     133.000000000       0.029835356       0.000000000
      60.000000000      14.000000000       0.000000000     106.000000000       0.025462834       0.000000000
      60.000000000      14.000000000      90.000000000     119.022160452       0.027051291       0.000000000
      60.000000000      14.000000000     180.000000000     134.000000000       0.030226432       0.000000000
      60.000000000      15.000000000       0.000000000     105.000000000       0.025499823       0.000000000
      60.000000000      15.000000000      90.000000000     118.879094017       0.027151747       0.000000000
      60.000000000      15.000000000     180.000000000     135.000000000       0.030640119       0.000000000
      60.000000000      16.000000000       0.000000000     104.000000000       0.025553617       0.000000000
      60.000000000      16.000000000      90.000000000     118.726611796       0.027259814       0.000000000
      60.000000000      16.000000000     180.000000000     136.000000000       0.031080033       0.000000000
      60.000000000      17.000000000       0.000000000     103.000000000       0.025624250       0.000000000
      60.000000000      17.000000000      90.000000000     118.564800285       0.027375808       0.000000000
      60.000000000      17.000000000     180.000000000     137.000000000       0.031548333       0.000000000
      60.000000000      18.000000000       0.000000000     102.000000000       0.025711494       0.000000000
      60.000000000      18.000000000      90.000000000     118.393750435       0.027499823       0.000000000
      60.000000000      18.000000000     180.000000000     138.000000000       0.032049199       0.000000000
      60.000000000      19.000000000       0.000000000     101.000000000       0.025817905       0.000000000
      60.000000000      19.000000000      90.000000000     118.213557466       0.027632004       0.000000000
      60.000000000      19.000000000     180.000000000     139.000000000       0.032584068       0.000000000
      60.000000000      20.000000000       0.000000000     100.000000000       0.025941609       0.000000000
      60.000000000      20.000000000      90.000000000     118.024320674       0.027772616       0.000000000
      60.000000000      20.000000000     180.000000000     140.000000000       0.033157513       0.000000000
      60.000000000      21.000000000       0.000000000      99.000000000       0.026084684       0.000000000
      60.000000000      21.000000000      90.000000000     117.826143233       0.027921899       0.000000000
      60.000000000      21.000000000     180.000000000     141.000000000       0.033773781       0.000000000
      60.000000000      22.000000000       0.000000000      98.000000000       0.026248524       0.000000000
      60.000000000      22.000000000      90.000000000     117.619132006       0.028080135       0.000000000
      60.000000000      22.000000000     180.000000000     142.000000000       0.034440741       0.000000000
      60.000000000      23.000000000       0.000000000      97.000000000       0.026432952       0.000000000
      60.000000000      23.000000000      90.000000000     117.403397336       0.028247574       0.000000000
      60.000000000      23.000000000     180.000000000     143.000000000       0.035162550       0.000000000
      60.000000000      24.000000000       0.000000000      96.000000000       0.026638654       0.000000000
      60.000000000      24.000000000      90.000000000     117.179052852       0.028424414       0.000000000
      60.000000000      24.000000000     180.000000000     144.000000000       0.035947223       0.000000000
      60.000000000      25.000000000       0.000000000      95.000000000       0.026864750       0.000000000
