#
# ARTDECO : Beta_l
#
# Used model for truncation was:
 dm
# number of wavelengths
           1
# wlambda(microns)     nBetal     Trunc. Coeff.     Cext      SSA              g 
     0.412000000E+00     48     0.915482375E-01     0.100000000E+01     0.100000000E+01    -0.327680000E+05
# Betal
# lambda =      0.4120
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.915016723E+00     0.000000000E+00     0.000000000E+00
      1     0.231559383E+01     0.000000000E+00     0.000000000E+00     0.237238083E+01     0.000000000E+00     0.000000000E+00
      2     0.337692848E+01     0.420647211E+01     0.400057090E+01     0.327528902E+01    -0.364973508E-01     0.638725723E-01
      3     0.359857039E+01     0.414959848E+01     0.418452394E+01     0.364093212E+01    -0.905497667E-01    -0.408466454E-01
      4     0.405691894E+01     0.437617799E+01     0.427426339E+01     0.400347822E+01    -0.227065661E-01     0.679322444E-01
      5     0.420025080E+01     0.440682634E+01     0.437858133E+01     0.418358345E+01    -0.668077182E-01    -0.974578254E-01
      6     0.449356546E+01     0.468394704E+01     0.466106317E+01     0.449802479E+01     0.466521230E-01     0.468248647E-01
      7     0.477157293E+01     0.481983707E+01     0.474897397E+01     0.472084559E+01    -0.527349229E-01    -0.111702595E+00
      8     0.495972399E+01     0.514507615E+01     0.514667665E+01     0.498006509E+01     0.587146076E-01    -0.106282028E-01
      9     0.520930807E+01     0.520111320E+01     0.515207340E+01     0.519238218E+01    -0.689775382E-02    -0.828741131E-01
     10     0.540754110E+01     0.557873986E+01     0.552910225E+01     0.538057664E+01     0.961405346E-02    -0.773403484E-01
     11     0.551908581E+01     0.550854481E+01     0.551421638E+01     0.555699773E+01     0.420506313E-01    -0.695487599E-01
     12     0.572219567E+01     0.586909557E+01     0.578274260E+01     0.566766782E+01    -0.242249714E-01    -0.998166005E-01
     13     0.574069831E+01     0.574057687E+01     0.575930121E+01     0.579189156E+01     0.548084785E-01    -0.976449526E-01
