# ARTDECO : output file
# Radiances at the top of the atmosphere
#   
# Result given for each geometry
# sza : solar zenith angle(s) (degree)
# vza : view  zenith angle(s) (degree)
# vaa : view azimuthal angle(s) (degree)
#
# total number of geometries
         270
# nsza, nvza, nvaa
           1          90           3
# number of elements of the Stokes vector
# 4 = full polarization, 3 = 3x3 approximation, 1 = scalar
           3
# number of wavelengths
           1
##################
# Wavelength (microns) 
       0.412000000
# CPU time for RT in sec(s) 
     0.553575821E+02
#         sza               vza              vaa               theta              I                 Q                U                 dI                dQ                dU              Polar. (%)
      60.000000000       0.000000000       0.000000000     120.000000000       0.025763486      -0.010746599      -0.000000000       0.000000000       0.000000000       0.000000000      41.712521194
      60.000000000       0.000000000      90.000000000     120.000000000       0.025763486       0.010746599      -0.000000000       0.000000000       0.000000000       0.000000000      41.712521194
      60.000000000       0.000000000     180.000000000     120.000000000       0.025763486      -0.010746599       0.000000000       0.000000000       0.000000000       0.000000000      41.712521194
      60.000000000       1.000000000       0.000000000     119.000000000       0.025562526      -0.010982960      -0.000000000       0.000000000       0.000000000       0.000000000      42.965080486
      60.000000000       1.000000000      90.000000000     119.994961924       0.025766763       0.010747756      -0.000229649       0.000000000       0.000000000       0.000000000      41.721223457
      60.000000000       1.000000000     180.000000000     121.000000000       0.025980723      -0.010507758       0.000000000       0.000000000       0.000000000       0.000000000      40.444438211
      60.000000000       2.000000000       0.000000000     118.000000000       0.025376467      -0.011215848      -0.000000000       0.000000000       0.000000000       0.000000000      44.197833227
      60.000000000       2.000000000      90.000000000     119.979850765       0.025776617       0.010751224      -0.000459415       0.000000000       0.000000000       0.000000000      41.747277284
      60.000000000       2.000000000     180.000000000     122.000000000       0.026213256      -0.010267026       0.000000000       0.000000000       0.000000000       0.000000000      39.167306671
      60.000000000       3.000000000       0.000000000     117.000000000       0.025205911      -0.011445869       0.000000000       0.000000000       0.000000000       0.000000000      45.409465402
      60.000000000       3.000000000      90.000000000     119.954675720       0.025793110       0.010757007      -0.000689418       0.000000000       0.000000000       0.000000000      41.790528938
      60.000000000       3.000000000     180.000000000     123.000000000       0.026461243      -0.010023259       0.000000000       0.000000000       0.000000000       0.000000000      37.879016892
      60.000000000       4.000000000       0.000000000     116.000000000       0.025051239      -0.011673276       0.000000000       0.000000000       0.000000000       0.000000000      46.597599777
      60.000000000       4.000000000      90.000000000     119.919452093       0.025816350       0.010765111      -0.000919779       0.000000000       0.000000000       0.000000000      41.850737222
      60.000000000       4.000000000     180.000000000     124.000000000       0.026725526      -0.009776337       0.000000000       0.000000000       0.000000000       0.000000000      36.580521941
      60.000000000       5.000000000       0.000000000     115.000000000       0.024913344      -0.011896158       0.000000000       0.000000000       0.000000000       0.000000000      47.750147982
      60.000000000       5.000000000      90.000000000     119.874201258       0.025846188       0.010775536      -0.001150621       0.000000000       0.000000000       0.000000000      41.928019180
      60.000000000       5.000000000     180.000000000     125.000000000       0.027007626      -0.009526991       0.000000000       0.000000000       0.000000000       0.000000000      35.275188344
      60.000000000       6.000000000       0.000000000     114.000000000       0.024789434      -0.012113100       0.000000000       0.000000000       0.000000000       0.000000000      48.863963300
      60.000000000       6.000000000      90.000000000     119.818950607       0.025882989       0.010788320      -0.001382072       0.000000000       0.000000000       0.000000000      42.021757562
      60.000000000       6.000000000     180.000000000     126.000000000       0.027306107      -0.009275173       0.000000000       0.000000000       0.000000000       0.000000000      33.967393515
      60.000000000       7.000000000       0.000000000     113.000000000       0.024678866      -0.012324037      -0.000000000       0.000000000       0.000000000       0.000000000      49.937615175
      60.000000000       7.000000000      90.000000000     119.753733483       0.025926511       0.010803469      -0.001614254       0.000000000       0.000000000       0.000000000      42.132181430
      60.000000000       7.000000000     180.000000000     127.000000000       0.027618883      -0.009022328       0.000000000       0.000000000       0.000000000       0.000000000      32.667244701
      60.000000000       8.000000000       0.000000000     112.000000000       0.024580994      -0.012529751      -0.000000000       0.000000000       0.000000000       0.000000000      50.973329086
      60.000000000       8.000000000      90.000000000     119.678589103       0.025977057       0.010821025      -0.001847293       0.000000000       0.000000000       0.000000000      42.258719733
      60.000000000       8.000000000     180.000000000     128.000000000       0.027948418      -0.008768074       0.000000000       0.000000000       0.000000000       0.000000000      31.372344555
      60.000000000       9.000000000       0.000000000     111.000000000       0.024494740      -0.012727952      -0.000000000       0.000000000       0.000000000       0.000000000      51.961978918
      60.000000000       9.000000000      90.000000000     119.593562462       0.026034636       0.010841009      -0.002081313       0.000000000       0.000000000       0.000000000      42.401174744
      60.000000000       9.000000000     180.000000000     129.000000000       0.028296273      -0.008512901       0.000000000       0.000000000       0.000000000       0.000000000      30.084886385
      60.000000000      10.000000000       0.000000000     110.000000000       0.024422658      -0.012918643      -0.000000000       0.000000000       0.000000000       0.000000000      52.896137046
      60.000000000      10.000000000      90.000000000     119.498704231       0.026099279       0.010863441      -0.002316437       0.000000000       0.000000000       0.000000000      42.559281889
      60.000000000      10.000000000     180.000000000     130.000000000       0.028662358      -0.008255961       0.000000000       0.000000000       0.000000000       0.000000000      28.804192680
      60.000000000      11.000000000       0.000000000     109.000000000       0.024366201      -0.013100948       0.000000000       0.000000000       0.000000000       0.000000000      53.766886954
      60.000000000      11.000000000      90.000000000     119.394070634       0.026171050       0.010888347      -0.002552792       0.000000000       0.000000000       0.000000000      42.732702355
      60.000000000      11.000000000     180.000000000     131.000000000       0.029048490      -0.007997168       0.000000000       0.000000000       0.000000000       0.000000000      27.530408172
      60.000000000      12.000000000       0.000000000     108.000000000       0.024326828      -0.013277735       0.000000000       0.000000000       0.000000000       0.000000000      54.580626840
      60.000000000      12.000000000      90.000000000     119.279723324       0.026250061       0.010915756      -0.002790510       0.000000000       0.000000000       0.000000000      42.921024487
      60.000000000      12.000000000     180.000000000     132.000000000       0.029455081      -0.007737552       0.000000000       0.000000000       0.000000000       0.000000000      26.268990371
      60.000000000      13.000000000       0.000000000     107.000000000       0.024301601      -0.013448414       0.000000000       0.000000000       0.000000000       0.000000000      55.339623532
      60.000000000      13.000000000      90.000000000     119.155729238       0.026336473       0.010945711      -0.003029729       0.000000000       0.000000000       0.000000000      43.123777401
      60.000000000      13.000000000     180.000000000     133.000000000       0.029882303      -0.007478183       0.000000000       0.000000000       0.000000000       0.000000000      25.025456050
      60.000000000      14.000000000       0.000000000     106.000000000       0.024291099      -0.013614091      -0.000000000       0.000000000       0.000000000       0.000000000      56.045593667
      60.000000000      14.000000000      90.000000000     119.022160452       0.026430214       0.010978251      -0.003270588       0.000000000       0.000000000       0.000000000      43.340834673
      60.000000000      14.000000000     180.000000000     134.000000000       0.030330598      -0.007220304       0.000000000       0.000000000       0.000000000       0.000000000      23.805345811
      60.000000000      15.000000000       0.000000000     105.000000000       0.024298241      -0.013773142      -0.000000000       0.000000000       0.000000000       0.000000000      56.683701092
      60.000000000      15.000000000      90.000000000     118.879094017       0.026531705       0.011013443      -0.003513232       0.000000000       0.000000000       0.000000000      43.571348668
      60.000000000      15.000000000     180.000000000     135.000000000       0.030802142      -0.006965160       0.000000000       0.000000000       0.000000000       0.000000000      22.612583648
      60.000000000      16.000000000       0.000000000     104.000000000       0.024323520      -0.013925947      -0.000000000       0.000000000       0.000000000       0.000000000      57.253010477
      60.000000000      16.000000000      90.000000000     118.726611796       0.026640870       0.011051321      -0.003757796       0.000000000       0.000000000       0.000000000      43.815140841
      60.000000000      16.000000000     180.000000000     136.000000000       0.031300533      -0.006713721       0.000000000       0.000000000       0.000000000       0.000000000      21.449223535
      60.000000000      17.000000000       0.000000000     103.000000000       0.024366995      -0.014072153      -0.000000000       0.000000000       0.000000000       0.000000000      57.750872745
      60.000000000      17.000000000      90.000000000     118.564800285       0.026758021       0.011091939      -0.004004424       0.000000000       0.000000000       0.000000000      44.071446968
      60.000000000      17.000000000     180.000000000     137.000000000       0.031827905      -0.006468549       0.000000000       0.000000000       0.000000000       0.000000000      20.323515107
      60.000000000      18.000000000       0.000000000     102.000000000       0.024428467      -0.014213159       0.000000000       0.000000000       0.000000000       0.000000000      58.182769260
      60.000000000      18.000000000      90.000000000     118.393750435       0.026883251       0.011135342      -0.004253254       0.000000000       0.000000000       0.000000000      44.339813221
      60.000000000      18.000000000     180.000000000     138.000000000       0.032388414      -0.006229932       0.000000000       0.000000000       0.000000000       0.000000000      19.235063229
      60.000000000      19.000000000       0.000000000     101.000000000       0.024510516      -0.014350238       0.000000000       0.000000000       0.000000000       0.000000000      58.547268055
      60.000000000      19.000000000      90.000000000     118.213557466       0.027016703       0.011181589      -0.004504437       0.000000000       0.000000000       0.000000000      44.619755377
      60.000000000      19.000000000     180.000000000     139.000000000       0.032983478      -0.006001465       0.000000000       0.000000000       0.000000000       0.000000000      18.195367060
      60.000000000      20.000000000       0.000000000     100.000000000       0.024611296      -0.014482400       0.000000000       0.000000000       0.000000000       0.000000000      58.844521845
      60.000000000      20.000000000      90.000000000     118.024320674       0.027158640       0.011230767      -0.004758137       0.000000000       0.000000000       0.000000000      44.910682208
      60.000000000      20.000000000     180.000000000     140.000000000       0.033617644      -0.005787021       0.000000000       0.000000000       0.000000000       0.000000000      17.214236939
      60.000000000      21.000000000       0.000000000      99.000000000       0.024732913      -0.014608152       0.000000000       0.000000000       0.000000000       0.000000000      59.063612010
      60.000000000      21.000000000      90.000000000     117.826143233       0.027309298       0.011282979      -0.005014532       0.000000000       0.000000000       0.000000000      45.212113285
      60.000000000      21.000000000     180.000000000     141.000000000       0.034295141      -0.005593017       0.000000000       0.000000000       0.000000000       0.000000000      16.308481416
      60.000000000      22.000000000       0.000000000      98.000000000       0.024876790      -0.014728287      -0.000000000       0.000000000       0.000000000       0.000000000      59.204934205
      60.000000000      22.000000000      90.000000000     117.619132006       0.027468956       0.011338340      -0.005273808       0.000000000       0.000000000       0.000000000      45.523533305
      60.000000000      22.000000000     180.000000000     142.000000000       0.035023817      -0.005428619       0.000000000       0.000000000       0.000000000       0.000000000      15.499791957
      60.000000000      23.000000000       0.000000000      97.000000000       0.025042779      -0.014843313      -0.000000000       0.000000000       0.000000000       0.000000000      59.271826471
      60.000000000      23.000000000      90.000000000     117.403397336       0.027637860       0.011396935      -0.005536145       0.000000000       0.000000000       0.000000000      45.844357852
      60.000000000      23.000000000     180.000000000     143.000000000       0.035807810      -0.005303956       0.000000000       0.000000000       0.000000000       0.000000000      14.812286891
      60.000000000      24.000000000       0.000000000      96.000000000       0.025231598      -0.014952635      -0.000000000       0.000000000       0.000000000       0.000000000      59.261546694
      60.000000000      24.000000000      90.000000000     117.179052852       0.027816204       0.011458838      -0.005801716       0.000000000       0.000000000       0.000000000      46.174041208
      60.000000000      24.000000000     180.000000000     144.000000000       0.036655117      -0.005232581       0.000000000       0.000000000       0.000000000       0.000000000      14.275172089
      60.000000000      25.000000000       0.000000000      95.000000000       0.025442396      -0.015056221       0.000000000       0.000000000       0.000000000       0.000000000      59.177686300
      60.000000000      25.000000000      90.000000000     116.946215263       0.028004314       0.011524160      -0.006070715       0.000000000       0.000000000       0.000000000      46.511953640
      60.000000000      25.000000000     180.000000000     145.000000000       0.037560290      -0.005219820       0.000000000       0.000000000       0.000000000       0.000000000      13.897178288
      60.000000000      26.000000000       0.000000000      94.000000000       0.025676900      -0.015153566       0.000000000       0.000000000       0.000000000       0.000000000      59.016339800
      60.000000000      26.000000000      90.000000000     116.705004161       0.028202386       0.011593008      -0.006343339       0.000000000       0.000000000       0.000000000      46.857680418
      60.000000000      26.000000000     180.000000000     146.000000000       0.038510708      -0.005264108       0.000000000       0.000000000       0.000000000       0.000000000      13.669206487
      60.000000000      27.000000000       0.000000000      93.000000000       0.025938248      -0.015246138       0.000000000       0.000000000       0.000000000       0.000000000      58.778594174
      60.000000000      27.000000000      90.000000000     116.455541824       0.028410844       0.011665465      -0.006619779       0.000000000       0.000000000       0.000000000      47.210319693
      60.000000000      27.000000000     180.000000000     147.000000000       0.039462852      -0.005322717       0.000000000       0.000000000       0.000000000       0.000000000      13.487918435
      60.000000000      28.000000000       0.000000000      92.000000000       0.026227397      -0.015332334       0.000000000       0.000000000       0.000000000       0.000000000      58.459228548
      60.000000000      28.000000000      90.000000000     116.197953011       0.028629899       0.011741603      -0.006900224       0.000000000       0.000000000       0.000000000      47.569300163
      60.000000000      28.000000000     180.000000000     148.000000000       0.040357062      -0.005331275       0.000000000       0.000000000       0.000000000       0.000000000      13.210264777
      60.000000000      29.000000000       0.000000000      91.000000000       0.026544433      -0.015412259      -0.000000000       0.000000000       0.000000000       0.000000000      58.062114860
      60.000000000      29.000000000      90.000000000     115.932364776       0.028860003       0.011821530      -0.007184881       0.000000000       0.000000000       0.000000000      47.933792049
      60.000000000      29.000000000     180.000000000     149.000000000       0.041171680      -0.005256843       0.000000000       0.000000000       0.000000000       0.000000000      12.768103558
      60.000000000      30.000000000       0.000000000      90.000000000       0.026890244      -0.015485738      -0.000000000       0.000000000       0.000000000       0.000000000      57.588686259
      60.000000000      30.000000000      90.000000000     115.658906273       0.029101731       0.011905350      -0.007473962       0.000000000       0.000000000       0.000000000      48.302751770
      60.000000000      30.000000000     180.000000000     150.000000000       0.041924175      -0.005100323      -0.000000000       0.000000000       0.000000000       0.000000000      12.165590336
      60.000000000      31.000000000       0.000000000      89.000000000       0.027263581      -0.015553453      -0.000000000       0.000000000       0.000000000       0.000000000      57.048458739
      60.000000000      31.000000000      90.000000000     115.377708569       0.029355302       0.011993077      -0.007767617       0.000000000       0.000000000       0.000000000      48.675358323
      60.000000000      31.000000000     180.000000000     151.000000000       0.042638219      -0.004868280       0.000000000       0.000000000       0.000000000       0.000000000      11.417644257
      60.000000000      32.000000000       0.000000000      88.000000000       0.027668071      -0.015614805      -0.000000000       0.000000000       0.000000000       0.000000000      56.436190497
      60.000000000      32.000000000      90.000000000     115.088904462       0.029620930       0.012084756      -0.008066010       0.000000000       0.000000000       0.000000000      49.050938718
      60.000000000      32.000000000     180.000000000     152.000000000       0.043332428      -0.004573309      -0.000000000       0.000000000       0.000000000       0.000000000      10.554009854
