# ARTDECO : output file
# Radiances at the top of the atmosphere
#   
# Result given for each geometry
# sza : solar zenith angle(s) (degree)
# vza : view  zenith angle(s) (degree)
# vaa : view azimuthal angle(s) (degree)
#
# total number of geometries
         270
# nsza, nvza, nvaa
           1          90           3
# number of elements of the Stokes vector
# 4 = full polarization, 3 = 3x3 approximation, 1 = scalar
           1
# number of wavelengths
           1
##################
# Wavelength (microns) 
       0.412000000
# CPU time for RT in sec(s) 
     0.115655418E+03
#         sza               vza              vaa              theta              I                 dI
      60.000000000       0.000000000       0.000000000     120.000000000       0.026310864       0.000440603
      60.000000000       0.000000000      90.000000000     120.000000000       0.026310864       0.000440603
      60.000000000       0.000000000     180.000000000     120.000000000       0.026310864       0.000440603
      60.000000000       1.000000000       0.000000000     119.000000000       0.026206067       0.000438377
      60.000000000       1.000000000      90.000000000     119.994961924       0.026317815       0.000440483
      60.000000000       1.000000000     180.000000000     121.000000000       0.026425515       0.000443063
      60.000000000       2.000000000       0.000000000     118.000000000       0.026122224       0.000436138
      60.000000000       2.000000000      90.000000000     119.979850765       0.026331785       0.000440163
      60.000000000       2.000000000     180.000000000     122.000000000       0.026563455       0.000445996
      60.000000000       3.000000000       0.000000000     117.000000000       0.026044784       0.000434313
      60.000000000       3.000000000      90.000000000     119.954675720       0.026352516       0.000439958
      60.000000000       3.000000000     180.000000000     123.000000000       0.026715489       0.000448985
      60.000000000       4.000000000       0.000000000     116.000000000       0.025985208       0.000432675
      60.000000000       4.000000000      90.000000000     119.919452093       0.026379771       0.000439689
      60.000000000       4.000000000     180.000000000     124.000000000       0.026888914       0.000452262
      60.000000000       5.000000000       0.000000000     115.000000000       0.025929758       0.000431229
      60.000000000       5.000000000      90.000000000     119.874201258       0.026420038       0.000439590
      60.000000000       5.000000000     180.000000000     125.000000000       0.027088328       0.000455773
      60.000000000       6.000000000       0.000000000     114.000000000       0.025889062       0.000429731
      60.000000000       6.000000000      90.000000000     119.818950607       0.026467187       0.000439526
      60.000000000       6.000000000     180.000000000     126.000000000       0.027308645       0.000459773
      60.000000000       7.000000000       0.000000000     113.000000000       0.025850676       0.000428977
      60.000000000       7.000000000      90.000000000     119.753733483       0.026515057       0.000438743
      60.000000000       7.000000000     180.000000000     127.000000000       0.027555126       0.000463877
      60.000000000       8.000000000       0.000000000     112.000000000       0.025824177       0.000428190
      60.000000000       8.000000000      90.000000000     119.678589103       0.026575771       0.000438896
      60.000000000       8.000000000     180.000000000     128.000000000       0.027827194       0.000468394
      60.000000000       9.000000000       0.000000000     111.000000000       0.025802721       0.000427548
      60.000000000       9.000000000      90.000000000     119.593562462       0.026643605       0.000438632
      60.000000000       9.000000000     180.000000000     129.000000000       0.028125104       0.000473303
      60.000000000      10.000000000       0.000000000     110.000000000       0.025783927       0.000427457
      60.000000000      10.000000000      90.000000000     119.498704231       0.026718288       0.000438600
      60.000000000      10.000000000     180.000000000     130.000000000       0.028453219       0.000478650
      60.000000000      11.000000000       0.000000000     109.000000000       0.025772132       0.000427572
      60.000000000      11.000000000      90.000000000     119.394070634       0.026799811       0.000438595
      60.000000000      11.000000000     180.000000000     131.000000000       0.028805539       0.000484569
      60.000000000      12.000000000       0.000000000     108.000000000       0.025764296       0.000427773
      60.000000000      12.000000000      90.000000000     119.279723324       0.026888586       0.000438631
      60.000000000      12.000000000     180.000000000     132.000000000       0.029192205       0.000490774
      60.000000000      13.000000000       0.000000000     107.000000000       0.025761926       0.000428535
      60.000000000      13.000000000      90.000000000     119.155729238       0.026990838       0.000438722
      60.000000000      13.000000000     180.000000000     133.000000000       0.029600807       0.000497963
      60.000000000      14.000000000       0.000000000     106.000000000       0.025765802       0.000429483
      60.000000000      14.000000000      90.000000000     119.022160452       0.027094068       0.000439014
      60.000000000      14.000000000     180.000000000     134.000000000       0.030046925       0.000505346
      60.000000000      15.000000000       0.000000000     105.000000000       0.025773904       0.000431010
      60.000000000      15.000000000      90.000000000     118.879094017       0.027204651       0.000439608
      60.000000000      15.000000000     180.000000000     135.000000000       0.030523378       0.000513633
      60.000000000      16.000000000       0.000000000     104.000000000       0.025791853       0.000432733
      60.000000000      16.000000000      90.000000000     118.726611796       0.027328880       0.000440061
      60.000000000      16.000000000     180.000000000     136.000000000       0.031016785       0.000522733
      60.000000000      17.000000000       0.000000000     103.000000000       0.025814409       0.000434800
      60.000000000      17.000000000      90.000000000     118.564800285       0.027460915       0.000440902
      60.000000000      17.000000000     180.000000000     137.000000000       0.031551227       0.000532258
      60.000000000      18.000000000       0.000000000     102.000000000       0.025849988       0.000437724
      60.000000000      18.000000000      90.000000000     118.393750435       0.027600534       0.000442029
