#
# Recomposed optical properties out of ARTDEC
#
# Used model for truncation was:
 dm
# number of wavelengths
           1
#      lambda         nBl   nangle   Trunc. Coeff.     sumF11    Cext        SSA              g  
     0.412000000E+00      8   1900     0.356587649E+00     0.200000522E+01     0.100000000E+01     0.100000000E+01    -0.327680000E+05
# Phase matrix
# lambda =      0.4120
#         u                 F11                F22              F33               F44               F21               F34
    -0.100000000E+01     0.530055605E+00     0.187085689E+00    -0.187085689E+00     0.154189843E+00     0.000000000E+00     0.000000000E+00
    -0.999998630E+00     0.530059337E+00     0.187086312E+00    -0.187086312E+00     0.154192359E+00    -0.344825938E-05    -0.625548647E-05
    -0.999994530E+00     0.530070505E+00     0.187088178E+00    -0.187088178E+00     0.154199890E+00    -0.137674962E-04    -0.249756210E-04
    -0.999987680E+00     0.530089160E+00     0.187091294E+00    -0.187091295E+00     0.154212470E+00    -0.310069297E-04    -0.562497214E-04
    -0.999978100E+00     0.530115243E+00     0.187095650E+00    -0.187095654E+00     0.154230058E+00    -0.551143620E-04    -0.999831441E-04
    -0.999965790E+00     0.530148748E+00     0.187101244E+00    -0.187101255E+00     0.154252652E+00    -0.860871940E-04    -0.156171241E-03
    -0.999950740E+00     0.530189693E+00     0.187108078E+00    -0.187108101E+00     0.154280262E+00    -0.123947240E-03    -0.224853674E-03
    -0.999932950E+00     0.530238068E+00     0.187116151E+00    -0.187116193E+00     0.154312883E+00    -0.168690403E-03    -0.306023116E-03
    -0.999912420E+00     0.530293861E+00     0.187125457E+00    -0.187125529E+00     0.154350505E+00    -0.220311840E-03    -0.399670910E-03
    -0.999889160E+00     0.530357030E+00     0.187135990E+00    -0.187136105E+00     0.154393101E+00    -0.278780833E-03    -0.505741472E-03
    -0.999863160E+00     0.530427587E+00     0.187147748E+00    -0.187147924E+00     0.154440679E+00    -0.344116202E-03    -0.624269110E-03
    -0.999834430E+00     0.530505486E+00     0.187160724E+00    -0.187160981E+00     0.154493207E+00    -0.416285760E-03    -0.755195619E-03
    -0.999802950E+00     0.530590762E+00     0.187174920E+00    -0.187175284E+00     0.154550709E+00    -0.495331936E-03    -0.898598173E-03
