# ARTDECO : output file
# Radiances at the top of the atmosphere
#   
# Result given for each geometry
# sza : solar zenith angle(s) (degree)
# vza : view  zenith angle(s) (degree)
# vaa : view azimuthal angle(s) (degree)
#
# total number of geometries
         270
# nsza, nvza, nvaa
           1          90           3
# number of elements of the Stokes vector
# 4 = full polarization, 3 = 3x3 approximation, 1 = scalar
           3
# number of wavelengths
           1
##################
# Wavelength (microns) 
       0.412000000
# CPU time for RT in sec(s) 
     0.115516441E+03
#         sza               vza              vaa               theta              I                 Q                U                 dI                dQ                dU              Polar. (%)
      60.000000000       0.000000000       0.000000000     120.000000000       0.025673889      -0.012706448      -0.000023507       0.000556766       0.000284494       0.000170290      49.491798771
      60.000000000       0.000000000      90.000000000     120.000000000       0.025673889      -0.012706448      -0.000023507       0.000556766       0.000284494       0.000170290      49.491798771
      60.000000000       0.000000000     180.000000000     120.000000000       0.025673889      -0.012706448      -0.000023507       0.000556766       0.000284494       0.000170290      49.491798771
      60.000000000       1.000000000       0.000000000     119.000000000       0.025522054      -0.010792059       0.000059276       0.000552695       0.000277196       0.000155000      42.285866866
      60.000000000       1.000000000      90.000000000     119.994961924       0.025679419       0.010572962      -0.000285222       0.000555619       0.000269037       0.000151750      41.187881160
      60.000000000       1.000000000     180.000000000     121.000000000       0.025836831      -0.010348755       0.000060569       0.000561402       0.000265043       0.000153691      40.054957860
      60.000000000       2.000000000       0.000000000     118.000000000       0.025392245      -0.011014543       0.000058776       0.000548944       0.000283300       0.000155990      43.378204464
      60.000000000       2.000000000      90.000000000     119.979850765       0.025692097       0.010578454      -0.000510489       0.000554199       0.000266887       0.000149441      41.221876960
      60.000000000       2.000000000     180.000000000     122.000000000       0.026023768      -0.010127627       0.000061128       0.000566074       0.000259218       0.000153332      38.917542415
      60.000000000       3.000000000       0.000000000     117.000000000       0.025270045      -0.011236554       0.000058047       0.000545710       0.000289435       0.000157180      44.466498775
      60.000000000       3.000000000      90.000000000     119.954675720       0.025711634       0.010586413      -0.000736190       0.000553420       0.000264874       0.000147312      41.273067525
      60.000000000       3.000000000     180.000000000     123.000000000       0.026225963      -0.009909018       0.000061715       0.000571524       0.000253390       0.000153246      37.783970752
      60.000000000       4.000000000       0.000000000     116.000000000       0.025166984      -0.011458741       0.000057325       0.000542723       0.000295583       0.000158492      45.531416470
      60.000000000       4.000000000      90.000000000     119.919452093       0.025738093       0.010596787      -0.000962125       0.000553071       0.000263043       0.000145481      41.340961355
      60.000000000       4.000000000     180.000000000     124.000000000       0.026450106      -0.009691926       0.000062151       0.000577106       0.000247619       0.000153302      36.643048459
      60.000000000       5.000000000       0.000000000     115.000000000       0.025069241      -0.011679091       0.000056621       0.000540343       0.000301742       0.000160183      46.587882626
      60.000000000       5.000000000      90.000000000     119.874201258       0.025777218       0.010609243      -0.001188409       0.000552826       0.000261312       0.000143742      41.414848886
      60.000000000       5.000000000     180.000000000     125.000000000       0.026701167      -0.009474431       0.000062681       0.000583108       0.000241939       0.000153629      35.483984925
      60.000000000       6.000000000       0.000000000     114.000000000       0.024987869      -0.011899472       0.000055848       0.000538136       0.000307960       0.000161963      47.621521707
      60.000000000       6.000000000      90.000000000     119.818950607       0.025823660       0.010624037      -0.001415247       0.000553023       0.000259581       0.000142290      41.504132777
      60.000000000       6.000000000     180.000000000     126.000000000       0.026973876      -0.009260896       0.000063055       0.000589566       0.000236513       0.000154135      34.333629180
      60.000000000       7.000000000       0.000000000     113.000000000       0.024910030      -0.012116351       0.000054992       0.000536419       0.000314075       0.000164044      48.640951851
      60.000000000       7.000000000      90.000000000     119.753733483       0.025871125       0.010641723      -0.001642888       0.000553446       0.000258112       0.000141035      41.620888228
      60.000000000       7.000000000     180.000000000     127.000000000       0.027272993      -0.009045997       0.000063599       0.000596252       0.000231121       0.000154868      33.169152663
      60.000000000       8.000000000       0.000000000     112.000000000       0.024845245      -0.012332649       0.000054240       0.000535119       0.000320329       0.000166277      49.638343275
      60.000000000       8.000000000      90.000000000     119.678589103       0.025931428       0.010661458      -0.001871133       0.000554468       0.000256695       0.000140029      41.742431588
      60.000000000       8.000000000     180.000000000     128.000000000       0.027598414      -0.008835971       0.000063955       0.000603210       0.000225891       0.000155751      32.017065612
      60.000000000       9.000000000       0.000000000     111.000000000       0.024787439      -0.012546348       0.000053218       0.000534317       0.000326539       0.000168636      50.616205467
      60.000000000       9.000000000      90.000000000     119.593562462       0.025999062       0.010683784      -0.002100239       0.000555636       0.000255377       0.000139507      41.879440640
      60.000000000       9.000000000     180.000000000     129.000000000       0.027950331      -0.008623913       0.000064446       0.000610492       0.000220933       0.000156850      30.855281691
      60.000000000      10.000000000       0.000000000     110.000000000       0.024733774      -0.012754770       0.000052349       0.000533965       0.000332696       0.000171226      51.568666862
      60.000000000      10.000000000      90.000000000     119.498704231       0.026073362       0.010708430      -0.002330483       0.000557387       0.000254246       0.000139169      42.031742689
      60.000000000      10.000000000     180.000000000     130.000000000       0.028332946      -0.008417398       0.000064910       0.000618094       0.000216223       0.000158149      29.709751707
      60.000000000      11.000000000       0.000000000     109.000000000       0.024688807      -0.012961374       0.000051358       0.000533854       0.000338819       0.000174055      52.499400939
      60.000000000      11.000000000      90.000000000     119.394070634       0.026155233       0.010735677      -0.002561765       0.000559457       0.000253281       0.000139359      42.198407337
      60.000000000      11.000000000     180.000000000     131.000000000       0.028739844      -0.008207410       0.000065249       0.000625974       0.000211607       0.000159673      28.558503732
      60.000000000      12.000000000       0.000000000     108.000000000       0.024649575      -0.013161680       0.000050321       0.000534189       0.000344929       0.000176986      53.395550518
      60.000000000      12.000000000      90.000000000     119.279723324       0.026244157       0.010765265      -0.002794422       0.000562033       0.000252371       0.000139651      42.379102767
      60.000000000      12.000000000     180.000000000     132.000000000       0.029181463      -0.008003591       0.000065754       0.000633827       0.000207284       0.000161356      27.427894049
      60.000000000      13.000000000       0.000000000     107.000000000       0.024617319      -0.013359063       0.000049251       0.000535002       0.000351036       0.000179989      54.267295989
      60.000000000      13.000000000      90.000000000     119.155729238       0.026346938       0.010797296      -0.003028211       0.000565151       0.000251822       0.000140498      42.562459505
      60.000000000      13.000000000     180.000000000     133.000000000       0.029645513      -0.007795449       0.000066026       0.000642532       0.000203372       0.000163087      26.296488321
      60.000000000      14.000000000       0.000000000     106.000000000       0.024592991      -0.013549345       0.000048163       0.000536271       0.000356947       0.000183227      55.094685068
      60.000000000      14.000000000      90.000000000     119.022160452       0.026450845       0.010832054      -0.003263807       0.000568465       0.000251219       0.000141645      42.770210218
      60.000000000      14.000000000     180.000000000     134.000000000       0.030147362      -0.007592890       0.000066581       0.000651126       0.000199663       0.000165214      25.186886396
      60.000000000      15.000000000       0.000000000     105.000000000       0.024575148      -0.013735720       0.000046927       0.000537930       0.000363123       0.000186634      55.893051348
      60.000000000      15.000000000      90.000000000     118.879094017       0.026561978       0.010869384      -0.003500868       0.000572290       0.000250943       0.000143248      42.991013183
      60.000000000      15.000000000     180.000000000     135.000000000       0.030679761      -0.007390913       0.000066899       0.000660138       0.000196260       0.000167302      24.091503963
      60.000000000      16.000000000       0.000000000     104.000000000       0.024568303      -0.013914067       0.000045821       0.000539889       0.000368930       0.000190144      56.634528827
      60.000000000      16.000000000      90.000000000     118.726611796       0.026687289       0.010909220      -0.003739751       0.000576923       0.000250938       0.000145291      43.213174372
      60.000000000      16.000000000     180.000000000     136.000000000       0.031229263      -0.007183144       0.000067387       0.000669138       0.000193348       0.000169660      23.002335572
      60.000000000      17.000000000       0.000000000     103.000000000       0.024568332      -0.014087469       0.000044521       0.000542384       0.000374861       0.000193766      57.340233384
      60.000000000      17.000000000      90.000000000     118.564800285       0.026820285       0.010951785      -0.003980504       0.000581586       0.000251044       0.000147646      43.447431959
      60.000000000      17.000000000     180.000000000     137.000000000       0.031819944      -0.006980341       0.000067782       0.000678888       0.000190773       0.000172103      21.938034986
      60.000000000      18.000000000       0.000000000     102.000000000       0.024583443      -0.014252401       0.000043239       0.000545365       0.000380743       0.000197478      57.975874488
      60.000000000      18.000000000      90.000000000     118.393750435       0.026961182       0.010997055      -0.004223438       0.000587053       0.000251523       0.000150579      43.693116326
      60.000000000      18.000000000     180.000000000     138.000000000       0.032423814      -0.006770857       0.000068215       0.000688668       0.000188710       0.000174834      20.883418977
      60.000000000      19.000000000       0.000000000     101.000000000       0.024607051      -0.014411248       0.000041884       0.000548593       0.000386398       0.000201347      58.565769763
      60.000000000      19.000000000      90.000000000     118.213557466       0.027103572       0.011044963      -0.004468533       0.000592536       0.000252120       0.000153824      43.959721562
      60.000000000      19.000000000     180.000000000     139.000000000       0.033069587      -0.006565801       0.000068663       0.000698116       0.000187127       0.000177584      19.855586253
      60.000000000      20.000000000       0.000000000     100.000000000       0.024644578      -0.014561993       0.000040419       0.000552338       0.000392032       0.000205211      59.088248012
      60.000000000      20.000000000      90.000000000     118.024320674       0.027260865       0.011095925      -0.004716022       0.000598916       0.000253128       0.000157453      44.226589005
      60.000000000      20.000000000     180.000000000     140.000000000       0.033724543      -0.006353210       0.000069208       0.000708455       0.000185872       0.000180606      18.839653177
      60.000000000      21.000000000       0.000000000      99.000000000       0.024703843      -0.014704345       0.000039003       0.000556609       0.000397764       0.000209165      59.522709301
      60.000000000      21.000000000      90.000000000     117.826143233       0.027432784       0.011149905      -0.004966228       0.000605595       0.000254247       0.000161509      44.493814823
      60.000000000      21.000000000     180.000000000     141.000000000       0.034421428      -0.006143808       0.000069733       0.000718738       0.000185185       0.000183606      17.849938314
      60.000000000      22.000000000       0.000000000      98.000000000       0.024776730      -0.014838617       0.000037481       0.000561169       0.000403278       0.000213248      59.889518773
      60.000000000      22.000000000      90.000000000     117.619132006       0.027606741       0.011206555      -0.005218941       0.000612533       0.000255714       0.000165919      44.779676863
      60.000000000      22.000000000     180.000000000     142.000000000       0.035122635      -0.005926388       0.000070280       0.000729263       0.000185233       0.000186858      16.874601938
      60.000000000      23.000000000       0.000000000      97.000000000       0.024875546      -0.014964525       0.000035981       0.000566368       0.000408746       0.000217337      60.157745783
      60.000000000      23.000000000      90.000000000     117.403397336       0.027789496       0.011266314      -0.005474615       0.000620143       0.000257609       0.000170720      45.074666039
      60.000000000      23.000000000     180.000000000     143.000000000       0.035864976      -0.005710901       0.000070876       0.000740607       0.000185701       0.000190311      15.924564460
      60.000000000      24.000000000       0.000000000      96.000000000       0.024993017      -0.015081490       0.000034276       0.000571968       0.000414069       0.000221537      60.342971014
      60.000000000      24.000000000      90.000000000     117.179052852       0.027981145       0.011329058      -0.005733372       0.000627959       0.000259770       0.000175713      45.377730229
      60.000000000      24.000000000     180.000000000     144.000000000       0.036607951      -0.005487180       0.000071370       0.000751607       0.000186745       0.000193844      14.990307582
      60.000000000      25.000000000       0.000000000      95.000000000       0.025140503      -0.015190279       0.000032527       0.000577900       0.000419206       0.000225820      60.421680729
      60.000000000      25.000000000      90.000000000     116.946215263       0.028188613       0.011395614      -0.005995694       0.000636126       0.000262045       0.000181187      45.680359364
      60.000000000      25.000000000     180.000000000     145.000000000       0.037389699      -0.005263639       0.000072161       0.000762899       0.000188372       0.000197513      14.079100779
      60.000000000      26.000000000       0.000000000      94.000000000       0.025312646      -0.015289312       0.000030812       0.000584494       0.000424399       0.000230229      60.401993731
      60.000000000      26.000000000      90.000000000     116.705004161       0.028398768       0.011464741      -0.006261079       0.000644752       0.000264833       0.000186895      45.998398112
      60.000000000      26.000000000     180.000000000     146.000000000       0.038189019      -0.005035564       0.000072927       0.000774580       0.000190415       0.000201369      13.187278096
      60.000000000      27.000000000       0.000000000      93.000000000       0.025518883      -0.015380789       0.000028998       0.000592144       0.000429660       0.000234619      60.272295400
      60.000000000      27.000000000      90.000000000     116.455541824       0.028625284       0.011538085      -0.006530565       0.000653845       0.000268078       0.000192868      46.315844513
      60.000000000      27.000000000     180.000000000     147.000000000       0.038983592      -0.004799488       0.000073727       0.000786290       0.000193324       0.000205390      12.313012096
      60.000000000      28.000000000       0.000000000      92.000000000       0.025756440      -0.015461599       0.000026960       0.000599563       0.000434483       0.000239030      60.030122712
      60.000000000      28.000000000      90.000000000     116.197953011       0.028861928       0.011614869      -0.006804069       0.000663180       0.000271542       0.000199093      46.639555204
      60.000000000      28.000000000     180.000000000     148.000000000       0.039813068      -0.004561132       0.000074369       0.000798501       0.000196595       0.000209506      11.457892566
      60.000000000      29.000000000       0.000000000      91.000000000       0.026031565      -0.015533284       0.000025149       0.000608298       0.000439448       0.000243469      59.671036042
      60.000000000      29.000000000      90.000000000     115.932364776       0.029108834       0.011695548      -0.007081595       0.000672925       0.000275349       0.000205647      46.969972829
      60.000000000      29.000000000     180.000000000     149.000000000       0.040635740      -0.004315447       0.000075360       0.000810784       0.000200654       0.000213725      10.621450301
      60.000000000      30.000000000       0.000000000      90.000000000       0.026344791      -0.015598295       0.000023146       0.000617501       0.000444098       0.000248173      59.208333032
      60.000000000      30.000000000      90.000000000     115.658906273       0.029359752       0.011778924      -0.007363093       0.000682596       0.000279531       0.000212210      47.312864946
      60.000000000      30.000000000     180.000000000     150.000000000       0.041489111      -0.004066016       0.000076296       0.000823606       0.000205109       0.000218216       9.801924249
      60.000000000      31.000000000       0.000000000      89.000000000       0.026701007      -0.015651944       0.000021034       0.000627509       0.000448897       0.000252675      58.619355375
      60.000000000      31.000000000      90.000000000     115.377708569       0.029628375       0.011867080      -0.007649688       0.000692593       0.000283877       0.000219069      47.653542674
      60.000000000      31.000000000     180.000000000     151.000000000       0.042334593      -0.003810246       0.000077326       0.000836576       0.000210199       0.000222770       9.002167213
      60.000000000      32.000000000       0.000000000      88.000000000       0.027097005      -0.015699806       0.000018862       0.000638434       0.000453387       0.000257325      57.939307892
      60.000000000      32.000000000      90.000000000     115.088904462       0.029908162       0.011959341      -0.007941010       0.000703146       0.000288754       0.000226193      47.999196712
      60.000000000      32.000000000     180.000000000     152.000000000       0.043207198      -0.003549292       0.000078389       0.000850077       0.000215714       0.000227564       8.216588202
      60.000000000      33.000000000       0.000000000      87.000000000       0.027543913      -0.015735879       0.000016562       0.000650291       0.000457875       0.000262180      57.130183909
      60.000000000      33.000000000      90.000000000     114.792628303       0.030206710       0.012057179      -0.008238571       0.000714014       0.000293964       0.000233487      48.343792224
      60.000000000      33.000000000     180.000000000     153.000000000       0.044071793      -0.003283043       0.000079506       0.000863692       0.000221767       0.000232518       7.451491204
      60.000000000      34.000000000       0.000000000      86.000000000       0.028031356      -0.015766834       0.000014288       0.000662978       0.000462261       0.000266976      56.247156570
      60.000000000      34.000000000      90.000000000     114.489015821       0.030510126       0.012158035      -0.008540662       0.000724544       0.000299431       0.000240811      48.698649656
      60.000000000      34.000000000     180.000000000     154.000000000       0.044959781      -0.003010437       0.000080831       0.000877846       0.000228267       0.000237496       6.698257988
      60.000000000      35.000000000       0.000000000      85.000000000       0.028577177      -0.015785948       0.000011855       0.000677291       0.000466620       0.000271889      55.239720057
      60.000000000      35.000000000      90.000000000     114.178203960       0.030826785       0.012263612      -0.008848571       0.000735785       0.000305393       0.000248490      49.056725738
      60.000000000      35.000000000     180.000000000     155.000000000       0.045853801      -0.002731830       0.000082113       0.000892378       0.000235261       0.000242747       5.960385828
      60.000000000      36.000000000       0.000000000      84.000000000       0.029162701      -0.015800377       0.000009360       0.000692578       0.000470838       0.000276929      54.180096430
      60.000000000      36.000000000      90.000000000     113.860330715       0.031156803       0.012373985      -0.009162477       0.000746691       0.000311562       0.000256125      49.417661311
      60.000000000      36.000000000     180.000000000     156.000000000       0.046742231      -0.002450748       0.000083540       0.000907282       0.000242636       0.000248089       5.246158522
      60.000000000      37.000000000       0.000000000      83.000000000       0.029814243      -0.015803361       0.000006813       0.000709332       0.000474971       0.000282192      53.006083916
      60.000000000      37.000000000      90.000000000     113.535534978       0.031506057       0.012490674      -0.009483704       0.000758076       0.000318033       0.000264126      49.777838243
      60.000000000      37.000000000     180.000000000     157.000000000       0.047649407      -0.002161736       0.000085160       0.000922959       0.000250612       0.000253713       4.540273155
      60.000000000      38.000000000       0.000000000      82.000000000       0.030503720      -0.015802182       0.000003994       0.000727539       0.000479326       0.000287327      51.804115326
      60.000000000      38.000000000      90.000000000     113.203956389       0.031864286       0.012611383      -0.009810721       0.000769864       0.000325060       0.000272329      50.143985231
      60.000000000      38.000000000     180.000000000     158.000000000       0.048553791      -0.001872246       0.000086686       0.000939195       0.000258803       0.000259490       3.860155946
      60.000000000      39.000000000       0.000000000      81.000000000       0.031264996      -0.015789403       0.000001246       0.000747105       0.000483226       0.000292712      50.501856530
      60.000000000      39.000000000      90.000000000     112.865735196       0.032242339       0.012738778      -0.010145861       0.000781390       0.000332213       0.000280559      50.509429005
      60.000000000      39.000000000     180.000000000     159.000000000       0.049474171      -0.001574810       0.000088422       0.000955967       0.000267303       0.000265416       3.188109571
      60.000000000      40.000000000       0.000000000      80.000000000       0.032084390      -0.015769241      -0.000001472       0.000769012       0.000487258       0.000298306      49.149261839
      60.000000000      40.000000000      90.000000000     112.521012118       0.032635962       0.012872245      -0.010488745       0.000793772       0.000340011       0.000289134      50.877836206
      60.000000000      40.000000000     180.000000000     160.000000000       0.050396300      -0.001278851       0.000090339       0.000973143       0.000276246       0.000271567       2.543912329
      60.000000000      41.000000000       0.000000000      79.000000000       0.032937510      -0.015745575      -0.000004557       0.000792249       0.000491505       0.000304133      47.804391500
      60.000000000      41.000000000      90.000000000     112.169928217       0.033040626       0.013009969      -0.010838032       0.000805410       0.000347754       0.000297946      51.248647478
      60.000000000      41.000000000     180.000000000     161.000000000       0.051333484      -0.000975073       0.000092225       0.000990882       0.000285707       0.000277832       1.907964771
      60.000000000      42.000000000       0.000000000      78.000000000       0.033869920      -0.015710756      -0.000007700       0.000817336       0.000495285       0.000309975      46.385578122
      60.000000000      42.000000000      90.000000000     111.812624777       0.033466705       0.013155518      -0.011196905       0.000817677       0.000356197       0.000306758      51.619565742
      60.000000000      42.000000000     180.000000000     162.000000000       0.052277204      -0.000675261       0.000094430       0.001009290       0.000295237       0.000284451       1.304261995
      60.000000000      43.000000000       0.000000000      77.000000000       0.034834340      -0.015672868      -0.000010876       0.000844724       0.000499527       0.000316095      44.992591009
      60.000000000      43.000000000      90.000000000     111.449243191       0.033910191       0.013307688      -0.011564625       0.000830103       0.000364972       0.000316219      51.991793162
      60.000000000      43.000000000     180.000000000     163.000000000       0.053236033      -0.000368331       0.000096467       0.001028968       0.000305010       0.000291241       0.715218562
      60.000000000      44.000000000       0.000000000      76.000000000       0.035880996      -0.015623986      -0.000014039       0.000874360       0.000503542       0.000322511      43.543919337
      60.000000000      44.000000000      90.000000000     111.079924852       0.034371541       0.013466766      -0.011941069       0.000842463       0.000373782       0.000325899      52.364292725
      60.000000000      44.000000000     180.000000000     164.000000000       0.054207391      -0.000067575       0.000098736       0.001049171       0.000315139       0.000298098       0.220718275
      60.000000000      45.000000000       0.000000000      75.000000000       0.036956944      -0.015571997      -0.000017626       0.000905536       0.000507489       0.000329005      42.135536676
      60.000000000      45.000000000      90.000000000     110.704811055       0.034851992       0.013633139      -0.012327575       0.000855215       0.000382995       0.000335953      52.737863052
      60.000000000      45.000000000     180.000000000     165.000000000       0.055194952       0.000238874       0.000101169       0.001071157       0.000325683       0.000305583       0.469996348
      60.000000000      46.000000000       0.000000000      74.000000000       0.038116761      -0.015509218      -0.000020979       0.000939980       0.000511636       0.000335800      40.688745829
      60.000000000      46.000000000      90.000000000     110.324042898       0.035352017       0.013806736      -0.012723764       0.000868466       0.000392723       0.000346350      53.110180079
      60.000000000      46.000000000     180.000000000     166.000000000       0.056199340       0.000543518       0.000103711       0.001093254       0.000336424       0.000313211       0.984573708
      60.000000000      47.000000000       0.000000000      73.000000000       0.039304065      -0.015443239      -0.000024781       0.000976035       0.000515884       0.000342738      39.291759962
      60.000000000      47.000000000      90.000000000     109.937761204       0.035872829       0.013988612      -0.013130867       0.000881472       0.000402905       0.000357142      53.483256415
      60.000000000      47.000000000     180.000000000     167.000000000       0.057226879       0.000838060       0.000106367       0.001117087       0.000347435       0.000321125       1.476200207
      60.000000000      48.000000000       0.000000000      72.000000000       0.040576424      -0.015366921      -0.000028518       0.001014489       0.000520069       0.000350033      37.871616607
