# ARTDECO : output file
# Radiances at the top of the atmosphere
#
# The single scattering intensity correction was not apply
#
# Result given for each geometry
# sza : solar zenith angle(s) (degree)
# vza : view  zenith angle(s) (degree)
# vaa : view azimuthal angle(s) (degree)
#
# total number of geometries
         270
# nsza, nvza, nvaa
           1          90           3
# number of elements of the Stokes vector
# 4 = full polarization, 3 = 3x3 approximation, 1 = scalar
           1
# number of wavelengths
           1
##################
# Wavelength (microns) 
       0.412000000
# CPU time for RT in sec(s) 
     0.199902058E-02
#         sza               vza              vaa              theta              I                 dI
      60.000000000       0.000000000       0.000000000     120.000000000  -32767.978454121       0.000000000
      60.000000000       0.000000000      90.000000000     120.000000000  -32767.978454121       0.000000000
      60.000000000       0.000000000     180.000000000     120.000000000  -32767.978454121       0.000000000
      60.000000000       1.000000000       0.000000000     119.000000000  -32767.978581351       0.000000000
      60.000000000       1.000000000      90.000000000     119.994961924  -32767.978451641       0.000000000
      60.000000000       1.000000000     180.000000000     121.000000000  -32767.978299663       0.000000000
      60.000000000       2.000000000       0.000000000     118.000000000  -32767.978683140       0.000000000
      60.000000000       2.000000000      90.000000000     119.979850765  -32767.978444199       0.000000000
      60.000000000       2.000000000     180.000000000     122.000000000  -32767.978116311       0.000000000
      60.000000000       3.000000000       0.000000000     117.000000000  -32767.978761350       0.000000000
      60.000000000       3.000000000      90.000000000     119.954675720  -32767.978431784       0.000000000
      60.000000000       3.000000000     180.000000000     123.000000000  -32767.977902565       0.000000000
      60.000000000       4.000000000       0.000000000     116.000000000  -32767.978817872       0.000000000
      60.000000000       4.000000000      90.000000000     119.919452093  -32767.978414380       0.000000000
      60.000000000       4.000000000     180.000000000     124.000000000  -32767.977657130       0.000000000
      60.000000000       5.000000000       0.000000000     115.000000000  -32767.978854583       0.000000000
      60.000000000       5.000000000      90.000000000     119.874201258  -32767.978391966       0.000000000
      60.000000000       5.000000000     180.000000000     125.000000000  -32767.977378954       0.000000000
      60.000000000       6.000000000       0.000000000     114.000000000  -32767.978873294       0.000000000
      60.000000000       6.000000000      90.000000000     119.818950607  -32767.978364512       0.000000000
      60.000000000       6.000000000     180.000000000     126.000000000  -32767.977067265       0.000000000
      60.000000000       7.000000000       0.000000000     113.000000000  -32767.978875709       0.000000000
      60.000000000       7.000000000      90.000000000     119.753733483  -32767.978331984       0.000000000
      60.000000000       7.000000000     180.000000000     127.000000000  -32767.976721601       0.000000000
      60.000000000       8.000000000       0.000000000     112.000000000  -32767.978863383       0.000000000
      60.000000000       8.000000000      90.000000000     119.678589103  -32767.978294341       0.000000000
      60.000000000       8.000000000     180.000000000     128.000000000  -32767.976341832       0.000000000
      60.000000000       9.000000000       0.000000000     111.000000000  -32767.978837679       0.000000000
      60.000000000       9.000000000      90.000000000     119.593562462  -32767.978251536       0.000000000
      60.000000000       9.000000000     180.000000000     129.000000000  -32767.975928187       0.000000000
      60.000000000      10.000000000       0.000000000     110.000000000  -32767.978799732       0.000000000
      60.000000000      10.000000000      90.000000000     119.498704231  -32767.978203515       0.000000000
