#
# Recomposed optical properties out of ARTDEC
#
# Used model for truncation was:
 dm
# number of wavelengths
           1
#      lambda         nBl   nangle   Trunc. Coeff.     sumF11    Cext        SSA              g  
     0.412000000E+00      8   1900     0.488154958E+00     0.200000506E+01     0.100000000E+01     0.900000000E+00     0.860000000E+00
# Phase matrix
# lambda =      0.4120
#         u                 F11                F22              F33               F44               F21               F34
    -0.100000000E+01     0.687959172E-01     0.802902517E-01    -0.802902517E-01    -0.980778701E-01     0.000000000E+00     0.000000000E+00
    -0.999998630E+00     0.688063488E-01     0.802921811E-01    -0.802921811E-01    -0.980710455E-01    -0.285416946E-05    -0.832344542E-06
    -0.999994530E+00     0.688375661E-01     0.802979551E-01    -0.802979551E-01    -0.980506223E-01    -0.113956468E-04    -0.332327158E-05
    -0.999987680E+00     0.688897180E-01     0.803076013E-01    -0.803076011E-01    -0.980165035E-01    -0.256655029E-04    -0.748483843E-05
    -0.999978100E+00     0.689626458E-01     0.803210906E-01    -0.803210898E-01    -0.979687929E-01    -0.456210824E-04    -0.133047386E-04
    -0.999965790E+00     0.690563413E-01     0.803384217E-01    -0.803384198E-01    -0.979074963E-01    -0.712610028E-04    -0.207827547E-04
    -0.999950740E+00     0.691708694E-01     0.803596070E-01    -0.803596032E-01    -0.978325716E-01    -0.102604312E-03    -0.299246814E-04
    -0.999932950E+00     0.693062168E-01     0.803846445E-01    -0.803846374E-01    -0.977440281E-01    -0.139648831E-03    -0.407301759E-04
    -0.999912420E+00     0.694623676E-01     0.804135318E-01    -0.804135197E-01    -0.976418766E-01    -0.182391982E-03    -0.531988329E-04
    -0.999889160E+00     0.696392276E-01     0.804462520E-01    -0.804462327E-01    -0.975261795E-01    -0.230809980E-03    -0.673241120E-04
    -0.999863160E+00     0.698368521E-01     0.804828162E-01    -0.804827867E-01    -0.973969014E-01    -0.284920279E-03    -0.831115571E-04
    -0.999834430E+00     0.700551419E-01     0.805232066E-01    -0.805231634E-01    -0.972541081E-01    -0.344698311E-03    -0.100554505E-03
    -0.999802950E+00     0.702942235E-01     0.805674476E-01    -0.805673864E-01    -0.970977176E-01    -0.410181532E-03    -0.119664443E-03
    -0.999768750E+00     0.705538410E-01     0.806154928E-01    -0.806154085E-01    -0.969278985E-01    -0.481302993E-03    -0.140422444E-03
    -0.999731800E+00     0.708341920E-01     0.806673797E-01    -0.806672662E-01    -0.967445227E-01    -0.558120141E-03    -0.162845939E-03
    -0.999692120E+00     0.711350916E-01     0.807230753E-01    -0.807229257E-01    -0.965477122E-01    -0.640586057E-03    -0.186921948E-03
    -0.999649710E+00     0.714565050E-01     0.807825742E-01    -0.807823804E-01    -0.963374912E-01    -0.728695025E-03    -0.212649571E-03
    -0.999604550E+00     0.717985459E-01     0.808458988E-01    -0.808456517E-01    -0.961137865E-01    -0.822482467E-03    -0.240039973E-03
    -0.999556660E+00     0.721610229E-01     0.809130149E-01    -0.809127043E-01    -0.958767250E-01    -0.921900326E-03    -0.269079995E-03
    -0.999506040E+00     0.725438936E-01     0.809839163E-01    -0.809835305E-01    -0.956263359E-01    -0.102694171E-02    -0.299768549E-03
    -0.999452680E+00     0.729471890E-01     0.810586101E-01    -0.810581361E-01    -0.953626006E-01    -0.113762008E-02    -0.332110546E-03
    -0.999396590E+00     0.733707863E-01     0.811370751E-01    -0.811364988E-01    -0.950856011E-01    -0.125390701E-02    -0.366098710E-03
    -0.999337760E+00     0.738147114E-01     0.812193179E-01    -0.812186233E-01    -0.947953223E-01    -0.137581515E-02    -0.401737823E-03
    -0.999276190E+00     0.742789125E-01     0.813053307E-01    -0.813045004E-01    -0.944918000E-01    -0.150333603E-02    -0.439026545E-03
    -0.999211890E+00     0.747632598E-01     0.813950911E-01    -0.813941061E-01    -0.941751210E-01    -0.163644008E-02    -0.477957417E-03
    -0.999144860E+00     0.752676969E-01     0.814885908E-01    -0.814874304E-01    -0.938453243E-01    -0.177511807E-02    -0.518528979E-03
    -0.999075090E+00     0.757922400E-01     0.815858347E-01    -0.815844762E-01    -0.935024015E-01    -0.191938106E-02    -0.560745756E-03
    -0.999002590E+00     0.763367526E-01     0.816867996E-01    -0.816852186E-01    -0.931464441E-01    -0.206919836E-02    -0.604600109E-03
    -0.998927350E+00     0.769012462E-01     0.817914898E-01    -0.817896600E-01    -0.927774469E-01    -0.222458023E-02    -0.650096435E-03
    -0.998849380E+00     0.774855797E-01     0.818998815E-01    -0.818977743E-01    -0.923955044E-01    -0.238549522E-02    -0.697226975E-03
    -0.998768670E+00     0.780897598E-01     0.820119782E-01    -0.820095631E-01    -0.920006150E-01    -0.255195280E-02    -0.745995996E-03
    -0.998685230E+00     0.787136410E-01     0.821277553E-01    -0.821249995E-01    -0.915928761E-01    -0.272392078E-02    -0.796395617E-03
    -0.998599060E+00     0.793571505E-01     0.822472020E-01    -0.822440705E-01    -0.911723382E-01    -0.290138724E-02    -0.848423940E-03
