# ARTDECO : output file
# Radiances at the top of the atmosphere
#   
# Result given for each geometry
# sza : solar zenith angle(s) (degree)
# vza : view  zenith angle(s) (degree)
# vaa : view azimuthal angle(s) (degree)
#
# total number of geometries
         270
# nsza, nvza, nvaa
           1          90           3
# number of elements of the Stokes vector
# 4 = full polarization, 3 = 3x3 approximation, 1 = scalar
           1
# number of wavelengths
           1
##################
# Wavelength (microns) 
       0.412000000
# CPU time for RT in sec(s) 
     0.199902058E-02
#         sza               vza              vaa              theta              I                 dI
      60.000000000       0.000000000       0.000000000     120.000000000       0.021899830       0.000000000
      60.000000000       0.000000000      90.000000000     120.000000000       0.021899830       0.000000000
      60.000000000       0.000000000     180.000000000     120.000000000       0.021899830       0.000000000
      60.000000000       1.000000000       0.000000000     119.000000000       0.021697008       0.000000000
      60.000000000       1.000000000      90.000000000     119.994961924       0.021901875       0.000000000
      60.000000000       1.000000000     180.000000000     121.000000000       0.022121288       0.000000000
      60.000000000       2.000000000       0.000000000     118.000000000       0.021483555       0.000000000
      60.000000000       2.000000000      90.000000000     119.979850765       0.021908014       0.000000000
      60.000000000       2.000000000     180.000000000     122.000000000       0.022280130       0.000000000
      60.000000000       3.000000000       0.000000000     117.000000000       0.021300794       0.000000000
      60.000000000       3.000000000      90.000000000     119.954675720       0.021918256       0.000000000
      60.000000000       3.000000000     180.000000000     123.000000000       0.022438084       0.000000000
      60.000000000       4.000000000       0.000000000     116.000000000       0.021111455       0.000000000
      60.000000000       4.000000000      90.000000000     119.919452093       0.021932613       0.000000000
      60.000000000       4.000000000     180.000000000     124.000000000       0.022548470       0.000000000
      60.000000000       5.000000000       0.000000000     115.000000000       0.020995577       0.000000000
      60.000000000       5.000000000      90.000000000     119.874201258       0.021951469       0.000000000
      60.000000000       5.000000000     180.000000000     125.000000000       0.022655006       0.000000000
      60.000000000       6.000000000       0.000000000     114.000000000       0.020884228       0.000000000
      60.000000000       6.000000000      90.000000000     119.818950607       0.021974640       0.000000000
      60.000000000       6.000000000     180.000000000     126.000000000       0.022714310       0.000000000
      60.000000000       7.000000000       0.000000000     113.000000000       0.020831925       0.000000000
      60.000000000       7.000000000      90.000000000     119.753733483       0.022002668       0.000000000
      60.000000000       7.000000000     180.000000000     127.000000000       0.022801181       0.000000000
      60.000000000       8.000000000       0.000000000     112.000000000       0.020790398       0.000000000
      60.000000000       8.000000000      90.000000000     119.678589103       0.022035375       0.000000000
      60.000000000       8.000000000     180.000000000     128.000000000       0.022896881       0.000000000
      60.000000000       9.000000000       0.000000000     111.000000000       0.020796277       0.000000000
