# ARTDECO : output file
# Radiances at the top of the atmosphere
#   
# Result given for each geometry
# sza : solar zenith angle(s) (degree)
# vza : view  zenith angle(s) (degree)
# vaa : view azimuthal angle(s) (degree)
#
# total number of geometries
         270
# nsza, nvza, nvaa
           1          90           3
# number of elements of the Stokes vector
# 4 = full polarization, 3 = 3x3 approximation, 1 = scalar
           1
# number of wavelengths
           1
##################
# Wavelength (microns) 
       0.412000000
# CPU time for RT in sec(s) 
     0.414836931E+01
#         sza               vza              vaa              theta              I                 dI
      60.000000000       0.000000000       0.000000000     120.000000000       0.021891280       0.000000000
      60.000000000       0.000000000      90.000000000     120.000000000       0.021891280       0.000000000
      60.000000000       0.000000000     180.000000000     120.000000000       0.021891280       0.000000000
      60.000000000       1.000000000       0.000000000     119.000000000       0.021696544       0.000000000
      60.000000000       1.000000000      90.000000000     119.994961924       0.021892691       0.000000000
      60.000000000       1.000000000     180.000000000     121.000000000       0.022093608       0.000000000
      60.000000000       2.000000000       0.000000000     118.000000000       0.021487281       0.000000000
      60.000000000       2.000000000      90.000000000     119.979850765       0.021897137       0.000000000
      60.000000000       2.000000000     180.000000000     122.000000000       0.022239548       0.000000000
      60.000000000       3.000000000       0.000000000     117.000000000       0.021303372       0.000000000
      60.000000000       3.000000000      90.000000000     119.954675720       0.021905196       0.000000000
      60.000000000       3.000000000     180.000000000     123.000000000       0.022386184       0.000000000
      60.000000000       4.000000000       0.000000000     116.000000000       0.021120269       0.000000000
      60.000000000       4.000000000      90.000000000     119.919452093       0.021917628       0.000000000
      60.000000000       4.000000000     180.000000000     124.000000000       0.022498614       0.000000000
      60.000000000       5.000000000       0.000000000     115.000000000       0.021007777       0.000000000
      60.000000000       5.000000000      90.000000000     119.874201258       0.021934538       0.000000000
      60.000000000       5.000000000     180.000000000     125.000000000       0.022614335       0.000000000
      60.000000000       6.000000000       0.000000000     114.000000000       0.020906973       0.000000000
      60.000000000       6.000000000      90.000000000     119.818950607       0.021956861       0.000000000
      60.000000000       6.000000000     180.000000000     126.000000000       0.022692996       0.000000000
      60.000000000       7.000000000       0.000000000     113.000000000       0.020858085       0.000000000
      60.000000000       7.000000000      90.000000000     119.753733483       0.021983986       0.000000000
      60.000000000       7.000000000     180.000000000     127.000000000       0.022792033       0.000000000
      60.000000000       8.000000000       0.000000000     112.000000000       0.020815389       0.000000000
      60.000000000       8.000000000      90.000000000     119.678589103       0.022016200       0.000000000
      60.000000000       8.000000000     180.000000000     128.000000000       0.022893495       0.000000000
      60.000000000       9.000000000       0.000000000     111.000000000       0.020808857       0.000000000
      60.000000000       9.000000000      90.000000000     119.593562462       0.022053103       0.000000000
      60.000000000       9.000000000     180.000000000     129.000000000       0.023012989       0.000000000
      60.000000000      10.000000000       0.000000000     110.000000000       0.020812087       0.000000000
      60.000000000      10.000000000      90.000000000     119.498704231       0.022094314       0.000000000
      60.000000000      10.000000000     180.000000000     130.000000000       0.023175926       0.000000000
      60.000000000      11.000000000       0.000000000     109.000000000       0.020845927       0.000000000
      60.000000000      11.000000000      90.000000000     119.394070634       0.022139638       0.000000000
      60.000000000      11.000000000     180.000000000     131.000000000       0.023403683       0.000000000
      60.000000000      12.000000000       0.000000000     108.000000000       0.020918029       0.000000000
      60.000000000      12.000000000      90.000000000     119.279723324       0.022189188       0.000000000
      60.000000000      12.000000000     180.000000000     132.000000000       0.023706702       0.000000000
      60.000000000      13.000000000       0.000000000     107.000000000       0.021005177       0.000000000
      60.000000000      13.000000000      90.000000000     119.155729238       0.022243344       0.000000000
      60.000000000      13.000000000     180.000000000     133.000000000       0.024157190       0.000000000
      60.000000000      14.000000000       0.000000000     106.000000000       0.021126300       0.000000000
      60.000000000      14.000000000      90.000000000     119.022160452       0.022301939       0.000000000
      60.000000000      14.000000000     180.000000000     134.000000000       0.024749092       0.000000000
      60.000000000      15.000000000       0.000000000     105.000000000       0.021277390       0.000000000
      60.000000000      15.000000000      90.000000000     118.879094017       0.022365937       0.000000000
      60.000000000      15.000000000     180.000000000     135.000000000       0.025566450       0.000000000
      60.000000000      16.000000000       0.000000000     104.000000000       0.021413537       0.000000000
      60.000000000      16.000000000      90.000000000     118.726611796       0.022434439       0.000000000
      60.000000000      16.000000000     180.000000000     136.000000000       0.026696203       0.000000000
      60.000000000      17.000000000       0.000000000     103.000000000       0.021597217       0.000000000
      60.000000000      17.000000000      90.000000000     118.564800285       0.022506665       0.000000000
      60.000000000      17.000000000     180.000000000     137.000000000       0.028141911       0.000000000
      60.000000000      18.000000000       0.000000000     102.000000000       0.021769069       0.000000000
      60.000000000      18.000000000      90.000000000     118.393750435       0.022580627       0.000000000
      60.000000000      18.000000000     180.000000000     138.000000000       0.030005968       0.000000000
      60.000000000      19.000000000       0.000000000     101.000000000       0.021984300       0.000000000
      60.000000000      19.000000000      90.000000000     118.213557466       0.022654483       0.000000000
      60.000000000      19.000000000     180.000000000     139.000000000       0.032245280       0.000000000
      60.000000000      20.000000000       0.000000000     100.000000000       0.022223749       0.000000000
      60.000000000      20.000000000      90.000000000     118.024320674       0.022729089       0.000000000
      60.000000000      20.000000000     180.000000000     140.000000000       0.034629608       0.000000000
      60.000000000      21.000000000       0.000000000      99.000000000       0.022500856       0.000000000
      60.000000000      21.000000000      90.000000000     117.826143233       0.022808469       0.000000000
      60.000000000      21.000000000     180.000000000     141.000000000       0.036708876       0.000000000
      60.000000000      22.000000000       0.000000000      98.000000000       0.022779637       0.000000000
      60.000000000      22.000000000      90.000000000     117.619132006       0.022898518       0.000000000
      60.000000000      22.000000000     180.000000000     142.000000000       0.037959031       0.000000000
      60.000000000      23.000000000       0.000000000      97.000000000       0.023105020       0.000000000
      60.000000000      23.000000000      90.000000000     117.403397336       0.023001483       0.000000000
      60.000000000      23.000000000     180.000000000     143.000000000       0.038085700       0.000000000
      60.000000000      24.000000000       0.000000000      96.000000000       0.023436043       0.000000000
      60.000000000      24.000000000      90.000000000     117.179052852       0.023114172       0.000000000
      60.000000000      24.000000000     180.000000000     144.000000000       0.037223097       0.000000000
      60.000000000      25.000000000       0.000000000      95.000000000       0.023804958       0.000000000
      60.000000000      25.000000000      90.000000000     116.946215263       0.023230212       0.000000000
      60.000000000      25.000000000     180.000000000     145.000000000       0.035981787       0.000000000
      60.000000000      26.000000000       0.000000000      94.000000000       0.024187385       0.000000000
      60.000000000      26.000000000      90.000000000     116.705004161       0.023344513       0.000000000
      60.000000000      26.000000000     180.000000000     146.000000000       0.034815033       0.000000000
      60.000000000      27.000000000       0.000000000      93.000000000       0.024651858       0.000000000
      60.000000000      27.000000000      90.000000000     116.455541824       0.023457984       0.000000000
      60.000000000      27.000000000     180.000000000     147.000000000       0.034232524       0.000000000
      60.000000000      28.000000000       0.000000000      92.000000000       0.025102331       0.000000000
      60.000000000      28.000000000      90.000000000     116.197953011       0.023576262       0.000000000
      60.000000000      28.000000000     180.000000000     148.000000000       0.034011833       0.000000000
      60.000000000      29.000000000       0.000000000      91.000000000       0.025619180       0.000000000
      60.000000000      29.000000000      90.000000000     115.932364776       0.023707759       0.000000000
      60.000000000      29.000000000     180.000000000     149.000000000       0.034204004       0.000000000
      60.000000000      30.000000000       0.000000000      90.000000000       0.026194207       0.000000000
      60.000000000      30.000000000      90.000000000     115.658906273       0.023854489       0.000000000
      60.000000000      30.000000000     180.000000000     150.000000000       0.034464482       0.000000000
      60.000000000      31.000000000       0.000000000      89.000000000       0.026748817       0.000000000
      60.000000000      31.000000000      90.000000000     115.377708569       0.024010210       0.000000000
