#
# ARTDECO : Beta_l
#
# Used model for truncation was:
 dm
# number of wavelengths
           1
# wlambda(microns)     nBetal     Trunc. Coeff.     Cext      SSA              g 
     0.412000000E+00     48     0.347192687E+00     0.100000000E+01     0.900000000E+00     0.860000000E+00
# Betal
# lambda =      0.4120
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.927599494E+00     0.000000000E+00     0.000000000E+00
      1     0.236185305E+01     0.000000000E+00     0.000000000E+00     0.242063369E+01     0.000000000E+00     0.000000000E+00
      2     0.339257187E+01     0.424929005E+01     0.406596302E+01     0.331051795E+01    -0.298225091E-02     0.290548099E-01
      3     0.344761483E+01     0.414409988E+01     0.417751148E+01     0.349382895E+01    -0.139726334E+00    -0.131814355E-01
      4     0.343409346E+01     0.396570322E+01     0.389894120E+01     0.344590034E+01    -0.780027928E-02     0.589465459E-01
      5     0.345665246E+01     0.362525745E+01     0.354788331E+01     0.342078296E+01    -0.139835524E+00    -0.183960914E-01
      6     0.335038396E+01     0.366308782E+01     0.367259053E+01     0.339586929E+01     0.240501369E-01     0.127509965E-01
      7     0.358444776E+01     0.354822446E+01     0.347385648E+01     0.354649598E+01    -0.231573621E-02     0.101020654E-01
      8     0.367085134E+01     0.387206536E+01     0.385012163E+01     0.365720371E+01    -0.348217613E-01    -0.325465556E-01
      9     0.381587277E+01     0.377677328E+01     0.378491137E+01     0.383882445E+01     0.957616692E-01     0.151475653E-01
     10     0.413819326E+01     0.422168632E+01     0.415452878E+01     0.407467397E+01    -0.652590329E-01    -0.172406853E-01
     11     0.416222614E+01     0.418964240E+01     0.422944319E+01     0.420076149E+01     0.982717124E-01    -0.259670305E-01
     12     0.452190225E+01     0.452457160E+01     0.448416978E+01     0.448771732E+01    -0.130853949E-03     0.213437132E-01
     13     0.463545683E+01     0.468671499E+01     0.467787951E+01     0.462306948E+01     0.100530174E-01    -0.490871691E-01
     14     0.478115840E+01     0.479497206E+01     0.481623365E+01     0.480715504E+01     0.103988890E+00     0.172623964E-01
     15     0.506195914E+01     0.506694482E+01     0.501461053E+01     0.501227118E+01    -0.446077207E-01    -0.204978392E-01
     16     0.507951983E+01     0.514201254E+01     0.516678639E+01     0.510398485E+01     0.926988438E-01    -0.301405376E-01
     17     0.527264017E+01     0.524743608E+01     0.523259559E+01     0.526483897E+01     0.422264489E-01     0.215440709E-01
     18     0.543261258E+01     0.549163324E+01     0.545191607E+01     0.539242345E+01    -0.268349825E-01    -0.628738479E-01
     19     0.538515829E+01     0.538914882E+01     0.543181217E+01     0.543131922E+01     0.133953213E+00     0.847594832E-02
     20     0.563658282E+01     0.565539818E+01     0.559249924E+01     0.557771505E+01    -0.541137952E-01    -0.223631785E-01
     21     0.555795546E+01     0.559236904E+01     0.561133063E+01     0.557560098E+01     0.791608469E-01    -0.627321186E-01
     22     0.564666535E+01     0.565337638E+01     0.564806976E+01     0.564588208E+01     0.432450800E-01     0.316522277E-01
     23     0.569970022E+01     0.572582532E+01     0.568721298E+01     0.566135481E+01    -0.210991506E-01    -0.832495709E-01
     24     0.561211820E+01     0.563941927E+01     0.566810748E+01     0.564201372E+01     0.102955545E+00    -0.300081257E-02
     25     0.567692390E+01     0.568037802E+01     0.564738272E+01     0.564762405E+01    -0.221837954E-01    -0.195388202E-01
     26     0.559445838E+01     0.563809904E+01     0.563101029E+01     0.558760911E+01     0.526711264E-01    -0.766241148E-01
     27     0.551103472E+01     0.551019400E+01     0.552476796E+01     0.552958672E+01     0.589067563E-01     0.173712142E-01
     28     0.551722787E+01     0.555378610E+01     0.550763512E+01     0.547343852E+01    -0.262583312E-01    -0.804377736E-01
     29     0.530182501E+01     0.531609157E+01     0.534758047E+01     0.533601337E+01     0.107541518E+00    -0.288825696E-01
