# ARTDECO : output file
# Radiances at the top of the atmosphere
#
# The single scattering intensity correction was not apply
#
# Result given for each geometry
# sza : solar zenith angle(s) (degree)
# vza : view  zenith angle(s) (degree)
# vaa : view azimuthal angle(s) (degree)
#
# total number of geometries
         270
# nsza, nvza, nvaa
           1          90           3
# number of elements of the Stokes vector
# 4 = full polarization, 3 = 3x3 approximation, 1 = scalar
           3
# number of wavelengths
           1
##################
# Wavelength (microns) 
       0.412000000
# CPU time for RT in sec(s) 
     0.893874054E+02
#         sza               vza              vaa               theta              I                 Q                U                 dI                dQ                dU              Polar. (%)
      60.000000000       0.000000000       0.000000000     120.000000000       0.021473412      -0.004934102       0.000000000       0.000000000       0.000000000       0.000000000      22.977726974
      60.000000000       0.000000000      90.000000000     120.000000000       0.021473412       0.004934102      -0.000000000       0.000000000       0.000000000       0.000000000      22.977726974
      60.000000000       0.000000000     180.000000000     120.000000000       0.021473412      -0.004934102       0.000000000       0.000000000       0.000000000       0.000000000      22.977726974
      60.000000000       1.000000000       0.000000000     119.000000000       0.021381384      -0.004950171       0.000000000       0.000000000       0.000000000       0.000000000      23.151778600
      60.000000000       1.000000000      90.000000000     119.994961924       0.021474839       0.004934044      -0.000102736       0.000000000       0.000000000       0.000000000      22.980910451
      60.000000000       1.000000000     180.000000000     121.000000000       0.021815155      -0.004900468       0.000000000       0.000000000       0.000000000       0.000000000      22.463592213
      60.000000000       2.000000000       0.000000000     118.000000000       0.021476015      -0.004912223       0.000000000       0.000000000       0.000000000       0.000000000      22.873064982
      60.000000000       2.000000000      90.000000000     119.979850765       0.021479332       0.004933853      -0.000205462       0.000000000       0.000000000       0.000000000      22.990143176
      60.000000000       2.000000000     180.000000000     122.000000000       0.022299956      -0.004888678       0.000000000       0.000000000       0.000000000       0.000000000      21.922367784
      60.000000000       3.000000000       0.000000000     117.000000000       0.021570733      -0.004815610       0.000000000       0.000000000       0.000000000       0.000000000      22.324741175
      60.000000000       3.000000000      90.000000000     119.954675720       0.021487469       0.004933483      -0.000308173       0.000000000       0.000000000       0.000000000      23.004564054
      60.000000000       3.000000000     180.000000000     123.000000000       0.022718048      -0.004909203       0.000000000       0.000000000       0.000000000       0.000000000      21.609265262
      60.000000000       4.000000000       0.000000000     116.000000000       0.021484144      -0.004694156       0.000000000       0.000000000       0.000000000       0.000000000      21.849395076
      60.000000000       4.000000000      90.000000000     119.919452093       0.021500008       0.004932866      -0.000410874       0.000000000       0.000000000       0.000000000      23.023006770
      60.000000000       4.000000000     180.000000000     124.000000000       0.022892241      -0.004930980       0.000000000       0.000000000       0.000000000       0.000000000      21.539964317
      60.000000000       5.000000000       0.000000000     115.000000000       0.021166080      -0.004600853       0.000000000       0.000000000       0.000000000       0.000000000      21.736918348
      60.000000000       5.000000000      90.000000000     119.874201258       0.021517688       0.004931930      -0.000513577       0.000000000       0.000000000       0.000000000      23.044286935
      60.000000000       5.000000000     180.000000000     125.000000000       0.022794062      -0.004898756       0.000000000       0.000000000       0.000000000       0.000000000      21.491371054
      60.000000000       6.000000000       0.000000000     114.000000000       0.020736739      -0.004575834       0.000000000       0.000000000       0.000000000       0.000000000      22.066314396
      60.000000000       6.000000000      90.000000000     119.818950607       0.021541076       0.004930604      -0.000616294       0.000000000       0.000000000       0.000000000      23.067424039
      60.000000000       6.000000000     180.000000000     126.000000000       0.022564828      -0.004771060       0.000000000       0.000000000       0.000000000       0.000000000      21.143791228
      60.000000000       7.000000000       0.000000000     113.000000000       0.020411394      -0.004622590       0.000000000       0.000000000       0.000000000       0.000000000      22.647105299
      60.000000000       7.000000000      90.000000000     119.753733483       0.021570539       0.004928837      -0.000719027       0.000000000       0.000000000       0.000000000      23.091716134
      60.000000000       7.000000000     180.000000000     127.000000000       0.022428070      -0.004554282       0.000000000       0.000000000       0.000000000       0.000000000      20.306170851
      60.000000000       8.000000000       0.000000000     112.000000000       0.020359061      -0.004707482       0.000000000       0.000000000       0.000000000       0.000000000      23.122293044
      60.000000000       8.000000000      90.000000000     119.678589103       0.021606324       0.004926594      -0.000821758       0.000000000       0.000000000       0.000000000      23.116650687
      60.000000000       8.000000000     180.000000000     128.000000000       0.022550074      -0.004308446       0.000000000       0.000000000       0.000000000       0.000000000      19.106126492
      60.000000000       9.000000000       0.000000000     111.000000000       0.020588526      -0.004782142       0.000000000       0.000000000       0.000000000       0.000000000      23.227220503
      60.000000000       9.000000000      90.000000000     119.593562462       0.021648711       0.004923850      -0.000924447       0.000000000       0.000000000       0.000000000      23.141703376
      60.000000000       9.000000000     180.000000000     129.000000000       0.022938629      -0.004117106       0.000000000       0.000000000       0.000000000       0.000000000      17.948352633
      60.000000000      10.000000000       0.000000000     110.000000000       0.020938757      -0.004813819       0.000000000       0.000000000       0.000000000       0.000000000      22.989996673
      60.000000000      10.000000000      90.000000000     119.498704231       0.021698148       0.004920580      -0.001027025       0.000000000       0.000000000       0.000000000      23.166117493
      60.000000000      10.000000000     180.000000000     130.000000000       0.023445432      -0.004037789       0.000000000       0.000000000       0.000000000       0.000000000      17.222070142
      60.000000000      11.000000000       0.000000000     109.000000000       0.021182536      -0.004804165       0.000000000       0.000000000       0.000000000       0.000000000      22.679839628
      60.000000000      11.000000000      90.000000000     119.394070634       0.021755299       0.004916736      -0.001129400       0.000000000       0.000000000       0.000000000      23.188754581
      60.000000000      11.000000000     180.000000000     131.000000000       0.023871475      -0.004065216       0.000000000       0.000000000       0.000000000       0.000000000      17.029595054
      60.000000000      12.000000000       0.000000000     108.000000000       0.021176653      -0.004785076       0.000000000       0.000000000       0.000000000       0.000000000      22.595995789
      60.000000000      12.000000000      90.000000000     119.279723324       0.021821004       0.004912224      -0.001231467       0.000000000       0.000000000       0.000000000      23.208067798
      60.000000000      12.000000000     180.000000000     132.000000000       0.024109595      -0.004135752       0.000000000       0.000000000       0.000000000       0.000000000      17.153966683
      60.000000000      13.000000000       0.000000000     107.000000000       0.020959223      -0.004795269       0.000000000       0.000000000       0.000000000       0.000000000      22.879040469
      60.000000000      13.000000000      90.000000000     119.155729238       0.021896139       0.004906897      -0.001333113       0.000000000       0.000000000       0.000000000      23.222195139
      60.000000000      13.000000000     180.000000000     133.000000000       0.024235236      -0.004178027       0.000000000       0.000000000       0.000000000       0.000000000      17.239473364
      60.000000000      14.000000000       0.000000000     106.000000000       0.020727666      -0.004853498       0.000000000       0.000000000       0.000000000       0.000000000      23.415556177
      60.000000000      14.000000000      90.000000000     119.022160452       0.021981472       0.004900541      -0.001434222       0.000000000       0.000000000       0.000000000      23.229126144
      60.000000000      14.000000000     180.000000000     134.000000000       0.024488820      -0.004184168       0.000000000       0.000000000       0.000000000       0.000000000      17.086031962
      60.000000000      15.000000000       0.000000000     105.000000000       0.020709151      -0.004945889       0.000000000       0.000000000       0.000000000       0.000000000      23.882627980
      60.000000000      15.000000000      90.000000000     118.879094017       0.022077548       0.004892894      -0.001534670       0.000000000       0.000000000       0.000000000      23.226880814
      60.000000000      15.000000000     180.000000000     135.000000000       0.025159102      -0.004257093       0.000000000       0.000000000       0.000000000       0.000000000      16.920685740
      60.000000000      16.000000000       0.000000000     104.000000000       0.021007743      -0.005035193       0.000000000       0.000000000       0.000000000       0.000000000      23.968273033
      60.000000000      16.000000000      90.000000000     118.726611796       0.022184638       0.004883658      -0.001634320       0.000000000       0.000000000       0.000000000      23.213655131
      60.000000000      16.000000000     180.000000000     136.000000000       0.026434651      -0.004595387       0.000000000       0.000000000       0.000000000       0.000000000      17.383950939
      60.000000000      17.000000000       0.000000000     103.000000000       0.021530415      -0.005085282       0.000000000       0.000000000       0.000000000       0.000000000      23.619061308
      60.000000000      17.000000000      90.000000000     118.564800285       0.022302753       0.004872530      -0.001733010       0.000000000       0.000000000       0.000000000      23.187920759
      60.000000000      17.000000000     180.000000000     137.000000000       0.028305310      -0.005408121       0.000000000       0.000000000       0.000000000       0.000000000      19.106383843
      60.000000000      18.000000000       0.000000000     102.000000000       0.022044016      -0.005084506       0.000000000       0.000000000       0.000000000       0.000000000      23.065244157
      60.000000000      18.000000000      90.000000000     118.393750435       0.022431665       0.004859229      -0.001830551       0.000000000       0.000000000       0.000000000      23.148497474
      60.000000000      18.000000000     180.000000000     138.000000000       0.030561081      -0.006792416       0.000000000       0.000000000       0.000000000       0.000000000      22.225704827
      60.000000000      19.000000000       0.000000000     101.000000000       0.022328771      -0.005052669       0.000000000       0.000000000       0.000000000       0.000000000      22.628513064
      60.000000000      19.000000000      90.000000000     118.213557466       0.022570896       0.004843513      -0.001926721       0.000000000       0.000000000       0.000000000      23.094630058
      60.000000000      19.000000000     180.000000000     139.000000000       0.032877334      -0.008634110       0.000000000       0.000000000       0.000000000       0.000000000      26.261589205
      60.000000000      20.000000000       0.000000000     100.000000000       0.022327810      -0.005027390       0.000000000       0.000000000       0.000000000       0.000000000      22.516268117
      60.000000000      20.000000000      90.000000000     118.024320674       0.022719651       0.004825194      -0.002021274       0.000000000       0.000000000       0.000000000      23.026093059
      60.000000000      20.000000000     180.000000000     140.000000000       0.034930559      -0.010589440       0.000000000       0.000000000       0.000000000       0.000000000      30.315690714
      60.000000000      21.000000000       0.000000000      99.000000000       0.022191700      -0.005039163       0.000000000       0.000000000       0.000000000       0.000000000      22.707420747
      60.000000000      21.000000000      90.000000000     117.826143233       0.022876709       0.004804144      -0.002113957       0.000000000       0.000000000       0.000000000      22.943325007
      60.000000000      21.000000000     180.000000000     141.000000000       0.036483986      -0.012171411       0.000000000       0.000000000       0.000000000       0.000000000      33.360968925
      60.000000000      22.000000000       0.000000000      98.000000000       0.022184311      -0.005091598       0.000000000       0.000000000       0.000000000       0.000000000      22.951343841
      60.000000000      22.000000000      90.000000000     117.619132006       0.023040312       0.004780308      -0.002204530       0.000000000       0.000000000       0.000000000      22.847572127
      60.000000000      22.000000000     180.000000000     142.000000000       0.037414904      -0.012914387       0.000000000       0.000000000       0.000000000       0.000000000      34.516691634
      60.000000000      23.000000000       0.000000000      97.000000000       0.022508785      -0.005159641       0.000000000       0.000000000       0.000000000       0.000000000      22.922789766
      60.000000000      23.000000000      90.000000000     117.403397336       0.023208113       0.004753720      -0.002292791       0.000000000       0.000000000       0.000000000      22.741010934
      60.000000000      23.000000000     180.000000000     143.000000000       0.037698747      -0.012549623       0.000000000       0.000000000       0.000000000       0.000000000      33.289231476
      60.000000000      24.000000000       0.000000000      96.000000000       0.023168374      -0.005206588       0.000000000       0.000000000       0.000000000       0.000000000      22.472825867
      60.000000000      24.000000000      90.000000000     117.179052852       0.023377207       0.004724536      -0.002378607       0.000000000       0.000000000       0.000000000      22.626821678
      60.000000000      24.000000000     180.000000000     144.000000000       0.037387448      -0.011114675       0.000000000       0.000000000       0.000000000       0.000000000      29.728361311
      60.000000000      25.000000000       0.000000000      95.000000000       0.023957648      -0.005208362       0.000000000       0.000000000       0.000000000       0.000000000      21.739873745
      60.000000000      25.000000000      90.000000000     116.946215263       0.023544269       0.004693067      -0.002461940       0.000000000       0.000000000       0.000000000      22.509195071
      60.000000000      25.000000000     180.000000000     145.000000000       0.036607674      -0.008946906       0.000000000       0.000000000       0.000000000       0.000000000      24.439975231
      60.000000000      26.000000000       0.000000000      94.000000000       0.024595046      -0.005168971       0.000000000       0.000000000       0.000000000       0.000000000      21.016308264
      60.000000000      26.000000000      90.000000000     116.705004161       0.023705766       0.004659819      -0.002542873       0.000000000       0.000000000       0.000000000      22.393264637
      60.000000000      26.000000000     180.000000000     146.000000000       0.035571021      -0.006562759       0.000000000       0.000000000       0.000000000       0.000000000      18.449734325
      60.000000000      27.000000000       0.000000000      93.000000000       0.024912541      -0.005117064       0.000000000       0.000000000       0.000000000       0.000000000      20.540114536
      60.000000000      27.000000000      90.000000000     116.455541824       0.023858209       0.004625504      -0.002621640       0.000000000       0.000000000       0.000000000      22.284961517
      60.000000000      27.000000000     180.000000000     147.000000000       0.034562413      -0.004474932      -0.000000000       0.000000000       0.000000000       0.000000000      12.947393539
      60.000000000      28.000000000       0.000000000      92.000000000       0.024976085      -0.005086154       0.000000000       0.000000000       0.000000000       0.000000000      20.364097276
      60.000000000      28.000000000      90.000000000     116.197953011       0.023998436       0.004591042      -0.002698642       0.000000000       0.000000000       0.000000000      22.190788207
      60.000000000      28.000000000     180.000000000     148.000000000       0.033878428      -0.003024729      -0.000000000       0.000000000       0.000000000       0.000000000       8.928185163
