#
# Recomposed optical properties out of ARTDEC
#
# Used model for truncation was:
 dm
# number of wavelengths
           1
#      lambda         nBl   nangle   Trunc. Coeff.     sumF11    Cext        SSA              g  
     0.412000000E+00     48   1900     0.347192687E+00     0.200008798E+01     0.100000000E+01     0.900000000E+00     0.860000000E+00
# Phase matrix
# lambda =      0.4120
#         u                 F11                F22              F33               F44               F21               F34
    -0.100000000E+01     0.564787829E+00     0.219249671E+00    -0.219249671E+00     0.119872848E+00     0.000000000E+00     0.000000000E+00
    -0.999998630E+00     0.564717704E+00     0.219173720E+00    -0.219173715E+00     0.119964732E+00     0.754426181E-04    -0.553305678E-04
    -0.999994530E+00     0.564507627E+00     0.218946659E+00    -0.218946585E+00     0.120239029E+00     0.300969435E-03    -0.220647494E-03
    -0.999987680E+00     0.564155937E+00     0.218568099E+00    -0.218567724E+00     0.120695032E+00     0.676927866E-03    -0.495943072E-03
    -0.999978100E+00     0.563662608E+00     0.218040338E+00    -0.218039151E+00     0.121328010E+00     0.120096910E-02    -0.879061498E-03
    -0.999965790E+00     0.563026185E+00     0.217365037E+00    -0.217362135E+00     0.122133252E+00     0.187135481E-02    -0.136812669E-02
    -0.999950740E+00     0.562244307E+00     0.216543783E+00    -0.216537745E+00     0.123105394E+00     0.268640260E-02    -0.196113669E-02
    -0.999932950E+00     0.561314754E+00     0.215579177E+00    -0.215567946E+00     0.124237140E+00     0.364340303E-02    -0.265517884E-02
    -0.999912420E+00     0.560234963E+00     0.214474283E+00    -0.214455036E+00     0.125519967E+00     0.473917801E-02    -0.344684580E-02
    -0.999889160E+00     0.559002582E+00     0.213233150E+00    -0.213202165E+00     0.126943577E+00     0.596956656E-02    -0.433187518E-02
    -0.999863160E+00     0.557613919E+00     0.211859198E+00    -0.211811709E+00     0.128497792E+00     0.733102924E-02    -0.530631491E-02
    -0.999834430E+00     0.556066097E+00     0.210357345E+00    -0.210287403E+00     0.130170181E+00     0.881854889E-02    -0.636502452E-02
    -0.999802950E+00     0.554354407E+00     0.208731372E+00    -0.208631662E+00     0.131949067E+00     0.104282492E-01    -0.750355569E-02
    -0.999768750E+00     0.552476689E+00     0.206988058E+00    -0.206849783E+00     0.133819043E+00     0.121533041E-01    -0.871526565E-02
    -0.999731800E+00     0.550427378E+00     0.205131507E+00    -0.204944155E+00     0.135767213E+00     0.139895645E-01    -0.999530466E-02
    -0.999692120E+00     0.548203579E+00     0.203168760E+00    -0.202919976E+00     0.137777226E+00     0.159300147E-01    -0.113367313E-01
    -0.999649710E+00     0.545801275E+00     0.201106202E+00    -0.200781584E+00     0.139833205E+00     0.179683309E-01    -0.127330298E-01
    -0.999604550E+00     0.543215323E+00     0.198949632E+00    -0.198532487E+00     0.141919633E+00     0.200988239E-01    -0.141780571E-01
    -0.999556660E+00     0.540442929E+00     0.196707119E+00    -0.196178341E+00     0.144018647E+00     0.223136218E-01    -0.156641469E-01
    -0.999506040E+00     0.537480299E+00     0.194386077E+00    -0.193723900E+00     0.146113035E+00     0.246055734E-01    -0.171841128E-01
    -0.999452680E+00     0.534323227E+00     0.191993781E+00    -0.191173534E+00     0.148185718E+00     0.269677423E-01    -0.187309020E-01
    -0.999396590E+00     0.530968916E+00     0.189538702E+00    -0.188532643E+00     0.150218678E+00     0.293921002E-01    -0.202967569E-01
    -0.999337760E+00     0.527413669E+00     0.187028688E+00    -0.185805716E+00     0.152194617E+00     0.318713253E-01    -0.218744120E-01
    -0.999276190E+00     0.523654719E+00     0.184472289E+00    -0.182997747E+00     0.154095906E+00     0.343975073E-01    -0.234562668E-01
    -0.999211890E+00     0.519690313E+00     0.181878674E+00    -0.180114162E+00     0.155904829E+00     0.369622311E-01    -0.250344799E-01
    -0.999144860E+00     0.515518538E+00     0.179256775E+00    -0.177159894E+00     0.157604304E+00     0.395574283E-01    -0.266015221E-01
    -0.999075090E+00     0.511137349E+00     0.176615324E+00    -0.174139390E+00     0.159177852E+00     0.421753484E-01    -0.281501561E-01
    -0.999002590E+00     0.506546486E+00     0.173963969E+00    -0.171057896E+00     0.160609006E+00     0.448074562E-01    -0.296728021E-01
    -0.998927350E+00     0.501745017E+00     0.171311732E+00    -0.167919706E+00     0.161882310E+00     0.474459618E-01    -0.311624619E-01
    -0.998849380E+00     0.496733907E+00     0.168668445E+00    -0.164729839E+00     0.162982626E+00     0.500823975E-01    -0.326119151E-01
    -0.998768670E+00     0.491513508E+00     0.166043313E+00    -0.161492352E+00     0.163895904E+00     0.527090498E-01    -0.340145459E-01
    -0.998685230E+00     0.486086161E+00     0.163446237E+00    -0.158211962E+00     0.164608705E+00     0.553176348E-01    -0.353636330E-01
    -0.998599060E+00     0.480454298E+00     0.160886774E+00    -0.154892809E+00     0.165108689E+00     0.579003348E-01    -0.366529336E-01
    -0.998510160E+00     0.474621108E+00     0.158374455E+00    -0.151538848E+00     0.165384540E+00     0.604494808E-01    -0.378765220E-01
    -0.998418520E+00     0.468589905E+00     0.155918489E+00    -0.148153479E+00     0.165426028E+00     0.629578462E-01    -0.390289382E-01
    -0.998324150E+00     0.462366116E+00     0.153528547E+00    -0.144740644E+00     0.165224046E+00     0.654178441E-01    -0.401048320E-01
    -0.998227050E+00     0.455955329E+00     0.151213884E+00    -0.141303697E+00     0.164770751E+00     0.678224059E-01    -0.410993949E-01
    -0.998127220E+00     0.449363952E+00     0.148983602E+00    -0.137845769E+00     0.164059567E+00     0.701647117E-01    -0.420082392E-01
    -0.998024650E+00     0.442598563E+00     0.146846414E+00    -0.134369438E+00     0.163085125E+00     0.724384272E-01    -0.428274929E-01
    -0.997919350E+00     0.435667883E+00     0.144811242E+00    -0.130877742E+00     0.161843574E+00     0.746370539E-01    -0.435535735E-01
    -0.997811330E+00     0.428581451E+00     0.142886696E+00    -0.127373465E+00     0.160332534E+00     0.767544560E-01    -0.441834176E-01
    -0.997700570E+00     0.421347643E+00     0.141080572E+00    -0.123858200E+00     0.158550595E+00     0.787854096E-01    -0.447146205E-01
    -0.997587080E+00     0.413977595E+00     0.139400891E+00    -0.120334296E+00     0.156498168E+00     0.807244428E-01    -0.451450968E-01
    -0.997470860E+00     0.406482555E+00     0.137855138E+00    -0.116803562E+00     0.154176955E+00     0.825666485E-01    -0.454733328E-01
    -0.997351910E+00     0.398874513E+00     0.136450416E+00    -0.113267601E+00     0.151590075E+00     0.843074956E-01    -0.456983280E-01
    -0.997230230E+00     0.391166167E+00     0.135193419E+00    -0.109727819E+00     0.148742050E+00     0.859428413E-01    -0.458195980E-01
    -0.997105820E+00     0.383370886E+00     0.134090397E+00    -0.106185435E+00     0.145638790E+00     0.874689417E-01    -0.458371745E-01
    -0.996978680E+00     0.375502670E+00     0.133147131E+00    -0.102641500E+00     0.142287563E+00     0.888824612E-01    -0.457516030E-01
    -0.996848810E+00     0.367576101E+00     0.132368906E+00    -0.990969013E-01     0.138696963E+00     0.901804793E-01    -0.455639371E-01
    -0.996716220E+00     0.359606891E+00     0.131760520E+00    -0.955526526E-01     0.134877158E+00     0.913604128E-01    -0.452757565E-01
    -0.996580900E+00     0.351610015E+00     0.131326117E+00    -0.920091006E-01     0.130838985E+00     0.924202921E-01    -0.448890934E-01
    -0.996442850E+00     0.343601479E+00     0.131069337E+00    -0.884667610E-01     0.126594726E+00     0.933584690E-01    -0.444064683E-01
    -0.996302070E+00     0.335597647E+00     0.130993225E+00    -0.849260623E-01     0.122157777E+00     0.941737234E-01    -0.438308631E-01
    -0.996158570E+00     0.327615723E+00     0.131100198E+00    -0.813876096E-01     0.117542903E+00     0.948652182E-01    -0.431657532E-01
    -0.996012340E+00     0.319672002E+00     0.131392045E+00    -0.778514638E-01     0.112765199E+00     0.954326461E-01    -0.424149495E-01
    -0.995863380E+00     0.311783508E+00     0.131869915E+00    -0.743179151E-01     0.107840959E+00     0.958760564E-01    -0.415827033E-01
    -0.995711700E+00     0.303967847E+00     0.132534251E+00    -0.707874811E-01     0.102787615E+00     0.961958958E-01    -0.406737060E-01
    -0.995557290E+00     0.296241580E+00     0.133384896E+00    -0.672602287E-01     0.976226424E-01     0.963930673E-01    -0.396928842E-01
    -0.995400160E+00     0.288622207E+00     0.134420913E+00    -0.637367277E-01     0.923648001E-01     0.964688365E-01    -0.386456107E-01
    -0.995240310E+00     0.281126552E+00     0.135640718E+00    -0.602173761E-01     0.870330264E-01     0.964248794E-01    -0.375374935E-01
    -0.995077730E+00     0.273770759E+00     0.137042128E+00    -0.567024430E-01     0.816463426E-01     0.962632321E-01    -0.363743297E-01
    -0.994912420E+00     0.266571159E+00     0.138622202E+00    -0.531925286E-01     0.762244211E-01     0.959862848E-01    -0.351622152E-01
    -0.994744400E+00     0.259544516E+00     0.140377094E+00    -0.496887720E-01     0.707877883E-01     0.955968288E-01    -0.339075961E-01
    -0.994573650E+00     0.252705424E+00     0.142302666E+00    -0.461916158E-01     0.653557683E-01     0.950979068E-01    -0.326167870E-01
    -0.994400180E+00     0.246069201E+00     0.144393797E+00    -0.427022926E-01     0.599486523E-01     0.944929430E-01    -0.312964560E-01
    -0.994223990E+00     0.239650129E+00     0.146644794E+00    -0.392220050E-01     0.545862934E-01     0.937856386E-01    -0.299532914E-01
    -0.994045080E+00     0.233461804E+00     0.149049312E+00    -0.357521508E-01     0.492883266E-01     0.929799737E-01    -0.285940412E-01
    -0.993863440E+00     0.227516756E+00     0.151600507E+00    -0.322941482E-01     0.440737826E-01     0.920801365E-01    -0.272254023E-01
    -0.993679090E+00     0.221827672E+00     0.154290493E+00    -0.288502063E-01     0.389621254E-01     0.910907061E-01    -0.258542867E-01
    -0.993492020E+00     0.216405367E+00     0.157111201E+00    -0.254221924E-01     0.339714291E-01     0.900163346E-01    -0.244873330E-01
    -0.993302230E+00     0.211260060E+00     0.160053853E+00    -0.220124061E-01     0.291194389E-01     0.888619195E-01    -0.231311752E-01
    -0.993109720E+00     0.206400981E+00     0.163109121E+00    -0.186233928E-01     0.244231873E-01     0.876325360E-01    -0.217923324E-01
    -0.992914490E+00     0.201836318E+00     0.166267162E+00    -0.152579482E-01     0.198989044E-01     0.863334140E-01    -0.204771757E-01
    -0.992716540E+00     0.197573180E+00     0.169517650E+00    -0.119191197E-01     0.155619339E-01     0.849699171E-01    -0.191918961E-01
    -0.992515880E+00     0.193617739E+00     0.172849642E+00    -0.861036924E-02     0.114268534E-01     0.835475914E-01    -0.179425342E-01
    -0.992312500E+00     0.189974599E+00     0.176252115E+00    -0.533507381E-02     0.750677494E-02     0.820719315E-01    -0.167347620E-01
