# ARTDECO : output file
# Radiances at the top of the atmosphere
#   
# Result given for each geometry
# sza : solar zenith angle(s) (degree)
# vza : view  zenith angle(s) (degree)
# vaa : view azimuthal angle(s) (degree)
#
# total number of geometries
         270
# nsza, nvza, nvaa
           1          90           3
# number of elements of the Stokes vector
# 4 = full polarization, 3 = 3x3 approximation, 1 = scalar
           3
# number of wavelengths
           1
##################
# Wavelength (microns) 
       0.412000000
# CPU time for RT in sec(s) 
     0.893874054E+02
#         sza               vza              vaa               theta              I                 Q                U                 dI                dQ                dU              Polar. (%)
      60.000000000       0.000000000       0.000000000     120.000000000       0.021867427      -0.004940828      -0.000000000       0.000000000       0.000000000       0.000000000      22.594463656
      60.000000000       0.000000000      90.000000000     120.000000000       0.021867427       0.004940828      -0.000000000       0.000000000       0.000000000       0.000000000      22.594463656
      60.000000000       0.000000000     180.000000000     120.000000000       0.021867427      -0.004940828       0.000000000       0.000000000       0.000000000       0.000000000      22.594463656
      60.000000000       1.000000000       0.000000000     119.000000000       0.021666512      -0.004903506       0.000000000       0.000000000       0.000000000       0.000000000      22.631726848
      60.000000000       1.000000000      90.000000000     119.994961924       0.021868835       0.004940285      -0.000102862       0.000000000       0.000000000       0.000000000      22.595422114
      60.000000000       1.000000000     180.000000000     121.000000000       0.022076030      -0.004985353       0.000000000       0.000000000       0.000000000       0.000000000      22.582653702
      60.000000000       2.000000000       0.000000000     118.000000000       0.021451157      -0.004814006       0.000000000       0.000000000       0.000000000       0.000000000      22.441707530
      60.000000000       2.000000000      90.000000000     119.979850765       0.021873271       0.004938639      -0.000205655       0.000000000       0.000000000       0.000000000      22.597989109
      60.000000000       2.000000000     180.000000000     122.000000000       0.022228333      -0.004988087       0.000000000       0.000000000       0.000000000       0.000000000      22.440218693
      60.000000000       3.000000000       0.000000000     117.000000000       0.021261230      -0.004757444       0.000000000       0.000000000       0.000000000       0.000000000      22.376148554
      60.000000000       3.000000000      90.000000000     119.954675720       0.021881313       0.004935847      -0.000308316       0.000000000       0.000000000       0.000000000      22.601329219
      60.000000000       3.000000000     180.000000000     123.000000000       0.022381390      -0.004952220       0.000000000       0.000000000       0.000000000       0.000000000      22.126506497
      60.000000000       4.000000000       0.000000000     116.000000000       0.021072174      -0.004697299      -0.000000000       0.000000000       0.000000000       0.000000000      22.291478805
      60.000000000       4.000000000      90.000000000     119.919452093       0.021893719       0.004931846      -0.000410792       0.000000000       0.000000000       0.000000000      22.604312110
      60.000000000       4.000000000     180.000000000     124.000000000       0.022500258      -0.004884393       0.000000000       0.000000000       0.000000000       0.000000000      21.708162877
      60.000000000       5.000000000       0.000000000     115.000000000       0.020953801      -0.004669622      -0.000000000       0.000000000       0.000000000       0.000000000      22.285323101
      60.000000000       5.000000000      90.000000000     119.874201258       0.021910594       0.004926860      -0.000513066       0.000000000       0.000000000       0.000000000      22.607797810
      60.000000000       5.000000000     180.000000000     125.000000000       0.022622391      -0.004798320       0.000000000       0.000000000       0.000000000       0.000000000      21.210491039
      60.000000000       6.000000000       0.000000000     114.000000000       0.020847205      -0.004656227      -0.000000000       0.000000000       0.000000000       0.000000000      22.335016682
      60.000000000       6.000000000      90.000000000     119.818950607       0.021932871       0.004920658      -0.000615089       0.000000000       0.000000000       0.000000000      22.609681845
      60.000000000       6.000000000     180.000000000     126.000000000       0.022707415      -0.004657353       0.000000000       0.000000000       0.000000000       0.000000000      20.510273904
      60.000000000       7.000000000       0.000000000     113.000000000       0.020792631      -0.004666755      -0.000000000       0.000000000       0.000000000       0.000000000      22.444273618
      60.000000000       7.000000000      90.000000000     119.753733483       0.021959939       0.004913909      -0.000716915       0.000000000       0.000000000       0.000000000      22.613592058
      60.000000000       7.000000000     180.000000000     127.000000000       0.022812753      -0.004533198       0.000000000       0.000000000       0.000000000       0.000000000      19.871333066
      60.000000000       8.000000000       0.000000000     112.000000000       0.020744370      -0.004684189       0.000000000       0.000000000       0.000000000       0.000000000      22.580533003
      60.000000000       8.000000000      90.000000000     119.678589103       0.021992085       0.004906605      -0.000818525       0.000000000       0.000000000       0.000000000      22.619094610
      60.000000000       8.000000000     180.000000000     128.000000000       0.022920457      -0.004389514       0.000000000       0.000000000       0.000000000       0.000000000      19.151077250
      60.000000000       9.000000000       0.000000000     111.000000000       0.020732393      -0.004706232       0.000000000       0.000000000       0.000000000       0.000000000      22.699897839
      60.000000000       9.000000000      90.000000000     119.593562462       0.022028910       0.004899168      -0.000919952       0.000000000       0.000000000       0.000000000      22.628412907
      60.000000000       9.000000000     180.000000000     129.000000000       0.023046129      -0.004265831       0.000000000       0.000000000       0.000000000       0.000000000      18.509965996
      60.000000000      10.000000000       0.000000000     110.000000000       0.020730298      -0.004741575       0.000000000       0.000000000       0.000000000       0.000000000      22.872683736
      60.000000000      10.000000000      90.000000000     119.498704231       0.022070033       0.004891899      -0.001021215       0.000000000       0.000000000       0.000000000      22.643171020
      60.000000000      10.000000000     180.000000000     130.000000000       0.023215154      -0.004145205       0.000000000       0.000000000       0.000000000       0.000000000      17.855601441
      60.000000000      11.000000000       0.000000000     109.000000000       0.020758931      -0.004783571       0.000000000       0.000000000       0.000000000       0.000000000      23.043437074
      60.000000000      11.000000000      90.000000000     119.394070634       0.022115261       0.004884695      -0.001122254       0.000000000       0.000000000       0.000000000      22.662883195
      60.000000000      11.000000000     180.000000000     131.000000000       0.023448856      -0.004048869       0.000000000       0.000000000       0.000000000       0.000000000      17.266810320
      60.000000000      12.000000000       0.000000000     108.000000000       0.020825957      -0.004829666      -0.000000000       0.000000000       0.000000000       0.000000000      23.190609245
      60.000000000      12.000000000      90.000000000     119.279723324       0.022164706       0.004876954      -0.001222875       0.000000000       0.000000000       0.000000000      22.684405826
      60.000000000      12.000000000     180.000000000     132.000000000       0.023757602      -0.003992608       0.000000000       0.000000000       0.000000000       0.000000000      16.805601091
      60.000000000      13.000000000       0.000000000     107.000000000       0.020908180      -0.004861599      -0.000000000       0.000000000       0.000000000       0.000000000      23.252139437
