# ARTDECO : output file
# Radiances at the top of the atmosphere
#   
# Result given for each geometry
# sza : solar zenith angle(s) (degree)
# vza : view  zenith angle(s) (degree)
# vaa : view azimuthal angle(s) (degree)
#
# total number of geometries
         270
# nsza, nvza, nvaa
           1          90           3
# number of elements of the Stokes vector
# 4 = full polarization, 3 = 3x3 approximation, 1 = scalar
           1
# number of wavelengths
           1
##################
# Wavelength (microns) 
       0.412000000
# CPU time for RT in sec(s) 
     0.128740430E+04
#         sza               vza              vaa              theta              I                 dI
      60.000000000       0.000000000       0.000000000     120.000000000       0.021607541       0.000569913
      60.000000000       0.000000000      90.000000000     120.000000000       0.021607541       0.000569913
      60.000000000       0.000000000     180.000000000     120.000000000       0.021607541       0.000569913
      60.000000000       1.000000000       0.000000000     119.000000000       0.021486248       0.000565362
      60.000000000       1.000000000      90.000000000     119.994961924       0.021609180       0.000570671
      60.000000000       1.000000000     180.000000000     121.000000000       0.021760203       0.000574473
      60.000000000       2.000000000       0.000000000     118.000000000       0.021386691       0.000560788
      60.000000000       2.000000000      90.000000000     119.979850765       0.021615649       0.000571701
      60.000000000       2.000000000     180.000000000     122.000000000       0.021936050       0.000579320
      60.000000000       3.000000000       0.000000000     117.000000000       0.021312970       0.000556477
      60.000000000       3.000000000      90.000000000     119.954675720       0.021627646       0.000572904
      60.000000000       3.000000000     180.000000000     123.000000000       0.022148988       0.000584360
      60.000000000       4.000000000       0.000000000     116.000000000       0.021258808       0.000551929
      60.000000000       4.000000000      90.000000000     119.919452093       0.021645080       0.000574191
      60.000000000       4.000000000     180.000000000     124.000000000       0.022395491       0.000588758
      60.000000000       5.000000000       0.000000000     115.000000000       0.021224820       0.000547913
      60.000000000       5.000000000      90.000000000     119.874201258       0.021663932       0.000575224
      60.000000000       5.000000000     180.000000000     125.000000000       0.022663719       0.000593967
      60.000000000       6.000000000       0.000000000     114.000000000       0.021208367       0.000543662
      60.000000000       6.000000000      90.000000000     119.818950607       0.021688475       0.000576427
      60.000000000       6.000000000     180.000000000     126.000000000       0.022978877       0.000599344
      60.000000000       7.000000000       0.000000000     113.000000000       0.021207687       0.000539628
      60.000000000       7.000000000      90.000000000     119.753733483       0.021722444       0.000578225
      60.000000000       7.000000000     180.000000000     127.000000000       0.023312772       0.000604687
      60.000000000       8.000000000       0.000000000     112.000000000       0.021221249       0.000535643
      60.000000000       8.000000000      90.000000000     119.678589103       0.021758235       0.000579554
      60.000000000       8.000000000     180.000000000     128.000000000       0.023698438       0.000610295
      60.000000000       9.000000000       0.000000000     111.000000000       0.021247466       0.000532072
      60.000000000       9.000000000      90.000000000     119.593562462       0.021799487       0.000581294
      60.000000000       9.000000000     180.000000000     129.000000000       0.024098993       0.000616047
      60.000000000      10.000000000       0.000000000     110.000000000       0.021286228       0.000528526
      60.000000000      10.000000000      90.000000000     119.498704231       0.021846582       0.000583440
      60.000000000      10.000000000     180.000000000     130.000000000       0.024554604       0.000622058
      60.000000000      11.000000000       0.000000000     109.000000000       0.021334709       0.000525466
      60.000000000      11.000000000      90.000000000     119.394070634       0.021899346       0.000585013
      60.000000000      11.000000000     180.000000000     131.000000000       0.025019223       0.000628356
      60.000000000      12.000000000       0.000000000     108.000000000       0.021395420       0.000522330
      60.000000000      12.000000000      90.000000000     119.279723324       0.021958112       0.000587107
      60.000000000      12.000000000     180.000000000     132.000000000       0.025541151       0.000634761
      60.000000000      13.000000000       0.000000000     107.000000000       0.021464072       0.000519822
      60.000000000      13.000000000      90.000000000     119.155729238       0.022019140       0.000589147
      60.000000000      13.000000000     180.000000000     133.000000000       0.026065180       0.000641622
      60.000000000      14.000000000       0.000000000     106.000000000       0.021546263       0.000517409
      60.000000000      14.000000000      90.000000000     119.022160452       0.022089713       0.000591367
      60.000000000      14.000000000     180.000000000     134.000000000       0.026646068       0.000648838
      60.000000000      15.000000000       0.000000000     105.000000000       0.021635327       0.000515510
      60.000000000      15.000000000      90.000000000     118.879094017       0.022166351       0.000593830
      60.000000000      15.000000000     180.000000000     135.000000000       0.027253562       0.000656078
      60.000000000      16.000000000       0.000000000     104.000000000       0.021740729       0.000514378
      60.000000000      16.000000000      90.000000000     118.726611796       0.022245488       0.000596272
      60.000000000      16.000000000     180.000000000     136.000000000       0.027852108       0.000664168
      60.000000000      17.000000000       0.000000000     103.000000000       0.021853107       0.000513623
      60.000000000      17.000000000      90.000000000     118.564800285       0.022331504       0.000599059
      60.000000000      17.000000000     180.000000000     137.000000000       0.028502407       0.000672318
      60.000000000      18.000000000       0.000000000     102.000000000       0.021986789       0.000513732
      60.000000000      18.000000000      90.000000000     118.393750435       0.022424091       0.000601920
      60.000000000      18.000000000     180.000000000     138.000000000       0.029135165       0.000680790
      60.000000000      19.000000000       0.000000000     101.000000000       0.022129567       0.000514478
      60.000000000      19.000000000      90.000000000     118.213557466       0.022524853       0.000604768
      60.000000000      19.000000000     180.000000000     139.000000000       0.029814524       0.000689580
      60.000000000      20.000000000       0.000000000     100.000000000       0.022290848       0.000516150
      60.000000000      20.000000000      90.000000000     118.024320674       0.022629863       0.000608110
      60.000000000      20.000000000     180.000000000     140.000000000       0.030468284       0.000698739
      60.000000000      21.000000000       0.000000000      99.000000000       0.022480288       0.000518456
      60.000000000      21.000000000      90.000000000     117.826143233       0.022739863       0.000611436
      60.000000000      21.000000000     180.000000000     141.000000000       0.031160090       0.000708372
      60.000000000      22.000000000       0.000000000      98.000000000       0.022686768       0.000521751
      60.000000000      22.000000000      90.000000000     117.619132006       0.022858197       0.000615076
      60.000000000      22.000000000     180.000000000     142.000000000       0.031819992       0.000718033
      60.000000000      23.000000000       0.000000000      97.000000000       0.022926727       0.000525793
      60.000000000      23.000000000      90.000000000     117.403397336       0.022983300       0.000619016
      60.000000000      23.000000000     180.000000000     143.000000000       0.032507163       0.000728228
      60.000000000      24.000000000       0.000000000      96.000000000       0.023191175       0.000531313
      60.000000000      24.000000000      90.000000000     117.179052852       0.023114814       0.000623222
      60.000000000      24.000000000     180.000000000     144.000000000       0.033157203       0.000739362
      60.000000000      25.000000000       0.000000000      95.000000000       0.023494335       0.000537783
      60.000000000      25.000000000      90.000000000     116.946215263       0.023252285       0.000627504
      60.000000000      25.000000000     180.000000000     145.000000000       0.033822794       0.000750071
      60.000000000      26.000000000       0.000000000      94.000000000       0.023830435       0.000545143
      60.000000000      26.000000000      90.000000000     116.705004161       0.023397738       0.000631957
      60.000000000      26.000000000     180.000000000     146.000000000       0.034469390       0.000761262
      60.000000000      27.000000000       0.000000000      93.000000000       0.024210609       0.000553758
      60.000000000      27.000000000      90.000000000     116.455541824       0.023549405       0.000637151
