# ARTDECO : output file
# Radiances at the top of the atmosphere
#   
# Result given for each geometry
# sza : solar zenith angle(s) (degree)
# vza : view  zenith angle(s) (degree)
# vaa : view azimuthal angle(s) (degree)
#
# total number of geometries
         270
# nsza, nvza, nvaa
           1          90           3
# number of elements of the Stokes vector
# 4 = full polarization, 3 = 3x3 approximation, 1 = scalar
           3
# number of wavelengths
           1
##################
# Wavelength (microns) 
       0.412000000
# CPU time for RT in sec(s) 
     0.122429187E+04
#         sza               vza              vaa               theta              I                 Q                U                 dI                dQ                dU              Polar. (%)
      60.000000000       0.000000000       0.000000000     120.000000000       0.021600074      -0.005096284      -0.000024934       0.000618114       0.000167820       0.000137848      23.594108274
      60.000000000       0.000000000      90.000000000     120.000000000       0.021600074      -0.005096284      -0.000024934       0.000618114       0.000167820       0.000137848      23.594108274
      60.000000000       0.000000000     180.000000000     120.000000000       0.021600074      -0.005096284      -0.000024934       0.000618114       0.000167820       0.000137848      23.594108274
      60.000000000       1.000000000       0.000000000     119.000000000       0.021465700      -0.004962004       0.000042289       0.000616113       0.000279420       0.000207011      23.116803624
      60.000000000       1.000000000      90.000000000     119.994961924       0.021600933       0.005013851      -0.000149039       0.000620871       0.000277349       0.000208513      23.221524717
      60.000000000       1.000000000     180.000000000     121.000000000       0.021765572      -0.005079605       0.000048347       0.000620505       0.000276409       0.000208059      23.338853822
      60.000000000       2.000000000       0.000000000     118.000000000       0.021353269      -0.004903237       0.000039185       0.000614100       0.000280907       0.000206520      22.963196479
      60.000000000       2.000000000      90.000000000     119.979850765       0.021607401       0.005013898      -0.000252699       0.000623826       0.000277280       0.000209457      23.233991355
      60.000000000       2.000000000     180.000000000     122.000000000       0.021954247      -0.005136686       0.000051226       0.000622732       0.000275104       0.000208677      23.398397004
      60.000000000       3.000000000       0.000000000     117.000000000       0.021266188      -0.004858333       0.000036141       0.000612366       0.000282614       0.000206028      22.845972087
      60.000000000       3.000000000      90.000000000     119.954675720       0.021618848       0.005013630      -0.000356559       0.000626539       0.000277198       0.000210506      23.249585592
      60.000000000       3.000000000     180.000000000     123.000000000       0.022180263      -0.005207163       0.000054241       0.000625352       0.000273803       0.000209362      23.477837023
      60.000000000       4.000000000       0.000000000     116.000000000       0.021199331      -0.004808762       0.000033124       0.000610304       0.000284299       0.000205593      22.684095291
      60.000000000       4.000000000      90.000000000     119.919452093       0.021635995       0.005013664      -0.000460391       0.000629175       0.000277244       0.000211652      23.270287222
