# ARTDECO : output file
# Downward Radiances
#   
# Result given for each geometry
# sza : solar zenith angle(s) (degree)
# vza : view  zenith angle(s) (degree)
# vaa : view azimuthal angle(s) (degree)
# total number of geometries
         270
# nsza, nvza_dw, n
           1          90           3
# number of elements of the Stokes vector
# 4 = full polarization, 3 = 3x3 approximation, 1 = scalar
           1
# number of wavelengths
           1
##################
# Wavelength (microns) 
       0.412000000
# CPU time for RT in sec(s) 
     0.199999986E-02
#         sza               vza              vaa               theta              I_dw              dI_dw
      60.000000000      91.000000000       0.000000000      29.000000000       0.084534597       0.000000000
      60.000000000      91.000000000      90.000000000      89.500019039       0.058687344       0.000000000
      60.000000000      91.000000000     180.000000000     149.000000000       0.083531871       0.000000000
      60.000000000      92.000000000       0.000000000      28.000000000       0.088973633       0.000000000
      60.000000000      92.000000000      90.000000000      89.000152320       0.061615788       0.000000000
      60.000000000      92.000000000     180.000000000     148.000000000       0.086895181       0.000000000
      60.000000000      93.000000000       0.000000000      27.000000000       0.092868714       0.000000000
      60.000000000      93.000000000      90.000000000      88.500514130       0.064029165       0.000000000
      60.000000000      93.000000000     180.000000000     147.000000000       0.089646088       0.000000000
      60.000000000      94.000000000       0.000000000      26.000000000       0.095699357       0.000000000
      60.000000000      94.000000000      90.000000000      88.001218841       0.065622440       0.000000000
      60.000000000      94.000000000     180.000000000     146.000000000       0.091300460       0.000000000
      60.000000000      95.000000000       0.000000000      25.000000000       0.097221904       0.000000000
      60.000000000      95.000000000      90.000000000      87.502380955       0.066286202       0.000000000
      60.000000000      95.000000000     180.000000000     145.000000000       0.091665474       0.000000000
      60.000000000      96.000000000       0.000000000      24.000000000       0.097560993       0.000000000
      60.000000000      96.000000000      90.000000000      87.004115149       0.066145596       0.000000000
      60.000000000      96.000000000     180.000000000     144.000000000       0.090904209       0.000000000
      60.000000000      97.000000000       0.000000000      23.000000000       0.096982940       0.000000000
      60.000000000      97.000000000      90.000000000      86.506536315       0.065404389       0.000000000
      60.000000000      97.000000000     180.000000000     143.000000000       0.089303852       0.000000000
      60.000000000      98.000000000       0.000000000      22.000000000       0.095752838       0.000000000
      60.000000000      98.000000000      90.000000000      86.009759602       0.064253462       0.000000000
      60.000000000      98.000000000     180.000000000     142.000000000       0.087137417       0.000000000
      60.000000000      99.000000000       0.000000000      21.000000000       0.094086301       0.000000000
      60.000000000      99.000000000      90.000000000      85.513900459       0.062843098       0.000000000
      60.000000000      99.000000000     180.000000000     141.000000000       0.084620741       0.000000000
      60.000000000     100.000000000       0.000000000      20.000000000       0.092144410       0.000000000
      60.000000000     100.000000000      90.000000000      85.019074678       0.061282821       0.000000000
      60.000000000     100.000000000     180.000000000     140.000000000       0.081911101       0.000000000
      60.000000000     101.000000000       0.000000000      19.000000000       0.090042502       0.000000000
      60.000000000     101.000000000      90.000000000      84.525398430       0.059649243       0.000000000
      60.000000000     101.000000000     180.000000000     139.000000000       0.079118203       0.000000000
      60.000000000     102.000000000       0.000000000      18.000000000       0.087861152       0.000000000
      60.000000000     102.000000000      90.000000000      84.032988309       0.057994561       0.000000000
      60.000000000     102.000000000     180.000000000     138.000000000       0.076316398       0.000000000
      60.000000000     103.000000000       0.000000000      17.000000000       0.085655669       0.000000000
      60.000000000     103.000000000      90.000000000      83.541961369       0.056353560       0.000000000
      60.000000000     103.000000000     180.000000000     137.000000000       0.073554818       0.000000000
      60.000000000     104.000000000       0.000000000      16.000000000       0.083463387       0.000000000
      60.000000000     104.000000000      90.000000000      83.052435161       0.054748840       0.000000000
      60.000000000     104.000000000     180.000000000     136.000000000       0.070864989       0.000000000
      60.000000000     105.000000000       0.000000000      15.000000000       0.081308996       0.000000000
      60.000000000     105.000000000      90.000000000      82.564527774       0.053194577       0.000000000
      60.000000000     105.000000000     180.000000000     135.000000000       0.068266287       0.000000000
      60.000000000     106.000000000       0.000000000      14.000000000       0.079208339       0.000000000
      60.000000000     106.000000000      90.000000000      82.078357865       0.051699158       0.000000000
      60.000000000     106.000000000     180.000000000     134.000000000       0.065769779       0.000000000
      60.000000000     107.000000000       0.000000000      13.000000000       0.077171104       0.000000000
      60.000000000     107.000000000      90.000000000      81.594044699       0.050267017       0.000000000
      60.000000000     107.000000000     180.000000000     133.000000000       0.063380892       0.000000000
      60.000000000     108.000000000       0.000000000      12.000000000       0.075202707       0.000000000
      60.000000000     108.000000000      90.000000000      81.111708177       0.048899918       0.000000000
      60.000000000     108.000000000     180.000000000     132.000000000       0.061101263       0.000000000
      60.000000000     109.000000000       0.000000000      11.000000000       0.073305622       0.000000000
      60.000000000     109.000000000      90.000000000      80.631468873       0.047597832       0.000000000
      60.000000000     109.000000000     180.000000000     131.000000000       0.058930020       0.000000000
      60.000000000     110.000000000       0.000000000      10.000000000       0.071480311       0.000000000
      60.000000000     110.000000000      90.000000000      80.153448060       0.046359555       0.000000000
      60.000000000     110.000000000     180.000000000     130.000000000       0.056864665       0.000000000
      60.000000000     111.000000000       0.000000000       9.000000000       0.069725881       0.000000000
      60.000000000     111.000000000      90.000000000      79.677767739       0.045183132       0.000000000
      60.000000000     111.000000000     180.000000000     129.000000000       0.054901684       0.000000000
      60.000000000     112.000000000       0.000000000       8.000000000       0.068040550       0.000000000
      60.000000000     112.000000000      90.000000000      79.204550666       0.044066150       0.000000000
      60.000000000     112.000000000     180.000000000     128.000000000       0.053036967       0.000000000
      60.000000000     113.000000000       0.000000000       7.000000000       0.066421965       0.000000000
      60.000000000     113.000000000      90.000000000      78.733920376       0.043005940       0.000000000
      60.000000000     113.000000000     180.000000000     127.000000000       0.051266096       0.000000000
      60.000000000     114.000000000       0.000000000       6.000000000       0.064867438       0.000000000
      60.000000000     114.000000000      90.000000000      78.266001205       0.041999719       0.000000000
      60.000000000     114.000000000     180.000000000     126.000000000       0.049584542       0.000000000
      60.000000000     115.000000000       0.000000000       5.000000000       0.063374102       0.000000000
      60.000000000     115.000000000      90.000000000      77.800918310       0.041044681       0.000000000
      60.000000000     115.000000000     180.000000000     125.000000000       0.047987790       0.000000000
      60.000000000     116.000000000       0.000000000       4.000000000       0.061939023       0.000000000
      60.000000000     116.000000000      90.000000000      77.338797684       0.040138064       0.000000000
      60.000000000     116.000000000     180.000000000     124.000000000       0.046471431       0.000000000
      60.000000000     117.000000000       0.000000000       3.000000000       0.060559276       0.000000000
      60.000000000     117.000000000      90.000000000      76.879766174       0.039277186       0.000000000
      60.000000000     117.000000000     180.000000000     123.000000000       0.045031215       0.000000000
      60.000000000     118.000000000       0.000000000       2.000000000       0.059231997       0.000000000
      60.000000000     118.000000000      90.000000000      76.423951491       0.038459472       0.000000000
      60.000000000     118.000000000     180.000000000     122.000000000       0.043663083       0.000000000
      60.000000000     119.000000000       0.000000000       1.000000000       0.057954417       0.000000000
      60.000000000     119.000000000      90.000000000      75.971482218       0.037682473       0.000000000
      60.000000000     119.000000000     180.000000000     121.000000000       0.042363184       0.000000000
      60.000000000     120.000000000       0.000000000       0.000000000       0.056723885       0.000000000
      60.000000000     120.000000000      90.000000000      75.522487814       0.036943868       0.000000000
      60.000000000     120.000000000     180.000000000     120.000000000       0.041127884       0.000000000
      60.000000000     121.000000000       0.000000000       1.000000000       0.055537875       0.000000000
      60.000000000     121.000000000      90.000000000      75.077098620       0.036241468       0.000000000
      60.000000000     121.000000000     180.000000000     119.000000000       0.039953766       0.000000000
      60.000000000     122.000000000       0.000000000       2.000000000       0.054393998       0.000000000
      60.000000000     122.000000000      90.000000000      74.635445854       0.035573217       0.000000000
      60.000000000     122.000000000     180.000000000     118.000000000       0.038837623       0.000000000
      60.000000000     123.000000000       0.000000000       3.000000000       0.053290000       0.000000000
      60.000000000     123.000000000      90.000000000      74.197661606       0.034937184       0.000000000
      60.000000000     123.000000000     180.000000000     117.000000000       0.037776454       0.000000000
      60.000000000     124.000000000       0.000000000       4.000000000       0.052223761       0.000000000
      60.000000000     124.000000000      90.000000000      73.763878829       0.034331563       0.000000000
      60.000000000     124.000000000     180.000000000     116.000000000       0.036767452       0.000000000
      60.000000000     125.000000000       0.000000000       5.000000000       0.051193294       0.000000000
      60.000000000     125.000000000      90.000000000      73.334231326       0.033754662       0.000000000
      60.000000000     125.000000000     180.000000000     115.000000000       0.035807994       0.000000000
      60.000000000     126.000000000       0.000000000       6.000000000       0.050196736       0.000000000
      60.000000000     126.000000000      90.000000000      72.908853730       0.033204901       0.000000000
      60.000000000     126.000000000     180.000000000     114.000000000       0.034895631       0.000000000
      60.000000000     127.000000000       0.000000000       7.000000000       0.049232345       0.000000000
      60.000000000     127.000000000      90.000000000      72.487881482       0.032680804       0.000000000
      60.000000000     127.000000000     180.000000000     113.000000000       0.034028078       0.000000000
      60.000000000     128.000000000       0.000000000       8.000000000       0.048298492       0.000000000
      60.000000000     128.000000000      90.000000000      72.071450805       0.032180991       0.000000000
      60.000000000     128.000000000     180.000000000     112.000000000       0.033203198       0.000000000
      60.000000000     129.000000000       0.000000000       9.000000000       0.047393659       0.000000000
      60.000000000     129.000000000      90.000000000      71.659698667       0.031704174       0.000000000
      60.000000000     129.000000000     180.000000000     111.000000000       0.032418999       0.000000000
      60.000000000     130.000000000       0.000000000      10.000000000       0.046516427       0.000000000
      60.000000000     130.000000000      90.000000000      71.252762749       0.031249148       0.000000000
      60.000000000     130.000000000     180.000000000     110.000000000       0.031673618       0.000000000
      60.000000000     131.000000000       0.000000000      11.000000000       0.045665472       0.000000000
      60.000000000     131.000000000      90.000000000      70.850781395       0.030814789       0.000000000
      60.000000000     131.000000000     180.000000000     109.000000000       0.030965317       0.000000000
      60.000000000     132.000000000       0.000000000      12.000000000       0.044839561       0.000000000
      60.000000000     132.000000000      90.000000000      70.453893570       0.030400045       0.000000000
      60.000000000     132.000000000     180.000000000     108.000000000       0.030292469       0.000000000
      60.000000000     133.000000000       0.000000000      13.000000000       0.044037544       0.000000000
      60.000000000     133.000000000      90.000000000      70.062238796       0.030003933       0.000000000
      60.000000000     133.000000000     180.000000000     107.000000000       0.029653552       0.000000000
      60.000000000     134.000000000       0.000000000      14.000000000       0.043258349       0.000000000
      60.000000000     134.000000000      90.000000000      69.675957102       0.029625535       0.000000000
      60.000000000     134.000000000     180.000000000     106.000000000       0.029047142       0.000000000
      60.000000000     135.000000000       0.000000000      15.000000000       0.042500977       0.000000000
      60.000000000     135.000000000      90.000000000      69.295188945       0.029263989       0.000000000
      60.000000000     135.000000000     180.000000000     105.000000000       0.028471907       0.000000000
      60.000000000     136.000000000       0.000000000      16.000000000       0.041764497       0.000000000
      60.000000000     136.000000000      90.000000000      68.920075148       0.028918490       0.000000000
      60.000000000     136.000000000     180.000000000     104.000000000       0.027926596       0.000000000
      60.000000000     137.000000000       0.000000000      17.000000000       0.041048042       0.000000000
      60.000000000     137.000000000      90.000000000      68.550756809       0.028588283       0.000000000
      60.000000000     137.000000000     180.000000000     103.000000000       0.027410038       0.000000000
      60.000000000     138.000000000       0.000000000      18.000000000       0.040350804       0.000000000
      60.000000000     138.000000000      90.000000000      68.187375223       0.028272663       0.000000000
      60.000000000     138.000000000     180.000000000     102.000000000       0.026921133       0.000000000
      60.000000000     139.000000000       0.000000000      19.000000000       0.039672031       0.000000000
      60.000000000     139.000000000      90.000000000      67.830071783       0.027970966       0.000000000
      60.000000000     139.000000000     180.000000000     101.000000000       0.026458848       0.000000000
      60.000000000     140.000000000       0.000000000      20.000000000       0.039011021       0.000000000
      60.000000000     140.000000000      90.000000000      67.478987882       0.027682571       0.000000000
      60.000000000     140.000000000     180.000000000     100.000000000       0.026022213       0.000000000
      60.000000000     141.000000000       0.000000000      21.000000000       0.038367122       0.000000000
      60.000000000     141.000000000      90.000000000      67.134264804       0.027406895       0.000000000
      60.000000000     141.000000000     180.000000000      99.000000000       0.025610314       0.000000000
      60.000000000     142.000000000       0.000000000      22.000000000       0.037739728       0.000000000
      60.000000000     142.000000000      90.000000000      66.796043611       0.027143391       0.000000000
      60.000000000     142.000000000     180.000000000      98.000000000       0.025222293       0.000000000
      60.000000000     143.000000000       0.000000000      23.000000000       0.037128273       0.000000000
      60.000000000     143.000000000      90.000000000      66.464465022       0.026891544       0.000000000
      60.000000000     143.000000000     180.000000000      97.000000000       0.024857339       0.000000000
      60.000000000     144.000000000       0.000000000      24.000000000       0.036532231       0.000000000
      60.000000000     144.000000000      90.000000000      66.139669285       0.026650872       0.000000000
      60.000000000     144.000000000     180.000000000      96.000000000       0.024514691       0.000000000
      60.000000000     145.000000000       0.000000000      25.000000000       0.035951114       0.000000000
      60.000000000     145.000000000      90.000000000      65.821796040       0.026420923       0.000000000
      60.000000000     145.000000000     180.000000000      95.000000000       0.024193629       0.000000000
      60.000000000     146.000000000       0.000000000      26.000000000       0.035384469       0.000000000
      60.000000000     146.000000000      90.000000000      65.510984179       0.026201268       0.000000000
      60.000000000     146.000000000     180.000000000      94.000000000       0.023893475       0.000000000
      60.000000000     147.000000000       0.000000000      27.000000000       0.034831873       0.000000000
