# ARTDECO : output file
# Radiances at the top of the atmosphere
#   
# Result given for each geometry
# sza : solar zenith angle(s) (degree)
# vza : view  zenith angle(s) (degree)
# vaa : view azimuthal angle(s) (degree)
#
# total number of geometries
         270
# nsza, nvza, nvaa
           1          90           3
# number of elements of the Stokes vector
# 4 = full polarization, 3 = 3x3 approximation, 1 = scalar
           1
# number of wavelengths
           1
##################
# Wavelength (microns) 
       0.412000000
# CPU time for RT in sec(s) 
     0.199999986E-02
#         sza               vza              vaa              theta              I                 dI
      60.000000000       0.000000000       0.000000000     120.000000000       0.023611382       0.000000000
      60.000000000       0.000000000      90.000000000     120.000000000       0.023611382       0.000000000
      60.000000000       0.000000000     180.000000000     120.000000000       0.023611382       0.000000000
      60.000000000       1.000000000       0.000000000     119.000000000       0.023424652       0.000000000
      60.000000000       1.000000000      90.000000000     119.994961924       0.023613918       0.000000000
      60.000000000       1.000000000     180.000000000     121.000000000       0.023809135       0.000000000
      60.000000000       2.000000000       0.000000000     118.000000000       0.023249034       0.000000000
      60.000000000       2.000000000      90.000000000     119.979850765       0.023621531       0.000000000
      60.000000000       2.000000000     180.000000000     122.000000000       0.024017835       0.000000000
      60.000000000       3.000000000       0.000000000     117.000000000       0.023084625       0.000000000
      60.000000000       3.000000000      90.000000000     119.954675720       0.023634231       0.000000000
      60.000000000       3.000000000     180.000000000     123.000000000       0.024237413       0.000000000
      60.000000000       4.000000000       0.000000000     116.000000000       0.022931530       0.000000000
      60.000000000       4.000000000      90.000000000     119.919452093       0.023652037       0.000000000
      60.000000000       4.000000000     180.000000000     124.000000000       0.024467809       0.000000000
      60.000000000       5.000000000       0.000000000     115.000000000       0.022789867       0.000000000
      60.000000000       5.000000000      90.000000000     119.874201258       0.023674975       0.000000000
      60.000000000       5.000000000     180.000000000     125.000000000       0.024708974       0.000000000
      60.000000000       6.000000000       0.000000000     114.000000000       0.022659760       0.000000000
      60.000000000       6.000000000      90.000000000     119.818950607       0.023703077       0.000000000
      60.000000000       6.000000000     180.000000000     126.000000000       0.024960869       0.000000000
      60.000000000       7.000000000       0.000000000     113.000000000       0.022541345       0.000000000
      60.000000000       7.000000000      90.000000000     119.753733483       0.023736384       0.000000000
      60.000000000       7.000000000     180.000000000     127.000000000       0.025223463       0.000000000
      60.000000000       8.000000000       0.000000000     112.000000000       0.022434769       0.000000000
      60.000000000       8.000000000      90.000000000     119.678589103       0.023774946       0.000000000
      60.000000000       8.000000000     180.000000000     128.000000000       0.025496736       0.000000000
      60.000000000       9.000000000       0.000000000     111.000000000       0.022340187       0.000000000
      60.000000000       9.000000000      90.000000000     119.593562462       0.023818819       0.000000000
      60.000000000       9.000000000     180.000000000     129.000000000       0.025780679       0.000000000
      60.000000000      10.000000000       0.000000000     110.000000000       0.022257766       0.000000000
      60.000000000      10.000000000      90.000000000     119.498704231       0.023868066       0.000000000
      60.000000000      10.000000000     180.000000000     130.000000000       0.026075291       0.000000000
      60.000000000      11.000000000       0.000000000     109.000000000       0.022187683       0.000000000
      60.000000000      11.000000000      90.000000000     119.394070634       0.023922760       0.000000000
      60.000000000      11.000000000     180.000000000     131.000000000       0.026380584       0.000000000
      60.000000000      12.000000000       0.000000000     108.000000000       0.022130128       0.000000000
      60.000000000      12.000000000      90.000000000     119.279723324       0.023982983       0.000000000
      60.000000000      12.000000000     180.000000000     132.000000000       0.026696579       0.000000000
      60.000000000      13.000000000       0.000000000     107.000000000       0.022085300       0.000000000
      60.000000000      13.000000000      90.000000000     119.155729238       0.024048824       0.000000000
      60.000000000      13.000000000     180.000000000     133.000000000       0.027023310       0.000000000
      60.000000000      14.000000000       0.000000000     106.000000000       0.022053412       0.000000000
      60.000000000      14.000000000      90.000000000     119.022160452       0.024120382       0.000000000
      60.000000000      14.000000000     180.000000000     134.000000000       0.027360822       0.000000000
      60.000000000      15.000000000       0.000000000     105.000000000       0.022034688       0.000000000
      60.000000000      15.000000000      90.000000000     118.879094017       0.024197764       0.000000000
      60.000000000      15.000000000     180.000000000     135.000000000       0.027709171       0.000000000
      60.000000000      16.000000000       0.000000000     104.000000000       0.022029368       0.000000000
      60.000000000      16.000000000      90.000000000     118.726611796       0.024281088       0.000000000
      60.000000000      16.000000000     180.000000000     136.000000000       0.028068428       0.000000000
      60.000000000      17.000000000       0.000000000     103.000000000       0.022037701       0.000000000
      60.000000000      17.000000000      90.000000000     118.564800285       0.024370482       0.000000000
      60.000000000      17.000000000     180.000000000     137.000000000       0.028438673       0.000000000
      60.000000000      18.000000000       0.000000000     102.000000000       0.022059953       0.000000000
      60.000000000      18.000000000      90.000000000     118.393750435       0.024466082       0.000000000
      60.000000000      18.000000000     180.000000000     138.000000000       0.028820004       0.000000000
      60.000000000      19.000000000       0.000000000     101.000000000       0.022096405       0.000000000
      60.000000000      19.000000000      90.000000000     118.213557466       0.024568038       0.000000000
      60.000000000      19.000000000     180.000000000     139.000000000       0.029212531       0.000000000
      60.000000000      20.000000000       0.000000000     100.000000000       0.022147354       0.000000000
      60.000000000      20.000000000      90.000000000     118.024320674       0.024676509       0.000000000
      60.000000000      20.000000000     180.000000000     140.000000000       0.029616378       0.000000000
      60.000000000      21.000000000       0.000000000      99.000000000       0.022213111       0.000000000
      60.000000000      21.000000000      90.000000000     117.826143233       0.024791667       0.000000000
      60.000000000      21.000000000     180.000000000     141.000000000       0.030031687       0.000000000
      60.000000000      22.000000000       0.000000000      98.000000000       0.022294006       0.000000000
      60.000000000      22.000000000      90.000000000     117.619132006       0.024913696       0.000000000
      60.000000000      22.000000000     180.000000000     142.000000000       0.030458615       0.000000000
      60.000000000      23.000000000       0.000000000      97.000000000       0.022390387       0.000000000
      60.000000000      23.000000000      90.000000000     117.403397336       0.025042793       0.000000000
      60.000000000      23.000000000     180.000000000     143.000000000       0.030897336       0.000000000
