# ARTDECO : output file
# Downward Radiances
#   
# Result given for each geometry
# sza : solar zenith angle(s) (degree)
# vza : view  zenith angle(s) (degree)
# vaa : view azimuthal angle(s) (degree)
# total number of geometries
         270
# nsza, nvza_dw, n
           1          90           3
# number of elements of the Stokes vector
# 4 = full polarization, 3 = 3x3 approximation, 1 = scalar
           1
# number of wavelengths
           1
##################
# Wavelength (microns) 
       0.412000000
# CPU time for RT in sec(s) 
     0.184972003E+00
#         sza               vza              vaa               theta              I_dw              dI_dw
      60.000000000      91.000000000       0.000000000     120.000000000       0.084778030       0.000000000
      60.000000000      91.000000000      90.000000000     120.000000000       0.058912530       0.000000000
      60.000000000      91.000000000     180.000000000     120.000000000       0.083775295       0.000000000
      60.000000000      92.000000000       0.000000000     119.000000000       0.089114882       0.000000000
      60.000000000      92.000000000      90.000000000     119.994961924       0.061744663       0.000000000
      60.000000000      92.000000000     180.000000000     121.000000000       0.087036403       0.000000000
      60.000000000      93.000000000       0.000000000     118.000000000       0.092906873       0.000000000
      60.000000000      93.000000000      90.000000000     119.979850765       0.064060826       0.000000000
      60.000000000      93.000000000     180.000000000     122.000000000       0.089684191       0.000000000
      60.000000000      94.000000000       0.000000000     117.000000000       0.095663369       0.000000000
      60.000000000      94.000000000      90.000000000     119.954675720       0.065584196       0.000000000
      60.000000000      94.000000000     180.000000000     123.000000000       0.091264383       0.000000000
      60.000000000      95.000000000       0.000000000     116.000000000       0.097137524       0.000000000
      60.000000000      95.000000000      90.000000000     119.919452093       0.066202364       0.000000000
      60.000000000      95.000000000     180.000000000     124.000000000       0.091580973       0.000000000
      60.000000000      96.000000000       0.000000000     115.000000000       0.097446363       0.000000000
      60.000000000      96.000000000      90.000000000     119.874201258       0.066033292       0.000000000
      60.000000000      96.000000000     180.000000000     125.000000000       0.090789427       0.000000000
      60.000000000      97.000000000       0.000000000     114.000000000       0.096850050       0.000000000
      60.000000000      97.000000000      90.000000000     119.818950607       0.065274940       0.000000000
      60.000000000      97.000000000     180.000000000     126.000000000       0.089170780       0.000000000
      60.000000000      98.000000000       0.000000000     113.000000000       0.095609481       0.000000000
      60.000000000      98.000000000      90.000000000     119.753733483       0.064114228       0.000000000
      60.000000000      98.000000000     180.000000000     127.000000000       0.086993853       0.000000000
      60.000000000      99.000000000       0.000000000     112.000000000       0.093937543       0.000000000
      60.000000000      99.000000000      90.000000000     119.678589103       0.062698859       0.000000000
      60.000000000      99.000000000     180.000000000     128.000000000       0.084471752       0.000000000
      60.000000000     100.000000000       0.000000000     111.000000000       0.091993551       0.000000000
      60.000000000     100.000000000      90.000000000     119.593562462       0.061136691       0.000000000
      60.000000000     100.000000000     180.000000000     129.000000000       0.081759990       0.000000000
      60.000000000     101.000000000       0.000000000     110.000000000       0.089891697       0.000000000
      60.000000000     101.000000000      90.000000000     119.498704231       0.059503252       0.000000000
      60.000000000     101.000000000     180.000000000     130.000000000       0.078967128       0.000000000
      60.000000000     102.000000000       0.000000000     109.000000000       0.087711806       0.000000000
      60.000000000     102.000000000      90.000000000     119.394070634       0.057850032       0.000000000
      60.000000000     102.000000000     180.000000000     131.000000000       0.076166764       0.000000000
      60.000000000     103.000000000       0.000000000     108.000000000       0.085508687       0.000000000
      60.000000000     103.000000000      90.000000000     119.279723324       0.056211343       0.000000000
      60.000000000     103.000000000     180.000000000     132.000000000       0.073407533       0.000000000
      60.000000000     104.000000000       0.000000000     107.000000000       0.083319341       0.000000000
      60.000000000     104.000000000      90.000000000     119.155729238       0.054609471       0.000000000
      60.000000000     104.000000000     180.000000000     133.000000000       0.070720626       0.000000000
      60.000000000     105.000000000       0.000000000     106.000000000       0.081168231       0.000000000
      60.000000000     105.000000000      90.000000000     119.022160452       0.053058377       0.000000000
      60.000000000     105.000000000     180.000000000     134.000000000       0.068125194       0.000000000
      60.000000000     106.000000000       0.000000000     105.000000000       0.079071048       0.000000000
      60.000000000     106.000000000      90.000000000     118.879094017       0.051566303       0.000000000
      60.000000000     106.000000000     180.000000000     135.000000000       0.065632150       0.000000000
      60.000000000     107.000000000       0.000000000     104.000000000       0.077037375       0.000000000
      60.000000000     107.000000000      90.000000000     118.726611796       0.050137586       0.000000000
      60.000000000     107.000000000     180.000000000     136.000000000       0.063246815       0.000000000
      60.000000000     108.000000000       0.000000000     103.000000000       0.075072555       0.000000000
      60.000000000     108.000000000      90.000000000     118.564800285       0.048773922       0.000000000
      60.000000000     108.000000000     180.000000000     137.000000000       0.060970755       0.000000000
      60.000000000     109.000000000       0.000000000     102.000000000       0.073179015       0.000000000
      60.000000000     109.000000000      90.000000000     118.393750435       0.047475236       0.000000000
      60.000000000     109.000000000     180.000000000     138.000000000       0.058803050       0.000000000
      60.000000000     110.000000000       0.000000000     101.000000000       0.071357185       0.000000000
      60.000000000     110.000000000      90.000000000     118.213557466       0.046240295       0.000000000
      60.000000000     110.000000000     180.000000000     139.000000000       0.056741169       0.000000000
      60.000000000     111.000000000       0.000000000     100.000000000       0.069606150       0.000000000
      60.000000000     111.000000000      90.000000000     118.024320674       0.045067123       0.000000000
      60.000000000     111.000000000     180.000000000     140.000000000       0.054781576       0.000000000
      60.000000000     112.000000000       0.000000000      99.000000000       0.067924113       0.000000000
      60.000000000     112.000000000      90.000000000     117.826143233       0.043953294       0.000000000
      60.000000000     112.000000000     180.000000000     141.000000000       0.052920150       0.000000000
      60.000000000     113.000000000       0.000000000      98.000000000       0.066308717       0.000000000
      60.000000000     113.000000000      90.000000000     117.619132006       0.042896133       0.000000000
      60.000000000     113.000000000     180.000000000     142.000000000       0.051152464       0.000000000
      60.000000000     114.000000000       0.000000000      97.000000000       0.064757267       0.000000000
      60.000000000     114.000000000      90.000000000     117.403397336       0.041892854       0.000000000
      60.000000000     114.000000000     180.000000000     143.000000000       0.049473983       0.000000000
      60.000000000     115.000000000       0.000000000      96.000000000       0.063266896       0.000000000
      60.000000000     115.000000000      90.000000000     117.179052852       0.040940649       0.000000000
      60.000000000     115.000000000     180.000000000     144.000000000       0.047880193       0.000000000
      60.000000000     116.000000000       0.000000000      95.000000000       0.061834670       0.000000000
      60.000000000     116.000000000      90.000000000     116.946215263       0.040036757       0.000000000
      60.000000000     116.000000000     180.000000000     145.000000000       0.046366685       0.000000000
      60.000000000     117.000000000       0.000000000      94.000000000       0.060457666       0.000000000
      60.000000000     117.000000000      90.000000000     116.705004161       0.039178497       0.000000000
      60.000000000     117.000000000     180.000000000     146.000000000       0.044929211       0.000000000
      60.000000000     118.000000000       0.000000000      93.000000000       0.059133022       0.000000000
      60.000000000     118.000000000      90.000000000     116.455541824       0.038363299       0.000000000
      60.000000000     118.000000000     180.000000000     147.000000000       0.043563713       0.000000000
      60.000000000     119.000000000       0.000000000      92.000000000       0.057857975       0.000000000
      60.000000000     119.000000000      90.000000000     116.197953011       0.037588715       0.000000000
      60.000000000     119.000000000     180.000000000     148.000000000       0.042266346       0.000000000
      60.000000000     120.000000000       0.000000000      91.000000000       0.056629874       0.000000000
      60.000000000     120.000000000      90.000000000     115.932364776       0.036852429       0.000000000
      60.000000000     120.000000000     180.000000000     149.000000000       0.041033478       0.000000000
      60.000000000     121.000000000       0.000000000      90.000000000       0.055446200       0.000000000
      60.000000000     121.000000000      90.000000000     115.658906273       0.036152255       0.000000000
      60.000000000     121.000000000     180.000000000     150.000000000       0.039861695       0.000000000
      60.000000000     122.000000000       0.000000000      89.000000000       0.054304566       0.000000000
      60.000000000     122.000000000      90.000000000     115.377708569       0.035486141       0.000000000
      60.000000000     122.000000000     180.000000000     151.000000000       0.038747796       0.000000000
      60.000000000     123.000000000       0.000000000      88.000000000       0.053202722       0.000000000
      60.000000000     123.000000000      90.000000000     115.088904462       0.034852160       0.000000000
      60.000000000     123.000000000     180.000000000     152.000000000       0.037688783       0.000000000
      60.000000000     124.000000000       0.000000000      87.000000000       0.052138554       0.000000000
      60.000000000     124.000000000      90.000000000     114.792628303       0.034248510       0.000000000
      60.000000000     124.000000000     180.000000000     153.000000000       0.036681852       0.000000000
      60.000000000     125.000000000       0.000000000      86.000000000       0.051110075       0.000000000
      60.000000000     125.000000000      90.000000000     114.489015821       0.033673502       0.000000000
      60.000000000     125.000000000     180.000000000     154.000000000       0.035724384       0.000000000
      60.000000000     126.000000000       0.000000000      85.000000000       0.050115428       0.000000000
      60.000000000     126.000000000      90.000000000     114.178203960       0.033125560       0.000000000
      60.000000000     126.000000000     180.000000000     155.000000000       0.034813935       0.000000000
      60.000000000     127.000000000       0.000000000      84.000000000       0.049152874       0.000000000
      60.000000000     127.000000000      90.000000000     113.860330715       0.032603210       0.000000000
      60.000000000     127.000000000     180.000000000     156.000000000       0.033948220       0.000000000
      60.000000000     128.000000000       0.000000000      83.000000000       0.048220788       0.000000000
      60.000000000     128.000000000      90.000000000     113.535534978       0.032105077       0.000000000
      60.000000000     128.000000000     180.000000000     157.000000000       0.033125109       0.000000000
      60.000000000     129.000000000       0.000000000      82.000000000       0.047317652       0.000000000
      60.000000000     129.000000000      90.000000000     113.203956389       0.031629874       0.000000000
      60.000000000     129.000000000     180.000000000     158.000000000       0.032342612       0.000000000
      60.000000000     130.000000000       0.000000000      81.000000000       0.046442053       0.000000000
      60.000000000     130.000000000      90.000000000     112.865735196       0.031176400       0.000000000
      60.000000000     130.000000000     180.000000000     159.000000000       0.031598868       0.000000000
      60.000000000     131.000000000       0.000000000      80.000000000       0.045592670       0.000000000
      60.000000000     131.000000000      90.000000000     112.521012118       0.030743534       0.000000000
      60.000000000     131.000000000     180.000000000     160.000000000       0.030892142       0.000000000
      60.000000000     132.000000000       0.000000000      79.000000000       0.044768270       0.000000000
      60.000000000     132.000000000      90.000000000     112.169928217       0.030330226       0.000000000
      60.000000000     132.000000000     180.000000000     161.000000000       0.030220809       0.000000000
      60.000000000     133.000000000       0.000000000      78.000000000       0.043967708       0.000000000
      60.000000000     133.000000000      90.000000000     111.812624777       0.029935496       0.000000000
