# ARTDECO : output file
# Radiances at the top of the atmosphere
#   
# Result given for each geometry
# sza : solar zenith angle(s) (degree)
# vza : view  zenith angle(s) (degree)
# vaa : view azimuthal angle(s) (degree)
#
# total number of geometries
         270
# nsza, nvza, nvaa
           1          90           3
# number of elements of the Stokes vector
# 4 = full polarization, 3 = 3x3 approximation, 1 = scalar
           1
# number of wavelengths
           1
##################
# Wavelength (microns) 
       0.412000000
# CPU time for RT in sec(s) 
     0.184972003E+00
#         sza               vza              vaa              theta              I                 dI
      60.000000000       0.000000000       0.000000000     120.000000000       0.023570507       0.000000000
      60.000000000       0.000000000      90.000000000     120.000000000       0.023570507       0.000000000
      60.000000000       0.000000000     180.000000000     120.000000000       0.023570507       0.000000000
      60.000000000       1.000000000       0.000000000     119.000000000       0.023383762       0.000000000
      60.000000000       1.000000000      90.000000000     119.994961924       0.023573033       0.000000000
      60.000000000       1.000000000     180.000000000     121.000000000       0.023768255       0.000000000
      60.000000000       2.000000000       0.000000000     118.000000000       0.023208108       0.000000000
      60.000000000       2.000000000      90.000000000     119.979850765       0.023580617       0.000000000
      60.000000000       2.000000000     180.000000000     122.000000000       0.023976928       0.000000000
      60.000000000       3.000000000       0.000000000     117.000000000       0.023043642       0.000000000
      60.000000000       3.000000000      90.000000000     119.954675720       0.023593268       0.000000000
      60.000000000       3.000000000     180.000000000     123.000000000       0.024196458       0.000000000
      60.000000000       4.000000000       0.000000000     116.000000000       0.022890469       0.000000000
      60.000000000       4.000000000      90.000000000     119.919452093       0.023611005       0.000000000
      60.000000000       4.000000000     180.000000000     124.000000000       0.024426786       0.000000000
      60.000000000       5.000000000       0.000000000     115.000000000       0.022748707       0.000000000
      60.000000000       5.000000000      90.000000000     119.874201258       0.023633854       0.000000000
      60.000000000       5.000000000     180.000000000     125.000000000       0.024667862       0.000000000
      60.000000000       6.000000000       0.000000000     114.000000000       0.022618480       0.000000000
      60.000000000       6.000000000      90.000000000     119.818950607       0.023661849       0.000000000
      60.000000000       6.000000000     180.000000000     126.000000000       0.024919647       0.000000000
