# ARTDECO : output file
# Downward Radiances
#   
# Result given for each geometry
# sza : solar zenith angle(s) (degree)
# vza : view  zenith angle(s) (degree)
# vaa : view azimuthal angle(s) (degree)
# total number of geometries
         270
# nsza, nvza_dw, n
           1          90           3
# number of elements of the Stokes vector
# 4 = full polarization, 3 = 3x3 approximation, 1 = scalar
           3
# number of wavelengths
           1
##################
# Wavelength (microns) 
       0.412000000
# CPU time for RT in sec(s) 
     0.385241485E+01
#        sza               vza              vaa              theta              I_dw              Q_dw              U_dw                dI_dw            dQ_dw             dU_dw              Polar. (%)
      60.000000000      91.000000000       0.000000000     120.000000000       0.089120289      -0.003698907       0.000000000       0.000000000       0.000000000       0.000000000       4.150465952
      60.000000000      91.000000000      90.000000000     120.000000000       0.057572062       0.026521478      -0.038580803       0.000000000       0.000000000       0.000000000      81.319618159
      60.000000000      91.000000000     180.000000000     120.000000000       0.087773634      -0.005045563      -0.000000000       0.000000000       0.000000000       0.000000000       5.748381104
      60.000000000      92.000000000       0.000000000     119.000000000       0.093863680      -0.002733793       0.000000000       0.000000000       0.000000000       0.000000000       2.912514708
      60.000000000      92.000000000      90.000000000     119.994961924       0.060418041       0.027981711      -0.040233823       0.000000000       0.000000000       0.000000000      81.114043976
      60.000000000      92.000000000     180.000000000     121.000000000       0.091055399      -0.005542074      -0.000000000       0.000000000       0.000000000       0.000000000       6.086485673
      60.000000000      93.000000000       0.000000000     118.000000000       0.098000679      -0.001902593       0.000000000       0.000000000       0.000000000       0.000000000       1.941407748
      60.000000000      93.000000000      90.000000000     119.979850765       0.062742992       0.029175829      -0.041663158       0.000000000       0.000000000       0.000000000      81.065673733
      60.000000000      93.000000000     180.000000000     122.000000000       0.093639716      -0.006263555      -0.000000000       0.000000000       0.000000000       0.000000000       6.688994253
      60.000000000      94.000000000       0.000000000     117.000000000       0.101025448      -0.001149549       0.000000000       0.000000000       0.000000000       0.000000000       1.137881113
      60.000000000      94.000000000      90.000000000     119.954675720       0.064277450       0.029980917      -0.042632790       0.000000000       0.000000000       0.000000000      81.084722949
      60.000000000      94.000000000     180.000000000     123.000000000       0.095077622      -0.007097376      -0.000000000       0.000000000       0.000000000       0.000000000       7.464822525
      60.000000000      95.000000000       0.000000000     116.000000000       0.102687403      -0.000447465       0.000000000       0.000000000       0.000000000       0.000000000       0.435754876
      60.000000000      95.000000000      90.000000000     119.919452093       0.064912923       0.030347885      -0.043026394       0.000000000       0.000000000       0.000000000      81.112200843
      60.000000000      95.000000000     180.000000000     124.000000000       0.095187408      -0.007947460      -0.000000000       0.000000000       0.000000000       0.000000000       8.349276691
      60.000000000      96.000000000       0.000000000     115.000000000       0.103113768       0.000208436       0.000000000       0.000000000       0.000000000       0.000000000       0.202141518
      60.000000000      96.000000000      90.000000000     119.874201258       0.064767322       0.030334884      -0.042898108       0.000000000       0.000000000       0.000000000      81.121174732
      60.000000000      96.000000000     180.000000000     125.000000000       0.094145621      -0.008759711      -0.000000000       0.000000000       0.000000000       0.000000000       9.304427336
      60.000000000      97.000000000       0.000000000     114.000000000       0.102579389       0.000814861       0.000000000       0.000000000       0.000000000       0.000000000       0.794370845
      60.000000000      97.000000000      90.000000000     119.818950607       0.064036909       0.030036987      -0.042368339       0.000000000       0.000000000       0.000000000      81.102454791
      60.000000000      97.000000000     180.000000000     126.000000000       0.092252586      -0.009511942      -0.000000000       0.000000000       0.000000000       0.000000000      10.310759748
      60.000000000      98.000000000       0.000000000     113.000000000       0.101358854       0.001368270       0.000000000       0.000000000       0.000000000       0.000000000       1.349926882
      60.000000000      98.000000000      90.000000000     119.753733483       0.062906734       0.029543579      -0.041557341       0.000000000       0.000000000       0.000000000      81.054253006
      60.000000000      98.000000000     180.000000000     127.000000000       0.089791526      -0.010199058      -0.000000000       0.000000000       0.000000000       0.000000000      11.358596916
      60.000000000      99.000000000       0.000000000     112.000000000       0.099676087       0.001867135       0.000000000       0.000000000       0.000000000       0.000000000       1.873202079
      60.000000000      99.000000000      90.000000000     119.678589103       0.061522981       0.028925255      -0.040562730       0.000000000       0.000000000       0.000000000      80.977431592
      60.000000000      99.000000000     180.000000000     128.000000000       0.086985269      -0.010823684      -0.000000000       0.000000000       0.000000000       0.000000000      12.443122487
      60.000000000     100.000000000       0.000000000     111.000000000       0.097698773       0.002311934       0.000000000       0.000000000       0.000000000       0.000000000       2.366389611
      60.000000000     100.000000000      90.000000000     119.593562462       0.059992409       0.028233611      -0.039457098       0.000000000       0.000000000       0.000000000      80.873617291
      60.000000000     100.000000000     180.000000000     129.000000000       0.083995466      -0.011391373      -0.000000000       0.000000000       0.000000000       0.000000000      13.561889848
      60.000000000     101.000000000       0.000000000     110.000000000       0.095547275       0.002704577       0.000000000       0.000000000       0.000000000       0.000000000       2.830616298
      60.000000000     101.000000000      90.000000000     119.498704231       0.058389817       0.027504857      -0.038292063       0.000000000       0.000000000       0.000000000      80.744511418
      60.000000000     101.000000000     180.000000000     130.000000000       0.080934335      -0.011908364      -0.000000000       0.000000000       0.000000000       0.000000000      14.713611369
      60.000000000     102.000000000       0.000000000     109.000000000       0.093305921       0.003047821       0.000000000       0.000000000       0.000000000       0.000000000       3.266482390
      60.000000000     102.000000000      90.000000000     119.394070634       0.056766232       0.026763754      -0.037103355       0.000000000       0.000000000       0.000000000      80.591666333
      60.000000000     102.000000000     180.000000000     131.000000000       0.077877479      -0.012380621      -0.000000000       0.000000000       0.000000000       0.000000000      15.897562668
      60.000000000     103.000000000       0.000000000     108.000000000       0.091032791       0.003344840       0.000000000       0.000000000       0.000000000       0.000000000       3.674324041
      60.000000000     103.000000000      90.000000000     119.279723324       0.055155698       0.026026881      -0.035915188       0.000000000       0.000000000       0.000000000      80.416436470
      60.000000000     103.000000000     180.000000000     132.000000000       0.074874472      -0.012813479      -0.000000000       0.000000000       0.000000000       0.000000000      17.113281179
      60.000000000     104.000000000       0.000000000     107.000000000       0.088767264       0.003598930       0.000000000       0.000000000       0.000000000       0.000000000       4.054343537
      60.000000000     104.000000000      90.000000000     119.155729238       0.053580365       0.025305075      -0.034743626       0.000000000       0.000000000       0.000000000      80.219990366
      60.000000000     104.000000000     180.000000000     133.000000000       0.071956776      -0.013211558      -0.000000000       0.000000000       0.000000000       0.000000000      18.360408209
      60.000000000     105.000000000       0.000000000     106.000000000       0.086535535       0.003813340       0.000000000       0.000000000       0.000000000       0.000000000       4.406674851
      60.000000000     105.000000000      90.000000000     119.022160452       0.052054144       0.024605199      -0.033599028       0.000000000       0.000000000       0.000000000      80.003340189
      60.000000000     105.000000000     180.000000000     134.000000000       0.069143398      -0.013578797      -0.000000000       0.000000000       0.000000000       0.000000000      19.638602711
      60.000000000     106.000000000       0.000000000     105.000000000       0.084354558       0.003991166       0.000000000       0.000000000       0.000000000       0.000000000       4.731416794
      60.000000000     106.000000000      90.000000000     118.879094017       0.050585284       0.023931371      -0.032487791       0.000000000       0.000000000       0.000000000      79.767372801
      60.000000000     106.000000000     180.000000000     135.000000000       0.066444861      -0.013918532      -0.000000000       0.000000000       0.000000000       0.000000000      20.947491847
      60.000000000     107.000000000       0.000000000     104.000000000       0.082234843       0.004135302       0.000000000       0.000000000       0.000000000       0.000000000       5.028649600
      60.000000000     107.000000000      90.000000000     118.726611796       0.049178167       0.023285834      -0.031413573       0.000000000       0.000000000       0.000000000      79.512877140
      60.000000000     107.000000000     180.000000000     136.000000000       0.063865963      -0.014233578      -0.000000000       0.000000000       0.000000000       0.000000000      22.286640818
      60.000000000     108.000000000       0.000000000     103.000000000       0.080182413       0.004248419       0.000000000       0.000000000       0.000000000       0.000000000       5.298442913
      60.000000000     108.000000000      90.000000000     118.564800285       0.047834550       0.022669556      -0.030378156       0.000000000       0.000000000       0.000000000      79.240566739
      60.000000000     108.000000000     180.000000000     137.000000000       0.061407679      -0.014526314      -0.000000000       0.000000000       0.000000000       0.000000000      23.655532998
      60.000000000     109.000000000       0.000000000     102.000000000       0.078200189       0.004332962       0.000000000       0.000000000       0.000000000       0.000000000       5.540859287
      60.000000000     109.000000000      90.000000000     118.393750435       0.046554440       0.022082647      -0.029382043       0.000000000       0.000000000       0.000000000      78.951097695
      60.000000000     109.000000000     180.000000000     138.000000000       0.059068474      -0.014798753      -0.000000000       0.000000000       0.000000000       0.000000000      25.053555600
      60.000000000     110.000000000       0.000000000     101.000000000       0.076288967       0.004391159       0.000000000       0.000000000       0.000000000       0.000000000       5.755955346
      60.000000000     110.000000000      90.000000000     118.213557466       0.045336683       0.021524647      -0.028424879       0.000000000       0.000000000       0.000000000      78.645082794
      60.000000000     110.000000000     180.000000000     139.000000000       0.056845205      -0.015052604      -0.000000000       0.000000000       0.000000000       0.000000000      26.479988363
      60.000000000     111.000000000       0.000000000     100.000000000       0.074448101       0.004425033       0.000000000       0.000000000       0.000000000       0.000000000       5.943781767
      60.000000000     111.000000000      90.000000000     118.024320674       0.044179391       0.020994733      -0.027505744       0.000000000       0.000000000       0.000000000      78.323102555
      60.000000000     111.000000000     180.000000000     140.000000000       0.054733747      -0.015289322      -0.000000000       0.000000000       0.000000000       0.000000000      27.933993868
      60.000000000     112.000000000       0.000000000      99.000000000       0.072675988       0.004436420       0.000000000       0.000000000       0.000000000       0.000000000       6.104382686
      60.000000000     112.000000000      90.000000000     117.826143233       0.043080221       0.020491853      -0.026623359       0.000000000       0.000000000       0.000000000      77.985713843
      60.000000000     112.000000000     180.000000000     141.000000000       0.052729416      -0.015510151      -0.000000000       0.000000000       0.000000000       0.000000000      29.414608748
      60.000000000     113.000000000       0.000000000      98.000000000       0.070970410       0.004426989       0.000000000       0.000000000       0.000000000       0.000000000       6.237794872
      60.000000000     113.000000000      90.000000000     117.619132006       0.042036580       0.020014827      -0.025776230       0.000000000       0.000000000       0.000000000      77.633456590
      60.000000000     113.000000000     180.000000000     142.000000000       0.050827259      -0.015716162      -0.000000000       0.000000000       0.000000000       0.000000000      30.920735391
