# ARTDECO : output file
# Radiances at the top of the atmosphere
#   
# Result given for each geometry
# sza : solar zenith angle(s) (degree)
# vza : view  zenith angle(s) (degree)
# vaa : view azimuthal angle(s) (degree)
#
# total number of geometries
         270
# nsza, nvza, nvaa
           1          90           3
# number of elements of the Stokes vector
# 4 = full polarization, 3 = 3x3 approximation, 1 = scalar
           3
# number of wavelengths
           1
##################
# Wavelength (microns) 
       0.412000000
# CPU time for RT in sec(s) 
     0.385241485E+01
#         sza               vza              vaa               theta              I                 Q                U                 dI                dQ                dU              Polar. (%)
      60.000000000       0.000000000       0.000000000     120.000000000       0.022822794      -0.011543626       0.000000000       0.000000000       0.000000000       0.000000000      50.579372596
      60.000000000       0.000000000      90.000000000     120.000000000       0.022822794       0.011543626      -0.000000000       0.000000000       0.000000000       0.000000000      50.579372596
      60.000000000       0.000000000     180.000000000     120.000000000       0.022822794      -0.011543626       0.000000000       0.000000000       0.000000000       0.000000000      50.579372596
      60.000000000       1.000000000       0.000000000     119.000000000       0.022575978      -0.011794940       0.000000000       0.000000000       0.000000000       0.000000000      52.245531415
      60.000000000       1.000000000      90.000000000     119.994961924       0.022825340       0.011544700      -0.000252916       0.000000000       0.000000000       0.000000000      50.590571336
      60.000000000       1.000000000     180.000000000     121.000000000       0.023081734      -0.011289184       0.000000000       0.000000000       0.000000000       0.000000000      48.909600164
      60.000000000       2.000000000       0.000000000     118.000000000       0.022341400      -0.012043016       0.000000000       0.000000000       0.000000000       0.000000000      53.904482294
      60.000000000       2.000000000      90.000000000     119.979850765       0.022832979       0.011547922      -0.000505955       0.000000000       0.000000000       0.000000000      50.624144602
      60.000000000       2.000000000     180.000000000     122.000000000       0.023352693      -0.011031723       0.000000000       0.000000000       0.000000000       0.000000000      47.239618965
      60.000000000       3.000000000       0.000000000     117.000000000       0.022119184      -0.012287748       0.000000000       0.000000000       0.000000000       0.000000000      55.552447157
      60.000000000       3.000000000      90.000000000     119.954675720       0.022845724       0.011553298      -0.000759236       0.000000000       0.000000000       0.000000000      50.680023676
      60.000000000       3.000000000     180.000000000     123.000000000       0.023635576      -0.010771356       0.000000000       0.000000000       0.000000000       0.000000000      45.572640730
      60.000000000       4.000000000       0.000000000     116.000000000       0.021909463      -0.012529030       0.000000000       0.000000000       0.000000000       0.000000000      57.185472189
      60.000000000       4.000000000      90.000000000     119.919452093       0.022863591       0.011560837      -0.001012884       0.000000000       0.000000000       0.000000000      50.758094493
      60.000000000       4.000000000     180.000000000     124.000000000       0.023930297      -0.010508196       0.000000000       0.000000000       0.000000000       0.000000000      43.911682365
      60.000000000       5.000000000       0.000000000     115.000000000       0.021712381      -0.012766758       0.000000000       0.000000000       0.000000000       0.000000000      58.799438268
      60.000000000       5.000000000      90.000000000     119.874201258       0.022886607       0.011570551      -0.001267021       0.000000000       0.000000000       0.000000000      50.858198327
      60.000000000       5.000000000     180.000000000     125.000000000       0.024236781      -0.010242359       0.000000000       0.000000000       0.000000000       0.000000000      42.259565973
      60.000000000       6.000000000       0.000000000     114.000000000       0.021528093      -0.013000831       0.000000000       0.000000000       0.000000000       0.000000000      60.390073968
      60.000000000       6.000000000      90.000000000     119.818950607       0.022914802       0.011582455      -0.001521772       0.000000000       0.000000000       0.000000000      50.980132757
      60.000000000       6.000000000     180.000000000     126.000000000       0.024554963      -0.009973961       0.000000000       0.000000000       0.000000000       0.000000000      40.618920434
      60.000000000       7.000000000       0.000000000     113.000000000       0.021356760      -0.013231147       0.000000000       0.000000000       0.000000000       0.000000000      61.952971186
      60.000000000       7.000000000      90.000000000     119.753733483       0.022948219       0.011596569      -0.001777260       0.000000000       0.000000000       0.000000000      51.123652848
      60.000000000       7.000000000     180.000000000     127.000000000       0.024884786      -0.009703121       0.000000000       0.000000000       0.000000000       0.000000000      38.992184321
      60.000000000       8.000000000       0.000000000     112.000000000       0.021198557      -0.013457608       0.000000000       0.000000000       0.000000000       0.000000000      63.483603518
      60.000000000       8.000000000      90.000000000     119.678589103       0.022986902       0.011612916      -0.002033614       0.000000000       0.000000000       0.000000000      51.288472581
