# ARTDECO : output file
# Radiances at the top of the atmosphere
#   
# Result given for each geometry
# sza : solar zenith angle(s) (degree)
# vza : view  zenith angle(s) (degree)
# vaa : view azimuthal angle(s) (degree)
#
# total number of geometries
         270
# nsza, nvza, nvaa
           1          90           3
# number of elements of the Stokes vector
# 4 = full polarization, 3 = 3x3 approximation, 1 = scalar
           1
# number of wavelengths
           1
##################
# Wavelength (microns) 
       0.412000000
# CPU time for RT in sec(s) 
     0.921659851E+01
#         sza               vza              vaa              theta              I                 dI
      60.000000000       0.000000000       0.000000000     120.000000000       0.023536040       0.000415361
      60.000000000       0.000000000      90.000000000     120.000000000       0.023536040       0.000415361
      60.000000000       0.000000000     180.000000000     120.000000000       0.023536040       0.000415361
      60.000000000       1.000000000       0.000000000     119.000000000       0.023349203       0.000413594
      60.000000000       1.000000000      90.000000000     119.994961924       0.023538485       0.000415638
      60.000000000       1.000000000     180.000000000     121.000000000       0.023733843       0.000417317
      60.000000000       2.000000000       0.000000000     118.000000000       0.023173420       0.000412018
      60.000000000       2.000000000      90.000000000     119.979850765       0.023545972       0.000416036
      60.000000000       2.000000000     180.000000000     122.000000000       0.023942535       0.000419461
      60.000000000       3.000000000       0.000000000     117.000000000       0.023008788       0.000410632
      60.000000000       3.000000000      90.000000000     119.954675720       0.023558510       0.000416554
      60.000000000       3.000000000     180.000000000     123.000000000       0.024162047       0.000421794
      60.000000000       4.000000000       0.000000000     116.000000000       0.022855414       0.000409440
      60.000000000       4.000000000      90.000000000     119.919452093       0.023576117       0.000417194
      60.000000000       4.000000000     180.000000000     124.000000000       0.024392320       0.000424315
      60.000000000       5.000000000       0.000000000     115.000000000       0.022713413       0.000408440
      60.000000000       5.000000000      90.000000000     119.874201258       0.023598820       0.000417954
      60.000000000       5.000000000     180.000000000     125.000000000       0.024633303       0.000427024
      60.000000000       6.000000000       0.000000000     114.000000000       0.022582912       0.000407636
      60.000000000       6.000000000      90.000000000     119.818950607       0.023626652       0.000418836
      60.000000000       6.000000000     180.000000000     126.000000000       0.024884958       0.000429921
      60.000000000       7.000000000       0.000000000     113.000000000       0.022464045       0.000407029
      60.000000000       7.000000000      90.000000000     119.753733483       0.023659653       0.000419840
      60.000000000       7.000000000     180.000000000     127.000000000       0.025147253       0.000433006
      60.000000000       8.000000000       0.000000000     112.000000000       0.022356958       0.000406620
      60.000000000       8.000000000      90.000000000     119.678589103       0.023697871       0.000420967
      60.000000000       8.000000000     180.000000000     128.000000000       0.025420168       0.000436280
      60.000000000       9.000000000       0.000000000     111.000000000       0.022261807       0.000406413
      60.000000000       9.000000000      90.000000000     119.593562462       0.023741363       0.000422218
      60.000000000       9.000000000     180.000000000     129.000000000       0.025703693       0.000439743
      60.000000000      10.000000000       0.000000000     110.000000000       0.022178760       0.000406408
      60.000000000      10.000000000      90.000000000     119.498704231       0.023790193       0.000423594
      60.000000000      10.000000000     180.000000000     130.000000000       0.025997828       0.000443397
      60.000000000      11.000000000       0.000000000     109.000000000       0.022107992       0.000406609
      60.000000000      11.000000000      90.000000000     119.394070634       0.023844433       0.000425096
      60.000000000      11.000000000     180.000000000     131.000000000       0.026302583       0.000447242
      60.000000000      12.000000000       0.000000000     108.000000000       0.022049692       0.000407019
      60.000000000      12.000000000      90.000000000     119.279723324       0.023904164       0.000426726
      60.000000000      12.000000000     180.000000000     132.000000000       0.026617979       0.000451280
      60.000000000      13.000000000       0.000000000     107.000000000       0.022004060       0.000407640
      60.000000000      13.000000000      90.000000000     119.155729238       0.023969475       0.000428486
      60.000000000      13.000000000     180.000000000     133.000000000       0.026944050       0.000455512
      60.000000000      14.000000000       0.000000000     106.000000000       0.021971308       0.000408475
      60.000000000      14.000000000      90.000000000     119.022160452       0.024040465       0.000430378
