# ARTDECO : output file
# Radiances at the top of the atmosphere
#   
# Result given for each geometry
# sza : solar zenith angle(s) (degree)
# vza : view  zenith angle(s) (degree)
# vaa : view azimuthal angle(s) (degree)
#
# total number of geometries
         270
# nsza, nvza, nvaa
           1          90           3
# number of elements of the Stokes vector
# 4 = full polarization, 3 = 3x3 approximation, 1 = scalar
           3
# number of wavelengths
           1
##################
# Wavelength (microns) 
       0.412000000
# CPU time for RT in sec(s) 
     0.132259903E+02
#         sza               vza              vaa               theta              I                 Q                U                 dI                dQ                dU              Polar. (%)
      60.000000000       0.000000000       0.000000000     120.000000000       0.022873467      -0.013931736       0.000039383       0.000423091       0.000257153       0.000076284      60.908088009
      60.000000000       0.000000000      90.000000000     120.000000000       0.022873467      -0.013931736       0.000039383       0.000423091       0.000257153       0.000076284      60.908088009
      60.000000000       0.000000000     180.000000000     120.000000000       0.022873467      -0.013931736       0.000039383       0.000423091       0.000257153       0.000076284      60.908088009
      60.000000000       1.000000000       0.000000000     119.000000000       0.022625216      -0.011801636      -0.000022924       0.000419834       0.000244713       0.000120952      52.161526026
      60.000000000       1.000000000      90.000000000     119.994961924       0.022875191       0.011549125      -0.000230608       0.000422841       0.000242108       0.000122617      50.497619363
      60.000000000       1.000000000     180.000000000     121.000000000       0.023133847      -0.011293004      -0.000024569       0.000426598       0.000240487       0.000124426      48.816053458
      60.000000000       2.000000000       0.000000000     118.000000000       0.022389210      -0.012051166      -0.000022099       0.000416829       0.000246860       0.000119302      53.825864560
      60.000000000       2.000000000      90.000000000     119.979850765       0.022882013       0.011551509      -0.000485087       0.000422711       0.000241697       0.000122752      50.527417023
      60.000000000       2.000000000     180.000000000     122.000000000       0.023406252      -0.011034123      -0.000025390       0.000430356       0.000238424       0.000126244      47.141902152
      60.000000000       3.000000000       0.000000000     117.000000000       0.022165573      -0.012297361      -0.000021273       0.000414075       0.000249019       0.000117711      55.479636419
      60.000000000       3.000000000      90.000000000     119.954675720       0.022893944       0.011556038      -0.000739811       0.000422700       0.000241352       0.000123067      50.579731724
      60.000000000       3.000000000     180.000000000     123.000000000       0.023690586      -0.010772348      -0.000026210       0.000434364       0.000236405       0.000128115      45.471140726
      60.000000000       4.000000000       0.000000000     116.000000000       0.021954440      -0.012540116      -0.000020444       0.000411575       0.000251185       0.000116183      57.118891228
      60.000000000       4.000000000      90.000000000     119.919452093       0.022911002       0.011562721      -0.000994906       0.000422807       0.000241071       0.000123562      50.654462758
      60.000000000       4.000000000     180.000000000     124.000000000       0.023986763      -0.010507793      -0.000027031       0.000438621       0.000234439       0.000130037      43.806774465
      60.000000000       5.000000000       0.000000000     115.000000000       0.021755954      -0.012779326      -0.000019613       0.000409329       0.000253351       0.000114721      58.739510968
      60.000000000       5.000000000      90.000000000     119.874201258       0.022933212       0.011571569      -0.001250493       0.000423031       0.000240853       0.000124235      50.751463910
      60.000000000       5.000000000     180.000000000     125.000000000       0.024294707      -0.010240573      -0.000027852       0.000443128       0.000232535       0.000132008      42.151612882
      60.000000000       6.000000000       0.000000000     114.000000000       0.021570271      -0.013014889      -0.000018778       0.000407339       0.000255511       0.000113327      60.337222733
      60.000000000       6.000000000      90.000000000     119.818950607       0.022960608       0.011582599      -0.001506699       0.000423373       0.000240697       0.000125086      50.870544328
      60.000000000       6.000000000     180.000000000     126.000000000       0.024614352      -0.009970807      -0.000028673       0.000447885       0.000230702       0.000134028      40.508271487
      60.000000000       7.000000000       0.000000000     113.000000000       0.021397553      -0.013246702      -0.000017941       0.000405604       0.000257659       0.000112004      61.907614158
      60.000000000       7.000000000      90.000000000     119.753733483       0.022993230       0.011595832      -0.001763648       0.000423833       0.000240603       0.000126113      51.011469645
      60.000000000       7.000000000     180.000000000     127.000000000       0.024945641      -0.009698615      -0.000029496       0.000452891       0.000228950       0.000136094      38.879174895
      60.000000000       8.000000000       0.000000000     112.000000000       0.021237976      -0.013474668      -0.000017099       0.000404129       0.000259789       0.000110756      63.446151573
      60.000000000       8.000000000      90.000000000     119.678589103       0.023031126       0.011611289      -0.002021470       0.000424411       0.000240569       0.000127314      51.173963333
      60.000000000       8.000000000     180.000000000     128.000000000       0.025288528      -0.009424116      -0.000030320       0.000458147       0.000227289       0.000138207      37.266561094
      60.000000000       9.000000000       0.000000000     111.000000000       0.021091726      -0.013698687      -0.000016254       0.000402913       0.000261897       0.000109586      64.948200924
