# AFGL atmospheric constituent profile. midlatitude summer. ( AFGL-TR-86-0110)       
# 
# number of sampled altitude :
 50
# number of sampled gas :
 2 
# sampled gas :
 h2o 
 o3 
#      z(km)      p(mb)        T(K)       air(cm-3)       h2o(cm-3)        o3(cm-3) 
     120.00    2.0000e-05    380.00    4.3266730e+11    8.6600000e+04    2.1650000e+02
     115.00    4.0000e-05    316.80    8.1391050e+11    1.9548000e+05    4.0725000e+03
     110.00    6.0000e-05    262.40    1.6865110e+12    4.7264000e+05    8.4400010e+04
     105.00    1.2000e-04    222.20    3.8137620e+12    1.2974400e+06    7.6320000e+05
     100.00    2.6000e-04    190.50    9.8092670e+12    3.9264000e+06    3.9264000e+06
      95.00    6.2000e-04    178.30    2.5388700e+13    1.3721400e+07    1.7787000e+07
      90.00    1.6400e-03    165.00    7.1989930e+13    6.1234000e+07    5.4030000e+07
      85.00    4.4800e-03    165.10    1.9653630e+14    2.6161100e+08    1.1211900e+08
      80.00    1.2000e-02    174.10    4.9922270e+14    1.0491600e+09    9.9920000e+07
      75.00    3.0000e-02    196.10    1.1080400e+15    3.2715500e+09    2.1071000e+08
      70.00    6.7000e-02    218.10    2.2250050e+15    8.2399000e+09    8.9080010e+08
      65.00    1.3900e-01    240.10    4.1930930e+15    1.8462400e+10    3.3568000e+09
      60.00    2.7200e-01    257.10    7.6626440e+15    3.8340000e+10    9.9684000e+09
      55.00    5.1500e-01    269.30    1.3851050e+16    7.4150990e+10    2.4948000e+10
      50.00    9.5100e-01    275.70    2.4983630e+16    1.3750000e+11    7.0000000e+10
      47.50    1.2900e+00    275.20    3.3951040e+16    1.8689000e+11    1.1893000e+11
      45.00    1.7600e+00    269.90    4.7230400e+16    2.5756700e+11    2.1267000e+11
      42.50    2.4100e+00    263.70    6.6194010e+16    3.5107200e+11    3.9081600e+11
      40.00    3.3300e+00    257.50    9.3665320e+16    4.7802300e+11    7.0766150e+11
      37.50    4.6400e+00    251.30    1.3373260e+17    6.6900000e+11    1.1640600e+12
      35.00    6.5200e+00    245.20    1.9259230e+17    9.5386490e+11    1.7150300e+12
      32.50    9.3000e+00    239.00    2.8183630e+17    1.3677000e+12    2.2842000e+12
      30.00    1.3200e+01    233.70    4.0909770e+17    1.9241800e+12    2.8658000e+12
      27.50    1.9070e+01    228.45    6.0460450e+17    2.6922500e+12    3.6300000e+12
      25.00    2.7700e+01    225.10    8.9128390e+17    3.7459800e+12    4.2811200e+12
      24.00    3.2200e+01    223.90    1.0416300e+18    4.1680000e+12    4.1680000e+12
      23.00    3.7600e+01    222.80    1.2223190e+18    4.7085500e+12    4.1582000e+12
      22.00    4.3700e+01    221.60    1.4283130e+18    5.1443990e+12    4.1441000e+12
      21.00    5.1000e+01    220.40    1.6759860e+18    5.7856500e+12    4.0248000e+12
      20.00    5.9500e+01    219.20    1.9660210e+18    6.4911000e+12    3.9340000e+12
      19.00    6.9500e+01    217.90    2.3101460e+18    7.3984000e+12    3.4680000e+12
      18.00    8.1200e+01    216.80    2.7127420e+18    8.5522500e+12    2.7150000e+12
      17.00    9.5000e+01    215.70    3.1899610e+18    1.0214400e+13    2.2344000e+12
      16.00    1.1100e+02    215.70    3.7272170e+18    1.2309000e+13    2.2380000e+12
      15.00    1.3000e+02    215.70    4.3652090e+18    1.4851200e+13    2.1840000e+12
      14.00    1.5300e+02    215.70    5.1375150e+18    2.5705000e+13    2.2620400e+12
      13.00    1.7900e+02    215.80    6.0077720e+18    4.8096000e+13    1.8036000e+12
      12.00    2.0900e+02    222.30    6.8095540e+18    2.0060420e+14    1.5195220e+12
      11.00    2.4300e+02    228.80    7.6924040e+18    7.3562090e+14    1.3802510e+12
      10.00    2.8100e+02    235.30    8.6496040e+18    2.1397630e+15    1.1287420e+12
       9.00    3.2400e+02    241.70    9.7091260e+18    4.0117360e+15    1.0794480e+12
       8.00    3.7200e+02    248.20    1.0855580e+19    7.0199040e+15    9.9108360e+11
       7.00    4.2600e+02    254.70    1.2114140e+19    1.2362400e+16    9.4099680e+11
       6.00    4.8700e+02    261.20    1.3504160e+19    2.0400100e+16    8.6572070e+11
       5.00    5.5400e+02    267.20    1.5017070e+19    3.3441750e+16    8.2845360e+11
       4.00    6.2800e+02    273.20    1.6649100e+19    6.3524580e+16    8.0317860e+11
       3.00    7.1000e+02    279.20    1.8418520e+19    1.1028510e+17    7.7811460e+11
       2.00    8.0200e+02    285.20    2.0367450e+19    1.9727840e+17    7.5283720e+11
       1.00    9.0200e+02    289.70    2.2551210e+19    3.1101460e+17    7.5316090e+11
       0.00    1.0130e+03    294.20    2.4938980e+19    4.6824960e+17    7.5304320e+11
