# AFGL atmospheric constituent profile. midlatitude winter. ( AFGL-TR-86-0110)       
# 
# number of sampled altitude :
 50
# number of sampled gas :
 2 
# sampled gas :
 h2o 
 o3 
#      z(km)      p(mb)        T(K)       air(cm-3)       h2o(cm-3)        o3(cm-3) 
     120.00    4.0000e-05    333.00    7.8301510e+11    1.5672000e+05    3.9180000e+02
     115.00    6.0000e-05    293.00    1.4782420e+12    3.5496000e+05    7.3950000e+03
     110.00    1.1000e-04    259.50    2.9501860e+12    8.2655990e+05    1.4760000e+05
     105.00    2.0000e-04    237.10    6.1095640e+12    2.0787600e+06    1.2228000e+06
     100.00    4.1000e-04    218.60    1.3498410e+13    5.4040000e+06    5.4040000e+06
      95.00    8.8000e-04    208.30    3.0494540e+13    1.6480800e+07    2.4416000e+07
      90.00    1.9800e-03    199.50    7.1884310e+13    6.1149000e+07    5.7552000e+07
      85.00    4.5600e-03    199.80    1.6530320e+14    2.1998200e+08    9.0970000e+07
      80.00    1.0300e-02    210.10    3.5507740e+14    7.1060000e+08    8.1719000e+07
      75.00    2.2200e-02    220.40    7.2954690e+14    1.9712700e+09    1.8252500e+08
      70.00    4.7000e-02    230.70    1.4755770e+15    4.8741000e+09    4.7264000e+08
      65.00    9.5000e-02    240.90    2.8562660e+15    1.1432000e+10    1.5719000e+09
      60.00    1.8800e-01    250.80    5.4292780e+15    2.4448500e+10    5.4330000e+09
      55.00    3.6200e-01    260.60    1.0061110e+16    4.8839500e+10    1.7119000e+10
      50.00    6.8300e-01    265.70    1.8618340e+16    9.2218500e+10    5.1232500e+10
      47.50    9.4000e-01    265.10    2.5682060e+16    1.2850000e+11    9.5090000e+10
      45.00    1.2900e+00    258.50    3.6144400e+16    1.8085000e+11    1.6638200e+11
      42.50    1.8000e+00    250.80    5.1982450e+16    2.6010000e+11    3.0691800e+11
      40.00    2.5300e+00    243.20    7.5347490e+16    3.7323000e+11    5.2026000e+11
      37.50    3.6000e+00    235.50    1.1071930e+17    5.4292000e+11    7.9776000e+11
      35.00    5.1800e+00    227.90    1.6462560e+17    7.9879500e+11    1.1693700e+12
      32.50    7.5600e+00    220.40    2.4844030e+17    1.1932800e+12    1.6904800e+12
      30.00    1.1100e+01    217.40    3.6980710e+17    1.7579750e+12    2.2576100e+12
      27.50    1.6460e+01    215.50    5.5321550e+17    2.6019200e+12    3.1001600e+12
      25.00    2.4400e+01    215.20    8.2121970e+17    3.8213700e+12    4.1911800e+12
      24.00    2.8600e+01    215.20    9.6257720e+17    4.4311800e+12    4.5275100e+12
      23.00    3.3400e+01    215.20    1.1241290e+18    5.1187510e+12    4.8375010e+12
      22.00    3.9100e+01    215.20    1.3159710e+18    5.9660100e+12    5.1363000e+12
      21.00    4.5800e+01    215.20    1.5414700e+18    6.9435000e+12    5.4005000e+12
      20.00    5.3700e+01    215.20    1.8073560e+18    8.1405000e+12    5.2461000e+12
      19.00    6.2800e+01    215.20    2.1136310e+18    9.5175000e+12    4.8645000e+12
      18.00    7.3600e+01    215.70    2.4713800e+18    1.1128500e+13    4.4514000e+12
      17.00    8.6100e+01    216.20    2.8844260e+18    1.2987000e+13    4.0404000e+12
      16.00    1.0070e+02    216.70    3.3657540e+18    1.5492800e+13    3.7048000e+12
      15.00    1.1780e+02    217.20    3.9282340e+18    1.8475700e+13    3.5379000e+12
      14.00    1.3780e+02    217.70    4.5846120e+18    2.2022400e+13    3.6704000e+12
      13.00    1.6110e+02    218.20    5.3475230e+18    2.6755000e+13    3.7649630e+12
      12.00    1.8820e+02    218.70    6.2327930e+18    3.7422000e+13    3.2631980e+12
      11.00    2.1990e+02    219.20    7.2660180e+18    7.2710000e+13    2.6350100e+12
      10.00    2.5680e+02    219.70    8.4659700e+18    2.5077120e+14    2.0078640e+12
       9.00    2.9930e+02    225.70    9.6047700e+18    5.3500390e+14    1.5062000e+12
       8.00    3.4730e+02    231.70    1.0856520e+19    1.1696220e+15    1.1283540e+12
       7.00    4.0160e+02    237.70    1.2237040e+19    2.8432250e+15    9.6664750e+11
       6.00    4.6270e+02    243.70    1.3751680e+19    7.0217280e+15    8.0317120e+11
       5.00    5.3130e+02    249.70    1.5411080e+19    1.2707620e+16    7.2782400e+11
       4.00    6.0810e+02    255.70    1.7224880e+19    2.2067200e+16    6.1495080e+11
       3.00    6.9380e+02    261.70    1.9201820e+19    4.0131360e+16    6.1504000e+11
       2.00    7.8970e+02    265.20    2.1567530e+19    6.0165040e+16    6.1481420e+11
       1.00    8.9730e+02    268.70    2.4186990e+19    8.3586800e+16    6.7760000e+11
       0.00    1.0180e+03    272.20    2.7087660e+19    1.1700680e+17    7.5311590e+11
