# AFGL atmospheric constituent profile. subarctic summer. ( AFGL-TR-86-0110)       
# 
# number of sampled altitude :
 50
# number of sampled gas :
 2 
# sampled gas :
 h2o 
 o3 
#      z(km)      p(mb)        T(K)       air(cm-3)       h2o(cm-3)        o3(cm-3) 
     120.00    2.0000e-05    380.00    4.3076120e+11    8.6220010e+04    2.1555000e+02
     115.00    4.0000e-05    322.70    7.9454060e+11    1.9082400e+05    3.9755000e+03
     110.00    6.0000e-05    270.10    1.6089350e+12    4.5080000e+05    8.0500000e+04
     105.00    1.1000e-04    226.00    3.6214440e+12    1.2321600e+06    7.2480010e+05
     100.00    2.5000e-04    190.40    9.4340150e+12    3.7764000e+06    3.7764000e+06
      95.00    6.1000e-04    176.80    2.4825740e+13    1.3413600e+07    1.9872000e+07
      90.00    1.6100e-03    161.60    7.2159970e+13    6.1378500e+07    6.4989000e+07
      85.00    4.5100e-03    161.70    2.0201250e+14    2.6892600e+08    1.3143000e+08
      80.00    1.2500e-02    170.60    5.3069230e+14    1.0622000e+09    9.5598000e+07
      75.00    3.2000e-02    193.60    1.1971720e+15    3.2346000e+09    2.3960000e+08
      70.00    7.1000e-02    216.60    2.3741690e+15    7.8408000e+09    9.5040000e+08
      65.00    1.4700e-01    239.70    4.4418220e+15    1.7780000e+10    3.5560000e+09
      60.00    2.8800e-01    262.70    7.9404340e+15    3.5757000e+10    9.5352000e+09
      55.00    5.3700e-01    274.00    1.4195010e+16    6.8918500e+10    2.4157000e+10
      50.00    9.8700e-01    277.20    2.5789070e+16    1.2775950e+11    6.4525000e+10
      47.50    1.3400e+00    276.20    3.5139290e+16    1.7580000e+11    1.1251200e+11
      45.00    1.8200e+00    273.60    4.8180040e+16    2.4105000e+11    2.0248200e+11
      42.50    2.4800e+00    269.50    6.6650710e+16    3.3350000e+11    3.6018000e+11
      40.00    3.4000e+00    262.10    9.3955830e+16    4.7010000e+11    6.5814000e+11
      37.50    4.7200e+00    254.60    1.3427510e+17    6.7200000e+11    1.0483200e+12
      35.00    6.6100e+00    247.20    1.9367110e+17    9.6900000e+11    1.4922600e+12
      32.50    9.4000e+00    240.00    2.8367980e+17    1.4195000e+12    1.9589100e+12
      30.00    1.3400e+01    235.10    4.1282300e+17    2.0655000e+12    2.3546700e+12
      27.50    1.9230e+01    231.00    6.0294700e+17    2.9868300e+12    3.1980200e+12
      25.00    2.7800e+01    228.10    8.8273700e+17    4.3286600e+12    3.9753000e+12
      24.00    3.2280e+01    226.60    1.0317760e+18    5.0100490e+12    4.3386000e+12
      23.00    3.7500e+01    225.20    1.2060760e+18    5.8298100e+12    4.4659000e+12
      22.00    4.3600e+01    225.20    1.4022640e+18    6.7344000e+12    4.6299000e+12
      21.00    5.0700e+01    225.20    1.6306150e+18    7.6704000e+12    4.4064000e+12
      20.00    5.9000e+01    225.20    1.8975600e+18    8.7354000e+12    3.9879000e+12
      19.00    6.8600e+01    225.20    2.2063150e+18    9.9360000e+12    3.7536000e+12
      18.00    7.9800e+01    225.20    2.5665300e+18    1.1042400e+13    3.3384000e+12
      17.00    9.2800e+01    225.20    2.9846370e+18    1.2097350e+13    2.9870000e+12
      16.00    1.0800e+02    225.20    3.4734990e+18    1.3904000e+13    2.9546000e+12
      15.00    1.2600e+02    225.20    4.0524160e+18    1.6220000e+13    2.8385000e+12
      14.00    1.4600e+02    225.20    4.6956570e+18    1.8796000e+13    2.8194000e+12
      13.00    1.7000e+02    225.20    5.4675450e+18    2.4345950e+13    2.7355000e+12
      12.00    1.9770e+02    225.20    6.3584330e+18    3.8178000e+13    2.6088300e+12
      11.00    2.3000e+02    225.20    7.3972670e+18    9.8446610e+13    2.2576100e+12
      10.00    2.6770e+02    225.20    8.6097760e+18    3.6531840e+14    1.6284240e+12
       9.00    3.1080e+02    232.20    9.6946160e+18    1.2611300e+15    1.3775420e+12
       8.00    3.5900e+02    239.20    1.0870390e+19    4.3476480e+15    9.9160320e+11
       7.00    4.1300e+02    246.10    1.2154870e+19    9.6927360e+15    9.4094090e+11
       6.00    4.7400e+02    253.10    1.3564320e+19    1.8048100e+16    8.9073480e+11
       5.00    5.4100e+02    260.10    1.5064980e+19    3.3447440e+16    8.0346240e+11
       4.00    6.1600e+02    265.50    1.6804590e+19    5.6851600e+16    7.5319960e+11
       3.00    7.0000e+02    270.90    1.8715480e+19    9.0278600e+16    7.2803510e+11
       2.00    7.9290e+02    276.30    2.0784970e+19    1.4040000e+17    7.0283210e+11
       1.00    8.9600e+02    281.70    2.3037370e+19    2.0055810e+17    6.7767000e+11
       0.00    1.0100e+03    287.20    2.5471160e+19    3.0435060e+17    6.1481880e+11
