# AFGL atmospheric constituent profile. subarctic winter. ( AFGL-TR-86-0110)       
# 
# number of sampled altitude :
 50
# number of sampled gas :
 2 
# sampled gas :
 h2o 
 o3 
#      z(km)      p(mb)        T(K)       air(cm-3)       h2o(cm-3)        o3(cm-3) 
     120.00    4.0000e-05    333.00    7.8083990e+11    1.5628000e+05    3.9070000e+02
     115.00    6.0000e-05    288.50    1.5063200e+12    3.6168000e+05    7.5350000e+03
     110.00    1.1000e-04    252.60    3.0967220e+12    8.6772010e+05    1.5495000e+05
     105.00    2.1000e-04    234.00    6.4071710e+12    2.1800800e+06    1.2824000e+06
     100.00    4.2000e-04    218.50    1.4021700e+13    5.6120000e+06    5.6120000e+06
      95.00    9.1000e-04    211.00    3.1134130e+13    1.6826400e+07    2.4928000e+07
      90.00    2.0200e-03    202.30    7.2393090e+13    6.1574000e+07    5.7952000e+07
      85.00    4.5000e-03    213.10    1.5294700e+14    2.0362300e+08    1.1482500e+08
      80.00    9.6600e-03    223.90    3.1248910e+14    6.2540000e+08    4.0651000e+07
      75.00    2.0000e-02    234.70    6.1720400e+14    1.6675200e+09    2.0380800e+08
      70.00    4.0000e-02    245.40    1.1805850e+15    3.8973000e+09    5.9050000e+08
      65.00    7.9000e-02    248.40    2.3034950e+15    9.2200000e+09    1.4982500e+09
      60.00    1.5500e-01    250.90    4.4744830e+15    2.0151000e+10    4.2541000e+09
      55.00    2.9900e-01    259.10    8.3582550e+15    4.0565400e+10    1.3382400e+10
      50.00    5.7190e-01    259.30    1.5974580e+16    7.9150500e+10    4.1574000e+10
      47.50    7.9000e-01    253.20    2.2598270e+16    1.1305000e+11    6.7830000e+10
      45.00    1.1130e+00    247.00    3.2636980e+16    1.6330000e+11    1.3390600e+11
      42.50    1.5700e+00    240.80    4.7223160e+16    2.3630000e+11    2.4102600e+11
      40.00    2.2430e+00    234.70    6.9219430e+16    3.4635000e+11    4.0869300e+11
      37.50    3.2300e+00    228.50    1.0238310e+17    5.1250000e+11    6.4062500e+11
      35.00    4.7010e+00    222.30    1.5316610e+17    7.6649990e+11    9.5045990e+11
      32.50    6.9100e+00    218.50    2.2905430e+17    1.1460000e+12    1.3522800e+12
      30.00    1.0200e+01    216.00    3.4202530e+17    1.7115000e+12    1.8484200e+12
      27.50    1.5130e+01    213.60    5.1303790e+17    2.5670000e+12    2.5156600e+12
      25.00    2.2560e+01    211.20    7.7367230e+17    3.8710000e+12    3.6387400e+12
      24.00    2.6490e+01    211.80    9.0587410e+17    4.5325000e+12    4.1699000e+12
      23.00    3.1090e+01    212.40    1.0601760e+18    5.2519500e+12    4.7745000e+12
      22.00    3.6470e+01    213.00    1.2401320e+18    6.0809000e+12    5.2122000e+12
      21.00    4.2770e+01    213.60    1.4502730e+18    7.0373500e+12    5.8040000e+12
      20.00    5.0140e+01    214.20    1.6954180e+18    8.1456010e+12    6.2789000e+12
      19.00    5.8750e+01    214.80    1.9810040e+18    9.4145000e+12    6.1442000e+12
      18.00    6.8820e+01    215.40    2.3140930e+18    1.0885200e+13    5.6742000e+12
      17.00    8.0580e+01    216.00    2.7020000e+18    1.2573600e+13    5.1376000e+12
      16.00    9.4310e+01    216.60    3.1536320e+18    1.4517600e+13    4.7340000e+12
      15.00    1.1030e+02    217.20    3.6781340e+18    1.6748550e+13    4.4172000e+12
      14.00    1.2910e+02    217.20    4.3050510e+18    1.9386000e+13    3.8772000e+12
      13.00    1.5100e+02    217.20    5.0353420e+18    2.2423550e+13    3.2753500e+12
      12.00    1.7660e+02    217.20    5.8890160e+18    3.5358000e+13    2.3572000e+12
      11.00    2.0670e+02    217.20    6.8927490e+18    6.8980000e+13    2.4143000e+12
      10.00    2.4180e+02    217.20    8.0632160e+18    1.6138000e+14    2.4207000e+12
       9.00    2.8290e+02    217.20    9.4337620e+18    2.8093440e+14    1.9824000e+12
       8.00    3.3080e+02    220.60    1.0861050e+19    3.6784080e+14    1.1304800e+12
       7.00    3.8530e+02    227.30    1.2277540e+19    1.8066300e+15    8.9127090e+11
       6.00    4.4670e+02    234.10    1.3820580e+19    3.2763270e+15    6.1488180e+11
       5.00    5.1580e+02    240.90    1.5508020e+19    6.6875680e+15    5.8991520e+11
       4.00    5.9320e+02    247.70    1.7345510e+19    1.3710930e+16    5.6472080e+11
       3.00    6.7980e+02    252.70    1.9484430e+19    2.2737000e+16    5.3956500e+11
       2.00    7.7750e+02    255.90    2.2006040e+19    3.1422540e+16    5.1438720e+11
       1.00    8.8780e+02    259.10    2.4817590e+19    4.0116600e+16    5.1468470e+11
       0.00    1.0130e+03    257.20    2.8526620e+19    4.0112750e+16    5.1447100e+11
