# AFGL atmospheric constituent profile. tropical. ( AFGL-TR-86-0110)       
# 
# number of sampled altitude :
 50
# number of sampled gas :
 2 
# sampled gas :
 h2o 
 o3 
#      z(km)      p(mb)        T(K)       air(cm-3)       h2o(cm-3)        o3(cm-3) 
     120.00    2.0000e-05    380.00    4.2885520e+11    8.4500010e+04    2.1125000e+02
     115.00    4.0000e-05    299.70    8.7001670e+11    2.0894400e+05    4.3530000e+03
     110.00    6.0000e-05    241.60    1.9396310e+12    5.4348000e+05    9.7050000e+04
     105.00    1.3000e-04    212.00    4.4413940e+12    1.5113000e+06    8.8900010e+05
     100.00    2.9000e-04    190.70    1.0976380e+13    4.3920000e+06    4.3920000e+06
      95.00    6.9000e-04    184.30    2.7038020e+13    1.4612400e+07    1.3530000e+07
      90.00    1.7200e-03    177.00    7.0382870e+13    5.9865500e+07    3.6623600e+07
      85.00    4.4000e-03    177.10    1.7994760e+14    2.3413000e+08    9.0050000e+07
      80.00    1.1000e-02    184.80    4.3112440e+14    9.0593990e+08    1.4236200e+08
      75.00    2.6000e-02    201.80    9.3317690e+14    3.0815400e+09    1.6808400e+08
      70.00    5.8000e-02    218.90    1.9190840e+15    8.6400000e+09    5.7600000e+08
      65.00    1.2100e-01    236.00    3.7135150e+15    2.0066400e+10    2.4154000e+09
      60.00    2.3900e-01    253.10    6.8393930e+15    4.1064000e+10    7.5284000e+09
      55.00    4.5600e-01    263.40    1.2538940e+16    7.5300000e+10    2.2590000e+10
      50.00    8.5400e-01    270.20    2.2892030e+16    1.3746000e+11    6.4148000e+10
      47.50    1.1600e+00    269.60    3.1163770e+16    1.8402100e+11    1.0760550e+11
      45.00    1.5900e+00    264.80    4.3490160e+16    2.4806400e+11    1.9584000e+11
      42.50    2.2000e+00    259.40    6.1427740e+16    3.3808500e+11    3.6267300e+11
      40.00    3.0500e+00    254.00    8.6971700e+16    4.5255600e+11    6.5272490e+11
      37.50    4.2600e+00    248.50    1.2416380e+17    6.0907000e+11    1.0938400e+12
      35.00    6.0000e+00    243.10    1.7876320e+17    8.2294000e+11    1.7353300e+12
      32.50    8.5200e+00    237.70    2.5961050e+17    1.1171400e+12    2.5590300e+12
      30.00    1.2200e+01    232.30    3.8038420e+17    1.5228000e+12    3.5405100e+12
      27.50    1.7630e+01    227.00    5.6252040e+17    2.0264400e+12    4.3906200e+12
      25.00    2.5700e+01    221.40    8.4075100e+17    2.7342250e+12    4.5430200e+12
      24.00    3.0000e+01    219.20    9.9127120e+17    3.1744000e+12    4.2656000e+12
      23.00    3.5000e+01    217.00    1.1682080e+18    3.3901000e+12    3.9746000e+12
      22.00    4.0900e+01    214.60    1.3804020e+18    3.8668000e+12    3.3144000e+12
      21.00    4.8000e+01    210.70    1.6500170e+18    4.3751500e+12    2.9718000e+12
      20.00    5.6500e+01    206.70    1.9797930e+18    5.1506000e+12    2.7734000e+12
      19.00    6.6600e+01    202.70    2.3797550e+18    6.1906000e+12    2.2619500e+12
      18.00    7.8900e+01    198.80    2.8745670e+18    7.9117500e+12    1.4385000e+12
      17.00    9.3700e+01    194.80    3.4838740e+18    1.0109400e+13    8.7150000e+11
      16.00    1.1100e+02    197.00    4.0810190e+18    1.2252000e+13    5.8972960e+11
      15.00    1.3200e+02    203.70    4.6934780e+18    1.8788000e+13    5.8994310e+11
      14.00    1.5600e+02    210.30    5.3727560e+18    3.3444940e+13    5.6458500e+11
      13.00    1.8200e+02    217.00    6.0746800e+18    6.0182100e+13    5.6467840e+11
      12.00    2.1300e+02    223.60    6.8995320e+18    2.0056120e+14    5.3954760e+11
      11.00    2.4700e+02    230.10    7.7748530e+18    5.6840680e+14    5.1449140e+11
      10.00    2.8600e+02    237.00    8.7403640e+18    1.6724260e+15    4.8939470e+11
       9.00    3.2900e+02    243.60    9.7820620e+18    4.0115320e+15    4.8945000e+11
       8.00    3.7800e+02    250.30    1.0938120e+19    8.3625150e+15    4.8957450e+11
       7.00    4.3200e+02    257.00    1.2174820e+19    1.5700020e+16    5.1436140e+11
       6.00    4.9200e+02    263.60    1.3518590e+19    2.8426530e+16    5.3971170e+11
       5.00    5.5900e+02    270.30    1.4978820e+19    5.0156540e+16    5.6467330e+11
       4.00    6.3300e+02    277.00    1.6551440e+19    7.3542960e+16    5.8970160e+11
       3.00    7.1500e+02    283.70    1.8254020e+19    1.5712200e+17    6.4018070e+11
       2.00    8.0500e+02    287.70    2.0265990e+19    3.1109520e+17    6.7775760e+11
       1.00    9.0400e+02    293.70    2.2293400e+19    4.3482190e+17    7.0276490e+11
       0.00    1.0130e+03    299.70    2.4481300e+19    6.3528500e+17    7.0290500e+11
