# AFGL atmospheric constituent profile. U.S. standard atmosphere 1976. ( AFGL-TR-86-0110)       
# 
# number of sampled altitude :
 50
# number of sampled gas :
 2 
# sampled gas :
 h2o 
 o3 
#      z(km)      p(mb)        T(K)       air(cm-3)       h2o(cm-3)        o3(cm-3) 
     120.00    3.0000e-05    360.00    5.1102600e+11    1.0228000e+05    2.5570000e+02
     115.00    4.0000e-05    300.00    9.6813280e+11    2.3251200e+05    4.8440000e+03
     110.00    7.0000e-05    240.00    2.1426880e+12    6.0032000e+05    1.0720000e+05
     105.00    1.4000e-04    208.80    5.0297840e+12    1.7112200e+06    1.0066000e+06
     100.00    3.2000e-04    195.10    1.1879670e+13    4.7560010e+06    4.7560010e+06
      95.00    7.6000e-04    188.40    2.9217600e+13    1.5789600e+07    2.0468000e+07
      90.00    1.8400e-03    186.90    7.1305060e+13    6.0656000e+07    4.9952000e+07
      85.00    4.4600e-03    188.90    1.7100730e+14    2.2756300e+08    8.5550000e+07
      80.00    1.0500e-02    198.60    3.8293220e+14    7.8556000e+08    1.1496000e+08
      75.00    2.4000e-02    208.40    8.3411390e+14    2.3580280e+09    2.0867500e+08
      70.00    5.2200e-02    219.60    1.7216700e+15    6.0305000e+09    5.1690000e+08
      65.00    1.0900e-01    233.30    3.3839470e+15    1.4221200e+10    2.3702000e+09
      60.00    2.1900e-01    247.00    6.4218320e+15    3.0523500e+10    7.0686000e+09
      55.00    4.2500e-01    260.80    1.1803020e+16    6.0231000e+10    2.1258000e+10
      50.00    7.9780e-01    270.70    2.1346050e+16    1.1160600e+11    6.6216000e+10
      47.50    1.0900e+00    270.60    2.9174980e+16    1.5330000e+11    1.1972000e+11
      45.00    1.4910e+00    264.20    4.0874890e+16    2.1370250e+11    2.1472500e+11
      42.50    2.0600e+00    257.30    5.7988150e+16    2.9885450e+11    3.5978600e+11
      40.00    2.8710e+00    250.40    8.3044470e+16    4.1757750e+11    6.0663000e+11
      37.50    4.0412e+00    243.44    1.2023930e+17    6.1281000e+11    9.6564010e+11
      35.00    5.7460e+00    236.50    1.7597310e+17    8.6289000e+11    1.3800960e+12
      32.50    8.2573e+00    229.59    2.6050190e+17    1.2178300e+12    1.8609450e+12
      30.00    1.1970e+01    226.50    3.8276990e+17    1.8096750e+12    2.5097990e+12
      27.50    1.7430e+01    224.00    5.6358730e+17    2.5803000e+12    3.2728920e+12
      25.00    2.5490e+01    221.60    8.3312830e+17    3.6891230e+12    4.2668770e+12
      24.00    2.9720e+01    220.60    9.7578720e+17    4.1989500e+12    4.5182650e+12
      23.00    3.4670e+01    219.60    1.1434920e+18    4.8048000e+12    4.7681920e+12
      22.00    4.0470e+01    218.60    1.3408950e+18    5.4552300e+12    4.8942740e+12
      21.00    4.7290e+01    217.60    1.5740640e+18    6.2606250e+12    4.7691000e+12
      20.00    5.5290e+01    216.70    1.8479900e+18    7.2111000e+12    4.7685710e+12
      19.00    6.4670e+01    216.70    2.1615030e+18    8.3275500e+12    4.3908900e+12
      18.00    7.5650e+01    216.70    2.5284940e+18    9.6772490e+12    4.0151100e+12
      17.00    8.8500e+01    216.70    2.9579870e+18    1.1396000e+13    3.5135200e+12
      16.00    1.0350e+02    216.70    3.4593400e+18    1.3674900e+13    3.0122860e+12
      15.00    1.2110e+02    216.70    4.0475950e+18    2.0250000e+13    2.6345250e+12
      14.00    1.4170e+02    216.70    4.7361210e+18    2.8088050e+13    2.3837170e+12
      13.00    1.6580e+02    216.70    5.5416290e+18    6.0174100e+13    2.1329920e+12
      12.00    1.9400e+02    216.70    6.4841740e+18    1.2368030e+14    2.0083450e+12
      11.00    2.2700e+02    216.80    7.5836520e+18    2.7419060e+14    1.6308760e+12
      10.00    2.6500e+02    223.30    8.5954570e+18    6.0179590e+14    1.1294430e+12
       9.00    3.0800e+02    229.70    9.7118410e+18    1.5385180e+15    8.9103790e+11
       8.00    3.5650e+02    236.20    1.0931790e+19    4.0116980e+15    6.5268040e+11
       7.00    4.1110e+02    242.70    1.2268450e+19    7.0241600e+15    6.1510520e+11
       6.00    4.7220e+02    249.20    1.3724290e+19    1.2705740e+16    5.6457760e+11
       5.00    5.4050e+02    255.70    1.5310060e+19    2.1402040e+16    5.7725760e+11
       4.00    6.1660e+02    262.20    1.7032670e+19    3.6772320e+16    5.7714480e+11
       3.00    7.0120e+02    268.70    1.8901050e+19    6.0171620e+16    6.2743370e+11
       2.00    7.9500e+02    275.20    2.0923310e+19    9.6973150e+16    6.7782790e+11
       1.00    8.9880e+02    281.70    2.3109360e+19    1.4042220e+17    6.7794020e+11
       0.00    1.0130e+03    288.20    2.5458180e+19    1.9734260e+17    6.7776800e+11
