# model: Midlatitude summer mc clatchey  
#
# number of altitude
 33
# number of sampled gas :
 2 
# sampled gas :
 h2o 
 o3 
#   z (km)        P(z) (mb)        T(z) (K)      air (cm-3)     H2O (cm-3)      o3 (cm-3) 
   100.00        3.000e-04          210.0       1.0394e+13      3.3456e+07      5.3948e+05
    70.00        6.710e-02          218.0       1.3940e+15      4.6839e+09      1.0790e+09
    50.00        9.510e-01          276.0       1.9773e+16      4.3493e+10      5.3948e+10
    45.00        1.760e+00          270.0       3.6524e+16      6.3567e+11      1.6310e+11
    40.00        3.330e+00          258.0       6.9222e+16      1.4386e+12      5.1439e+11
    35.00        6.520e+00          245.0       1.3551e+17      3.6802e+12      1.1542e+12
    30.00        1.320e+01          234.0       2.7481e+17      1.2044e+13      2.5092e+12
    25.00        2.770e+01          224.0       8.9137e+17      2.2416e+13      3.7638e+12
    24.00        3.220e+01          223.0       1.0423e+18      2.0074e+13      4.0148e+12
    23.00        3.760e+01          222.0       1.2196e+18      1.8066e+13      4.2657e+12
    22.00        4.370e+01          220.0       1.4285e+18      1.7063e+13      4.5166e+12
    21.00        5.100e+01          219.0       1.6746e+18      1.7063e+13      4.5166e+12
    20.00        5.950e+01          218.0       1.9650e+18      1.5055e+13      4.2657e+12
    19.00        6.950e+01          217.0       2.3074e+18      1.6394e+13      4.0148e+12
    18.00        8.120e+01          216.0       2.7128e+18      1.6728e+13      3.5129e+12
    17.00        9.500e+01          216.0       3.1909e+18      1.8736e+13      3.0111e+12
    16.00        1.110e+02          216.0       3.7355e+18      2.1412e+13      2.6347e+12
    15.00        1.300e+02          216.0       4.3737e+18      2.5427e+13      2.3838e+12
    14.00        1.530e+02          216.0       5.1220e+18      3.3456e+13      2.2583e+12
    13.00        1.790e+02          216.0       5.9910e+18      6.0221e+13      1.8819e+12
    12.00        2.090e+02          222.0       6.7954e+18      2.0074e+14      1.5055e+12
    11.00        2.430e+02          229.0       7.6768e+18      7.3604e+14      1.3801e+12
    10.00        2.810e+02          235.0       8.6455e+18      2.1412e+15      1.1292e+12
     9.00        3.240e+02          242.0       9.7057e+18      4.0148e+15      1.0790e+12
     8.00        3.720e+02          248.0       1.0861e+19      7.0258e+15      9.9114e+11
     7.00        4.260e+02          255.0       1.2119e+19      1.2379e+16      9.4096e+11
     6.00        4.870e+02          261.0       1.3485e+19      2.0408e+16      8.6568e+11
     5.00        5.540e+02          267.0       1.4990e+19      3.3456e+16      8.2804e+11
     4.00        6.280e+02          273.0       1.6626e+19      6.3567e+16      8.0295e+11
     3.00        7.100e+02          279.0       1.8389e+19      1.1041e+17      7.7786e+11
     2.00        8.020e+02          285.0       2.0282e+19      1.9739e+17      7.5277e+11
     1.00        9.020e+02          290.0       2.2451e+19      3.1114e+17      7.5277e+11
     0.00        1.013e+03          294.0       2.4758e+19      4.6839e+17      7.5277e+11
