# model: Midlatitude winter  mc clatchey 
#
# number of altitude
 33
# number of sampled gas :
 2 
# sampled gas :
 h2o 
 o3 
#   z (km)        P(z) (mb)        T(z) (K)      air (cm-3)     H2O (cm-3)      o3 (cm-3) 
   100.00        3.000e-04          210.2       1.0394e+13      3.3456e+07      5.3948e+05
    70.00        4.670e-02          230.7       1.4657e+15      4.6839e+09      1.0790e+09
    50.00        6.820e-01          265.7       1.8613e+16      2.1077e+11      5.3948e+10
    45.00        1.290e+00          258.5       3.6191e+16      6.3567e+11      1.6310e+11
    40.00        2.530e+00          243.2       7.5355e+16      1.4386e+12      5.1439e+11
    35.00        5.180e+00          227.8       1.6472e+17      3.6802e+12      1.1542e+12
    30.00        1.110e+01          217.4       3.7064e+17      1.2044e+13      2.3838e+12
    25.00        2.430e+01          215.2       8.2111e+17      2.2416e+13      4.2657e+12
    24.00        2.860e+01          215.2       9.6121e+17      2.0074e+13      4.5166e+12
    23.00        3.340e+01          215.2       1.1256e+18      1.8066e+13      4.8930e+12
    22.00        3.910e+01          215.2       1.3175e+18      1.7063e+13      5.3948e+12
    21.00        4.580e+01          215.2       1.5426e+18      1.7063e+13      5.3948e+12
    20.00        5.370e+01          215.2       1.8064e+18      1.5055e+13      5.6458e+12
    19.00        6.280e+01          215.2       2.1141e+18      1.6394e+13      5.3948e+12
    18.00        7.350e+01          215.7       2.4696e+18      1.6728e+13      5.1439e+12
    17.00        8.610e+01          216.2       2.8853e+18      1.8736e+13      4.8930e+12
    16.00        1.007e+02          216.7       3.7833e+18      2.1412e+13      4.5166e+12
    15.00        1.178e+02          217.2       3.9288e+18      2.5427e+13      4.2657e+12
    14.00        1.378e+02          217.7       4.5857e+18      3.3456e+13      4.0148e+12
    13.00        1.610e+02          218.2       5.3465e+18      6.0221e+13      3.7638e+12
    12.00        1.882e+02          218.7       6.2342e+18      2.0074e+14      3.2620e+12
    11.00        2.199e+02          219.2       7.2673e+18      2.3085e+14      2.6347e+12
    10.00        2.568e+02          219.7       8.4647e+18      2.5092e+14      2.0074e+12
     9.00        2.992e+02          225.7       9.6018e+18      5.3530e+14      1.5055e+12
     8.00        3.473e+02          231.7       1.0855e+19      1.1710e+15      1.1292e+12
     7.00        4.016e+02          237.7       1.2236e+19      2.8438e+15      9.6605e+11
     6.00        4.627e+02          243.7       1.3749e+19      7.0258e+15      8.0295e+11
     5.00        5.313e+02          249.7       1.5406e+19      1.2713e+16      7.2768e+11
     4.00        6.081e+02          255.7       1.7216e+19      2.2081e+16      6.1476e+11
     3.00        6.938e+02          261.7       1.9187e+19      4.0148e+16      6.1476e+11
     2.00        7.897e+02          265.2       2.1557e+19      6.0221e+16      6.1476e+11
     1.00        8.973e+02          268.7       2.4155e+19      8.3641e+16      6.7749e+11
     0.00        1.018e+03          272.2       2.7045e+19      1.1710e+17      7.5277e+11
