# model: Subartic summer mc clatchey  
#
# number of altitude
 33
# number of sampled gas :
 2 
# sampled gas :
 h2o 
 o3 
#   z (km)        P(z) (mb)        T(z) (K)      air (cm-3)     H2O (cm-3)      o3 (cm-3) 
   100.00        3.000e-04          210.0       1.0394e+13      3.3456e+07      5.3948e+05
    70.00        7.070e-02          216.0       1.4699e+15      4.6839e+09      1.0790e+09
    50.00        9.870e-01          277.0       2.0513e+16      2.1077e+11      5.3948e+10
    45.00        1.810e+00          274.0       3.7771e+16      6.3567e+11      1.6310e+11
    40.00        3.400e+00          262.0       7.0761e+16      1.4386e+12      5.1439e+11
    35.00        6.610e+00          247.0       1.3749e+17      3.6802e+12      1.1542e+12
    30.00        1.340e+01          235.0       2.7814e+17      1.2044e+13      1.7565e+12
    25.00        2.780e+01          228.0       8.8285e+17      2.2416e+13      3.2620e+12
    24.00        3.227e+01          226.0       1.0317e+18      2.0074e+13      3.5129e+12
    23.00        3.750e+01          225.0       1.2067e+18      1.8066e+13      3.7638e+12
    22.00        4.360e+01          225.0       1.4032e+18      1.7063e+13      4.0148e+12
    21.00        5.070e+01          225.0       1.6316e+18      1.7063e+13      4.5166e+12
    20.00        5.890e+01          225.0       1.8975e+18      1.5055e+13      4.8930e+12
    19.00        6.860e+01          225.0       2.2076e+18      1.6394e+13      5.1439e+12
    18.00        7.980e+01          225.0       2.5673e+18      1.6728e+13      5.1439e+12
    17.00        9.280e+01          225.0       2.9851e+18      1.8736e+13      4.8930e+12
    16.00        1.080e+02          225.0       3.4736e+18      2.1412e+13      4.2657e+12
    15.00        1.250e+02          225.0       4.0390e+18      2.5427e+13      4.0148e+12
    14.00        1.460e+02          225.0       4.6980e+18      3.3456e+13      3.5129e+12
    13.00        1.700e+02          225.0       5.4671e+18      6.0221e+13      3.2620e+12
    12.00        1.977e+02          225.0       6.3589e+18      2.0074e+14      2.6347e+12
    11.00        2.300e+02          225.0       7.3983e+18      3.1449e+14      2.2583e+12
    10.00        2.677e+02          225.0       8.6102e+18      5.0185e+14      1.6310e+12
     9.00        3.107e+02          232.0       9.6932e+18      1.4052e+15      1.3801e+12
     8.00        3.590e+02          239.0       1.0874e+19      4.3493e+15      9.9114e+11
     7.00        4.130e+02          246.0       1.2159e+19      9.7023e+15      9.4096e+11
     6.00        4.730e+02          253.0       1.3551e+19      1.8066e+16      8.9078e+11
     5.00        5.410e+02          260.0       1.5058e+19      3.3456e+16      8.0295e+11
     4.00        6.160e+02          266.0       1.6790e+19      5.6876e+16      7.5277e+11
     3.00        7.000e+02          271.0       1.8678e+19      9.0332e+16      7.2768e+11
     2.00        7.929e+02          276.0       2.0727e+19      1.4052e+17      7.0258e+11
     1.00        8.960e+02          282.0       2.3074e+19      2.0074e+17      6.7749e+11
     0.00        1.010e+03          287.0       2.5361e+19      3.0445e+17      6.1476e+11
