# model: Subartic winter mc clatchey 
#
# number of altitude
 33
# number of sampled gas :
 2 
# sampled gas :
 h2o 
 o3 
#   z (km)        P(z) (mb)        T(z) (K)      air (cm-3)     H2O (cm-3)      o3 (cm-3) 
   100.00        3.000e-04          210.0       1.0394e+13      3.3456e+07      5.3948e+05
    70.00        4.016e-02          245.7       1.1838e+15      4.6839e+09      1.0790e+09
    50.00        5.719e-01          259.3       1.5969e+16      2.1077e+11      5.3948e+10
    45.00        1.113e+00          247.0       3.2616e+16      6.3567e+11      1.6310e+11
    40.00        2.243e+00          234.7       6.9222e+16      1.4386e+12      5.1439e+11
    35.00        4.701e+00          222.2       1.5316e+17      3.6802e+12      1.1542e+12
    30.00        1.020e+01          216.0       3.4195e+17      1.2044e+13      1.8819e+12
    25.00        2.256e+01          211.2       7.7371e+17      2.2416e+13      4.0148e+12
    24.00        2.649e+01          211.8       9.0592e+17      2.0074e+13      4.5166e+12
    23.00        3.109e+01          212.4       1.0602e+18      1.8066e+13      5.3948e+12
    22.00        3.647e+01          213.0       1.2402e+18      1.7063e+13      5.8967e+12
    21.00        4.277e+01          213.6       1.4501e+18      1.7063e+13      6.3985e+12
    20.00        5.014e+01          214.1       1.6952e+18      1.5055e+13      7.0258e+12
    19.00        5.875e+01          214.8       1.9808e+18      1.6394e+13      7.5277e+12
    18.00        6.882e+01          215.4       2.3136e+18      1.6728e+13      7.7786e+12
    17.00        8.058e+01          216.0       2.7024e+18      1.8736e+13      7.7786e+12
    16.00        9.431e+01          216.6       3.1535e+18      2.1412e+13      7.7786e+12
    15.00        1.103e+02          217.2       3.6794e+18      2.5427e+13      7.0258e+12
    14.00        1.291e+02          217.2       4.3051e+18      3.3456e+13      6.1476e+12
    13.00        1.510e+02          217.2       5.0347e+18      6.0221e+13      5.8967e+12
    12.00        1.766e+02          217.2       5.8912e+18      8.6986e+13      5.3948e+12
    11.00        2.067e+02          217.2       6.8911e+18      1.2713e+14      4.0148e+12
    10.00        2.418e+02          217.2       8.0635e+18      1.8401e+14      3.0111e+12
     9.00        2.829e+02          217.2       9.4334e+18      2.8103e+14      2.0074e+12
     8.00        3.308e+02          220.6       1.0864e+19      3.6802e+14      1.1292e+12
     7.00        3.853e+02          227.3       1.2273e+19      1.8066e+15      8.9078e+11
     6.00        4.467e+02          234.1       1.3815e+19      3.2787e+15      6.1476e+11
     5.00        5.158e+02          240.9       1.5501e+19      6.6913e+15      5.8967e+11
     4.00        5.932e+02          247.7       1.7335e+19      1.3717e+16      5.6458e+11
     3.00        6.798e+02          252.7       1.9470e+19      2.2750e+16      5.3948e+11
     2.00        7.775e+02          255.9       2.1993e+19      3.1449e+16      5.1439e+11
     1.00        8.878e+02          259.1       2.4799e+19      4.0148e+16      5.1439e+11
     0.00        1.013e+03          257.1       2.8520e+19      4.0148e+16      5.1439e+11
