# model: tropical mc clatchey  
#
# number of altitude
 33
# number of sampled gas :
 2 
# sampled gas :
 h2o 
 o3 
#   z (km)        P(z) (mb)        T(z) (K)      air (cm-3)     H2O (cm-3)      o3 (cm-3) 
   100.00        3.000e-04          210.0       1.0394e+13      3.3456e+07      5.3948e+05
    70.00        5.790e-02          219.0       1.9145e+15      4.6839e+09      1.0790e+09
    50.00        8.540e-01          270.0       2.2887e+16      2.1077e+11      5.3948e+10
    45.00        1.590e+00          265.0       4.3591e+16      6.3567e+11      1.6310e+11
    40.00        3.050e+00          254.0       8.6913e+16      1.4386e+12      5.1439e+11
    35.00        6.000e+00          243.0       1.7877e+17      3.6802e+12      1.1542e+12
    30.00        1.220e+01          232.0       3.8062e+17      1.2044e+13      3.0111e+12
    25.00        2.570e+01          221.0       8.4085e+17      2.2416e+13      4.2657e+12
    24.00        3.000e+01          219.0       9.9011e+17      2.0074e+13      4.2657e+12
    23.00        3.500e+01          217.0       1.1674e+18      1.8066e+13      4.0148e+12
    22.00        4.090e+01          215.0       1.3813e+18      1.7063e+13      3.5129e+12
    21.00        4.800e+01          211.0       1.6501e+18      1.7063e+13      3.0111e+12
    20.00        5.650e+01          207.0       1.9779e+18      1.5055e+13      2.3838e+12
    19.00        6.660e+01          203.0       2.3802e+18      1.6394e+13      1.7565e+12
    18.00        7.890e+01          199.0       2.8728e+18      1.6728e+13      1.1292e+12
    17.00        9.370e+01          195.0       3.4840e+18      1.8736e+13      8.6568e+11
    16.00        1.110e+02          197.0       4.0993e+18      2.1412e+13      5.8967e+11
    15.00        1.320e+02          204.0       4.6980e+18      2.5427e+13      5.8967e+11
    14.00        1.560e+02          210.0       5.3590e+18      3.3456e+13      5.6458e+11
    13.00        1.820e+02          217.0       6.0887e+18      6.0221e+13      5.6458e+11
    12.00        2.130e+02          224.0       6.8931e+18      2.0074e+14      5.3948e+11
    11.00        2.470e+02          230.0       7.7745e+18      5.6876e+14      5.1439e+11
    10.00        2.860e+02          237.0       8.7349e+18      1.6728e+15      4.8930e+11
     9.00        3.290e+02          244.0       9.7868e+18      4.0148e+15      4.8930e+11
     8.00        3.780e+02          250.0       1.0930e+19      8.3641e+15      4.8930e+11
     7.00        4.320e+02          257.0       1.2171e+19      1.5724e+16      5.1439e+11
     6.00        4.920e+02          264.0       1.3514e+19      2.8438e+16      5.3948e+11
     5.00        5.590e+02          270.0       1.4965e+19      5.0185e+16      5.6458e+11
     4.00        6.330e+02          277.0       1.6528e+19      7.3604e+16      5.8967e+11
     3.00        7.150e+02          284.0       1.8202e+19      1.5724e+17      6.3985e+11
     2.00        8.050e+02          288.0       2.0141e+19      3.1114e+17      6.7749e+11
     1.00        9.040e+02          294.0       2.2118e+19      4.3493e+17      7.0258e+11
     0.00        1.013e+03          300.0       2.4259e+19      6.3567e+17      7.0258e+11
