# ngt atmospheric constituent profile.
# 
# number of sampled altitude :
121
# number of sampled gas :
30
# sampled gas :
N2 
O2 
CO2 
O3 
H2O 
CH4 
N2O 
HNO3 
CO 
NO2 
N2O5 
ClO 
HOCl 
ClONO2 
NO 
HNO4 
HCN 
NH3 
F11 
F12 
F14 
F22 
CCl4 
COF2 
H2O2 
C2H2 
C2H6 
OCS 
SO2 
SF6 
#HGT [km] PRE [mb] TEM [K] N2 [ppmv] O2 [ppmv] CO2 [ppmv] O3 [ppmv] H2O [ppmv] CH4 [ppmv] N2O [ppmv] HNO3 [ppmv] CO [ppmv] NO2 [ppmv] N2O5 [ppmv] ClO [ppmv] HOCl [ppmv] ClONO2 [ppmv] NO [ppmv] HNO4 [ppmv] HCN [ppmv] NH3 [ppmv] F11 [ppmv] F12 [ppmv] F14 [ppmv] F22 [ppmv] CCl4 [ppmv] COF2 [ppmv] H2O2 [ppmv] C2H2 [ppmv] C2H6 [ppmv] OCS [ppmv] SO2 [ppmv] SF6 [ppmv]
1.200e+02     2.390e-05     3.653e+02     7.000e+05     1.030e+05     4.385e+01     3.665e-04     1.351e-02     1.782e-02     1.817e-04     2.332e-08     7.300e+01     1.200e-05     1.000e-10     4.300e-06     1.000e-08     5.347e-17     1.140e+02     9.000e-08     5.784e-05     1.914e-11     1.995e-20     9.396e-10     7.650e-05     9.883e-07     1.000e-08     4.662e-12     1.775e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.190e+02     2.588e-05     3.526e+02     7.080e+05     1.110e+05     4.737e+01     5.503e-04     1.449e-02     1.819e-02     1.860e-04     2.473e-08     7.300e+01     1.200e-05     1.000e-10     4.300e-06     1.000e-08     6.450e-17     1.160e+02     9.000e-08     5.792e-05     1.914e-11     2.402e-20     1.001e-09     7.650e-05     1.029e-06     1.000e-08     5.287e-12     1.821e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.180e+02     2.821e-05     3.383e+02     7.140e+05     1.190e+05     5.089e+01     8.529e-04     1.562e-02     1.860e-02     1.908e-04     2.635e-08     7.300e+01     1.200e-05     1.000e-10     4.300e-06     1.000e-08     7.903e-17     1.120e+02     9.000e-08     5.800e-05     1.914e-11     2.936e-20     1.071e-09     7.650e-05     1.071e-06     1.000e-08     6.056e-12     1.871e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.170e+02     3.076e-05     3.242e+02     7.200e+05     1.260e+05     5.442e+01     1.314e-03     1.684e-02     1.902e-02     1.955e-04     2.807e-08     7.300e+01     1.200e-05     1.000e-10     4.300e-06     1.000e-08     9.690e-17     1.080e+02     9.000e-08     5.808e-05     1.914e-11     3.588e-20     1.147e-09     7.650e-05     1.112e-06     1.000e-08     6.938e-12     1.924e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.160e+02     3.367e-05     3.122e+02     7.240e+05     1.320e+05     5.798e+01     2.071e-03     1.823e-02     1.947e-02     2.014e-04     3.000e-08     7.300e+01     1.200e-05     1.000e-10     4.300e-06     1.000e-08     1.199e-16     1.030e+02     9.000e-08     5.817e-05     1.914e-11     4.428e-20     1.232e-09     7.650e-05     1.153e-06     1.000e-08     8.000e-12     1.980e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.150e+02     3.721e-05     2.991e+02     7.270e+05     1.370e+05     6.159e+01     3.423e-03     1.989e-02     1.998e-02     2.071e-04     3.229e-08     7.264e+01     1.200e-05     1.000e-10     4.300e-06     1.000e-08     1.518e-16     9.960e+01     9.000e-08     5.825e-05     1.914e-11     5.587e-20     1.333e-09     7.650e-05     1.194e-06     1.000e-08     9.365e-12     2.044e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.140e+02     4.112e-05     2.853e+02     7.290e+05     1.410e+05     6.525e+01     5.527e-03     2.171e-02     2.050e-02     2.133e-04     3.476e-08     7.048e+01     1.200e-05     1.000e-10     4.300e-06     1.000e-08     1.921e-16     9.590e+01     9.000e-08     5.833e-05     1.914e-11     7.051e-20     1.442e-09     7.650e-05     1.235e-06     1.000e-08     1.096e-11     2.110e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.130e+02     4.576e-05     2.730e+02     7.310e+05     1.450e+05     6.894e+01     8.482e-03     2.383e-02     2.108e-02     2.189e-04     3.760e-08     6.862e+01     1.200e-05     1.000e-10     4.300e-06     1.000e-08     2.471e-16     8.990e+01     9.000e-08     5.841e-05     1.914e-11     9.041e-20     1.570e-09     7.650e-05     1.276e-06     1.000e-08     1.297e-11     2.183e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.120e+02     5.101e-05     2.615e+02     7.370e+05     1.490e+05     7.268e+01     1.322e-02     2.620e-02     2.168e-02     2.247e-04     4.073e-08     6.671e+01     1.200e-05     1.000e-10     4.300e-06     1.000e-08     3.192e-16     8.290e+01     9.000e-08     5.850e-05     1.914e-11     1.164e-19     1.710e-09     7.650e-05     1.317e-06     1.000e-08     1.540e-11     2.260e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.110e+02     5.733e-05     2.521e+02     7.420e+05     1.530e+05     7.654e+01     2.111e-02     2.902e-02     2.234e-02     2.318e-04     4.439e-08     6.512e+01     1.200e-05     1.000e-10     4.300e-06     1.000e-08     4.203e-16     7.510e+01     9.000e-08     5.858e-05     1.914e-11     1.528e-19     1.875e-09     7.650e-05     1.359e-06     1.000e-08     1.851e-11     2.346e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.100e+02     6.497e-05     2.426e+02     7.450e+05     1.580e+05     8.051e+01     3.498e-02     3.236e-02     2.307e-02     2.386e-04     4.867e-08     6.622e+01     1.200e-05     1.000e-10     4.300e-06     1.000e-08     5.644e-16     6.650e+01     9.000e-08     5.866e-05     1.914e-11     2.043e-19     2.070e-09     7.650e-05     1.400e-06     1.000e-08     2.254e-11     2.442e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.090e+02     7.386e-05     2.335e+02     7.470e+05     1.630e+05     8.465e+01     5.399e-02     3.620e-02     2.385e-02     2.462e-04     5.348e-08     6.726e+01     1.200e-05     1.000e-10     4.300e-06     1.000e-08     7.635e-16     5.800e+01     9.000e-08     5.874e-05     1.914e-11     2.753e-19     2.291e-09     7.650e-05     1.441e-06     1.000e-08     2.759e-11     2.544e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.080e+02     8.425e-05     2.250e+02     7.490e+05     1.670e+05     8.886e+01     6.972e-02     4.061e-02     2.467e-02     2.534e-04     5.892e-08     6.819e+01     1.200e-05     1.000e-10     4.300e-06     1.000e-08     1.041e-15     4.960e+01     9.000e-08     5.883e-05     1.914e-11     3.739e-19     2.542e-09     7.650e-05     1.483e-06     1.000e-08     3.394e-11     2.653e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
