# sum atmospheric constituent profile.
# 
# number of sampled altitude :
121
# number of sampled gas :
30
# sampled gas :
N2 
O2 
CO2 
O3 
H2O 
CH4 
N2O 
HNO3 
CO 
NO2 
N2O5 
ClO 
HOCl 
ClONO2 
NO 
HNO4 
HCN 
NH3 
F11 
F12 
F14 
F22 
CCl4 
COF2 
H2O2 
C2H2 
C2H6 
OCS 
SO2 
SF6 
#HGT [km] PRE [mb] TEM [K] N2 [ppmv] O2 [ppmv] CO2 [ppmv] O3 [ppmv] H2O [ppmv] CH4 [ppmv] N2O [ppmv] HNO3 [ppmv] CO [ppmv] NO2 [ppmv] N2O5 [ppmv] ClO [ppmv] HOCl [ppmv] ClONO2 [ppmv] NO [ppmv] HNO4 [ppmv] HCN [ppmv] NH3 [ppmv] F11 [ppmv] F12 [ppmv] F14 [ppmv] F22 [ppmv] CCl4 [ppmv] COF2 [ppmv] H2O2 [ppmv] C2H2 [ppmv] C2H6 [ppmv] OCS [ppmv] SO2 [ppmv] SF6 [ppmv]
1.200e+02     2.540e-05     4.129e+02     7.000e+05     1.030e+05     4.385e+01     5.000e-04     2.000e-01     2.917e-04     5.517e-08     1.761e-09     7.300e+01     2.665e-07     3.009e-11     2.238e-12     1.818e-19     6.417e-16     6.650e+01     3.572e-14     5.784e-05     1.914e-11     2.968e-12     8.786e-16     7.650e-05     9.883e-07     1.000e-08     4.434e-07     1.730e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.190e+02     2.740e-05     3.951e+02     7.080e+05     1.110e+05     4.737e+01     7.920e-04     2.070e-01     3.046e-04     5.888e-08     1.896e-09     7.300e+01     2.810e-07     3.184e-11     2.562e-12     2.295e-19     7.354e-16     6.690e+01     3.899e-14     5.792e-05     1.914e-11     3.087e-12     1.019e-15     7.650e-05     1.029e-06     1.000e-08     4.569e-07     1.770e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.180e+02     2.960e-05     3.772e+02     7.140e+05     1.190e+05     5.089e+01     1.260e-03     2.150e-01     3.183e-04     6.292e-08     2.043e-09     7.300e+01     2.967e-07     3.373e-11     2.940e-12     2.911e-19     8.451e-16     6.740e+01     4.264e-14     5.800e-05     1.914e-11     3.212e-12     1.186e-15     7.650e-05     1.071e-06     1.000e-08     4.711e-07     1.812e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.170e+02     3.200e-05     3.594e+02     7.200e+05     1.260e+05     5.442e+01     1.990e-03     2.230e-01     3.328e-04     6.728e-08     2.203e-09     7.300e+01     3.134e-07     3.575e-11     3.379e-12     3.701e-19     9.724e-16     6.810e+01     4.667e-14     5.808e-05     1.914e-11     3.344e-12     1.381e-15     7.650e-05     1.112e-06     1.000e-08     4.858e-07     1.856e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.160e+02     3.510e-05     3.449e+02     7.240e+05     1.320e+05     5.798e+01     3.150e-03     2.310e-01     3.509e-04     7.285e-08     2.409e-09     7.300e+01     3.344e-07     3.830e-11     3.985e-12     4.919e-19     1.148e-15     6.720e+01     5.195e-14     5.817e-05     1.914e-11     3.508e-12     1.656e-15     7.650e-05     1.153e-06     1.000e-08     5.039e-07     1.909e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.150e+02     3.870e-05     3.319e+02     7.270e+05     1.370e+05     6.159e+01     5.000e-03     2.390e-01     3.709e-04     7.922e-08     2.648e-09     7.090e+01     3.581e-07     4.119e-11     4.743e-12     6.643e-19     1.369e-15     6.430e+01     5.817e-14     5.825e-05     1.914e-11     3.689e-12     2.005e-15     7.650e-05     1.194e-06     1.000e-08     5.237e-07     1.966e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.140e+02     4.290e-05     3.201e+02     7.290e+05     1.410e+05     6.525e+01     7.920e-03     2.470e-01     3.934e-04     8.656e-08     2.926e-09     6.890e+01     3.850e-07     4.448e-11     5.699e-12     9.122e-19     1.648e-15     6.130e+01     6.554e-14     5.833e-05     1.914e-11     3.891e-12     2.453e-15     7.650e-05     1.235e-06     1.000e-08     5.455e-07     2.029e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.130e+02     4.800e-05     3.129e+02     7.310e+05     1.450e+05     6.894e+01     1.260e-02     2.550e-01     4.194e-04     9.533e-08     3.263e-09     6.690e+01     4.166e-07     4.837e-11     6.963e-12     1.289e-18     2.017e-15     5.790e+01     7.465e-14     5.841e-05     1.914e-11     4.123e-12     3.057e-15     7.650e-05     1.276e-06     1.000e-08     5.703e-07     2.100e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.120e+02     5.380e-05     3.058e+02     7.370e+05     1.490e+05     7.268e+01     1.990e-02     2.630e-01     4.476e-04     1.051e-07     3.644e-09     6.500e+01     4.513e-07     5.266e-11     8.534e-12     1.831e-18     2.476e-15     5.470e+01     8.519e-14     5.850e-05     1.914e-11     4.373e-12     3.822e-15     7.650e-05     1.317e-06     1.000e-08     5.966e-07     2.174e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.110e+02     6.100e-05     3.015e+02     7.420e+05     1.530e+05     7.654e+01     3.010e-02     2.720e-01     4.809e-04     1.171e-07     4.115e-09     6.600e+01     4.929e-07     5.784e-11     1.068e-11     2.695e-18     3.104e-15     5.130e+01     9.853e-14     5.858e-05     1.914e-11     4.667e-12     4.888e-15     7.650e-05     1.359e-06     1.000e-08     6.270e-07     2.258e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
