# tropic atmospheric constituent profile.
# 
# number of sampled altitude :
41
# number of sampled gas :
30
# sampled gas :
N2 
O2 
CO2 
O3 
H2O 
CH4 
N2O 
HNO3 
CO 
NO2 
N2O5 
ClO 
HOCl 
ClONO2 
NO 
HNO4 
HCN 
NH3 
F11 
F12 
F14 
F22 
CCl4 
COF2 
H2O2 
C2H2 
C2H6 
OCS 
SO2 
SF6 
#HGT [km] PRE [mb] TEM [K] N2 [ppmv] O2 [ppmv] CO2 [ppmv] O3 [ppmv] H2O [ppmv] CH4 [ppmv] N2O [ppmv] HNO3 [ppmv] CO [ppmv] NO2 [ppmv] N2O5 [ppmv] ClO [ppmv] HOCl [ppmv] ClONO2 [ppmv] NO [ppmv] HNO4 [ppmv] HCN [ppmv] NH3 [ppmv] F11 [ppmv] F12 [ppmv] F14 [ppmv] F22 [ppmv] CCl4 [ppmv] COF2 [ppmv] H2O2 [ppmv] C2H2 [ppmv] C2H6 [ppmv] OCS [ppmv] SO2 [ppmv] SF6 [ppmv]
4.000e+01     3.039e+00     2.577e+02     7.890e+05     2.120e+05     3.630e+02     6.560e+00     5.246e+00     7.934e-01     6.167e-02     3.228e-04     7.362e-02     5.470e-03     6.482e-04     3.653e-04     7.026e-05     2.560e-05     1.222e-02     7.463e-06     1.368e-04     2.555e-09     6.701e-07     6.948e-05     7.650e-05     1.647e-05     1.000e-08     1.948e-04     8.505e-05     0.000e+00     2.125e-07     1.236e-08     1.512e-04     1.691e-06
3.900e+01     3.465e+00     2.554e+02     7.890e+05     2.120e+05     3.630e+02     7.070e+00     5.143e+00     8.486e-01     7.224e-02     4.266e-04     6.151e-02     6.296e-03     7.617e-04     3.449e-04     7.908e-05     4.218e-05     1.199e-02     1.212e-05     1.382e-04     4.031e-09     1.178e-06     8.053e-05     7.650e-05     1.771e-05     1.000e-08     2.058e-04     9.529e-05     0.000e+00     3.085e-07     2.389e-08     1.414e-04     1.698e-06
3.800e+01     3.958e+00     2.529e+02     7.890e+05     2.120e+05     3.630e+02     7.558e+00     5.040e+00     9.047e-01     8.433e-02     5.709e-04     4.786e-02     7.241e-03     8.664e-04     3.245e-04     8.719e-05     6.332e-05     1.159e-02     1.929e-05     1.397e-04     6.432e-09     2.157e-06     9.345e-05     7.650e-05     1.894e-05     1.000e-08     2.159e-04     1.081e-04     1.967e-20     4.504e-07     4.709e-08     1.278e-04     1.707e-06
3.700e+01     4.525e+00     2.504e+02     7.890e+05     2.120e+05     3.630e+02     8.084e+00     4.938e+00     9.650e-01     9.853e-02     7.656e-04     4.234e-02     7.433e-03     9.863e-04     3.052e-04     9.619e-05     1.169e-04     1.100e-02     3.078e-05     1.413e-04     1.033e-08     3.966e-06     1.086e-04     7.650e-05     2.065e-05     1.000e-08     2.266e-04     1.227e-04     7.632e-20     6.591e-07     9.068e-08     1.099e-04     1.717e-06
3.600e+01     5.176e+00     2.476e+02     7.890e+05     2.120e+05     3.630e+02     8.485e+00     4.838e+00     1.020e+00     1.122e-01     9.756e-04     3.667e-02     7.595e-03     1.066e-03     2.820e-04     1.029e-04     1.685e-04     1.035e-02     4.432e-05     1.430e-04     1.609e-08     7.052e-06     1.265e-04     7.650e-05     2.237e-05     1.000e-08     2.325e-04     1.424e-04     2.977e-19     9.660e-07     1.717e-07     8.741e-05     1.728e-06
3.500e+01     5.938e+00     2.448e+02     7.890e+05     2.120e+05     3.630e+02     8.874e+00     4.738e+00     1.078e+00     1.273e-01     1.234e-03     3.004e-02     7.785e-03     1.140e-03     2.590e-04     1.093e-04     2.253e-04     9.567e-03     6.273e-05     1.449e-04     3.105e-08     1.259e-05     1.481e-04     7.650e-05     2.409e-05     1.000e-08     2.373e-04     1.667e-04     1.196e-18     1.428e-06     3.209e-07     6.760e-05     1.742e-06
3.400e+01     6.818e+00     2.417e+02     7.890e+05     2.120e+05     3.630e+02     9.283e+00     4.640e+00     1.139e+00     1.446e-01     1.563e-03     2.631e-02     7.800e-03     1.219e-03     2.378e-04     1.162e-04     3.080e-04     8.739e-03     8.895e-05     1.467e-04     6.938e-08     2.253e-05     1.735e-04     7.650e-05     2.594e-05     1.000e-08     2.421e-04     1.953e-04     4.848e-18     2.115e-06     5.263e-07     5.155e-05     1.757e-06
3.300e+01     7.852e+00     2.387e+02     7.890e+05     2.120e+05     3.630e+02     9.510e+00     4.544e+00     1.189e+00     1.581e-01     1.864e-03     2.451e-02     7.672e-03     1.163e-03     2.465e-04     1.189e-04     4.216e-04     7.752e-03     1.188e-04     1.487e-04     1.335e-07     3.398e-05     1.984e-04     7.650e-05     2.820e-05     1.000e-08     2.310e-04     2.312e-04     2.026e-17     3.160e-06     8.280e-07     3.952e-05     1.776e-06
3.200e+01     9.050e+00     2.355e+02     7.890e+05     2.120e+05     3.630e+02     9.744e+00     4.451e+00     1.242e+00     1.729e-01     2.224e-03     2.263e-02     7.512e-03     1.110e-03     2.555e-04     1.216e-04     5.149e-04     6.841e-03     1.589e-04     1.506e-04     2.406e-07     5.136e-05     2.270e-04     7.650e-05     3.047e-05     1.000e-08     2.203e-04     2.740e-04     8.532e-17     4.732e-06     1.264e-06     2.949e-05     1.798e-06
3.100e+01     1.046e+01     2.325e+02     7.890e+05     2.120e+05     3.630e+02     9.811e+00     4.353e+00     1.292e+00     1.885e-01     2.595e-03     2.176e-02     7.169e-03     1.017e-03     2.529e-04     1.223e-04     5.689e-04     6.012e-03     2.035e-04     1.519e-04     4.202e-07     7.296e-05     2.591e-04     7.650e-05     3.308e-05     2.692e-08     2.051e-04     3.146e-04     3.697e-16     7.144e-06     2.370e-06     2.415e-05     1.826e-06
3.000e+01     1.220e+01     2.297e+02     7.890e+05     2.120e+05     3.630e+02     9.493e+00     4.250e+00     1.331e+00     2.033e-01     2.863e-03     2.084e-02     6.758e-03     8.510e-04     2.252e-04     1.183e-04     6.232e-04     5.023e-03     2.341e-04     1.530e-04     6.762e-07     8.871e-05     2.926e-04     7.650e-05     3.568e-05     4.383e-08     1.812e-04     3.347e-04     1.616e-15     1.081e-05     4.511e-06     2.358e-05     1.859e-06
