# tropic atmospheric constituent profile.
# 
# number of sampled altitude :
121
# number of sampled gas :
0
# sampled gas :
N2
O2 
CO2 
O3 
H2O
CH4
N2O
HNO3
CO
NO2
N2O5
ClO
HOCl
ClONO2
NO
HNO4
HCN
NH3
F11
F12
F14
F22
CCl4
COF2
H2O2
C2H2
C2H6
OCS
SO2
SF6
#HGT [km] PRE [mb] TEM [K] N2 [ppmv] O2 [ppmv] CO2 [ppmv] O3 [ppmv] H2O [ppmv] CH4 [ppmv] N2O [ppmv] HNO3 [ppmv] CO [ppmv] NO2 [ppmv] N2O5 [ppmv] ClO [ppmv] HOCl [ppmv] ClONO2 [ppmv] NO [ppmv] HNO4 [ppmv] HCN [ppmv] NH3 [ppmv] F11 [ppmv] F12 [ppmv] F14 [ppmv] F22 [ppmv] CCl4 [ppmv] COF2 [ppmv] H2O2 [ppmv] C2H2 [ppmv] C2H6 [ppmv] OCS [ppmv] SO2 [ppmv] SF6 [ppmv]
1.200e+02     2.449e-05     3.707e+02     7.000e+05     1.030e+05     4.385e+01     4.152e-04     8.706e-01     7.307e-03     1.830e-04     4.139e-08     5.840e+01     9.000e-08     1.145e-11     4.913e-08     1.217e-14     1.000e-10     1.982e+02     2.839e-20     5.784e-05     1.914e-11     3.269e-15     5.253e-09     7.650e-05     9.883e-07     1.000e-08     1.613e-13     7.381e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.190e+02     2.660e-05     3.563e+02     7.080e+05     1.110e+05     4.737e+01     6.326e-04     8.864e-01     7.527e-03     1.875e-04     4.367e-08     5.838e+01     9.000e-08     1.263e-11     5.247e-08     1.430e-14     1.000e-10     1.519e+02     3.553e-20     5.792e-05     1.914e-11     3.721e-15     5.607e-09     7.650e-05     1.029e-06     1.000e-08     1.897e-13     7.492e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.180e+02     2.909e-05     3.414e+02     7.140e+05     1.190e+05     5.089e+01     9.940e-04     9.039e-01     7.773e-03     1.924e-04     4.627e-08     5.836e+01     9.000e-08     1.405e-11     5.634e-08     1.704e-14     1.000e-10     1.203e+02     4.529e-20     5.800e-05     1.914e-11     4.282e-15     6.018e-09     7.650e-05     1.071e-06     1.000e-08     2.262e-13     7.615e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.170e+02     3.181e-05     3.252e+02     7.200e+05     1.260e+05     5.442e+01     1.557e-03     9.217e-01     8.027e-03     1.978e-04     4.902e-08     5.834e+01     9.000e-08     1.562e-11     6.049e-08     2.028e-14     1.000e-10     9.027e+01     5.773e-20     5.808e-05     1.914e-11     4.927e-15     6.457e-09     7.650e-05     1.112e-06     1.000e-08     2.696e-13     7.740e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.160e+02     3.504e-05     3.099e+02     7.240e+05     1.320e+05     5.798e+01     2.531e-03     9.413e-01     8.312e-03     2.036e-04     5.219e-08     5.831e+01     9.000e-08     1.752e-11     6.532e-08     2.450e-14     1.000e-10     6.744e+01     7.505e-20     5.817e-05     1.914e-11     5.734e-15     6.970e-09     7.650e-05     1.153e-06     1.000e-08     3.261e-13     7.878e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.150e+02     3.872e-05     2.940e+02     7.270e+05     1.370e+05     6.159e+01     4.188e-03     9.620e-01     8.616e-03     2.097e-04     5.567e-08     5.827e+01     9.000e-08     1.972e-11     7.071e-08     2.978e-14     1.000e-10     5.067e+01     9.842e-20     5.825e-05     1.914e-11     6.706e-15     7.541e-09     7.650e-05     1.194e-06     1.000e-08     3.968e-13     8.022e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.140e+02     4.296e-05     2.773e+02     7.290e+05     1.410e+05     6.525e+01     6.582e-03     9.841e-01     8.944e-03     2.156e-04     5.954e-08     5.824e+01     9.000e-08     2.231e-11     7.680e-08     3.647e-14     1.000e-10     3.803e+01     1.305e-19     5.833e-05     1.914e-11     7.893e-15     8.186e-09     7.650e-05     1.235e-06     1.000e-08     4.867e-13     8.176e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.130e+02     4.839e-05     2.629e+02     7.310e+05     1.450e+05     6.894e+01     1.066e-02     1.010e+00     9.335e-03     2.218e-04     6.431e-08     5.819e+01     9.000e-08     2.570e-11     8.442e-08     4.602e-14     1.000e-10     2.804e+01     1.802e-19     5.841e-05     1.914e-11     9.514e-15     8.992e-09     7.650e-05     1.276e-06     1.000e-08     6.149e-13     8.355e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.120e+02     5.457e-05     2.472e+02     7.370e+05     1.490e+05     7.268e+01     1.732e-02     1.037e+00     9.748e-03     2.288e-04     6.951e-08     5.813e+01     9.000e-08     2.964e-11     9.289e-08     5.819e-14     1.000e-10     2.085e+01     2.497e-19     5.850e-05     1.914e-11     1.149e-14     9.887e-09     7.650e-05     1.317e-06     1.000e-08     7.788e-13     8.539e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.110e+02     6.225e-05     2.355e+02     7.420e+05     1.530e+05     7.654e+01     2.944e-02     1.067e+00     1.022e-02     2.361e-04     7.569e-08     5.806e+01     9.000e-08     3.466e-11     1.031e-07     7.525e-14     1.000e-10     1.532e+01     3.570e-19     5.858e-05     1.914e-11     1.412e-14     1.097e-08     7.650e-05     1.359e-06     1.000e-08     1.009e-12     8.746e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
