# win atmospheric constituent profile.
# 
# number of sampled altitude :
121
# number of sampled gas :
30
# sampled gas :
N2 
O2 
CO2 
O3 
H2O 
CH4 
N2O 
HNO3 
CO 
NO2 
N2O5 
ClO 
HOCl 
ClONO2 
NO 
HNO4 
HCN 
NH3 
F11 
F12 
F14 
F22 
CCl4 
COF2 
H2O2 
C2H2 
C2H6 
OCS 
SO2 
SF6 
#HGT [km] PRE [mb] TEM [K] N2 [ppmv] O2 [ppmv] CO2 [ppmv] O3 [ppmv] H2O [ppmv] CH4 [ppmv] N2O [ppmv] HNO3 [ppmv] CO [ppmv] NO2 [ppmv] N2O5 [ppmv] ClO [ppmv] HOCl [ppmv] ClONO2 [ppmv] NO [ppmv] HNO4 [ppmv] HCN [ppmv] NH3 [ppmv] F11 [ppmv] F12 [ppmv] F14 [ppmv] F22 [ppmv] CCl4 [ppmv] COF2 [ppmv] H2O2 [ppmv] C2H2 [ppmv] C2H6 [ppmv] OCS [ppmv] SO2 [ppmv] SF6 [ppmv]
1.200e+02     2.540e-05     3.472e+02     7.000e+05     1.030e+05     4.385e+01     5.000e-04     2.000e-01     1.684e-02     1.892e-04     9.000e-08     4.900e+01     1.600e-02     1.181e-14     2.729e-07     6.650e-23     6.650e-23     3.516e+02     1.965e-15     5.784e-05     1.914e-11     3.532e-09     1.269e-13     7.650e-05     9.883e-07     1.000e-08     1.323e-13     1.173e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.190e+02     2.740e-05     3.334e+02     7.080e+05     1.110e+05     4.737e+01     7.920e-04     2.070e-01     1.715e-02     1.943e-04     9.000e-08     4.900e+01     1.600e-02     1.382e-14     3.096e-07     8.840e-23     8.840e-23     3.230e+02     2.226e-15     5.792e-05     1.914e-11     3.532e-09     1.395e-13     7.650e-05     1.029e-06     1.000e-08     1.525e-13     1.203e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.180e+02     2.960e-05     3.197e+02     7.140e+05     1.190e+05     5.089e+01     1.260e-03     2.150e-01     1.746e-02     1.994e-04     9.000e-08     4.900e+01     1.600e-02     1.622e-14     3.512e-07     1.182e-22     1.182e-22     2.944e+02     2.526e-15     5.800e-05     1.914e-11     3.532e-09     1.537e-13     7.650e-05     1.071e-06     1.000e-08     1.762e-13     1.234e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.170e+02     3.200e-05     3.059e+02     7.200e+05     1.260e+05     5.442e+01     1.990e-03     2.230e-01     1.779e-02     2.055e-04     9.000e-08     4.900e+01     1.600e-02     1.906e-14     3.985e-07     1.584e-22     1.584e-22     2.706e+02     2.871e-15     5.808e-05     1.914e-11     3.532e-09     1.694e-13     7.650e-05     1.112e-06     1.000e-08     2.040e-13     1.266e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.160e+02     3.510e-05     2.935e+02     7.240e+05     1.320e+05     5.798e+01     3.150e-03     2.310e-01     1.818e-02     2.107e-04     9.000e-08     4.900e+01     1.600e-02     2.308e-14     4.520e-07     2.241e-22     2.241e-22     2.524e+02     3.341e-15     5.817e-05     1.914e-11     3.532e-09     1.901e-13     7.650e-05     1.153e-06     1.000e-08     2.426e-13     1.306e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.150e+02     3.870e-05     2.816e+02     7.270e+05     1.370e+05     6.159e+01     5.000e-03     2.390e-01     1.860e-02     2.168e-04     9.000e-08     4.950e+01     1.600e-02     2.824e-14     5.128e-07     3.234e-22     3.234e-22     2.381e+02     3.921e-15     5.825e-05     1.914e-11     3.532e-09     2.148e-13     7.650e-05     1.194e-06     1.000e-08     2.914e-13     1.348e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.140e+02     4.290e-05     2.714e+02     7.290e+05     1.410e+05     6.525e+01     7.920e-03     2.470e-01     1.906e-02     2.229e-04     9.000e-08     5.000e+01     1.600e-02     3.496e-14     5.817e-07     4.762e-22     4.762e-22     2.246e+02     4.644e-15     5.833e-05     1.914e-11     3.532e-09     2.443e-13     7.650e-05     1.235e-06     1.000e-08     3.535e-13     1.395e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.130e+02     4.800e-05     2.636e+02     7.310e+05     1.450e+05     6.894e+01     1.260e-02     2.550e-01     1.957e-02     2.291e-04     9.000e-08     5.050e+01     1.600e-02     4.411e-14     6.599e-07     7.262e-22     7.262e-22     2.115e+02     5.583e-15     5.841e-05     1.914e-11     3.532e-09     2.811e-13     7.650e-05     1.276e-06     1.000e-08     4.364e-13     1.448e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.120e+02     5.380e-05     2.558e+02     7.370e+05     1.490e+05     7.268e+01     1.990e-02     2.630e-01     2.011e-02     2.362e-04     9.000e-08     5.100e+01     1.600e-02     5.586e-14     7.486e-07     1.115e-21     1.115e-21     1.996e+02     6.732e-15     5.850e-05     1.914e-11     3.532e-09     3.241e-13     7.650e-05     1.317e-06     1.000e-08     5.405e-13     1.503e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.110e+02     6.100e-05     2.489e+02     7.420e+05     1.530e+05     7.654e+01     3.010e-02     2.720e-01     2.071e-02     2.424e-04     9.000e-08     5.170e+01     1.600e-02     7.244e-14     8.492e-07     1.787e-21     1.787e-21     1.865e+02     8.272e-15     5.858e-05     1.914e-11     3.532e-09     3.791e-13     7.650e-05     1.359e-06     1.000e-08     6.841e-13     1.567e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
