#
# ARTDECO : Beta_l
#
# Used model for truncation was:
 dm
# number of wavelengths
         184
# wlambda(microns)     nBetal     Trunc. Coeff.     Cext (microns^2)       SSA              g 
     0.251263000E+00      8     0.508488047E+00     0.653685697E+03     0.999985879E+00     0.868645573E+00
     0.253814000E+00      8     0.496006661E+00     0.644424363E+03     0.999985490E+00     0.857761181E+00
     0.256417000E+00      8     0.493341267E+00     0.640290405E+03     0.999985119E+00     0.865873681E+00
     0.259074000E+00      8     0.508354159E+00     0.650861877E+03     0.999987582E+00     0.878197993E+00
     0.261787000E+00      8     0.497789775E+00     0.638597001E+03     0.999987927E+00     0.868767126E+00
     0.264558000E+00      8     0.497280923E+00     0.644213877E+03     0.999988064E+00     0.859002183E+00
     0.267387000E+00      8     0.505707580E+00     0.654223055E+03     0.999988706E+00     0.868159441E+00
     0.270278000E+00      8     0.494875582E+00     0.634315166E+03     0.999989430E+00     0.875277444E+00
     0.273232000E+00      8     0.499760213E+00     0.641393970E+03     0.999989541E+00     0.872642769E+00
     0.276252000E+00      8     0.509101888E+00     0.656148913E+03     0.999990624E+00     0.867022102E+00
     0.279338000E+00      8     0.492167441E+00     0.638232668E+03     0.999990693E+00     0.861739300E+00
     0.282495000E+00      8     0.498994802E+00     0.640655707E+03     0.999991661E+00     0.875581108E+00
     0.285724000E+00      8     0.508420660E+00     0.651734587E+03     0.999992359E+00     0.879117142E+00
     0.289027000E+00      8     0.494328685E+00     0.636760106E+03     0.999991155E+00     0.867645550E+00
     0.292408000E+00      8     0.500977756E+00     0.648634065E+03     0.999992961E+00     0.864103000E+00
     0.295868000E+00      8     0.506049651E+00     0.654784911E+03     0.999993546E+00     0.871056447E+00
     0.299412000E+00      8     0.492170589E+00     0.631701705E+03     0.999994114E+00     0.876051161E+00
     0.303041000E+00      8     0.500518306E+00     0.642687439E+03     0.999994449E+00     0.877031118E+00
     0.306760000E+00      8     0.510921314E+00     0.655502446E+03     0.999994968E+00     0.876244150E+00
     0.310571000E+00      8     0.495413188E+00     0.641245102E+03     0.999992630E+00     0.863808613E+00
     0.314478000E+00      8     0.497154404E+00     0.642932318E+03     0.999994656E+00     0.862663459E+00
     0.318484000E+00      8     0.507233559E+00     0.662592413E+03     0.999995679E+00     0.862834640E+00
     0.322594000E+00      8     0.495942434E+00     0.646000142E+03     0.999995886E+00     0.866566258E+00
     0.326811000E+00      8     0.491629324E+00     0.633158947E+03     0.999996394E+00     0.875027620E+00
     0.331140000E+00      8     0.505026724E+00     0.660844711E+03     0.999996045E+00     0.872012300E+00
     0.335586000E+00      8     0.504260597E+00     0.648171860E+03     0.999996821E+00     0.876890804E+00
     0.340152000E+00      8     0.492266759E+00     0.633757992E+03     0.999997317E+00     0.868864447E+00
     0.344844000E+00      8     0.506221414E+00     0.653837496E+03     0.999997660E+00     0.867969766E+00
     0.349667000E+00      8     0.506664029E+00     0.660588942E+03     0.999997922E+00     0.863197230E+00
     0.354628000E+00      8     0.488559027E+00     0.636374545E+03     0.999998053E+00     0.861404368E+00
     0.359731000E+00      8     0.493767063E+00     0.648855268E+03     0.999998170E+00     0.863668863E+00
     0.364983000E+00      8     0.509333346E+00     0.658584295E+03     0.999998532E+00     0.878736175E+00
