#
# ARTDECO : Beta_l
#
# Used model for truncation was:
 dm
# number of wavelengths
          15
# wlambda(microns)     nBetal     Trunc. Coeff.     Cext      SSA              g 
     0.550000000E+00      8     0.480565655E+00     0.637321376E+03     0.999999587E+00     0.863741726E+00
     0.401606400E+01      8     0.510623690E+00     0.881484905E+03     0.890943132E+00     0.839240766E+00
     0.404858300E+01      8     0.519460152E+00     0.878174093E+03     0.877720843E+00     0.840898478E+00
     0.408163300E+01      8     0.526403259E+00     0.870885649E+03     0.863941862E+00     0.837727941E+00
     0.411522600E+01      8     0.524370888E+00     0.838301209E+03     0.858827449E+00     0.851597581E+00
     0.414937800E+01      8     0.522775537E+00     0.831564835E+03     0.852151034E+00     0.858714124E+00
     0.418410100E+01      8     0.524760933E+00     0.842550497E+03     0.841750637E+00     0.853495299E+00
     0.421940900E+01      8     0.528432864E+00     0.846309481E+03     0.829048668E+00     0.845493250E+00
     0.425531900E+01      8     0.531166755E+00     0.836662762E+03     0.814670292E+00     0.840129123E+00
     0.429184500E+01      8     0.530508637E+00     0.814148102E+03     0.801585067E+00     0.836507606E+00
     0.432900400E+01      8     0.521635591E+00     0.781344107E+03     0.794107424E+00     0.842014334E+00
     0.436681200E+01      8     0.510731125E+00     0.766664973E+03     0.786436424E+00     0.845239608E+00
     0.440528600E+01      8     0.502771557E+00     0.766282077E+03     0.775714901E+00     0.840812569E+00
     0.444444500E+01      8     0.497701707E+00     0.764325804E+03     0.761954834E+00     0.832702655E+00
     0.448430500E+01      8     0.493385786E+00     0.752409073E+03     0.746133162E+00     0.824734075E+00
# lambda =       0.550
#     l     alpha1              alpha2              alpha3              alpha4              beta1               beta2
      0     0.999999984E+00     0.000000000E+00     0.000000000E+00     0.903787135E+00     0.000000000E+00     0.000000000E+00
      1     0.220901328E+01     0.000000000E+00     0.000000000E+00     0.225951570E+01     0.000000000E+00     0.000000000E+00
      2     0.298855560E+01     0.404768899E+01     0.382830768E+01     0.288690832E+01    -0.306331414E-03    -0.944569317E-02
      3     0.254273330E+01     0.343372230E+01     0.345825293E+01     0.260386787E+01    -0.166450507E+00     0.313437498E-01
      4     0.198493415E+01     0.268174531E+01     0.258081162E+01     0.201087799E+01     0.227508382E-02    -0.262263231E-01
      5     0.138877811E+01     0.166780716E+01     0.154938140E+01     0.135561026E+01    -0.212893510E+00     0.191553956E-01
      6     0.678606356E+00     0.108459105E+01     0.105656962E+01     0.712493104E+00    -0.249297110E-01    -0.196222754E-01
      7     0.359726979E+00     0.333227561E+00     0.231338343E+00     0.299544858E+00    -0.292606854E-01    -0.275115126E-01
      8     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00
# Betal
# lambda =      4.0161
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.799170972E+00     0.000000000E+00     0.000000000E+00
      1     0.201438232E+01     0.000000000E+00     0.000000000E+00     0.201509112E+01     0.000000000E+00     0.000000000E+00
      2     0.277187159E+01     0.380788787E+01     0.343471504E+01     0.254466895E+01    -0.146234539E+00    -0.149189120E+00
      3     0.245723102E+01     0.311987261E+01     0.307820037E+01     0.239137012E+01    -0.383351369E-01     0.331540333E-01
      4     0.250652895E+01     0.284579001E+01     0.268751828E+01     0.241346470E+01     0.107870565E+00    -0.222024905E+00
      5     0.204011137E+01     0.238749475E+01     0.228639813E+01     0.206841709E+01     0.340503856E+00     0.147529427E+00
      6     0.162510090E+01     0.204976516E+01     0.182115448E+01     0.156885992E+01     0.423870891E+00    -0.446489373E-01
