#
# ARTDECO : Beta_l
#
# Used model for truncation was:
 dm
# number of wavelengths
         209
# wlambda(microns)     nBetal     Trunc. Coeff.     Cext      SSA              g 
     0.200806000E+00      8     0.493709836E+00     0.633887675E+03     0.999942174E+00     0.868326099E+00
     0.202432000E+00      8     0.497480086E+00     0.647936092E+03     0.999891150E+00     0.848339952E+00
     0.204085000E+00      8     0.496314941E+00     0.640734613E+03     0.999851433E+00     0.866591841E+00
     0.205765000E+00      8     0.498843155E+00     0.638816103E+03     0.999934258E+00     0.866031242E+00
     0.207472000E+00      8     0.497497326E+00     0.646728762E+03     0.999951208E+00     0.858697977E+00
     0.209209000E+00      8     0.498663611E+00     0.638066186E+03     0.999955898E+00     0.870155811E+00
     0.210974000E+00      8     0.497003398E+00     0.649943683E+03     0.999951418E+00     0.847479040E+00
     0.212770000E+00      8     0.497046581E+00     0.638577873E+03     0.999961045E+00     0.871854430E+00
     0.214596000E+00      8     0.499699439E+00     0.645266278E+03     0.999959935E+00     0.857084823E+00
     0.216454000E+00      8     0.494966611E+00     0.637169336E+03     0.999965682E+00     0.868847153E+00
     0.218345000E+00      8     0.503016536E+00     0.646681183E+03     0.999963186E+00     0.867952963E+00
     0.220269000E+00      8     0.492524727E+00     0.636011949E+03     0.999970063E+00     0.863819812E+00
     0.222227000E+00      8     0.506435278E+00     0.647606061E+03     0.999973572E+00     0.873777776E+00
     0.224220000E+00      8     0.492659271E+00     0.637599383E+03     0.999974584E+00     0.859131248E+00
     0.226249000E+00      8     0.502145317E+00     0.644002590E+03     0.999976481E+00     0.872632101E+00
     0.228315000E+00      8     0.501365980E+00     0.643788386E+03     0.999977821E+00     0.874376079E+00
     0.230420000E+00      8     0.491879988E+00     0.638709730E+03     0.999977280E+00     0.855934083E+00
     0.232563000E+00      8     0.505311554E+00     0.649224483E+03     0.999979219E+00     0.872903516E+00
     0.234747000E+00      8     0.496274363E+00     0.636654123E+03     0.999980415E+00     0.873167905E+00
     0.236972000E+00      8     0.497644264E+00     0.645127655E+03     0.999980237E+00     0.858144243E+00
     0.239240000E+00      8     0.504830782E+00     0.647705952E+03     0.999981706E+00     0.872577014E+00
     0.241552000E+00      8     0.493068584E+00     0.633934047E+03     0.999978582E+00     0.871207220E+00
