# 
#  Transmission filter file 
#  for use in ARTDECO 
# 
# nlambda 
   122
# 
# lamb(microns)    transmission 
   0.64000     0.00000
   0.64050     0.00000
   0.64100     0.00390
   0.64150     0.00370
   0.64200     0.00350
   0.64250     0.00360
   0.64300     0.00360
   0.64350     0.00380
   0.64400     0.00390
   0.64450     0.00350
   0.64500     0.00310
   0.64550     0.00300
   0.64600     0.00290
   0.64650     0.00370
   0.64700     0.00440
   0.64750     0.00400
   0.64800     0.00370
   0.64850     0.00330
   0.64900     0.00300
   0.64950     0.00290
   0.65000     0.00280
   0.65050     0.00330
   0.65100     0.00380
   0.65150     0.00440
   0.65200     0.00500
   0.65250     0.00520
   0.65300     0.00550
   0.65350     0.00580
   0.65400     0.00620
   0.65450     0.00780
   0.65500     0.00930
   0.65550     0.01100
   0.65600     0.01270
   0.65650     0.01710
   0.65700     0.02140
   0.65750     0.02950
   0.65800     0.03760
   0.65850     0.05320
   0.65900     0.06890
   0.65950     0.10090
   0.66000     0.13290
   0.66050     0.19040
   0.66100     0.24790
   0.66150     0.33490
   0.66200     0.42200
   0.66250     0.51940
   0.66300     0.61670
   0.66350     0.69670
   0.66400     0.77670
   0.66450     0.82210
   0.66500     0.86750
   0.66550     0.88810
   0.66600     0.90880
   0.66650     0.91620
   0.66700     0.92360
   0.66750     0.92640
   0.66800     0.92920
   0.66850     0.93210
   0.66900     0.93510
   0.66950     0.93940
   0.67000     0.94370
   0.67050     0.94850
   0.67100     0.95340
   0.67150     0.96070
   0.67200     0.96800
   0.67250     0.97620
   0.67300     0.98430
   0.67350     0.99110
   0.67400     0.99780
   0.67450     0.98460
   0.67500     0.97150
   0.67550     0.90740
   0.67600     0.84340
   0.67650     0.72730
   0.67700     0.61120
   0.67750     0.48940
   0.67800     0.36760
   0.67850     0.28210
   0.67900     0.19650
   0.67950     0.14890
   0.68000     0.10140
   0.68050     0.07810
   0.68100     0.05490
   0.68150     0.04300
   0.68200     0.03110
   0.68250     0.02470
   0.68300     0.01840
   0.68350     0.01520
   0.68400     0.01210
   0.68450     0.01050
   0.68500     0.00880
   0.68550     0.00790
   0.68600     0.00710
   0.68650     0.00610
   0.68700     0.00520
   0.68750     0.00480
   0.68800     0.00430
   0.68850     0.00420
   0.68900     0.00420
   0.68950     0.00420
   0.69000     0.00420
   0.69050     0.00360
   0.69100     0.00310
   0.69150     0.00330
   0.69200     0.00340
   0.69250     0.00390
   0.69300     0.00450
   0.69350     0.00400
   0.69400     0.00360
   0.69450     0.00370
   0.69500     0.00390
   0.69550     0.00340
   0.69600     0.00300
   0.69650     0.00280
   0.69700     0.00270
   0.69750     0.00330
   0.69800     0.00380
   0.69850     0.00400
   0.69900     0.00420
   0.69950     0.00210
   0.70000     0.00000
   0.70050     0.00000
