# 
#  Transmission filter file 
#  for use in ARTDECO 
# 
# nlambda 
    63
# 
# lamb(microns)    transmission 
   0.74500     0.00000
   0.74550     0.00000
   0.74600     0.00210
   0.74650     0.00190
   0.74700     0.00200
   0.74750     0.00250
   0.74800     0.00330
   0.74850     0.00290
   0.74900     0.00280
   0.74950     0.00460
   0.75000     0.00330
   0.75050     0.00350
   0.75100     0.00480
   0.75150     0.00790
   0.75200     0.01010
   0.75250     0.01330
   0.75300     0.02020
   0.75350     0.03120
   0.75400     0.04640
   0.75450     0.06870
   0.75500     0.10360
   0.75550     0.15750
   0.75600     0.22480
   0.75650     0.30720
   0.75700     0.40310
   0.75750     0.50590
   0.75800     0.60700
   0.75850     0.70140
   0.75900     0.77900
   0.75950     0.84340
   0.76000     0.89380
   0.76050     0.93560
   0.76100     0.96110
   0.76150     0.97900
   0.76200     0.99130
   0.76250     0.99700
   0.76300     0.99720
   0.76350     0.99740
   0.76400     0.98860
   0.76450     0.98370
   0.76500     0.97130
   0.76550     0.95430
   0.76600     0.91400
   0.76650     0.85390
   0.76700     0.79630
   0.76750     0.70020
   0.76800     0.58950
   0.76850     0.47250
   0.76900     0.35470
   0.76950     0.24430
   0.77000     0.16440
   0.77050     0.10510
   0.77100     0.06460
   0.77150     0.04050
   0.77200     0.02520
   0.77250     0.01810
   0.77300     0.01310
   0.77350     0.00960
   0.77400     0.00690
   0.77450     0.00550
   0.77500     0.00630
   0.77550     0.00000
   0.77600     0.00000
