#
# Optical properties to be used by ARTDECO
#
# Used model to obtain that properties is:
 unknown
# Used material is:
 unknown
# Number of phase matrix elements :
4
# number of wavelengths
115
#  wlambda(microns)   nteta   Cext (microns^2)       SSA              g 
0.55             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
4.048583             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
4.081633             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
4.115226             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
4.149378             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
4.1841             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
4.219409             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
4.255319             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
4.291845             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
4.329004             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
4.366812             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
4.405286             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
4.444444             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
4.484305             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
4.524887             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
4.56621             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
4.608295             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
4.651163             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
4.694836             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
4.739336             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
4.784689             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
4.830918             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
4.878049             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
4.926108             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
4.975124             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
5.025126             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
5.076142             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
5.128205             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
5.181347             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
5.235602             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
5.291005             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
5.347594             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
5.405405             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
5.464481             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
5.524862             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
5.586592             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
5.649718             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
5.714286             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
5.780347             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
5.847953             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
5.91716             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
5.988024             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
6.060606             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
6.134969             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
6.21118             100      0.790283684E-02     0.850000000E+00    0.820000000E+00
