#
# Optical properties to be used by ARTDECO
#
# Used model to obtain that properties is:
 unknown 
# Used material is:
 unknown 
# Number of phase matrix elements : 
 4 
# number of wavelengths 
    91
#  lambda         nteta          Cext               SSA                g 
 4.0000000e-01      498       4.0694016e+01          1.0000000e+00          -32768.0 
 4.1000000e-01      498       4.0738982e+01          1.0000000e+00          -32768.0 
 4.2000000e-01      498       4.0694016e+01          1.0000000e+00          -32768.0 
 4.3000000e-01      498       4.0738982e+01          1.0000000e+00          -32768.0 
 4.4000000e-01      498       4.0604084e+01          1.0000000e+00          -32768.0 
 4.5000000e-01      498       4.0694016e+01          1.0000000e+00          -32768.0 
 4.6000000e-01      498       4.0828913e+01          1.0000000e+00          -32768.0 
 4.7000000e-01      498       4.0604084e+01          1.0000000e+00          -32768.0 
 4.8000000e-01      498       4.0738982e+01          1.0000000e+00          -32768.0 
 4.9000000e-01      498       4.0783948e+01          1.0000000e+00          -32768.0 
 5.0000000e-01      498       4.0694016e+01          1.0000000e+00          -32768.0 
 5.1000000e-01      498       4.0649050e+01          1.0000000e+00          -32768.0 
 5.2000000e-01      498       4.0783948e+01          1.0000000e+00          -32768.0 
 5.3000000e-01      498       4.0738982e+01          1.0000000e+00          -32768.0 
 5.4000000e-01      498       4.0738982e+01          1.0000000e+00          -32768.0 
 5.5000000e-01      498       4.0783948e+01          1.0000000e+00          -32768.0 
 5.6000000e-01      498       4.0559119e+01          1.0000000e+00          -32768.0 
 5.7000000e-01      498       4.0604084e+01          1.0000000e+00          -32768.0 
 5.8000000e-01      498       4.0918845e+01          1.0000000e+00          -32768.0 
 5.9000000e-01      498       4.0873879e+01          1.0000000e+00          -32768.0 
 6.0000000e-01      498       4.0604084e+01          1.0000000e+00          -32768.0 
 6.1000000e-01      498       4.0649050e+01          1.0000000e+00          -32768.0 
 6.2000000e-01      498       4.0738982e+01          1.0000000e+00          -32768.0 
 6.3000000e-01      498       4.0694016e+01          1.0000000e+00          -32768.0 
 6.4000000e-01      498       4.0649050e+01          1.0000000e+00          -32768.0 
 6.5000000e-01      498       4.0694016e+01          1.0000000e+00          -32768.0 
 6.6000000e-01      498       4.0828913e+01          1.0000000e+00          -32768.0 
 6.7000000e-01      498       4.0828913e+01          1.0000000e+00          -32768.0 
 6.8000000e-01      498       4.0738982e+01          1.0000000e+00          -32768.0 
 6.9000000e-01      498       4.0783948e+01          1.0000000e+00          -32768.0 
 7.0000000e-01      498       4.0649050e+01          1.0000000e+00          -32768.0 
 7.1000000e-01      498       4.0604084e+01          1.0000000e+00          -32768.0 
 7.2000000e-01      498       4.0783948e+01          1.0000000e+00          -32768.0 
 7.3000000e-01      498       4.0694016e+01          1.0000000e+00          -32768.0 
 7.4000000e-01      498       4.0694016e+01          1.0000000e+00          -32768.0 
 7.5000000e-01      498       4.0694016e+01          1.0000000e+00          -32768.0 
 7.6000000e-01      498       4.0738982e+01          9.9990000e-01          -32768.0 
 7.7000000e-01      498       4.0649050e+01          9.9990000e-01          -32768.0 
 7.8000000e-01      498       4.0828913e+01          9.9990000e-01          -32768.0 
 7.9000000e-01      498       4.0694016e+01          9.9990000e-01          -32768.0 
 8.0000000e-01      498       4.0918845e+01          9.9990000e-01          -32768.0 
 8.1000000e-01      498       4.0783948e+01          9.9990000e-01          -32768.0 
 8.2000000e-01      498       4.0649050e+01          9.9990000e-01          -32768.0 
 8.3000000e-01      498       4.0604084e+01          9.9990000e-01          -32768.0 
 8.4000000e-01      498       4.0694016e+01          9.9990000e-01          -32768.0 
 8.5000000e-01      498       4.0694016e+01          9.9990000e-01          -32768.0 
 8.6000000e-01      498       4.0783948e+01          9.9990000e-01          -32768.0 
 8.7000000e-01      498       4.0694016e+01          9.9980000e-01          -32768.0 
 8.8000000e-01      498       4.0694016e+01          9.9980000e-01          -32768.0 
 8.9000000e-01      498       4.0783948e+01          9.9980000e-01          -32768.0 
 9.0000000e-01      498       4.0738982e+01          9.9980000e-01          -32768.0 
 9.1000000e-01      498       4.0738982e+01          9.9970000e-01          -32768.0 
 9.2000000e-01      498       4.0738982e+01          9.9970000e-01          -32768.0 
 9.3000000e-01      498       4.0649050e+01          9.9970000e-01          -32768.0 
 9.4000000e-01      498       4.0738982e+01          9.9970000e-01          -32768.0 
 9.5000000e-01      498       4.0783948e+01          9.9960000e-01          -32768.0 
 9.6000000e-01      498       4.0649050e+01          9.9960000e-01          -32768.0 
 9.7000000e-01      498       4.0783948e+01          9.9950000e-01          -32768.0 
 9.8000000e-01      498       4.0828913e+01          9.9940000e-01          -32768.0 
 9.9000000e-01      498       4.0738982e+01          9.9930000e-01          -32768.0 
 1.0000000e+00      498       4.0694016e+01          9.9910000e-01          -32768.0 
 1.2000000e+00      498       4.0783948e+01          9.9680000e-01          -32768.0 
 1.2100000e+00      498       4.0738982e+01          9.9630000e-01          -32768.0 
 1.2200000e+00      498       4.0694016e+01          9.9570000e-01          -32768.0 
 1.2300000e+00      498       4.0738982e+01          9.9510000e-01          -32768.0 
 1.2400000e+00      498       4.0738982e+01          9.9490000e-01          -32768.0 
 1.2500000e+00      498       4.0694016e+01          9.9460000e-01          -32768.0 
 1.2600000e+00      498       4.0783948e+01          9.9450000e-01          -32768.0 
 1.2700000e+00      498       4.0783948e+01          9.9450000e-01          -32768.0 
 1.2800000e+00      498       4.0738982e+01          9.9450000e-01          -32768.0 
 1.2900000e+00      498       4.0694016e+01          9.9460000e-01          -32768.0 
 1.3000000e+00      498       4.0738982e+01          9.9460000e-01          -32768.0 
 1.3100000e+00      498       4.0783948e+01          9.9470000e-01          -32768.0 
 1.3200000e+00      498       4.0783948e+01          9.9470000e-01          -32768.0 
 1.3300000e+00      498       4.0828913e+01          9.9470000e-01          -32768.0 
 1.3400000e+00      498       4.0783948e+01          9.9470000e-01          -32768.0 
 1.3500000e+00      498       4.0694016e+01          9.9460000e-01          -32768.0 
 1.3600000e+00      498       4.0604084e+01          9.9440000e-01          -32768.0 
 1.3700000e+00      498       4.0514153e+01          9.9420000e-01          -32768.0 
 1.3800000e+00      498       4.0604084e+01          9.9390000e-01          -32768.0 
 1.3900000e+00      498       4.0649050e+01          9.9300000e-01          -32768.0 
 1.4000000e+00      498       4.0738982e+01          9.9210000e-01          -32768.0 
 1.4100000e+00      498       4.0828913e+01          9.8750000e-01          -32768.0 
 1.4200000e+00      498       4.0783948e+01          9.7750000e-01          -32768.0 
 1.4300000e+00      498       4.0738982e+01          9.6800000e-01          -32768.0 
 1.4400000e+00      498       4.0738982e+01          9.5120000e-01          -32768.0 
 1.4500000e+00      498       4.0694016e+01          9.3230000e-01          -32768.0 
 1.4600000e+00      498       4.0738982e+01          9.1520000e-01          -32768.0 
 1.4700000e+00      498       4.0694016e+01          8.9600000e-01          -32768.0 
 1.4800000e+00      498       4.0738982e+01          8.7830000e-01          -32768.0 
 1.4900000e+00      498       4.0694016e+01          8.6370000e-01          -32768.0 
# Phase matrix 
# lambda =   0.400 
#         u                 F11              F44               F21               F34  
-1.0000000e+00     1.2740000e+00  0.0  0.0  0.0 
-9.9999048e-01     1.1380000e+00  0.0  0.0  0.0 
-9.9996192e-01     1.0180000e+00  0.0  0.0  0.0 
-9.9991433e-01     9.1490000e-01  0.0  0.0  0.0 
-9.9984770e-01     8.2709998e-01  0.0  0.0  0.0 
-9.9976203e-01     7.5340003e-01  0.0  0.0  0.0 
-9.9965732e-01     6.9080001e-01  0.0  0.0  0.0 
-9.9953359e-01     6.3660002e-01  0.0  0.0  0.0 
-9.9939083e-01     5.8880001e-01  0.0  0.0  0.0 
-9.9922904e-01     5.4589999e-01  0.0  0.0  0.0 
-9.9904822e-01     5.0650001e-01  0.0  0.0  0.0 
-9.9884839e-01     4.6959999e-01  0.0  0.0  0.0 
-9.9862953e-01     4.3439999e-01  0.0  0.0  0.0 
-9.9839167e-01     4.0079999e-01  0.0  0.0  0.0 
-9.9813480e-01     3.6899999e-01  0.0  0.0  0.0 
-9.9785892e-01     3.3970001e-01  0.0  0.0  0.0 
-9.9756405e-01     3.1310001e-01  0.0  0.0  0.0 
-9.9619470e-01     2.3610000e-01  0.0  0.0  0.0 
-9.9452190e-01     1.9859999e-01  0.0  0.0  0.0 
-9.9254615e-01     1.7880000e-01  0.0  0.0  0.0 
-9.9026807e-01     1.6329999e-01  0.0  0.0  0.0 
-9.8768834e-01     1.5040000e-01  0.0  0.0  0.0 
-9.8480775e-01     1.4030001e-01  0.0  0.0  0.0 
-9.8162718e-01     1.3230000e-01  0.0  0.0  0.0 
-9.7814760e-01     1.2590000e-01  0.0  0.0  0.0 
-9.7437006e-01     1.2140000e-01  0.0  0.0  0.0 
-9.7029573e-01     1.1920000e-01  0.0  0.0  0.0 
-9.6592583e-01     1.1990000e-01  0.0  0.0  0.0 
-9.6126170e-01     1.2380000e-01  0.0  0.0  0.0 
-9.5630476e-01     1.3070001e-01  0.0  0.0  0.0 
-9.5105652e-01     1.3990000e-01  0.0  0.0  0.0 
-9.4551858e-01     1.5090001e-01  0.0  0.0  0.0 
-9.3969262e-01     1.6280000e-01  0.0  0.0  0.0 
-9.3358043e-01     1.7470001e-01  0.0  0.0  0.0 
-9.2718385e-01     1.8580000e-01  0.0  0.0  0.0 
-9.2050485e-01     1.9540000e-01  0.0  0.0  0.0 
-9.1354546e-01     2.0330000e-01  0.0  0.0  0.0 
-9.0630779e-01     2.0970000e-01  0.0  0.0  0.0 
-8.9879405e-01     2.1460000e-01  0.0  0.0  0.0 
-8.9100652e-01     2.1709999e-01  0.0  0.0  0.0 
-8.8294759e-01     2.1570000e-01  0.0  0.0  0.0 
-8.7461971e-01     2.0999999e-01  0.0  0.0  0.0 
-8.6602540e-01     2.0060000e-01  0.0  0.0  0.0 
-8.5716730e-01     1.8970001e-01  0.0  0.0  0.0 
-8.4804810e-01     1.7960000e-01  0.0  0.0  0.0 
-8.3867057e-01     1.7070000e-01  0.0  0.0  0.0 
-8.2903757e-01     1.6280000e-01  0.0  0.0  0.0 
-8.1915204e-01     1.5510000e-01  0.0  0.0  0.0 
-8.0901699e-01     1.4710000e-01  0.0  0.0  0.0 
-7.9863551e-01     1.3860001e-01  0.0  0.0  0.0 
-7.8801075e-01     1.3000000e-01  0.0  0.0  0.0 
-7.7714596e-01     1.2180000e-01  0.0  0.0  0.0 
-7.6604444e-01     1.1450000e-01  0.0  0.0  0.0 
-7.5470958e-01     1.0870000e-01  0.0  0.0  0.0 
-7.4314483e-01     1.0440000e-01  0.0  0.0  0.0 
-7.3135370e-01     1.0120000e-01  0.0  0.0  0.0 
-7.1933980e-01     9.8439999e-02  0.0  0.0  0.0 
-7.0710678e-01     9.6019998e-02  0.0  0.0  0.0 
-6.9465837e-01     9.3999997e-02  0.0  0.0  0.0 
-6.8199836e-01     9.2620000e-02  0.0  0.0  0.0 
-6.6913061e-01     9.1949999e-02  0.0  0.0  0.0 
-6.5605903e-01     9.1540001e-02  0.0  0.0  0.0 
-6.4278761e-01     9.0850003e-02  0.0  0.0  0.0 
-6.2932039e-01     8.9759998e-02  0.0  0.0  0.0 
-6.1566148e-01     8.8430002e-02  0.0  0.0  0.0 
-6.0181502e-01     8.7279998e-02  0.0  0.0  0.0 
-5.8778525e-01     8.6640000e-02  0.0  0.0  0.0 
-5.7357644e-01     8.6429998e-02  0.0  0.0  0.0 
-5.5919290e-01     8.6640000e-02  0.0  0.0  0.0 
-5.4463904e-01     8.7880000e-02  0.0  0.0  0.0 
-5.2991926e-01     9.0750001e-02  0.0  0.0  0.0 
-5.1503807e-01     9.5550001e-02  0.0  0.0  0.0 
-5.0000000e-01     1.0230000e-01  0.0  0.0  0.0 
-4.8480962e-01     1.0990000e-01  0.0  0.0  0.0 
-4.6947156e-01     1.1650000e-01  0.0  0.0  0.0 
-4.5399050e-01     1.2140000e-01  0.0  0.0  0.0 
-4.3837115e-01     1.2450000e-01  0.0  0.0  0.0 
-4.2261826e-01     1.2630001e-01  0.0  0.0  0.0 
-4.0673664e-01     1.2780000e-01  0.0  0.0  0.0 
-3.9073113e-01     1.2920000e-01  0.0  0.0  0.0 
-3.7460659e-01     1.3079999e-01  0.0  0.0  0.0 
-3.5836795e-01     1.3270000e-01  0.0  0.0  0.0 
-3.4202014e-01     1.3490000e-01  0.0  0.0  0.0 
-3.2556815e-01     1.3710000e-01  0.0  0.0  0.0 
-3.0901699e-01     1.3940001e-01  0.0  0.0  0.0 
-2.9237170e-01     1.4160000e-01  0.0  0.0  0.0 
-2.7563736e-01     1.4380001e-01  0.0  0.0  0.0 
-2.5881905e-01     1.4620000e-01  0.0  0.0  0.0 
-2.4192190e-01     1.4900000e-01  0.0  0.0  0.0 
-2.2495105e-01     1.5200000e-01  0.0  0.0  0.0 
-2.0791169e-01     1.5500000e-01  0.0  0.0  0.0 
-1.9080900e-01     1.5800001e-01  0.0  0.0  0.0 
-1.7364818e-01     1.6140001e-01  0.0  0.0  0.0 
-1.5643447e-01     1.6500001e-01  0.0  0.0  0.0 
-1.3917310e-01     1.6890000e-01  0.0  0.0  0.0 
-1.2186934e-01     1.7240000e-01  0.0  0.0  0.0 
-1.0452846e-01     1.7500000e-01  0.0  0.0  0.0 
-8.7155743e-02     1.7710000e-01  0.0  0.0  0.0 
-6.9756474e-02     1.7919999e-01  0.0  0.0  0.0 
-5.2335956e-02     1.8150000e-01  0.0  0.0  0.0 
-3.4899497e-02     1.8400000e-01  0.0  0.0  0.0 
-1.7452406e-02     1.8680000e-01  0.0  0.0  0.0 
 6.1232340e-17     1.8970001e-01  0.0  0.0  0.0 
 1.7452406e-02     1.9290000e-01  0.0  0.0  0.0 
 3.4899497e-02     1.9640000e-01  0.0  0.0  0.0 
 5.2335956e-02     2.0000000e-01  0.0  0.0  0.0 
 6.9756474e-02     2.0360000e-01  0.0  0.0  0.0 
 8.7155743e-02     2.0730001e-01  0.0  0.0  0.0 
 1.0452846e-01     2.1110000e-01  0.0  0.0  0.0 
 1.2186934e-01     2.1480000e-01  0.0  0.0  0.0 
 1.3917310e-01     2.1840000e-01  0.0  0.0  0.0 
 1.5643447e-01     2.2180000e-01  0.0  0.0  0.0 
 1.7364818e-01     2.2530000e-01  0.0  0.0  0.0 
 1.9080900e-01     2.2840001e-01  0.0  0.0  0.0 
 2.0791169e-01     2.3070000e-01  0.0  0.0  0.0 
 2.2495105e-01     2.3210000e-01  0.0  0.0  0.0 
 2.4192190e-01     2.3289999e-01  0.0  0.0  0.0 
 2.5881905e-01     2.3360001e-01  0.0  0.0  0.0 
 2.7563736e-01     2.3490000e-01  0.0  0.0  0.0 
 2.9237170e-01     2.3690000e-01  0.0  0.0  0.0 
 3.0901699e-01     2.3909999e-01  0.0  0.0  0.0 
 3.2556815e-01     2.4120000e-01  0.0  0.0  0.0 
 3.4202014e-01     2.4280000e-01  0.0  0.0  0.0 
 3.5836795e-01     2.4380000e-01  0.0  0.0  0.0 
 3.7460659e-01     2.4390000e-01  0.0  0.0  0.0 
 3.9073113e-01     2.4390000e-01  0.0  0.0  0.0 
 4.0673664e-01     2.4420001e-01  0.0  0.0  0.0 
 4.2261826e-01     2.4590001e-01  0.0  0.0  0.0 
 4.3837115e-01     2.4940000e-01  0.0  0.0  0.0 
 4.5399050e-01     2.5400001e-01  0.0  0.0  0.0 
 4.6947156e-01     2.5900000e-01  0.0  0.0  0.0 
 4.8480962e-01     2.6449999e-01  0.0  0.0  0.0 
 5.0000000e-01     2.7129999e-01  0.0  0.0  0.0 
 5.1503807e-01     2.8070000e-01  0.0  0.0  0.0 
 5.2991926e-01     2.9409999e-01  0.0  0.0  0.0 
 5.4463904e-01     3.1169999e-01  0.0  0.0  0.0 
 5.5919290e-01     3.3370000e-01  0.0  0.0  0.0 
 5.7357644e-01     3.6230001e-01  0.0  0.0  0.0 
 5.8778525e-01     3.9850000e-01  0.0  0.0  0.0 
 6.0181502e-01     4.3399999e-01  0.0  0.0  0.0 
 6.1566148e-01     4.6349999e-01  0.0  0.0  0.0 
 6.2932039e-01     5.1819998e-01  0.0  0.0  0.0 
 6.4278761e-01     6.2199998e-01  0.0  0.0  0.0 
 6.5605903e-01     6.4780003e-01  0.0  0.0  0.0 
 6.6913061e-01     4.9520001e-01  0.0  0.0  0.0 
 6.8199836e-01     3.5690001e-01  0.0  0.0  0.0 
 6.9465837e-01     3.1310001e-01  0.0  0.0  0.0 
 7.0710678e-01     3.1230000e-01  0.0  0.0  0.0 
 7.1933980e-01     3.1770000e-01  0.0  0.0  0.0 
 7.3135370e-01     3.2870001e-01  0.0  0.0  0.0 
 7.4314483e-01     3.4869999e-01  0.0  0.0  0.0 
 7.5470958e-01     3.7760001e-01  0.0  0.0  0.0 
 7.6604444e-01     4.1560000e-01  0.0  0.0  0.0 
 7.7714596e-01     4.6349999e-01  0.0  0.0  0.0 
 7.8801075e-01     5.2219999e-01  0.0  0.0  0.0 
 7.9863551e-01     5.9240001e-01  0.0  0.0  0.0 
 8.0901699e-01     6.7400002e-01  0.0  0.0  0.0 
 8.1915204e-01     7.7130002e-01  0.0  0.0  0.0 
 8.2903757e-01     8.8830000e-01  0.0  0.0  0.0 
 8.3867057e-01     1.0360000e+00  0.0  0.0  0.0 
 8.4804810e-01     1.2250000e+00  0.0  0.0  0.0 
 8.5716730e-01     1.4600000e+00  0.0  0.0  0.0 
 8.6602540e-01     1.7480000e+00  0.0  0.0  0.0 
 8.7461971e-01     2.1410000e+00  0.0  0.0  0.0 
 8.8294759e-01     2.7010000e+00  0.0  0.0  0.0 
 8.9100652e-01     3.2550001e+00  0.0  0.0  0.0 
 8.9879405e-01     3.6170001e+00  0.0  0.0  0.0 
 9.0630779e-01     4.4710002e+00  0.0  0.0  0.0 
 9.1354546e-01     6.3109999e+00  0.0  0.0  0.0 
 9.2050485e-01     5.0229998e+00  0.0  0.0  0.0 
 9.2718385e-01     1.7430000e+00  0.0  0.0  0.0 
 9.3358043e-01     8.9910001e-01  0.0  0.0  0.0 
 9.3969262e-01     7.2680002e-01  0.0  0.0  0.0 
 9.4551858e-01     7.4720001e-01  0.0  0.0  0.0 
 9.5105652e-01     7.8759998e-01  0.0  0.0  0.0 
 9.5630476e-01     7.2439998e-01  0.0  0.0  0.0 
 9.6126170e-01     6.0250002e-01  0.0  0.0  0.0 
 9.6592583e-01     6.0310000e-01  0.0  0.0  0.0 
 9.6814764e-01     6.5910000e-01  0.0  0.0  0.0 
 9.7029573e-01     7.6650000e-01  0.0  0.0  0.0 
 9.7236992e-01     9.6030003e-01  0.0  0.0  0.0 
 9.7437006e-01     1.2640001e+00  0.0  0.0  0.0 
 9.7629601e-01     1.5970000e+00  0.0  0.0  0.0 
 9.7814760e-01     1.8030000e+00  0.0  0.0  0.0 
 9.7992470e-01     1.7390000e+00  0.0  0.0  0.0 
 9.8162718e-01     1.4540000e+00  0.0  0.0  0.0 
 9.8325491e-01     1.1820000e+00  0.0  0.0  0.0 
 9.8480775e-01     1.0890000e+00  0.0  0.0  0.0 
 9.8510933e-01     1.0870000e+00  0.0  0.0  0.0 
 9.8540790e-01     1.0850000e+00  0.0  0.0  0.0 
 9.8570347e-01     1.0850000e+00  0.0  0.0  0.0 
 9.8599604e-01     1.0920000e+00  0.0  0.0  0.0 
 9.8628560e-01     1.0950000e+00  0.0  0.0  0.0 
 9.8657216e-01     1.0980000e+00  0.0  0.0  0.0 
 9.8685572e-01     1.1030000e+00  0.0  0.0  0.0 
 9.8713627e-01     1.1010000e+00  0.0  0.0  0.0 
 9.8741381e-01     1.1010000e+00  0.0  0.0  0.0 
 9.8768834e-01     1.0950000e+00  0.0  0.0  0.0 
 9.8795987e-01     1.0880001e+00  0.0  0.0  0.0 
 9.8822838e-01     1.0870000e+00  0.0  0.0  0.0 
 9.8849389e-01     1.0810000e+00  0.0  0.0  0.0 
 9.8875638e-01     1.0760000e+00  0.0  0.0  0.0 
 9.8901586e-01     1.0710000e+00  0.0  0.0  0.0 
 9.8927233e-01     1.0549999e+00  0.0  0.0  0.0 
 9.8952579e-01     1.0670000e+00  0.0  0.0  0.0 
 9.8977623e-01     1.0810000e+00  0.0  0.0  0.0 
 9.9002366e-01     1.0829999e+00  0.0  0.0  0.0 
 9.9026807e-01     1.0750000e+00  0.0  0.0  0.0 
 9.9050946e-01     1.0779999e+00  0.0  0.0  0.0 
 9.9074784e-01     1.0900000e+00  0.0  0.0  0.0 
 9.9098320e-01     1.1210001e+00  0.0  0.0  0.0 
 9.9121554e-01     1.1410000e+00  0.0  0.0  0.0 
 9.9144486e-01     1.1420000e+00  0.0  0.0  0.0 
 9.9167116e-01     1.1630000e+00  0.0  0.0  0.0 
 9.9189444e-01     1.1830000e+00  0.0  0.0  0.0 
 9.9211470e-01     1.2130001e+00  0.0  0.0  0.0 
 9.9233194e-01     1.2270000e+00  0.0  0.0  0.0 
 9.9254615e-01     1.2500000e+00  0.0  0.0  0.0 
 9.9275734e-01     1.2790000e+00  0.0  0.0  0.0 
 9.9296551e-01     1.3049999e+00  0.0  0.0  0.0 
 9.9317065e-01     1.3420000e+00  0.0  0.0  0.0 
 9.9337277e-01     1.3700000e+00  0.0  0.0  0.0 
 9.9357186e-01     1.3839999e+00  0.0  0.0  0.0 
 9.9376792e-01     1.4250000e+00  0.0  0.0  0.0 
 9.9396096e-01     1.4410000e+00  0.0  0.0  0.0 
 9.9415096e-01     1.5420001e+00  0.0  0.0  0.0 
 9.9433794e-01     1.5829999e+00  0.0  0.0  0.0 
 9.9452190e-01     1.6289999e+00  0.0  0.0  0.0 
 9.9470282e-01     1.6770000e+00  0.0  0.0  0.0 
 9.9488071e-01     1.7029999e+00  0.0  0.0  0.0 
 9.9505557e-01     1.8080000e+00  0.0  0.0  0.0 
 9.9522740e-01     1.9030000e+00  0.0  0.0  0.0 
 9.9539620e-01     1.9240000e+00  0.0  0.0  0.0 
 9.9556196e-01     1.9299999e+00  0.0  0.0  0.0 
 9.9572470e-01     1.9880000e+00  0.0  0.0  0.0 
 9.9588440e-01     2.0820000e+00  0.0  0.0  0.0 
 9.9604107e-01     2.2240000e+00  0.0  0.0  0.0 
 9.9619470e-01     2.2900000e+00  0.0  0.0  0.0 
 9.9627038e-01     2.3090000e+00  0.0  0.0  0.0 
 9.9634530e-01     2.3550000e+00  0.0  0.0  0.0 
 9.9641946e-01     2.4210000e+00  0.0  0.0  0.0 
 9.9649286e-01     2.5120001e+00  0.0  0.0  0.0 
 9.9656550e-01     2.5940001e+00  0.0  0.0  0.0 
 9.9663739e-01     2.7070000e+00  0.0  0.0  0.0 
 9.9670851e-01     2.7809999e+00  0.0  0.0  0.0 
 9.9677888e-01     2.8680000e+00  0.0  0.0  0.0 
 9.9684849e-01     2.9230001e+00  0.0  0.0  0.0 
 9.9691733e-01     2.9570000e+00  0.0  0.0  0.0 
 9.9698542e-01     2.9800000e+00  0.0  0.0  0.0 
 9.9705275e-01     3.0020001e+00  0.0  0.0  0.0 
 9.9711932e-01     3.0669999e+00  0.0  0.0  0.0 
 9.9718513e-01     3.2190001e+00  0.0  0.0  0.0 
 9.9725019e-01     3.2909999e+00  0.0  0.0  0.0 
 9.9731448e-01     3.3480000e+00  0.0  0.0  0.0 
 9.9737801e-01     3.4800000e+00  0.0  0.0  0.0 
 9.9744078e-01     3.5699999e+00  0.0  0.0  0.0 
 9.9750280e-01     3.6570001e+00  0.0  0.0  0.0 
 9.9756405e-01     3.7860000e+00  0.0  0.0  0.0 
