#
# Optical properties to be used by ARTDECO
#
# Used model to obtain that properties is:
 unknown 
# Used material is:
 unknown 
# Number of phase matrix elements : 
 4 
# number of wavelengths 
   186
#  lambda         nteta          Cext               SSA                g 
 3.5000000e-01      218       7.6563517e+01          9.9999835e-01          -32768.0 
 3.6000000e-01      211       7.6592666e+01          1.0000000e+00          -32768.0 
 3.7000000e-01      210       7.6621769e+01          1.0000000e+00          -32768.0 
 3.8000000e-01      206       7.6650777e+01          1.0000000e+00          -32768.0 
 3.9000000e-01      208       7.6680474e+01          9.9999895e-01          -32768.0 
 4.0000000e-01      213       7.6709503e+01          9.9999903e-01          -32768.0 
 4.1000000e-01      208       7.6736487e+01          1.0000000e+00          -32768.0 
 4.2000000e-01      203       7.6765936e+01          1.0000000e+00          -32768.0 
 4.3000000e-01      203       7.6794453e+01          1.0000000e+00          -32768.0 
 4.4000000e-01      208       7.6822716e+01          1.0000000e+00          -32768.0 
 4.5000000e-01      208       7.6849742e+01          1.0000000e+00          -32768.0 
 4.6000000e-01      204       7.6876148e+01          1.0000000e+00          -32768.0 
 4.7000000e-01      198       7.6904930e+01          1.0000000e+00          -32768.0 
 4.8000000e-01      198       7.6931373e+01          1.0000000e+00          -32768.0 
 4.9000000e-01      192       7.6957388e+01          1.0000000e+00          -32768.0 
 5.0000000e-01      196       7.6984867e+01          9.9999958e-01          -32768.0 
 5.1000000e-01      189       7.7011043e+01          1.0000000e+00          -32768.0 
 5.2000000e-01      193       7.7039851e+01          1.0000000e+00          -32768.0 
 5.3000000e-01      193       7.7064817e+01          1.0000000e+00          -32768.0 
 5.4000000e-01      190       7.7089220e+01          1.0000000e+00          -32768.0 
 5.5000000e-01      194       7.7115489e+01          1.0000000e+00          -32768.0 
 5.6000000e-01      189       7.7140906e+01          1.0000000e+00          -32768.0 
 5.7000000e-01      189       7.7166532e+01          1.0000000e+00          -32768.0 
 5.8000000e-01      186       7.7193480e+01          9.9999811e-01          -32768.0 
 5.9000000e-01      185       7.7219295e+01          1.0000000e+00          -32768.0 
 6.0000000e-01      183       7.7241088e+01          1.0000000e+00          -32768.0 
 6.1000000e-01      182       7.7265419e+01          9.9999525e-01          -32768.0 
 6.2000000e-01      181       7.7293875e+01          9.9999466e-01          -32768.0 
 6.3000000e-01      177       7.7316737e+01          9.9999442e-01          -32768.0 
 6.4000000e-01      172       7.7341414e+01          9.9999419e-01          -32768.0 
 6.5000000e-01      172       7.7368494e+01          9.9999391e-01          -32768.0 
 6.6000000e-01      173       7.7391153e+01          9.9999304e-01          -32768.0 
 6.7000000e-01      173       7.7414465e+01          9.9999272e-01          -32768.0 
 6.8000000e-01      172       7.7438246e+01          9.9999213e-01          -32768.0 
 6.9000000e-01      170       7.7463317e+01          9.9999077e-01          -32768.0 
 7.0000000e-01      171       7.7487094e+01          9.9998838e-01          -32768.0 
 7.1000000e-01      171       7.7511037e+01          9.9998341e-01          -32768.0 
 7.2000000e-01      170       7.7535244e+01          9.9997549e-01          -32768.0 
 7.3000000e-01      172       7.7558658e+01          9.9996215e-01          -32768.0 
 7.4000000e-01      172       7.7581148e+01          9.9995396e-01          -32768.0 
 7.5000000e-01      171       7.7605702e+01          9.9995119e-01          -32768.0 
 7.6000000e-01      169       7.7629489e+01          9.9995128e-01          -32768.0 
 7.7000000e-01      172       7.7651484e+01          9.9995367e-01          -32768.0 
 7.8000000e-01      171       7.7677017e+01          9.9995669e-01          -32768.0 
 7.9000000e-01      172       7.7696681e+01          9.9996200e-01          -32768.0 
 8.0000000e-01      171       7.7722544e+01          9.9996318e-01          -32768.0 
 8.1000000e-01      173       7.7744618e+01          9.9996084e-01          -32768.0 
 8.2000000e-01      171       7.7767724e+01          9.9995356e-01          -32768.0 
 8.3000000e-01      172       7.7791183e+01          9.9994110e-01          -32768.0 
 8.4000000e-01      174       7.7812396e+01          9.9993053e-01          -32768.0 
 8.5000000e-01      167       7.7835378e+01          9.9991639e-01          -32768.0 
 8.6000000e-01      171       7.7857377e+01          9.9990584e-01          -32768.0 
 8.7000000e-01      168       7.7879678e+01          9.9990027e-01          -32768.0 
 8.8000000e-01      163       7.7904382e+01          9.9988951e-01          -32768.0 
 8.9000000e-01      160       7.7926132e+01          9.9988328e-01          -32768.0 
 9.0000000e-01      161       7.7948946e+01          9.9987131e-01          -32768.0 
 9.1000000e-01      163       7.7970688e+01          9.9985198e-01          -32768.0 
 9.2000000e-01      163       7.7991306e+01          9.9979028e-01          -32768.0 
 9.3000000e-01      162       7.8012492e+01          9.9964155e-01          -32768.0 
 9.4000000e-01      161       7.8034048e+01          9.9945801e-01          -32768.0 
 9.5000000e-01      155       7.8056438e+01          9.9929416e-01          -32768.0 
 9.6000000e-01      156       7.8079101e+01          9.9918817e-01          -32768.0 
 9.7000000e-01      156       7.8101475e+01          9.9916184e-01          -32768.0 
 9.8000000e-01      154       7.8121537e+01          9.9919180e-01          -32768.0 
 9.9000000e-01      159       7.8142371e+01          9.9923452e-01          -32768.0 
 1.0000000e+00      156       7.8161742e+01          9.9930479e-01          -32768.0 
