#
# Optical properties to be used by ARTDECO
#
# Used model to obtain that properties is:
 mie3
# Used material is:
 opac_waso70
# Number of phase matrix elements :
           4
# number of wavelengths
           1
#  wlambda(microns)   nteta   Cext (microns^2)       SSA              g 
     0.550000000E+00    901     0.790283684E-02     0.981127676E+00    -0.327680000E+05
# Phase matrix
# lambda =      0.5500
#         u                 F11              F44               F21               F34
    -0.100000000E+01     0.206130131E+00    -0.206130131E+00     0.000000000E+00     0.000000000E+00
    -0.999996426E+00     0.206116496E+00    -0.206116493E+00     0.679575075E-05    -0.466031055E-05
    -0.999981170E+00     0.206058383E+00    -0.206058294E+00     0.357900084E-04    -0.244832825E-04
    -0.999953722E+00     0.205954221E+00    -0.205953687E+00     0.878860518E-04    -0.598547963E-04
    -0.999914078E+00     0.205804649E+00    -0.205802812E+00     0.162981109E-03    -0.110285844E-03
    -0.999862238E+00     0.205610614E+00    -0.205605906E+00     0.260911855E-03    -0.175065442E-03
    -0.999798200E+00     0.205373341E+00    -0.205363278E+00     0.381463992E-03    -0.253273209E-03
    -0.999721967E+00     0.205094324E+00    -0.205075309E+00     0.524373743E-03    -0.343788146E-03
    -0.999633539E+00     0.204775311E+00    -0.204742451E+00     0.689328792E-03    -0.445298675E-03
    -0.999532918E+00     0.204418290E+00    -0.204365223E+00     0.875969253E-03    -0.556314267E-03
    -0.999420104E+00     0.204025468E+00    -0.203944214E+00     0.108388875E-02    -0.675178569E-03
    -0.999295099E+00     0.203599255E+00    -0.203480078E+00     0.131263562E-02    -0.800083924E-03
    -0.999157904E+00     0.203142243E+00    -0.202973533E+00     0.156171426E-02    -0.929087136E-03
    -0.999008521E+00     0.202657184E+00    -0.202425358E+00     0.183058657E-02    -0.106012630E-02
    -0.998846952E+00     0.202146965E+00    -0.201836392E+00     0.211867358E-02    -0.119103858E-02
    -0.998673199E+00     0.201614584E+00    -0.201207531E+00     0.242535711E-02    -0.131957866E-02
    -0.998487263E+00     0.201063126E+00    -0.200539728E+00     0.274998159E-02    -0.144343778E-02
    -0.998289148E+00     0.200495740E+00    -0.199833985E+00     0.309185602E-02    -0.156026314E-02
    -0.998078856E+00     0.199915609E+00    -0.199091354E+00     0.345025595E-02    -0.166767740E-02
    -0.997856389E+00     0.199325928E+00    -0.198312933E+00     0.382442561E-02    -0.176329824E-02
    -0.997621750E+00     0.198729877E+00    -0.197499862E+00     0.421358010E-02    -0.184475767E-02
    -0.997374941E+00     0.198130600E+00    -0.196653322E+00     0.461690768E-02    -0.190972093E-02
    -0.997115967E+00     0.197531177E+00    -0.195774527E+00     0.503357208E-02    -0.195590484E-02
    -0.996844829E+00     0.196934606E+00    -0.194864727E+00     0.546271493E-02    -0.198109542E-02
    -0.996561531E+00     0.196343781E+00    -0.193925198E+00     0.590345822E-02    -0.198316466E-02
    -0.996266078E+00     0.195761470E+00    -0.192957241E+00     0.635490677E-02    -0.196008616E-02
    -0.995958471E+00     0.195190298E+00    -0.191962179E+00     0.681615082E-02    -0.190994972E-02
    -0.995638716E+00     0.194632734E+00    -0.190941350E+00     0.728626849E-02    -0.183097465E-02
    -0.995306815E+00     0.194091072E+00    -0.189896108E+00     0.776432847E-02    -0.172152159E-02
    -0.994962774E+00     0.193567421E+00    -0.188827814E+00     0.824939249E-02    -0.158010307E-02
    -0.994606596E+00     0.193063696E+00    -0.187737836E+00     0.874051799E-02    -0.140539243E-02
    -0.994238285E+00     0.192581607E+00    -0.186627541E+00     0.923676061E-02    -0.119623121E-02
