#
# Optical properties to be used by ARTDECO
#
# Used model to obtain that properties is:
 mie3
# Used material is:
 lwat
# Number of phase matrix elements :
           4
# number of wavelengths
           1
#  wlambda(microns)   nteta   Cext (microns^2)       SSA              g 
     0.550000000E+00    901     0.859542345E+03     0.999999468E+00    -0.327680000E+05
# Phase matrix
# lambda =      0.5500
#         u                 F11              F44               F21               F34
    -0.100000000E+01     0.671355589E+00    -0.671355589E+00     0.000000000E+00     0.000000000E+00
    -0.999996426E+00     0.626733277E+00    -0.625405567E+00    -0.188234497E-01    -0.437045940E-02
    -0.999981170E+00     0.478704882E+00    -0.446230326E+00    -0.783225669E-01    -0.189582497E-01
    -0.999953722E+00     0.342871229E+00    -0.186825168E+00    -0.120914633E+00    -0.322541129E-01
    -0.999914078E+00     0.316558922E+00     0.692548542E-01    -0.978826214E-01    -0.332705662E-01
    -0.999862238E+00     0.391978461E+00     0.247711128E+00    -0.135053432E-01    -0.205007456E-01
    -0.999798200E+00     0.480134043E+00     0.313093538E+00     0.837953852E-01    -0.170796383E-02
    -0.999721967E+00     0.498138921E+00     0.278530019E+00     0.144222264E+00     0.130916860E-01
    -0.999633539E+00     0.430515139E+00     0.190633954E+00     0.150748697E+00     0.185462250E-01
    -0.999532918E+00     0.321930290E+00     0.100752462E+00     0.120582820E+00     0.158219703E-01
    -0.999420104E+00     0.228831804E+00     0.411253010E-01     0.832507099E-01     0.974807456E-02
    -0.999295099E+00     0.180116278E+00     0.177618107E-01     0.589612990E-01     0.481102123E-02
    -0.999157904E+00     0.170839559E+00     0.186133194E-01     0.515152231E-01     0.293967503E-02
    -0.999008521E+00     0.179353714E+00     0.271709710E-01     0.540050174E-01     0.362602710E-02
    -0.998846952E+00     0.186561627E+00     0.322406512E-01     0.579219834E-01     0.526971483E-02
    -0.998673199E+00     0.184606648E+00     0.305642482E-01     0.586110440E-01     0.647572112E-02
    -0.998487263E+00     0.175113376E+00     0.242778593E-01     0.557670234E-01     0.668010017E-02
    -0.998289148E+00     0.163272492E+00     0.169950465E-01     0.512734059E-01     0.609944013E-02
    -0.998078856E+00     0.153174212E+00     0.111845364E-01     0.470042016E-01     0.530281629E-02
    -0.997856389E+00     0.146231843E+00     0.750684982E-02     0.438271572E-01     0.475740072E-02
    -0.997621750E+00     0.141865448E+00     0.541886948E-02     0.417016833E-01     0.459821993E-02
    -0.997374941E+00     0.138847972E+00     0.406093701E-02     0.402066347E-01     0.468025442E-02
    -0.997115967E+00     0.136226522E+00     0.282308506E-02     0.389571840E-01     0.478609416E-02
    -0.996844829E+00     0.133570001E+00     0.148138910E-02     0.377479074E-01     0.479987506E-02
    -0.996561531E+00     0.130823577E+00     0.734199905E-04     0.365246721E-01     0.474157727E-02
    -0.996266078E+00     0.128100064E+00    -0.128350637E-02     0.353193630E-01     0.468951210E-02
    -0.995958471E+00     0.125541630E+00    -0.251190895E-02     0.341927510E-01     0.468890526E-02
    -0.995638716E+00     0.123244699E+00    -0.360341808E-02     0.331800983E-01     0.472031235E-02
    -0.995306815E+00     0.121228909E+00    -0.458450923E-02     0.322544704E-01     0.473423445E-02
    -0.994962774E+00     0.119450585E+00    -0.546500777E-02     0.313444322E-01     0.470732904E-02
    -0.994606596E+00     0.117846569E+00    -0.621381187E-02     0.304085007E-01     0.466514358E-02
    -0.994238285E+00     0.116371753E+00    -0.678838355E-02     0.295008683E-01     0.464845852E-02
    -0.993857847E+00     0.115008818E+00    -0.720381370E-02     0.287455888E-01     0.465975386E-02
    -0.993465285E+00     0.113760928E+00    -0.757663847E-02     0.282175281E-01     0.465866010E-02
    -0.993060604E+00     0.112638640E+00    -0.807058905E-02     0.278389609E-01     0.462444448E-02
    -0.992643810E+00     0.111637608E+00    -0.874882482E-02     0.274123161E-01     0.460816382E-02
    -0.992214908E+00     0.110718341E+00    -0.945725077E-02     0.267837239E-01     0.468566600E-02
    -0.991773902E+00     0.109820524E+00    -0.989565946E-02     0.259881224E-01     0.484556075E-02
    -0.991320798E+00     0.108918667E+00    -0.988227880E-02     0.252285406E-01     0.496037270E-02
    -0.990855602E+00     0.108065463E+00    -0.958419700E-02     0.247028572E-01     0.491525890E-02
