#
# Optical properties to be used by ARTDECO
#
# Used model to obtain that properties is:
 mie3
# Used material is:
 lwat
# Number of phase matrix elements :
           4
# number of wavelengths
           4
#  wlambda(microns)   nteta   Cext (microns^2)       SSA              g 
     0.550000000E+00   2800     0.697526463E+02     0.999999795E+00     0.841898766E+00
     0.190493500E+01   2800     0.799866099E+02     0.968812977E+00     0.797054568E+00
     0.194193100E+01   2800     0.804542378E+02     0.959473806E+00     0.800221082E+00
     0.198039200E+01   2800     0.809846184E+02     0.969110234E+00     0.799412927E+00
# Phase matrix
# lambda =      0.5500
#         u                 F11              F44               F21               F34
    -0.100000000E+01     0.654103076E+00    -0.654103076E+00     0.000000000E+00     0.000000000E+00
    -0.999999631E+00     0.653431424E+00    -0.653430880E+00    -0.317431156E-03    -0.213359455E-03
    -0.999998055E+00     0.650580266E+00    -0.650565235E+00    -0.166403660E-02    -0.111977747E-02
    -0.999995219E+00     0.645515931E+00    -0.645425701E+00    -0.405230920E-02    -0.273264985E-02
    -0.999991123E+00     0.638346835E+00    -0.638038547E+00    -0.742493067E-02    -0.502221068E-02
    -0.999985767E+00     0.629226665E+00    -0.628443267E+00    -0.117006783E-01    -0.794596483E-02
    -0.999979151E+00     0.618348854E+00    -0.616691697E+00    -0.167772410E-01    -0.114500070E-01
    -0.999971275E+00     0.605940767E+00    -0.602847918E+00    -0.225342294E-01    -0.154703426E-01
    -0.999962138E+00     0.592257060E+00    -0.586988161E+00    -0.288366199E-01    -0.199344057E-01
    -0.999951741E+00     0.577572438E+00    -0.569200645E+00    -0.355385293E-01    -0.247627443E-01
    -0.999940084E+00     0.562174053E+00    -0.549585301E+00    -0.424871873E-01    -0.298708214E-01
    -0.999927167E+00     0.546353830E+00    -0.528253367E+00    -0.495269662E-01    -0.351708802E-01
    -0.999912990E+00     0.530400986E+00    -0.505326814E+00    -0.565033323E-01    -0.405738176E-01
    -0.999897553E+00     0.514594988E+00    -0.480937610E+00    -0.632665903E-01    -0.459910130E-01
    -0.999880855E+00     0.499199155E+00    -0.455226802E+00    -0.696753112E-01    -0.513360661E-01
    -0.999862898E+00     0.484455104E+00    -0.428343415E+00    -0.755993470E-01    -0.565263980E-01
    -0.999843680E+00     0.470578142E+00    -0.400443191E+00    -0.809223625E-01    -0.614846819E-01
    -0.999823203E+00     0.457753715E+00    -0.371687169E+00    -0.855438345E-01    -0.661400736E-01
    -0.999801465E+00     0.446134932E+00    -0.342240144E+00    -0.893804929E-01    -0.704292215E-01
    -0.999778468E+00     0.435841174E+00    -0.312269027E+00    -0.923672012E-01    -0.742970452E-01
    -0.999754210E+00     0.426957728E+00    -0.281941149E+00    -0.944572944E-01    -0.776972778E-01
    -0.999728693E+00     0.419536371E+00    -0.251422538E+00    -0.956224095E-01    -0.805927763E-01
    -0.999701916E+00     0.413596798E+00    -0.220876222E+00    -0.958518605E-01    -0.829556099E-01
    -0.999673878E+00     0.409128763E+00    -0.190460579E+00    -0.951516175E-01    -0.847669430E-01
    -0.999644581E+00     0.406094791E+00    -0.160327790E+00    -0.935429609E-01    -0.860167341E-01
    -0.999614025E+00     0.404433332E+00    -0.130622410E+00    -0.910608814E-01    -0.867032729E-01
    -0.999582208E+00     0.404062190E+00    -0.101480100E+00    -0.877522992E-01    -0.868325855E-01
    -0.999549132E+00     0.404882126E+00    -0.730265265E-01    -0.836741726E-01    -0.864177314E-01
    -0.999514796E+00     0.406780479E+00    -0.453764572E-01    -0.788915608E-01    -0.854780240E-01
    -0.999479201E+00     0.409634728E+00    -0.186330582E-01    -0.734756990E-01    -0.840381987E-01
    -0.999442346E+00     0.413315884E+00     0.711260763E-02    -0.675021367E-01    -0.821275550E-01
    -0.999404231E+00     0.417691657E+00     0.317818773E-01    -0.610489796E-01    -0.797790957E-01
    -0.999364857E+00     0.422629328E+00     0.553085913E-01    -0.541952691E-01    -0.770286846E-01
    -0.999324224E+00     0.427998300E+00     0.776390125E-01    -0.470195226E-01    -0.739142377E-01
    -0.999282331E+00     0.433672299E+00     0.987315771E-01    -0.395984507E-01    -0.704749653E-01
    -0.999239179E+00     0.439531227E+00     0.118556495E+00    -0.320058601E-01    -0.667506742E-01
    -0.999194767E+00     0.445462649E+00     0.137095217E+00    -0.243117449E-01    -0.627811396E-01
    -0.999149096E+00     0.451362946E+00     0.154339795E+00    -0.165815623E-01    -0.586055504E-01
    -0.999102167E+00     0.457138146E+00     0.170292146E+00    -0.887568540E-02    -0.542620328E-01
    -0.999053978E+00     0.462704453E+00     0.184963251E+00    -0.124902243E-02    -0.497872506E-01
    -0.999004530E+00     0.467988509E+00     0.198372302E+00     0.624921254E-02    -0.452160816E-01
