#
#     DEFINES WAVELENGTH DEPENDENT COMPLEX INDEX OF REFRACTION FOR ICE.
#     ALLOWABLE WAVELENGTH RANGE EXTENDS FROM 0.045 MICRONS TO 167 MICRONS.
#
#     STEPHEN G. WARREN - 1983
#     DEPT. OF ATMOSPHERIC SCIENCES
#     UNIVERSITY OF WASHINGTON
#     SEATTLE, WA  98195
#
#     BASED ON
#
#        WARREN,S.G.,1984.
#        OPTICAL CONSTANTS OF ICE FROM THE ULTRAVIOLET TO THE MICROWAVE.
#        APPLIED OPTICS,23,1206-1225
#
#  nlambda = 
 468
#    lambda          real              im 
#   (microns)
#
  4.43000011E-02  0.83441001      0.16400000    
  4.50999998E-02  0.83675998      0.17299999    
  4.58999984E-02  0.83728999      0.18300000    
  4.67999987E-02  0.83771002      0.19499999    
  4.76999991E-02  0.83827001      0.20800000    
  4.85999994E-02  0.84038001      0.22300000    
  4.96000014E-02  0.84719002      0.23999999    
  5.05999997E-02  0.85522002      0.25000000    
  5.16999997E-02  0.86047000      0.25900000    
  5.27999997E-02  0.86247998      0.26800001    
  5.38999997E-02  0.86157000      0.27900001    
  5.51000014E-02  0.86093003      0.29699999    
  5.64000010E-02  0.86418998      0.31900001    
  5.77000007E-02  0.86916000      0.34000000    
  5.90000004E-02  0.87764001      0.36600000    
  6.04999997E-02  0.89296001      0.39199999    
  6.19999990E-02  0.91040999      0.41600001    
  6.36000037E-02  0.93089002      0.44000000    
  6.53000027E-02  0.95372999      0.46399999    
  6.70000017E-02  0.98188001      0.49200001    
  6.88999966E-02   1.0233400      0.51700002    
  7.07999989E-02   1.0673500      0.52800000    
  7.28999972E-02   1.1119699      0.53299999    
  7.37999976E-02   1.1313400      0.53399998    
  7.50999972E-02   1.1574700      0.53100002    
  7.75000006E-02   1.2004499      0.52399999    
  7.99999982E-02   1.2384000      0.50999999    
  8.26999992E-02   1.2732500      0.50000000    
  8.55000019E-02   1.3215700      0.49900001    
  8.86000022E-02   1.3895800      0.46799999    
  9.17999968E-02   1.4164400      0.38000000    
  9.30000022E-02   1.4090600      0.36000001    
  9.53999981E-02   1.4006300      0.33899999    
  9.92000028E-02   1.4016900      0.31799999    
  0.10330000       1.4093400      0.29100001    
  0.10780000       1.4022100      0.25099999    
  0.11000000       1.3924000      0.24400000    
  0.11270000       1.3842400      0.23899999    
  0.11400000       1.3807499      0.23899999    
  0.11810000       1.3818600      0.24400000    
  0.12100000       1.3963400      0.24699999    
  0.12400000       1.4091800      0.22400001    
  0.12720001       1.4025600      0.19499999    
  0.12950000       1.3801301      0.17399999    
  0.13050000       1.3630300      0.17200001    
  0.13190000       1.3414400      0.18000001    
  0.13330001       1.3237700      0.19400001    
  0.13480000       1.3060499      0.21300000    
  0.13620000       1.2905400      0.24300000    
  0.13699999       1.2889000      0.27100000    
  0.13779999       1.2893100      0.28900000    
  0.13869999       1.3019000      0.33399999    
  0.13930000       1.3202500      0.34400001    
  0.14090000       1.3630199      0.38200000    
  0.14250000       1.4187200      0.40099999    
  0.14350000       1.4583400      0.40650001    
  0.14420000       1.4902800      0.40500000    
  0.14500000       1.5212801      0.38900000    
  0.14590000       1.5537601      0.37700000    
  0.14680000       1.5778199      0.34500000    
  0.14760000       1.5963600      0.33199999    
  0.14800000       1.6065201      0.31500000    
  0.14850000       1.6117200      0.29800001    
  0.14940000       1.6191900      0.27399999    
